"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3617.608,29.707,76.67,0.029,5.879,0.009,1.675,1.156,1426.22,119.412,0.46,0.624,0.278,23.167,16.804,7.076,0.021,0.006,0.006,0.064,0.611,0.202,1.596,1.045,0.034,0.024,4.442,17.93,1.673,17.885,188.176,2.415,0.972,0.348,1.676,0.145,546.32,1.852,0.487,0.183,1.052,2.725,5.476,13.825,39.239,28.854,35.539,6.629,21.465,0,6227.5,0.284,25.007,45.336,1.816,0,0.054,29.361,0,12599.05
"DOM_A02",43.808,171.851,2.55,0.194,6.244,0.017,0.951,0.089,8.103,2.352,21.149,12.256,0.2,1.654,0.279,4.634,0.073,0.036,0.012,0.043,0.051,0.051,0.228,0.159,0.024,0.004,12.83,37.577,0.092,7.947,15.146,0.146,0.051,0.054,0.091,0.02,5.404,0.309,0.19,0.106,0.083,0.445,0.135,0.337,5.269,1.628,0.672,0.729,0.789,0,472.678,0.255,3.046,3.926,0.165,0,0.001,9.205,0,856.338
"DOM_A03",4.561,0.468,436.901,0.007,0.094,0.006,0.173,0.001,208.807,0.282,0.001,0.009,0.088,0.228,0.163,0.013,0.004,0.002,0.002,0.024,0.051,0.044,0.104,0.025,0.008,0,0.05,0.168,0.068,0.264,13.343,0.116,0.354,0.085,0.108,0,191.72,0.435,0.122,0.155,0.442,0.514,0.2,0.14,12.228,2.882,4.268,0.437,1.228,0,1154.431,0.108,1.205,0.013,0.082,0,0.003,4.973,0,2042.207
"DOM_B05",0.085,0.004,0.011,0.038,1.181,0.004,0.142,0.2,0.042,0.024,0.001,0.015,1.817,0.092,0.007,0.009,0.028,0.158,0.019,0.007,0.023,0.016,0.024,0.05,0.002,0.001,0.008,11.906,0.015,0.596,0.113,0.021,0.002,0.008,0.009,0.002,0.025,0.007,0.007,0.002,0.007,0.035,0.008,0.008,0.057,0.042,0.015,0.003,0.015,0,38.952,0,0.022,0.149,0.028,0,0,0.226,0,56.29
"DOM_B06",0.072,0.001,0.006,0.087,94.158,0.026,1.547,1.998,0.218,0.104,0.005,0.263,668.917,4.547,0.036,0.135,0.148,0.362,0.119,0.167,0.06,0.067,0.166,0.362,0.012,0.012,0.096,148.187,0.143,0.442,1.445,0.183,0.01,0.011,0.215,0.023,0.077,0.041,0.023,0.023,0.073,0.214,0.14,0.097,0.682,0.257,0.072,0.012,0.045,0,205.923,0,1.973,0,0,0,0,41936.487,0,43070.492
"DOM_B07",0.2,0.002,0.013,0.055,7.434,0.555,3.627,2.615,0.066,0.051,0.001,0.014,5.218,1.322,0.038,0.057,0.225,5.899,3.894,0.471,0.055,0.107,0.266,0.197,0.003,0.001,0.103,3.678,0.032,2.827,0.118,0.04,0.002,0.014,0.016,0.003,0.032,0.012,0.004,0.002,0.005,0.031,0.028,0.023,0.049,0.023,0.023,0.004,0.045,0,2,0,0.021,0.137,0.023,0,0,14.838,0,56.52
"DOM_B08",137.761,2.981,16.439,4.933,911.463,5.824,1852.291,307.231,19.052,7.466,0.09,14.836,605.028,296.985,4.296,7.139,197.453,70.777,13.389,11.621,7.997,16.595,23.196,16.34,0.503,0.334,24.351,536.571,22.443,3077.752,26.49,7.745,0.764,4.082,2.599,0.227,7.105,0.51,0.738,0.165,0.46,45.962,3.186,23.713,62.76,4.466,2.011,0.855,4.96,0,176.854,0.007,0.581,15.838,8.363,0,0.01,1860.257,0,10473.847
"DOM_B09",1.017,0.017,4.805,2.969,4818.647,1.489,113.94,596.721,0.207,0.029,0.005,0.586,165.744,0.216,0.024,0.229,0.627,0.487,0.203,0.029,0.025,0.062,0.155,0.022,0,0.002,0.017,69.426,0.203,16.176,0.15,0.816,0.187,0.652,0.375,0.15,0.13,0.469,0.004,0,0.112,0.385,0.352,0.043,0.528,0.171,0.073,0.004,0.043,0,1.7,0,3.73,47.394,-0.22,0,0,277.874,0,6129.2
"DOM_C10T12",77.184,0.145,4.876,0.064,14.194,0.067,2.112,1.763,23.317,8.204,0.108,2.17,12.674,32.279,5.141,9.733,0.239,0.159,0.075,0.79,3.194,2.295,2.291,6.634,0.227,0.083,2.703,1.487,1.309,5.376,10.429,0.354,0.257,0.361,0.447,0.048,47.33,1.897,0.3,0.357,0.553,1.17,1.223,1.431,3.858,4.554,5.6,0.827,3.819,0,3213.499,0.198,1.011,0.583,1.027,0,0.167,67.105,0,3589.297
"DOM_C13T15",2.72,0.073,0.995,0.018,4.106,0.009,0.444,0.469,0.949,84.29,0.012,0.543,0.582,0.836,0.21,0.63,0.058,0.035,0.009,0.157,0.431,0.352,1.432,4.212,0.082,0.046,2.233,0.981,0.219,2.243,6.016,0.258,0.042,0.251,0.219,0.126,1.908,0.372,0.286,0.144,0.411,0.481,0.747,1.129,4.411,1.202,2.263,0.587,2.156,0,1074.244,0.044,0.176,5.403,1.866,0,0.133,2.072,0,1216.325
"DOM_C16",0.079,0.011,0.011,0.001,0.08,0,0.018,0.011,0.034,0.023,0.038,0.035,0.016,0.02,0.004,0.009,0.003,0.004,0.001,0.01,0.016,0.016,0.029,0.084,0.006,0.001,0.263,0.063,0.027,0.864,0.119,0.009,0.001,0.005,0.011,0.001,0.027,0.012,0.005,0.002,0.005,0.04,0.018,0.014,0.039,0.02,0.016,0.004,0.031,0,12.51,0,0.086,0.463,0.171,0,0.003,37.657,0,53.045
"DOM_C17_18",1.148,0.032,0.206,0.003,1.936,0.006,0.215,0.18,2.629,1.44,0.033,12.393,0.402,1.144,1.022,0.497,0.094,0.025,0.013,0.233,0.941,0.647,0.973,1.366,0.02,0.025,1.047,0.766,0.164,1.346,7.52,0.285,0.079,0.158,0.311,0.209,1.085,8.833,0.711,1.024,2.536,0.396,2.151,1.743,4.126,4.214,1.703,0.307,1.038,0,152.532,0,0.314,0.519,0.159,0,0.015,1.361,0,224.274
