"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",85.446,3.75,0.687,0.11,7.462,0.612,2.041,2.493,952.846,10.207,0.936,0.745,5.049,4.008,0.803,1.284,0.459,0.049,0.093,0.221,0.462,0.306,0.177,0.365,0.034,0.095,1.164,2.582,0.597,9.359,20.244,0.662,0.33,0.579,0.424,0.09,363.812,0.665,0.616,0.32,0.789,2.222,1.036,1.71,5.125,1.496,1.399,1.201,1.565,0,2716.027,0.405,45.162,171.002,19.349,0,67.24,2306.428,0,6824.34
"DOM_A02",1.757,25.639,0.034,0.122,0.963,0.14,0.437,0.248,7.925,0.312,17.787,4.483,0.41,0.43,0.034,1.01,0.123,0.006,0.015,0.031,0.039,0.033,0.02,0.04,0.007,0.01,2.615,1.951,0.049,2.851,2.605,0.086,0.033,0.061,0.05,0.011,5.831,0.105,0.072,0.042,0.113,0.296,0.11,0.113,1.001,0.138,0.061,0.198,0.113,0,282.312,0.234,21.809,15.983,2.782,0,3.074,563.78,0,970.533
"DOM_A03",0.096,0.011,0.061,0.006,0.519,0.039,0.142,0.2,2.177,0.076,0.011,0.034,0.392,0.083,0.026,0.027,0.039,0.005,0.01,0.023,0.067,0.04,0.02,0.035,0.005,0.013,0.055,0.067,0.023,0.436,0.585,0.043,0.026,0.074,0.022,0.005,2.107,0.075,0.066,0.035,0.048,0.086,0.055,0.048,0.13,0.032,0.036,0.028,0.024,0,36.873,0.174,0.377,1.663,2.442,0,2.865,817.979,0,870.637
"DOM_B05",0.137,0.018,0.01,1.041,6.037,3.437,4.023,2.846,1.155,0.196,0.056,0.387,39.746,1.312,0.027,0.122,1.55,0.742,1.446,0.106,0.041,0.054,0.036,0.061,0.007,0.018,0.145,27.266,0.241,3.47,1.011,0.162,0.026,0.068,0.081,0.017,1.991,0.082,0.105,0.041,0.142,0.499,0.107,0.093,0.707,0.222,0.066,0.082,0.125,0,90.095,0.002,0.292,4.515,0.43,0,0.719,1579.29,0,1776.702
"DOM_B06",2.528,0.661,0.772,1.531,161.282,17.86,30.037,63.18,9.53,1.489,0.319,2.051,190.983,10.079,0.365,0.853,3.451,1.522,5.019,0.841,0.712,0.758,0.446,0.851,0.077,0.223,1.29,15.527,2.184,30.627,22.577,15.58,8.039,28.36,2.628,0.777,18.604,1.451,1.523,0.804,2.869,6.664,2.22,2.769,11.192,1.974,0.846,1.002,1.29,0,66.43,0.022,1.975,54.854,0,0,27.451,152494.816,0,153333.766
"DOM_B07",8.234,0.257,0.518,102.294,1426.057,9114.742,3560.689,1674.792,145.664,8.821,0.6,5.169,7433.488,799.113,2.974,8.336,747.164,1173.536,4482.614,175.294,1.472,14.251,13.074,9.501,0.343,0.316,48.98,581.694,10.73,1374.44,32.536,10.917,0.811,4.685,3.812,0.443,73.779,1.493,0.61,0.226,0.909,13.116,7.848,6.817,14.032,2.442,0.639,1.424,8.453,0,17.984,0.012,3.13,23.314,0,0,4.809,4188.144,0,37347.538
"DOM_B08",30.593,2.776,2.415,18.176,378.219,205.407,3557.394,397.82,126.485,6.595,0.612,33.045,1704.343,388.806,1.763,9.034,1287.79,29.911,39.342,9.47,1.524,5.663,2.555,2.847,0.276,0.547,27.093,168.961,18.084,3021.346,28.07,4.817,0.722,1.552,2.096,0.214,48.615,1.004,1.181,0.508,1.051,53.607,3.276,19.752,48.577,2.224,0.841,1.247,3.183,0,111.717,0.454,2.375,52.775,1.074,0,7.325,14400.366,0,26277.517
"DOM_B09",1.056,0.094,2.59,38.924,6991.935,217.441,800.099,2724.297,5.461,0.286,0.143,5.016,1653.588,6.127,0.083,1.239,20.687,6.951,25.405,1.11,0.093,0.225,0.196,0.166,0.013,0.036,0.537,79.936,1.235,70.709,2.34,2.432,1.085,2.254,1.172,0.539,5.656,0.821,0.207,0.097,0.613,2.614,1.236,0.419,2.837,0.48,0.145,0.148,0.255,0,13.438,0.007,27.462,782.586,-0.06,0,5.125,12897.169,0,26406.754
"DOM_C10T12",38.298,0.246,2.253,0.163,6.257,1.61,4.169,1.927,515.218,3.303,0.205,2.027,14.122,8.626,2.336,0.979,1.323,0.216,0.564,0.688,1.656,1.042,0.559,0.841,0.108,0.339,1.893,3.028,0.953,8.396,35.77,1.508,1.765,2.338,0.886,0.204,1035.803,3.153,1.994,1.227,2.527,2.655,2.057,1.965,9.481,4.355,3.816,3.105,1.8,0,9452.359,0.742,11.089,21.152,40.533,0,505.511,9406.225,0,21177.364
"DOM_C13T15",1.643,0.527,1.493,0.508,15.607,3.251,5.263,4.59,13.068,621.05,0.798,13.273,10.175,7.617,1.013,8.444,3.003,0.149,0.268,1.434,1.464,1.455,1.039,8.12,0.353,0.714,42.638,2.668,1.559,19.959,49.589,1.862,0.749,2.202,1.367,0.964,80.123,2.947,1.715,1.073,2.33,3.014,5.156,9.319,29.907,4.994,4.577,6.705,12.377,0,2940.994,0.14,2.147,31.059,42.492,0,104.701,2278.736,0,6414.378
"DOM_C16",2.004,1.768,0.131,0.466,5.334,1.729,3.614,1.823,15.567,2.345,46.357,16.273,2.188,4.67,0.242,1.836,3.388,0.056,0.197,1.379,0.354,0.959,0.519,2.147,0.559,0.268,67.671,3.11,0.545,191.433,16.486,1.018,0.19,0.417,1.802,0.077,22.995,1.407,0.431,0.297,0.758,7.329,3.043,2.41,2.422,1.31,0.673,1.102,3.875,0,136.095,0.011,0.555,33.413,24.94,0,3.952,101.279,0,747.217
"DOM_C17_18",1.263,0.146,0.186,0.126,7.469,1.586,2.473,1.674,89.262,5.716,1.243,168.349,7.716,7.186,2.177,3.547,3.576,0.095,0.24,1.124,1.1,1.506,0.757,1.302,0.075,0.239,7.307,3.869,1.095,9.435,35.765,1.523,0.759,1.026,1.491,1.044,40.788,50.034,2.168,4.357,9.151,2.929,9.848,8.262,15.852,8.157,2.177,2.305,3.015,0,587.409,0.036,3.732,10.37,13.424,0,51.424,2249.719,0,3448.603
"DOM_C19",141.129,41.241,51.201,33.98,962.903,280.314,506.94,453.147,340.468,37.626,14.875,66.14,10911.62,556.077,8.885,17.645,70.9,12.614,9.443,17.081,5.832,18.448,7.827,24.304,1.344,3.408,40.066,479.716,68.483,490.41,967.019,1130.85,605.209,2152.86,149.318,49.571,572.965,40.455,31.865,26.847,126.828,57.63,81.342,149.054,447.374,57.754,25.083,30.745,52.769,0,6925.371,0.185,23.459,82.165,209.792,0,334.744,40255.341,0,70260.661
"DOM_C20",3.68,0.328,0.414,0.528,19.818,5.828,13.925,5.871,18.815,4.672,0.382,3.137,71.553,9.037,16.008,2.689,5.871,0.533,1.296,1.151,4.071,2.359,1.09,2.351,0.199,0.526,3.454,9.962,2.199,34.594,27.148,7.18,3.602,12.239,1.619,0.475,19.645,2.809,3.716,1.917,2.671,3.589,4.704,2.75,13.806,2.645,18.431,1.508,1.764,0,185.885,0.038,17.832,28.156,-0.274,0,9.678,12506.217,0,13126.091
"DOM_C21",64.4,0.25,2.031,1.745,63.454,21.441,12.014,4.901,139.637,8.274,0.412,1.294,16.737,62.809,521.123,1.898,0.975,0.161,0.318,0.611,1.731,0.855,1.682,0.833,0.087,0.253,15.751,4.157,7.044,10.094,52.472,4.227,2.95,5.163,1.752,0.833,16.625,5.716,1.481,0.792,2.447,2.963,71.233,4.502,227.627,24.664,586.716,11.367,17.15,0,1673.643,0.31,492.939,18.719,18.573,0,14.591,353.924,0,4580.348
"DOM_C22",7.067,0.805,0.668,1.58,44.879,7.387,13.845,9.434,177.54,20.367,2.569,23.31,32.146,32.832,5.94,88.39,6.238,0.216,0.779,6.637,4.805,13.706,6.607,31.859,0.67,3.153,31.083,3.017,5.985,138.65,114.565,16.496,2.024,3.057,3.729,0.863,43.381,5.529,2.507,1.402,4.374,9.024,6.455,9.629,9.505,3.525,2.642,2.238,4.298,0,433.517,0.01,2.349,39.417,31.303,0,3.259,1975.134,0,3452.394
"DOM_C23",17.543,1.807,0.449,2.799,168.893,57.42,126.591,38.961,329.373,11.581,8.918,5.879,80.709,50.454,9.785,34.989,463.503,5.612,5.564,17.816,8.904,21.655,7.156,34.371,2.58,2.649,43.798,23.656,18.608,3886.384,105.391,7.47,7.665,2.873,6.381,0.848,227.18,2.652,2.79,1.249,7.537,169.034,19.458,12.627,31.713,18.23,4.403,6.294,15.729,0,728.691,0.022,2.268,114.2,56.442,0,11.107,2458.128,0,9508.791
"DOM_C24A",0.056,0.012,0.009,0.034,1.03,1.022,0.797,0.42,0.557,0.078,0.022,0.07,2.31,0.283,0.017,0.064,0.231,0.129,0.492,0.28,0.087,0.131,0.127,0.235,0.022,0.046,0.247,0.35,0.072,1.938,0.716,0.162,0.079,0.261,0.047,0.011,0.594,0.058,0.084,0.043,0.085,0.152,0.092,0.096,0.317,0.072,0.041,0.043,0.05,0,4.025,0.001,0.117,2,0,0,1.638,3699.355,0,3721.304
"DOM_C24B",0.208,0.06,0.018,0.185,10.479,9.679,4.606,2.508,5.688,0.666,0.219,0.96,11.536,6.296,0.239,1.545,1.796,2.53,29.478,18.335,3.567,15.658,4.827,8.314,0.476,1.866,12.004,2.305,2.486,24.741,7.002,0.465,0.272,0.557,0.281,0.047,3.297,0.561,1.28,0.625,0.555,1.07,0.814,0.527,1.645,0.413,0.287,0.289,0.329,0,8.201,0.07,3.513,5.015,0,0,2.661,13400.766,0,13623.819
"DOM_C25",3.291,0.859,0.251,2.625,89.929,12.099,14.044,27.302,57.3,5.793,2.961,3.869,29.06,11.059,1.12,6.521,5.115,1.476,1.73,45.763,4.626,12.634,19.417,28.17,3.29,5.288,24.485,6.502,3.221,239.821,40.751,2.955,1.527,2.058,2.174,0.25,27.859,2.277,3.268,1.589,1.797,11.684,5.504,6.52,24.418,2.579,1.304,1.581,3.041,0,220.595,0.042,3.968,277.414,206.555,0,4.871,3494.492,0,5020.696
"DOM_C26",5.857,2.713,1.613,4.338,327.971,31.733,34.909,65.562,65.3,11.601,1.938,25.281,213.521,48.865,6.394,14.734,10.981,0.914,3.125,36.934,1117.562,408.017,140.614,173.527,26.928,32.729,152.909,133.328,48.979,570.097,784.143,23.862,24.764,77.988,41.72,17.221,262.622,198.865,811.586,395.22,129.098,45.896,245.1,153.556,364.862,123.282,84.278,60.906,50.666,0,1451.844,0.225,21.53,1685.304,1382.274,0,10.084,684.848,0,12850.718
"DOM_C27",3.273,0.495,0.642,2.138,50.678,17.872,29.555,34.834,21.893,3.548,0.712,6.244,24.718,8.997,1.278,5.518,4.354,0.571,1.545,11.485,34.883,232.396,34.222,81.386,3.314,9.922,26.423,114.365,8.17,476.003,152.551,13.096,7.57,8.204,6.108,1.16,69.974,12.074,50.181,16.249,6.87,16.49,29.174,23.901,57.246,9.287,5.241,10.923,9.906,0,758.491,0.148,1.392,624.161,509.104,0,10.782,3166.264,0,6827.984
"DOM_C28",1.154,0.564,0.206,1.568,53.247,7.573,10.739,15.387,11.416,2.014,0.428,2.234,20.521,3.149,0.498,1.862,2.502,0.235,0.349,3.06,6.259,7.665,11.326,11.141,1.059,2.091,5.185,7.154,2.003,41.009,26.962,2.465,1.05,3.295,1.261,0.28,7.957,2.973,5.59,2.678,2.62,2.219,3.742,4.533,7.955,1.637,1.135,1.18,1.062,0,110.297,0.06,1.254,331.709,258.423,0,5.179,2716.982,0,3738.097
"DOM_C29",1.493,2.784,0.288,0.335,27.564,8.904,11.511,9.629,8.56,1.78,0.399,1.082,15.647,3.083,0.336,1.951,2.685,0.176,0.604,2.282,3.596,5.58,5.2,509.206,0.474,4.167,4.238,5.071,3.439,28.541,503.017,58.981,7.104,17.885,7.577,1.221,8.514,1.867,3.442,2.314,3.038,2.696,5.56,16.809,13.616,2.769,1.127,1.76,1.294,0,2396.669,0.372,2.334,1505.298,1094.164,0,4.979,801.164,0,7136.179
"DOM_C301",0.021,0.014,0.969,0.015,7.011,0.353,0.414,0.055,0.225,0.025,0.006,0.022,0.175,0.042,0.006,0.043,0.017,0.003,0.007,0.097,0.065,0.133,0.322,0.763,51.72,7.524,1.017,0.097,0.041,0.664,1.478,1.712,74.981,29.606,2.148,0.028,0.252,0.027,0.034,0.018,0.123,0.059,0.129,0.631,28.258,0.09,0.021,0.167,0.11,0,65.462,0,0.059,238.15,139.565,0,0.133,218.994,0,874.105
"DOM_C302T309",0.193,1.035,2.864,0.637,5.849,2.376,1.263,3.52,3.71,0.232,0.096,0.148,0.607,0.416,0.034,0.335,0.257,0.043,0.072,1.857,0.581,2.094,2.102,43.158,15.358,346.562,10.33,0.727,0.314,8.072,63.643,76.758,32.281,473.45,6.973,0.363,1.974,0.131,0.21,0.194,0.487,0.536,1.436,14.495,149.836,0.846,1.15,0.702,0.925,0,281.223,0.039,0.133,630.255,457.985,0,0.302,342.354,0,2993.521
"DOM_C31T33",3.709,1.823,1.523,0.934,106.061,10.688,17.708,25.516,35.204,42.686,3.953,9.356,35.13,12.597,3.793,4.216,4.18,0.547,1.218,3.572,15.173,9.771,4.561,9.377,1.648,2.392,190.155,13.776,10.313,130.322,92.469,12.069,5.394,17.25,8.847,3.206,160.166,13.946,16.257,10.258,49.849,18.14,34.456,31.343,82.259,51.818,40.116,31.347,27.923,0,1300.186,0.119,67.108,439.888,307.873,0,44.411,4250.631,0,7829.227
"DOM_D",144.441,12.966,12.45,60.566,2837.716,406.598,754.196,214.199,1121.53,206.527,26.673,328.358,3187.305,504.683,23.983,136.394,180.698,27.099,39.689,68.849,15.792,37.205,25.12,59.786,4.802,12.256,75.837,2606.54,305.209,236.872,1177.557,205.418,12.43,26.089,95.354,25.865,3359.008,98.536,140.148,48.659,226.591,429.246,122.246,99.666,700.877,290.688,89.255,137.266,166.854,0,8691.313,0.298,122.275,100.297,0.732,0,13.205,508.484,0,30562.696
"DOM_E",24.764,1.355,1.296,4.24,126.568,18.752,45.472,24.59,154.547,15.704,1.755,32.786,207.297,33.442,2.906,7.076,11.239,4.297,6.564,4.806,1.226,2.794,1.825,3.802,0.389,1.345,7.125,48.404,267.694,49.223,119.342,12.674,5.572,3.444,11.289,2.819,619.37,7.063,3.726,2.79,31.926,65.702,16.849,14.25,197.358,73.06,18.645,18.009,27.79,0,1947.308,0.866,473.848,34.421,0.687,0,6.097,55.343,0,4883.531
"DOM_F",102.358,47.948,9.742,25.729,638.229,110.501,215.598,383.054,161.427,32.305,7.088,31.12,554.393,54.429,5.685,19.774,51.875,3.827,7.109,30.034,6.772,15.12,10.314,18.207,3.3,4.565,50.948,515.009,288.253,11155.315,886.685,119.352,24.049,30.558,186.495,19.106,1075.578,55.907,150.456,24.169,227.191,2959.081,283.209,115.464,2076.751,259.171,65.729,69.904,66.293,0,1840.823,2.232,256.725,56119.79,11.427,0,124.03,545.995,0,82156.198
"DOM_G",195.115,32.641,21.523,32.154,1138.286,288.428,816.565,442.576,1597.305,525.237,48.209,247.884,2695.26,666.988,275.367,220.45,313.327,39.847,83.016,209.493,648.458,374.149,188.508,748.933,36.172,115.008,492.613,359.837,144.608,2154.918,5232.797,695.35,186.551,592.747,156.756,52.987,1536.893,512.719,568.462,302.386,293.829,238.064,353.929,643.507,738.994,191.783,358.833,168.052,131.104,0,20730.44,2.508,310.256,6958.805,37.02,0,630.09,19076.372,0,75854.11
"DOM_H49",8.309,4.086,0.697,4.868,151.825,25.804,117.637,43.695,81.645,11.262,3.263,12.338,190.692,28.821,3.612,6.973,33.256,2.747,5.409,9.281,14.817,10.918,5.573,12.611,1.003,4.51,16.872,21.502,6.642,141.798,184.332,53.073,6.737,17.438,25.892,13.402,67.992,17.114,13.74,7.259,17.656,11.556,15.068,16.238,39.822,12.277,7.229,5.03,6.484,0,3048.776,0.315,260.353,262.252,0,0,1420.187,2891.536,0,9404.224
"DOM_H50",3.296,0.04,0.025,0.319,2.204,31.736,26.157,9.428,7.358,4.547,0.051,0.614,3.848,14.046,4.318,3.578,18.42,5.261,16.156,8.261,25.424,13.017,6.343,12.588,1.594,6.452,14.248,7.723,2.664,97.862,4.451,0.825,0.755,14.515,0.826,0.129,27.543,6.613,18.813,8.94,4.141,4.206,5.379,5.624,9.917,4.945,7.746,2.223,2.839,0,105.353,0.136,11.267,5.223,0,0,186.558,7118.197,0,7904.744
"DOM_H51",6.971,0.037,0.622,1.472,1.983,61.557,31.857,14.147,42.285,12.415,2.397,4.244,114.602,31.487,8.547,9.278,17.371,8.959,28.423,12.778,58.418,28.416,12.122,25.719,3.083,9.535,31.319,15.943,3.574,154.413,6.021,6.893,5.228,1.347,0.488,0.349,31.133,7.048,37.609,11.182,1.036,1.555,5.162,5.083,1.005,1.001,13.84,0.863,4.488,0,145.904,0.098,15.517,2.801,0,0,1073.973,11131.344,0,13264.941
