"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",11323.766,27.139,36.005,0.023,2.533,0.216,0.954,0.767,29458.391,177.6,9.503,3.642,0.444,92.859,113.481,29.32,0.599,0.194,0.086,0.345,0.704,0.23,2.288,1.788,0.01,0.072,5.549,28.801,1.203,58.167,546.445,15.487,0.092,0.34,6.044,0.221,3030.477,1.016,2.511,0.804,2.419,13.614,13.816,50.688,110.66,63.149,96.494,22.66,17.366,0,10505.676,1.637,0.329,1813.974,44.541,0,25.655,15820.225,0,73583.014
"DOM_A02",65.788,44.602,0.399,0.033,0.579,0.076,0.122,0.013,114.394,1.276,120.018,17.67,0.046,2.071,0.836,5.376,0.355,0.095,0.031,0.042,0.014,0.015,0.095,0.081,0.002,0.004,4.263,15.016,0.014,3.882,8.758,0.318,0.002,0.017,0.103,0.01,15.354,0.044,0.165,0.141,0.074,0.215,0.18,0.49,4.223,1.361,0.788,0.745,0.659,0,324.759,0,29.325,3.193,0.207,0,0.181,79.629,0,868.141
"DOM_A03",1.171,0.036,31.516,0.001,0.035,0.012,0.013,0.005,406.988,0.038,0.007,0.029,0.036,0.15,0.124,0.033,0.03,0.03,0.009,0.026,0.022,0.012,0.048,0.073,0.001,0.002,0.013,0.06,0.005,0.138,5.619,0.162,0.003,0.017,0.052,0.004,91.925,0.02,0.038,0.058,0.07,0.055,0.06,0.039,2.701,0.527,1.039,0.126,0.202,0,467.386,0,0.033,0.317,4.244,0,2.248,1410.691,0,2428.297
"DOM_B05",0.195,0.002,0.003,0.102,1.179,0.173,0.149,0.339,0.537,0.049,0.011,0.2,6.993,0.874,0.03,0.053,1.047,4.606,0.421,0.016,0.007,0.012,0.03,0.039,0,0.004,0.006,76.311,0.005,0.445,0.165,0.129,0,0.004,0.025,0.002,0.052,0.001,0.009,0.004,0.005,0.021,0.015,0.009,0.248,0.14,0.04,0.003,0.058,0,0.295,0,0.001,0.054,0,0,0.004,2.317,0,97.435
"DOM_B06",40.195,0.569,2.391,0.684,563.726,7.605,11.544,12.893,90.993,7.415,2.71,27.003,10294.645,207.126,10.402,11.875,41.607,47.711,12.802,9.681,4.344,2.597,7.861,17.106,0.079,0.753,3.599,3895.495,3.929,126.921,145.58,73.354,0.244,13.431,19.417,1.157,41.023,1.714,18.378,5.81,11.177,52.081,21.467,8.68,93.426,37.925,27.294,6.965,8.442,0,524.999,0.002,0.476,3140.493,0,0,0.333,4178.065,0,23898.192
"DOM_B07",3.161,0.006,0.087,0.548,36.059,184.441,31.742,21.075,15.175,0.568,0.064,0.522,74.805,78.461,1.886,0.804,81.906,1020.654,588.419,23.31,0.656,1.417,5.322,3.591,0.006,0.02,1.812,86.673,0.223,80.329,2.548,2.768,0.001,0.153,0.479,0.018,1.829,0.02,0.066,0.018,0.015,0.37,1.439,0.945,1.332,0.401,0.239,0.143,0.831,0,0.01,0,0,0.004,0,0,0.001,1463.891,0,3821.263
"DOM_B08",72.421,0.494,2.603,0.567,55.147,18.131,202.468,29.398,76.435,2.202,0.251,14.635,100.485,225.175,4.762,4.726,841.862,141.133,23.462,6.654,1.436,2.791,5.083,3.848,0.019,0.142,5.505,146.964,2.469,1041.502,10.08,6.088,0.002,0.073,1.25,0.031,6.594,0.013,0.265,0.039,0.046,11.153,1.733,18.24,31.13,1.566,0.825,0.511,0.574,0,276.245,0,0.016,0.489,0.055,0,0.067,48.437,0,3448.291
"DOM_B09",6.622,0.035,9.57,4.117,3575.398,55.566,139.294,836.626,6.9,0.044,0.209,7.186,324.68,1.709,0.372,2.15,31.962,11.56,4.204,0.195,0.058,0.128,0.469,0.064,0,0.009,0.058,225.451,0.233,65.771,0.816,11.026,0.042,1.363,2.624,0.44,1.543,0.645,0.021,0.001,0.438,1.263,3.903,0.375,3.178,0.83,0.565,0.034,0.332,0,0.068,0,0,70.178,0,0,0,33.6,0,5443.927
"DOM_C10T12",3100.617,2.322,66.279,0.348,41.965,9.608,36.76,10.674,8092.158,103.218,15.303,103.969,90.206,848.115,260.206,220.421,156.842,46.568,10.64,21.659,28.415,15.441,34.143,72.987,0.381,1.901,23.684,50.975,10.384,237.054,508.879,41.636,0.407,7.78,15.662,1.009,4326.816,8.369,17.774,18.14,13.176,21.069,34.108,42.137,162.231,130.992,193.344,41.69,36.218,0,58469.735,0.259,125.166,110.299,46.791,0,120.909,26180.582,0,104388.425
"DOM_C13T15",122.694,1.528,27.768,0.267,28.892,3.252,3.812,5.249,304.35,2556.811,7.274,110.864,9.15,77.007,45.273,103.803,29.031,8.776,2.078,15.646,15.98,11.512,36.044,232.818,0.565,4.05,98.047,18.372,3.895,111.259,482.283,47.725,0.11,5.712,16.158,4.454,194.279,4.691,14.322,11.186,12.657,11.095,61.757,77.527,333.708,69.656,216.862,59.811,68.177,0,6125.419,0.027,3.841,28.128,2.055,0,83.708,811.697,0,12743.111
