"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",17421.501,117.126,97.53,22.476,11.897,26.891,7.427,5.23,26216.598,119.817,49.626,7.509,1.533,123.528,85.554,65.964,4.862,1.703,3.987,5.023,0.826,0.977,4.184,1.745,0.815,1.09,25.156,74.191,35.59,763.426,1207.316,59.32,7.379,11.663,68.332,9.048,4493.034,15.498,16.679,25.702,29.928,134.626,167.009,172.977,308.75,222.402,951.399,134.869,110.198,0,15315.449,3.995,507.404,3563.23,85.262,0,234.731,17807.001,0,90966.984
"DOM_A02",129.66,433.747,2.01,42.626,7.649,19.121,2.67,2.06,67.734,1.136,1399.5,64.243,0.31,6.173,1.388,27.259,3.53,0.675,1.601,1.424,0.208,0.252,0.763,0.423,0.242,0.266,29.61,79.832,3.179,134.528,63.846,9.735,1.561,4.691,5.317,1.788,26.24,5.611,5.34,9.22,5.29,6.579,13.009,13.061,30.151,12.069,16.373,11.723,2.747,0,126.327,1.754,81.14,6.417,0.199,0,6.431,78.366,0,3008.808
"DOM_A03",7.16,0.604,321.97,1.403,0.557,2.572,0.27,0.287,1396.954,0.044,0.062,0.121,0.05,0.489,0.393,0.132,0.181,0.047,0.157,0.219,0.033,0.055,0.126,0.111,0.061,0.054,0.259,0.427,0.519,4.561,34.021,1.189,0.56,0.431,0.893,0.165,515.098,1.006,0.827,2.166,1.313,1.985,7.101,1.525,27.12,6.67,31.909,2.942,1.673,0,1406.838,0.374,15.855,16.407,1.373,0,16.711,426.056,0,4262.087
"DOM_B05",33.438,1.629,4.159,1958.201,733.583,695.036,127.973,357.326,48.713,2.592,6.85,20.186,201.223,61.841,3.392,9.335,192.846,513.329,264.427,8.629,1.6,2.039,4.585,2.683,1.805,2.905,6.975,5810.826,13.248,457.857,106.94,69.036,3.341,9.111,50.41,13.347,15.824,8.166,8.201,20.941,12.055,27.831,29.995,22.743,57.737,36.98,30.404,5.9,6.944,0,97.153,0.017,47.733,444.762,0,0,11.669,80715.326,0,93401.793
"DOM_B06",22.7,0.712,2.644,364.525,757.213,387.876,82.752,171.274,50.269,2.304,7.091,25.598,4178.033,217.617,3.757,15.56,112.717,83.972,171.436,30.56,1.349,1.929,4.985,3.801,1.832,3.15,16.142,4780.616,41.928,522.73,137.848,40.613,2.193,4.589,40.627,6.439,28.116,9.537,14.629,21.731,16.757,102.542,54.133,27.649,97.086,48.542,50.287,15.231,8.701,0,3019.036,0.02,10.971,761.394,0,0,1.777,71013.244,0,87600.765
"DOM_B07",43.175,3.038,3.128,410.545,222.863,8045.446,209.909,151.876,64.794,2.751,10.581,13.596,70.562,124.301,8.17,11.386,311.67,2420.429,10047.28,140.09,2.764,5.143,13.616,6.858,1.93,3.226,23.844,360.731,47.366,1560.899,284.864,151.304,5.992,15.951,112.882,33.321,42.062,24.531,33.914,91.636,53.381,119.36,115.831,77.099,128.171,72.449,94.152,26.716,17.181,0,247.571,0.074,55.855,816.552,0,0,27.132,101748.395,0,128738.344
"DOM_B08",108.665,2.323,6.417,263.33,122.119,791.289,836.146,114.058,69.889,1.996,3.501,23.215,64.422,243.315,4.679,10.753,2324.433,270.114,324.366,32.024,1.451,4.227,6.986,2.525,1.155,1.799,18.237,297.672,94.37,10211.451,76.897,35.552,0.828,1.955,21.698,7.389,17.079,7.492,10.907,43.832,18.167,93.917,36.089,49.262,103.575,21.197,28.872,8.365,6.592,0,73.651,0.03,11.894,130.336,0,0,5.453,1123.026,0,18190.982
"DOM_B09",26.078,0.995,21.986,1683.61,4485.915,2299.514,603.506,2101.07,30.655,1.034,5.063,14.296,197.253,8.072,2.565,7.107,93.549,29.384,70.391,7.61,1.383,1.408,3.383,2.241,0.977,1.766,6.517,439.664,41.942,786.867,130.06,90.606,13.789,40.085,122.777,13.384,14.405,8.275,7.625,16.415,10.333,32.806,45.124,15.628,48.752,16.485,23.474,6.336,3.619,0,97.922,0.037,227.443,2517.534,0,0,4.079,309.394,0,16792.192
"DOM_C10T12",5744.925,5.55,242.761,46.848,28.721,77.485,15.569,10.08,8414.529,23.456,14.469,32.535,9.683,201.37,93.313,21.592,20.967,11.089,25.894,22.892,6.156,4.87,11.774,6.217,4.292,6.43,31.036,55.084,43.006,359.748,1007.842,80.974,18.663,19.765,65.406,18.502,8508.353,80.85,40.675,75.015,55.471,103.919,149.794,120.353,424.557,506.776,1258.034,292.289,80.868,0,44723.896,5.914,50.295,229.884,44.869,0,584.358,17082.139,0,91221.799
"DOM_C13T15",32.033,1.061,10.22,16.371,7.859,35.649,3.298,2.729,35.656,248.945,8.094,24.126,1.739,20.719,5.667,31.324,15.62,4.99,8.348,23.011,3.227,4.311,10.043,17.989,4.759,5.847,66.043,10.81,8.695,237.271,115.707,11.739,0.997,2.733,8.808,3.586,50.643,7.757,5.381,6.703,5.42,13.449,36.46,35.131,69.068,29.059,103.068,33.877,41.648,0,1768.899,0.12,7.911,142.042,13.086,0,43.115,682.55,0,4145.409
