"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",822.113,33.144,1.058,0.007,0.075,0.06,0.488,0.025,3999.769,33.211,14.256,2.238,0.447,33.667,10.968,10.282,0.876,0.845,0.597,1.788,0.985,1.585,3.653,1.039,0.039,0.464,9.474,23.533,3.246,26.366,121.588,4.678,0.043,1.538,4.19,0.778,489.206,1.849,1.015,3.945,7.393,8.884,21.69,28.037,25.298,12.319,47.694,14.259,11.992,0,3314.885,0.052,1.709,147.214,7.006,0,220.063,1634.969,0,11168.592
"DOM_A02",28.151,602.471,0.09,0.048,0.041,0.04,0.33,0.001,51.167,1.503,1826.715,77.199,0.032,6.58,0.494,19.851,1.79,0.618,0.489,0.409,0.029,0.157,0.581,0.157,0.026,0.058,63.683,121.215,0.195,24.321,24.808,0.242,0.002,0.017,0.177,0.039,10.088,0.231,0.115,0.394,0.127,1.707,0.669,1.118,5.941,1.302,2.125,2.644,1.349,0,445.992,0.007,0.086,2.02,0.604,0,0.071,145.043,0,3475.362
"DOM_A03",0.041,0.018,0.378,0,0,0,0.001,0,21.326,0.002,0.002,0.002,0.002,0.015,0.005,0.002,0.003,0.002,0.002,0.007,0.004,0.004,0.011,0.005,0.019,0.016,0.011,0.016,0.003,0.031,0.275,0.008,0.001,0.006,0.005,0.001,4.075,0.005,0.002,0.007,0.008,0.025,0.014,0.008,0.163,0.027,0.153,0.019,0.02,0,62.451,0,0.004,0.448,0.12,0,5.95,20.737,0,116.462
"DOM_B05",0.016,0.003,0,0.011,0.003,0.006,0.055,0.003,0.068,0.008,0.012,0.069,0.855,0.295,0.003,0.016,0.649,2.955,0.462,0.013,0.003,0.014,0.018,0.006,0.001,0.006,0.01,43.858,0.009,0.509,0.027,0.013,0,0.001,0.004,0.001,0.016,0.001,0.001,0.001,0.001,0.025,0.005,0.006,0.034,0.016,0.009,0.001,0.011,0,2.376,0,0.003,0.059,0,0,0.002,1.743,0,54.289
"DOM_B06",1.024,0.217,0.013,0.005,0.515,0.033,0.281,0.014,3.845,0.48,1.388,1.234,215.597,3.479,0.593,1.057,2.067,2.02,0.812,2.47,1.814,1.994,8.695,1.845,0.069,0.64,2.542,374.974,0.552,14.553,4.981,1.179,0.009,0.602,0.437,0.089,1.85,0.318,0.241,0.358,0.349,3.736,1.408,0.781,1.429,0.458,1.776,0.397,0.314,0,18.598,0.014,1.341,30.145,0,0,0.865,507.998,0,1224.493
"DOM_B07",0.001,0,0,0,0.001,0,0.007,0,0.004,0,0.003,0.002,0.003,0.016,0.001,0.005,0.057,0.339,0.165,0.336,0.02,0.082,0.188,0.069,0.002,0.027,0.039,0.044,0.013,0.215,0.008,0.001,0,0,0.001,0,0.001,0,0,0,0,0.005,0.005,0.001,0.002,0,0.001,0,0,0,0.008,0,0.001,0.009,0,0,0,327.006,0,328.693
"DOM_B08",4.404,0.481,0.057,0.059,0.284,0.72,39.426,0.333,8.004,0.348,0.264,4.515,12.405,59.52,0.34,1.259,313.187,82.795,30.165,5.559,0.51,2.7,2.768,0.6,0.019,0.195,5.843,85.138,3.894,440.98,1.826,0.667,0,0.01,0.243,0.016,0.622,0.005,0.015,0.007,0.01,7.961,0.634,4.028,3.491,0.153,0.16,0.137,0.243,0,71.003,0,0,0.008,0.299,0,0,375.065,0,1573.378
"DOM_B09",0.017,0.002,0.007,0.015,0.674,0.077,1.021,0.276,0.036,0.001,0.009,0.078,1.399,0.049,0.001,0.021,0.58,0.281,0.207,0.011,0.002,0.007,0.013,0.002,0,0.001,0.007,4.58,0.01,1.208,0.01,0.045,0,0.009,0.02,0.01,0.007,0.006,0,0.001,0.004,0.035,0.042,0.006,0.016,0.003,0.004,0.001,0.002,0,0.046,0,2.25,59.054,0,0,0.002,62.701,0,134.863
"DOM_C10T12",585.545,4.811,5.874,0.031,0.402,0.216,1.888,0.112,4133.347,17.379,12.956,24.354,5.602,134.697,30.155,12.16,10.816,10.974,7.17,19.209,12.85,14.732,29.294,10.237,0.325,4.197,27.84,54.851,13.017,57.841,341.34,16.843,0.374,6.31,17.053,3.507,3152.495,19.555,7.881,28.517,39.938,60.398,72.123,47.514,112.016,70.122,182.875,97.473,37.566,0,12466.679,0.069,16.308,57.569,28.567,0,670.516,11948.487,0,34744.977
"DOM_C13T15",1.521,0.297,0.033,0.006,0.055,0.044,0.188,0.019,6.664,58.957,2.349,2.338,0.616,4.34,1.092,1.865,1.79,2.98,1.422,3.362,2.779,2.491,5.359,3.954,0.075,0.829,13.308,6.884,3.327,11.123,13.852,1.519,0.008,0.5,1.021,0.556,5.23,1.172,0.791,4.536,3.019,3.201,8.917,4.914,6.912,2.041,7.53,2.7,2.631,0,34.111,0.016,2.594,23.876,4.816,0,2.268,3199.723,0,3478.521
