"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",735.258,9.443,0.957,0,0,0,0.33,0.001,6014.428,26.956,5.362,2.03,6.385,38.691,14.847,7.059,3.004,5.218,4.846,1.929,0.485,0.323,1.797,1.284,0.002,0.172,3.072,28.376,4.769,21.259,111.528,4.238,0.277,0.111,5.703,0.44,334.485,0.768,0.977,0.968,2.344,3.139,13.074,24.299,11.1,7.223,29.861,8.355,8.379,0,3263.711,0.014,2.615,30.283,15.586,0,23.228,3398.922,0,14239.912
"DOM_A02",5.897,39.208,0.02,0,0,0,0.037,0,14.812,0.257,155.871,7.569,0.061,1.662,0.171,2.827,0.485,0.165,0.223,0.077,0.009,0.014,0.082,0.045,0,0.007,4.089,6.729,0.07,7.125,7.509,0.076,0.011,0.01,0.159,0.02,1.908,0.153,0.068,0.379,0.198,0.183,0.591,0.488,0.905,0.286,0.379,0.584,0.337,0,88.049,0.001,0.092,0.624,0.99,0,0.012,226.379,0,577.905
"DOM_A03",0.033,0.004,0.225,0,0,0,0.001,0,20.975,0.003,0.005,0.007,0.031,0.034,0.014,0.005,0.009,0.011,0.011,0.01,0.003,0.003,0.01,0.01,0,0.002,0.009,0.01,0.008,0.082,0.277,0.058,0.013,0.031,0.192,0.007,2.476,0.035,0.007,0.024,0.028,0.013,0.113,0.033,0.075,0.032,0.08,0.02,0.023,0,95.139,0,0.127,0.196,0.207,0,0.829,46.752,0,168.304
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",2.792,0.041,0.013,0,0,0,2.257,0.003,5.911,0.815,0.643,1.278,9.914,28.902,2.202,3.813,41.394,10.993,7.842,1.647,0.624,0.433,1.134,1.355,0.002,0.123,1.344,3.681,1.426,85.959,6.351,0.652,0.063,0.162,1.852,0.115,1.094,0.508,0.555,1.402,3.447,1.934,15.163,4.15,1.218,0.506,1.551,0.585,0.97,0,6.463,0.001,0.102,4.486,0.332,0,0.071,596.133,0,866.403
"DOM_B09",0.003,0,0.001,0,0,0,0.03,0.007,0.015,0.001,0.001,0.004,0.395,0.01,0.004,0.003,0.035,0.021,0.027,0.008,0.001,0.001,0.006,0.004,0,0.001,0.003,0.082,0.003,0.142,0.022,0.01,0.001,0.004,0.019,0.002,0.003,0.002,0.001,0.002,0.004,0.005,0.021,0.007,0.006,0.001,0.005,0.001,0.001,0,0.039,0,0.01,0.084,0.06,0,0.002,12.283,0,13.405
"DOM_C10T12",996.357,2.44,9.765,0,0,0,2.212,0.018,8065.188,23.187,17.382,34.242,99.976,431.562,149.448,50.033,34.453,44.117,39.597,40.308,16.222,10.101,39.424,31.1,0.064,5.274,34.374,33.875,35.053,205.517,506.813,43.85,8.162,13.418,74.065,6.811,3215.772,25.085,17.832,46.68,87.022,43.034,288.869,120.055,93.037,73.642,266.475,88.101,52.137,0,17998.469,0.275,38.312,251.881,81.918,0,135.312,28928.749,0,62957.067
"DOM_C13T15",6.254,0.429,0.722,0,0,0,0.348,0.003,33.519,394.349,3.92,30.899,7.272,39.845,10.451,22.82,13.56,9.425,9.012,10.322,2.226,2.309,11.022,32.748,0.033,2.032,40.52,2.725,13.973,58.126,68.827,4.765,0.373,1.017,7.633,1.508,21.187,2.582,0.928,3.669,4.456,3.68,24.333,25.875,15.292,4.075,27.964,9.929,15.682,0,372.911,0.018,5.335,17.427,11.009,0,8.719,3511.192,0,4929.25
"DOM_C16",13.928,2.919,0.155,0,0,0,0.921,0.005,85.985,4.167,518.572,44.226,13.871,49.197,11.531,19.199,32.383,13.821,19.552,24.049,4.81,5.579,17.62,29.017,0.103,2.362,158.549,37.592,12.325,1137.201,89.281,13.123,0.52,1.398,33.005,1.211,17.942,4.511,2.926,6.401,11.611,25.118,63.219,31.425,8.671,6.553,18.238,6.948,15.996,0,222.733,0.019,7.848,45.888,16.11,0,4.348,2501.246,0,5415.929
"DOM_C17_18",13.669,0.488,0.247,0,0,0,0.644,0.005,369.505,10.152,17.677,631.664,24.69,84.367,54.133,22.104,39.658,14.714,21.952,31.073,12.921,9.436,29.62,19.372,0.03,3.66,32.528,20.712,21.274,83.396,379.851,22.863,1.924,4.193,45.225,25.833,39.567,234.239,31.546,96.586,205.187,19.751,446.496,226.608,141.707,103.155,91.192,47.916,67.235,0,504.441,0.051,7.514,42.164,14.053,0,19.639,3612.366,0,8000.993
"DOM_C19",308.1,22.473,12.045,0,0,0,26.239,0.239,517.567,50.89,74.117,94.283,5424.29,2577.364,143.454,204,215.666,395.319,212.219,110.339,25.607,32.625,81.952,102.435,0.149,9.606,132.853,1001.398,214.322,1006.355,1197.088,1944.05,285.752,1154.844,642.11,85.215,113.142,31.07,34.489,75.698,176.966,61.049,513.864,403.642,236.341,61.628,174.614,56.107,96.544,0,1835.104,0.124,25.848,148.08,50.283,0,21.46,17508.904,0,39929.922
"DOM_C20",582.925,5.327,1.862,0,0,0,15.784,0.102,635.535,189.737,134.803,252.898,1257.362,5610.552,463.215,953.443,290.219,224.307,284.565,187.751,67.163,60.298,131.763,175.868,0.37,14.333,180.456,194.745,262.391,796.774,369.914,185.739,24.569,95.235,140.033,11.618,100.365,35.345,13.014,49.717,58.995,67.276,336.233,262.688,82.395,46.026,232.171,36.347,125.839,0,1475.323,0.125,55.976,137.449,21.856,0,12.317,32238.908,0,49190.021
"DOM_C21",107.295,1.052,0.496,0,0,0,2.409,0.026,165.695,15.529,11.153,19.903,70.096,464.141,1932.655,71.146,24.064,15.082,21.974,19.323,7.696,6.012,22.912,20.127,0.033,1.903,25.979,12.595,34.339,137.667,126.662,34.576,5.439,16.198,38.685,6.081,14.723,14.224,12.34,44.572,32.063,10.516,240.431,77.322,97.524,23.632,1852.355,23.311,31.2,0,717.637,0.015,510.584,87.367,35.651,0,6.896,25610.734,0,32882.039
"DOM_C22",34.362,0.984,0.398,0,0,0,1.643,0.014,308.156,51.591,20.178,60.006,46.414,237.78,57.919,174.552,33.354,43.515,54.763,61.156,23.289,26.068,80.551,139.328,0.078,9.839,57.502,13.423,82.104,437.717,222.974,50.657,1.751,4.202,34.272,3.611,22.43,8.203,4.75,12.599,19.576,18.039,78.155,62.115,22.577,10.114,41.248,9.285,14.469,0,367.497,0.045,24.673,129.363,39.284,0,2.455,7175.867,0,10436.896
"DOM_C23",26.678,0.851,0.154,0,0,0,5.024,0.016,212.291,7.455,20.953,8.393,37.094,114.183,47.719,34.606,718.578,110.124,62.141,52.168,21.364,17.089,36.808,63.66,0.095,3.922,31.562,22.307,24.153,4254.425,105.615,15.755,2.042,3.011,25.891,1.856,31.901,3.218,3.718,10.406,17.726,86.386,87.684,38.287,17.089,12.899,38.662,8.025,14.181,0,474.122,0.076,11.009,164.853,11.271,0,2.019,3966.278,0,11087.794
