"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",15519.549,195.143,212.973,0.062,4.005,0.025,1.589,0.572,12333.64,1573.062,3.83,10.14,0.031,87.152,152.633,313.378,14.123,2.346,1.407,0.371,1.275,1.486,0.46,0.186,1.217,1.116,22.341,56.508,39.623,546.873,1533.548,81.359,18.878,9.04,21.451,1.239,1774.597,13.39,9.712,3.032,13.596,36.707,85.347,140.935,123.399,92.378,243.175,171.759,125.615,0,18056.592,1.352,66.03,3070.496,35.799,0,2.918,1731.308,0,58560.77
"DOM_A02",882.074,3227.668,29.846,1.015,12.501,0.126,3.013,0.085,245.121,129.366,137.533,279.692,0.02,27.813,11.508,873.499,92.338,6.374,4.396,0.455,0.107,0.759,0.216,0.062,2.614,0.528,223.283,426.704,5.465,975.181,581.598,14.407,4.001,2.265,3.854,0.433,76.139,8.78,10.954,4.646,3.488,22.8,10.392,15.503,74.444,23.176,20.715,85.1,36.471,0,2023.755,0.888,39.015,326.281,3.606,0,0.117,9.749,0,11001.94
"DOM_A03",85.536,7.418,6522.788,0.028,0.276,0.034,0.495,0.014,6316.917,16.704,0.051,0.377,0.018,3.196,5.329,3.317,5.153,0.592,0.694,0.252,0.331,0.752,0.097,0.021,0.737,0.1,0.788,1.718,2.897,27.626,333.089,12.907,22.911,5.371,4.493,0.04,2094.209,9.657,5.798,5.175,14.389,20.724,11.059,5.598,124.682,30.347,101.032,37.128,33.515,0,3814.151,1.037,3.603,15.926,1,0,0.263,83.849,0,19796.21
"DOM_B05",0.073,0.004,0.012,0.015,0.089,0.002,0.024,0.017,0.066,0.116,0,0.025,0.034,0.101,0.008,0.078,2.099,2.625,0.378,0.002,0.003,0.009,0.001,0.001,0.007,0.008,0.003,10.276,0.069,0.967,0.129,0.104,0.004,0.014,0.018,0.002,0.019,0.007,0.021,0.004,0.014,0.048,0.024,0.011,0.05,0.033,0.028,0.014,0.032,0,15.232,0,0.013,0.81,0.033,0,0,0.268,0,34.045
"DOM_B06",4.014,0.126,0.676,0.882,378.312,0.403,11.695,7.511,15.433,15.638,0.061,11.72,279.109,149.537,2.979,49.467,485.695,166.562,95.063,4.103,0.854,2.738,0.371,0.374,2.724,3.508,3.001,3236.083,19.676,114.811,104.813,53.485,2.588,4.668,22.752,1.466,2.63,2.661,3.244,2.14,6.596,23.613,23.04,7.996,19.085,7.395,5.516,2.925,3.429,0,877.058,0.008,5.498,48.604,1.804,0,0.026,10.868,0,6307.038
"DOM_B07",0.036,0.002,0.008,0.002,0.098,0.026,0.09,0.031,0.035,0.046,0,0.006,0.007,0.133,0.01,0.049,2.582,8.581,9.907,0.048,0.01,0.047,0.004,0.002,0.008,0.011,0.017,0.281,0.225,2.913,0.095,0.055,0.004,0.015,0.011,0.001,0.011,0.006,0.012,0.004,0.016,0.04,0.037,0.014,0.033,0.011,0.023,0.012,0.016,0,0.577,0,0.023,1.027,0.005,0,0.001,0.093,0,27.36
"DOM_B08",1.81,0.082,0.342,0.012,0.864,0.02,3.055,0.254,0.988,1.567,0.003,0.187,0.059,2.261,0.195,1.25,144.901,7.5,2.538,0.088,0.078,0.236,0.017,0.013,0.069,0.054,0.233,2.906,1.545,185.358,1.746,0.919,0.165,0.162,0.201,0.024,0.262,0.088,0.146,0.043,0.125,1.558,0.39,0.576,0.551,0.118,0.241,0.164,0.186,0,61.373,0.044,0.082,9.119,0.215,0,0.006,1.77,0,438.765
"DOM_B09",0.199,0.012,0.164,0.022,13.257,0.017,0.592,1.454,0.187,0.215,0.001,0.073,0.603,0.336,0.029,0.247,2.875,1.085,0.783,0.017,0.01,0.023,0.003,0.002,0.015,0.02,0.016,7.598,1.384,4.024,0.768,0.637,0.072,0.238,0.181,0.023,0.061,0.057,0.077,0.029,0.103,0.217,0.255,0.081,0.244,0.077,0.151,0.064,0.056,0,4.628,0.001,0.784,239.647,0.03,0,0.004,11.09,0,294.84
"DOM_C10T12",2507.086,3.664,266.248,0.034,4.517,0.03,1.206,0.44,1986.382,151.172,0.092,7.799,0.226,63.94,76.267,34.416,20.556,4.902,4.255,0.814,1.336,2.781,0.337,0.174,1.358,1.307,6.033,8.413,27.257,83.922,613.548,47.917,38.063,25.884,18.089,2.239,1527.637,44.986,33.181,16.71,33.142,41.787,44.149,34.309,85.371,107.877,190.45,156.928,69.677,0,33242.209,1.652,10.24,67.141,17.191,0,13.005,657.086,0,42407.431
"DOM_C13T15",85.494,8.384,131.605,0.865,57.3,0.414,7.923,7.29,70.334,31392.034,0.497,66.096,0.643,41.717,44.918,471.214,402.089,45.365,20.618,13.042,18.107,45.343,5.738,11.531,51.214,38.679,188.384,56.111,219.407,1631.536,1720.241,318.7,22.907,186.883,93.347,52.543,196.476,86,129.326,44.28,112.655,97.39,528.888,515.9,790.473,190.169,868.181,785.896,683.17,0,33021.982,0.765,5.562,369.695,122.228,0,9.287,30566.991,0,106653.826
"DOM_C16",2.259,3.467,2.088,0.002,0.1,0.001,0.019,0.008,3.207,2.463,0.215,0.61,0.001,0.196,0.16,2.517,1.597,0.258,0.144,0.053,0.072,0.183,0.017,0.025,0.225,0.093,1.635,0.697,0.788,34.731,3.069,0.746,0.063,0.167,0.258,0.016,1.01,0.214,0.196,0.072,0.181,0.741,0.629,0.307,0.35,0.187,0.436,0.359,0.503,0,105.716,0.005,0.099,71.473,6.578,0,0.332,27.858,0,279.398
"DOM_C17_18",6.924,0.792,1.721,0.006,1.48,0.016,0.178,0.111,33.747,32.185,0.099,114.675,0.022,5.309,14.668,31.27,50.448,2.129,1.98,1.025,2.307,4.81,0.39,0.28,0.749,1.415,6.42,3.436,6.623,55.789,101.743,15.482,2.451,4.305,6.149,2.457,6.196,110.795,16.94,16.992,42.032,8.003,60.177,29.624,22.205,22.88,22.636,13.51,16.736,0,898.138,0.021,1.724,34.236,3.644,0,1.024,24.992,0,1866.097
"DOM_C19",3.428,0.195,1.433,0.01,1.393,0.013,0.209,0.134,1.121,6.764,0.007,0.27,0.544,2.925,0.543,3.654,4.839,1.734,0.519,0.088,0.114,0.329,0.024,0.03,0.132,0.126,0.238,8.579,1.865,14.193,9.971,38.634,9.647,56.567,2.07,0.305,0.518,0.522,1.054,0.387,1.379,0.837,1.761,1.416,1.685,0.554,1.248,0.782,1.02,0,216.006,0.005,0.536,8.673,0.906,0,0.291,19.853,0,432.08
"DOM_C20",111.226,0.654,2.512,0.076,6.692,0.119,1.763,0.752,15.499,106.522,0.164,12.392,0.638,121.341,43.87,412.322,93.022,10.144,7.721,2.394,5.219,11.231,0.635,0.893,5.939,3.13,10.354,4.674,22.018,176.091,37.462,11.972,1.925,6.313,4.407,0.228,4.853,9.567,2.183,2.366,2.93,11.649,20.104,11.742,5.159,4.955,35.069,5.646,18.039,0,1031.4,0.055,2.804,32.956,3.464,0,0.469,84.922,0,2542.645
"DOM_C21",23.007,0.238,1.86,0.01,1.269,0.02,0.124,0.051,6.081,13.099,0.014,0.45,0.021,5.216,207.799,10.784,3.497,0.867,0.448,0.131,0.337,0.486,0.084,0.047,0.242,0.213,1.151,0.785,3.731,12.007,13.338,3.723,0.738,2.203,0.765,0.125,1.347,1.127,0.886,0.355,1.197,1.155,25.938,1.474,14.423,3.662,510.991,4.587,5.216,0,2390.056,0.221,156.029,67.281,8.896,0,1.3,135.778,0,3646.876
"DOM_C22",178.984,4.742,26.917,0.631,61.771,0.492,7.466,3.729,313.126,525.002,0.856,79.503,0.647,121.643,193.056,3614.543,412.098,30.416,37.531,30.667,91.181,252.877,18.873,36.172,46.849,114.659,135.794,21.698,164.204,5022.109,1623.561,913.025,30.541,64.338,74.522,7.846,30.525,56.941,54.108,14.53,53.042,136.489,184.605,126.908,43.825,37.175,116.81,51.398,95.69,0,2256.123,0.026,2.461,421.509,40.747,0,0.149,116.475,0,18101.605
