"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",592.712,6.178,0.367,0.288,0.047,0.842,0.334,0.06,1368.762,8.866,2.229,0.985,0.132,3.589,1.808,3.761,1.595,2.225,1.278,2.111,0.688,1.653,2.063,1.307,0.011,0.71,2.701,2.713,2.259,43.748,60.685,7.464,0.088,0.369,5.644,0.539,56.837,0.767,1.347,2.057,2.065,11.718,4.903,5.899,7.451,2.015,5.675,8.303,3.171,0,1425.915,1.502,5.717,190.438,21.5,0,31.921,3793.163,0,7713.178
"DOM_A02",16.391,75.177,0.031,0.276,0.012,0.281,0.106,0.011,13.02,1.138,100.338,5.195,0.084,1.113,0.295,4.022,0.837,1.211,0.577,0.744,0.379,0.721,0.788,0.794,0.005,0.335,5.37,1.894,0.191,6.924,8.951,1.561,0.019,0.126,0.501,0.073,1.701,0.132,0.142,0.265,0.145,0.613,0.515,0.543,1.027,0.202,0.805,1.56,0.312,0,263.277,0.014,2.8,10.122,0.378,0,0.709,97.869,0,632.62
"DOM_A03",0.135,0.006,0.142,0.003,0,0.01,0.003,0.001,7.075,0.041,0.012,0.021,0.007,0.039,0.012,0.045,0.029,0.058,0.028,0.035,0.018,0.034,0.037,0.028,0.001,0.02,0.033,0.03,0.012,0.352,0.207,0.064,0.002,0.007,0.031,0.003,0.618,0.006,0.008,0.013,0.008,0.065,0.031,0.021,0.059,0.01,0.047,0.032,0.013,0,6.399,0.001,0.154,0.929,0.058,0,0.624,14.547,0,32.225
"DOM_B05",2.757,0.137,0.003,15.89,0.094,5.445,1.615,0.311,5.979,0.67,0.308,1.743,2.614,5.343,0.097,1.021,24.552,98.519,20.571,0.281,0.1,0.589,0.562,0.279,0.004,0.298,0.287,179.298,0.33,10.032,3.936,3.143,0.006,0.032,1.046,0.131,0.582,0.034,0.088,0.093,0.074,1.072,0.327,0.247,1.571,0.518,0.34,0.229,0.335,0,38.174,0,0.381,6.62,1.019,0,0.349,23.913,0,463.992
"DOM_B06",0.272,0.015,0.005,0.447,0.239,0.733,0.45,0.076,1.613,0.077,0.106,0.465,11.68,4.326,0.031,0.408,2.968,3.138,2.717,0.324,0.027,0.122,0.108,0.118,0.001,0.077,0.24,26.661,0.202,0.732,3.007,1.998,0.052,0.45,0.882,0.072,0.112,0.023,0.023,0.077,0.057,0.281,0.29,0.212,0.419,0.08,0.082,0.081,0.047,0,0.073,0,0.02,0.14,0,0,0.011,8.484,0,75.35
"DOM_B07",1.747,0.096,0.009,0.134,0.016,2.282,0.561,0.035,2.786,0.299,0.143,0.211,0.088,0.65,0.096,0.385,3.396,7.968,12.778,0.52,0.172,0.439,0.772,0.976,0.003,0.186,0.462,0.582,0.457,10.351,3.455,2.216,0.009,0.047,1.012,0.16,0.43,0.061,0.131,0.13,0.136,1.605,0.507,0.364,0.864,0.177,0.393,0.316,0.136,0,11.063,0.006,0.766,21.163,0,0,0.602,1252.891,0,1347.243
"DOM_B08",2.167,0.116,0.011,0.24,0.028,1.081,3.059,0.077,2.59,0.309,0.177,0.352,0.456,1.921,0.141,0.599,22.382,4.048,2.171,0.567,0.247,0.662,0.956,0.542,0.003,0.207,0.677,1.708,0.366,28.994,4.371,3.231,0.015,0.086,1.258,0.259,0.338,0.086,0.113,0.167,0.159,1.101,0.477,0.679,0.64,0.133,0.4,0.299,0.223,0,14.518,0.001,0.821,9.112,0.799,0,3.216,214.464,0,333.819
"DOM_B09",0.106,0.003,0.023,0.964,0.782,2.505,2.055,1.362,0.089,0.003,0.008,0.068,0.198,0.02,0.002,0.047,0.814,0.278,0.304,0.012,0.003,0.012,0.013,0.005,0,0.003,0.008,0.831,0.018,1.407,0.07,0.263,0.004,0.021,0.105,0.023,0.012,0.021,0.003,0.005,0.006,0.038,0.055,0.013,0.027,0.004,0.008,0.007,0.003,0,0.134,0,1.904,28.581,0,0,0.057,11.689,0,54.995
"DOM_C10T12",219.267,0.336,1.028,0.053,0.009,0.118,0.116,0.01,588.116,1.231,0.215,0.919,0.025,4.432,1.791,0.688,0.56,0.196,0.311,0.299,0.181,0.448,0.387,0.161,0.001,0.122,0.912,0.232,0.486,2.192,60.012,3.056,0.317,0.42,2.664,0.21,266.75,1.664,0.622,1.984,1.582,2.2,2.653,3.238,7.808,3.754,7.948,20.491,2.421,0,2699.06,0.442,5.069,0.932,16.926,0,69.855,5413.99,0,9420.911
"DOM_C13T15",4.486,0.311,0.14,0.35,0.044,0.911,0.291,0.057,7.586,117.596,1.089,2.241,0.131,1.619,0.542,3.41,2.227,1.948,1.092,1.48,0.855,1.867,1.851,3.315,0.014,0.894,9.246,1.435,1.243,10.239,28.623,5.347,0.052,0.46,2.592,1.121,5.76,0.726,0.635,1.195,0.68,1.523,4.778,6.679,9.018,1.38,6.631,10.779,6.082,0,221.834,0.004,0.663,11.17,6.251,0,14.69,1775.368,0,2302.548
