"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",2875.667,20.248,3.516,0.014,0.335,0.006,0.266,0.128,5005.816,79.397,19.994,2.311,0.656,62.27,12.893,16.112,0.968,0.344,0.245,0.278,0.458,0.374,1.15,0.65,0.105,0.039,5.26,7.953,2.098,13.343,122.113,2.755,1.761,0.609,1.006,0.075,196.368,0.72,0.642,0.324,1.229,2.463,5.314,9.392,11.658,5.542,15.734,6.651,7.08,0,2297.817,0.948,128.746,148.966,8.031,0,3.948,939.181,0,12051.965
"DOM_A02",15.745,35.456,0.042,0.015,0.039,0.002,0.033,0.005,14.069,0.588,170.332,8.219,0.045,1.631,0.099,3.403,0.302,0.044,0.041,0.022,0.017,0.022,0.053,0.027,0.012,0.002,4.26,4.24,0.041,1.587,3.927,0.087,0.038,0.028,0.029,0.005,0.875,0.044,0.049,0.033,0.051,0.114,0.083,0.104,0.541,0.117,0.14,0.259,0.175,0,144.203,0.425,14.866,8.592,0.49,0,0.068,50.774,0,486.511
"DOM_A03",1.044,0.024,1.917,0,0.007,0,0.003,0.002,45.232,0.073,0.033,0.021,0.021,0.121,0.02,0.021,0.019,0.011,0.006,0.009,0.013,0.011,0.022,0.014,0.005,0.002,0.019,0.024,0.01,0.071,0.52,0.023,0.04,0.019,0.007,0.001,3.838,0.015,0.013,0.01,0.025,0.029,0.026,0.013,0.201,0.037,0.121,0.033,0.041,0,97.092,0.116,1.423,0.33,0.044,0,0.185,5.611,0,158.591
"DOM_B05",0.026,0.001,0,0,0.011,0,0.004,0.003,0.035,0.008,0.005,0.009,0.037,0.036,0.002,0.007,0.036,0.014,0.017,0.004,0.003,0.004,0.007,0.005,0.001,0,0.005,0.078,0.009,0.052,0.037,0.01,0.002,0.004,0.003,0,0.007,0.002,0.006,0.002,0.006,0.011,0.006,0.003,0.011,0.005,0.007,0.003,0.004,0,0.166,0,0.028,0.144,0,0,0.001,18.147,0,19.035
"DOM_B06",0.559,0.021,0.02,0.038,2.471,0.014,0.359,0.241,1.421,0.211,0.248,0.957,375.925,20.792,0.07,0.544,3.772,1.901,1.831,0.263,0.062,0.111,0.206,0.169,0.032,0.011,0.271,93.681,0.271,1.05,2.225,1.128,0.758,1.746,0.245,0.024,0.109,0.046,0.085,0.055,0.174,0.351,0.321,0.136,0.492,0.123,0.133,0.053,0.086,0,6.791,0.006,0.86,3.29,0,0,0.011,109.759,0,636.53
"DOM_B07",0.03,0.001,0,0.003,0.029,0.031,0.096,0.025,0.058,0.008,0.005,0.009,0.37,0.741,0.005,0.013,0.834,4.046,7.979,0.101,0.009,0.027,0.039,0.017,0.002,0.001,0.03,0.313,0.024,0.491,0.039,0.014,0.004,0.008,0.003,0,0.005,0.001,0.004,0.001,0.006,0.016,0.012,0.005,0.013,0.004,0.006,0.002,0.006,0,0.119,0,0.058,0.229,0.003,0,0.002,0.769,0,16.667
"DOM_B08",1.857,0.033,0.022,0.018,0.24,0.022,3.042,0.196,1.525,0.188,0.109,0.492,2.796,11.654,0.092,0.329,43.812,3.252,1.876,0.193,0.108,0.222,0.242,0.148,0.025,0.007,0.456,2.806,0.396,29.08,0.658,0.178,0.046,0.075,0.044,0.005,0.098,0.018,0.034,0.014,0.043,0.578,0.122,0.269,0.332,0.041,0.07,0.03,0.054,0,7.162,0.032,0.278,1.881,0.158,0,0.014,185.113,0,302.586
"DOM_B09",0.407,0.007,0.159,0.274,23.61,0.146,4.935,8.906,0.316,0.027,0.061,0.504,21.555,0.433,0.015,0.218,3.798,0.761,1.018,0.027,0.013,0.028,0.064,0.02,0.003,0.001,0.034,9.819,0.145,3.879,0.207,0.347,0.138,0.198,0.088,0.021,0.035,0.055,0.019,0.008,0.05,0.129,0.194,0.026,0.11,0.026,0.039,0.011,0.022,0,0.629,0.002,8.114,59.413,0.02,0,0.008,17.442,0,168.53
"DOM_C10T12",694.83,0.763,6.548,0.016,0.299,0.009,0.293,0.078,1402.253,12.595,1.693,6.222,2.718,73.642,10.323,3.443,2.545,0.775,0.879,0.881,1.047,1.136,1.934,0.896,0.206,0.087,3.448,3.333,2.301,5.831,106.534,3.649,9.507,3.705,1.896,0.186,490.247,4.957,3.166,2.637,7.783,5.47,5.796,4.086,19.957,12.875,22.368,18.715,9.601,0,4994.51,1.673,23.172,6.823,15.741,0,12.917,6231.954,0,14260.948
"DOM_C13T15",13.894,0.982,2.025,0.127,1.408,0.066,0.785,0.479,19.248,1335.569,8.454,25.609,3.05,29.645,3.907,26.447,14.083,2.323,1.813,3.67,4.528,4.902,8.739,25.145,2.1,0.44,84.656,6.823,7.813,28.3,108.038,6.751,1.775,4.78,2.844,1.585,14.871,3.63,4,2.184,5.427,4.14,21.235,21.533,50.758,9.457,38,21.55,32.4,0,2268.523,0.355,4.735,12.43,10.931,0,10.154,473.73,0,4802.846
"DOM_C16",1.584,0.47,0.026,0.002,0.036,0.002,0.021,0.009,2.929,0.786,10.221,1.367,0.165,0.934,0.118,0.455,0.512,0.161,0.109,0.208,0.182,0.209,0.38,0.404,0.087,0.018,2.47,0.538,0.224,4.193,1.584,0.247,0.084,0.166,0.09,0.011,0.327,0.133,0.118,0.07,0.211,0.266,0.361,0.169,0.291,0.157,0.495,0.14,0.212,0,13.807,0.018,0.968,4.255,2.559,0,0.104,1122.113,0,1177.775
"DOM_C17_18",15.149,0.324,0.363,0.023,0.775,0.033,0.372,0.156,155.567,18.358,17.995,638.694,2.742,52.474,17.697,20.753,28.371,1.625,2.784,5.042,8.242,9.856,10.566,6.411,0.679,0.316,26.456,9.505,5.043,15.441,156.576,7.947,3.736,3.351,4.334,2.642,9.616,132.92,20.337,22.946,75.144,8.52,71.563,33.078,53.985,32.511,25.141,13.315,22.991,0,193.552,0.031,6.693,4.451,2.506,0,1.536,498.847,0,2480.083
"DOM_C19",103.001,5.583,5.774,0.446,6.023,0.441,5.89,2.736,39.837,9.357,14.306,12.731,456.127,426.326,3.623,7.019,32.55,20.134,7.662,3.971,2.124,7.011,6.198,7.595,0.744,0.232,11.782,197.759,18.801,60.029,157.549,288.841,260.56,621.163,20.061,3.405,7.003,3.64,7.835,4.983,18.204,6.667,17.069,13.391,35.037,6.426,11.625,5.272,10.505,0,108.028,0.031,2.977,4.973,17.507,0,0.623,5120.475,0,8229.659
"DOM_C20",60.711,0.267,0.167,0.053,0.71,0.057,0.79,0.245,18.537,16.826,7.999,15.359,20.523,334.111,12.924,62.175,13.427,2.597,2.686,2.554,4.023,4.723,4.044,4.957,0.899,0.16,9.013,6.594,3.679,15.777,12.231,4.324,3.177,7.278,0.842,0.085,2.078,1.56,0.785,0.709,1.163,2.036,3.89,2.461,2.355,1.163,9.978,0.866,3.185,0,97.213,0.072,11.286,8.453,0.827,0,0.401,4923.282,0,5728.289
"DOM_C21",13.373,0.019,0.068,0.007,0.125,0.01,0.048,0.014,5.457,0.987,0.217,0.381,0.356,9.265,69.61,0.691,0.321,0.168,0.11,0.119,0.335,0.168,0.529,0.196,0.04,0.018,1.078,0.415,0.608,0.771,3.066,0.427,0.264,0.402,0.095,0.02,0.257,0.158,0.135,0.076,0.259,0.167,5.848,0.219,4.865,0.783,109.253,0.589,1.029,0,165.4,0.133,182.607,3.696,1.251,0,0.762,341.837,0,929.102
"DOM_C22",12.897,0.266,0.184,0.049,0.669,0.028,0.375,0.137,44.966,13.053,5.545,12.629,1.805,32.832,6.124,77.204,6.836,0.872,1.517,3.773,7.35,12.551,12.808,23.967,0.897,0.502,15.188,1.488,3.2,40.039,42.733,9.963,1.121,1.148,1.185,0.149,1.382,1.531,1.021,0.512,1.632,2.355,3.892,2.826,1.938,1.022,3.043,0.861,2.05,0,69.785,0.014,1.687,9.821,4.863,0,0.081,1276.141,0,1782.499
"DOM_C23",19.295,0.374,0.078,0.053,1.545,0.128,1.877,0.331,45.749,4.713,12.525,1.898,2.576,30.079,6.549,17.59,328.613,12.563,5.643,6.168,10.228,12.678,8.714,16.16,2.181,0.268,13.5,7.277,4.443,705.849,24.802,2.909,2.68,0.801,1.291,0.095,4.151,0.348,0.741,0.257,1.757,27.736,7.791,2.47,3.641,3.015,3.526,1.415,3.624,0,113.655,0.019,1.305,19.812,4.398,0,0.075,917.472,0,2429.432
"DOM_C24A",3.882,0.174,0.034,0.161,6.051,0.119,0.4,0.509,3.554,1.398,5.35,1.633,2.585,6.744,0.436,14.382,21.822,339.334,23.77,199.632,15.037,51.047,202.281,97.413,19.501,5.01,35.774,8.013,19.634,221.312,16.507,1.758,1.396,0.213,1.302,0.019,0.143,0.062,0.119,0.056,0.267,3.117,6.263,0.57,1.02,0.43,0.32,0.478,1.421,0,1.383,0.002,1.405,0.596,0,0,0.012,562.823,0,1908.673
"DOM_C24B",1.487,0.096,0.006,0.012,0.843,0.032,0.144,0.053,8.978,1.455,3.262,2.625,1.196,39.121,1.415,8.657,7.561,43.264,385.436,76.083,32.776,108.553,67.496,43.211,4.287,2.02,44.698,3.46,15.162,44.204,12.647,0.822,0.61,0.143,0.323,0.005,0.344,0.196,0.168,0.09,0.344,1.383,1.481,0.218,0.572,0.067,0.412,0.267,1.287,0,7.646,0.017,0.842,3.305,0.567,0,0.014,339.002,0,1320.363
"DOM_C25",8.846,0.414,0.098,0.127,2.075,0.068,0.559,0.598,21.658,4.609,9.484,2.852,2.246,15.811,1.325,7.67,7.917,10.959,6.106,43.368,7.748,16.628,59.723,31.252,6.93,1.283,20.673,4.301,2.863,106.121,20.007,2.25,1.125,0.806,0.955,0.05,1.237,0.643,1.344,0.524,0.782,4.349,5.137,2.329,6.614,0.881,1.389,0.746,2.308,0,57.215,0.032,3.577,80.179,24.747,0,0.077,1143.218,0,1766.829
"DOM_C26",1.685,0.071,0.036,0.01,0.313,0.008,0.075,0.066,2.573,1.069,0.404,1.03,0.859,3.564,0.51,1.012,0.955,0.406,0.433,1.354,138.814,21.581,15.601,8.098,2.063,0.331,7.12,4.185,0.867,10.063,18.5,1.148,0.893,1.979,0.801,0.165,0.667,2.883,28.382,10.06,2.745,0.872,9.346,2.849,4.015,1.915,7.25,1.308,5.371,0,184.841,0.134,11.069,240.694,78.225,0,1.139,511.92,0,1354.325
"DOM_C27",1.265,0.038,0.02,0.007,0.108,0.005,0.065,0.04,1.955,1.017,0.307,0.505,0.381,1.362,0.201,0.723,0.812,0.696,0.898,0.976,4.209,15.984,4.421,5.048,0.334,0.114,1.829,4.625,0.399,7.833,4.969,0.805,0.342,0.62,0.17,0.019,0.303,0.257,1.595,0.45,0.352,0.394,1.195,0.458,0.737,0.198,0.593,0.267,0.559,0,17.524,0.065,1.041,15.199,4.379,0,0.076,1427.157,0,1535.905
"DOM_C28",5.745,0.512,0.139,0.142,2.246,0.079,0.774,0.616,7.537,2.42,2.227,2.676,2.838,6.662,0.69,3.11,6.224,2.292,1.436,4.166,4.521,7.963,65.363,15.581,3.307,0.551,10.848,7.522,2.249,23.839,15.574,2.75,0.935,1.791,0.787,0.08,0.546,0.57,1.682,0.791,1.576,0.835,3.486,1.686,2.524,0.601,1.488,0.649,1.13,0,49.796,0.074,1.789,219.911,70.854,0,0.109,2641.418,0,3217.705
"DOM_C29",2.777,0.87,0.075,0.011,0.407,0.032,0.301,0.134,2.609,2.1,0.909,0.551,0.842,3.144,0.265,1.589,2.802,1.062,4.682,1.97,2.149,4.029,9.981,383.573,0.586,0.639,4.862,2.164,2.196,7.457,164.311,34.441,3.727,6.291,2.305,0.187,0.295,0.33,0.805,0.603,0.912,0.688,2.595,2.961,2.304,0.64,0.847,0.637,0.935,0,827.591,0.2,2.835,579.962,192.426,0,1.078,734.316,0,3008.987
