"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",25297.902,172.821,72.154,1.968,9.549,5.775,1.351,1.704,73949.291,824.394,73.171,27.442,9.198,332.179,89.396,103.049,6.057,1.708,0.789,2.364,2.431,1.876,7.466,9.141,0.224,0.452,45.238,95.814,14.48,275.782,1644.938,34.361,1.905,0.389,17.892,1.017,3437.495,3.302,6.681,2.627,13.355,145.366,38.135,72.105,277.075,152.409,231.378,97.094,142.838,0,36760.624,0.966,40.934,7655.193,205.774,0,27.899,61794.902,0,214241.822
"DOM_A02",630.341,1292.621,4.841,9.484,8.379,6.877,0.771,0.269,989.77,23.058,2024.07,366.774,3,36.416,2.946,91.609,7.293,1.823,0.825,0.88,0.176,0.411,1.298,0.777,0.099,0.072,117.744,220.081,2.391,106.741,213.158,3.518,0.176,0.067,2.466,0.179,82.093,0.758,2.369,1.562,2.611,43.688,4.39,3.913,60.081,16.309,10.622,16.061,22.633,0,2517.796,0.001,0.534,1087.119,4.466,0,0.601,1156.463,0,11205.473
"DOM_A03",3.494,0.257,86.547,0.028,0.058,0.184,0.012,0.001,1408.695,0.115,0.007,0.02,0.102,0.366,0.098,0.024,0.036,0.011,0.011,0.033,0.025,0.027,0.074,0.051,0.909,0.16,0.254,0.081,0.043,0.164,13.141,0.243,0.346,0.088,0.148,0.001,139.023,0.07,0.058,0.147,0.325,0.048,0.157,0.167,8.492,1.563,3.197,0.702,1.744,0,4063.327,0,1.069,1.955,0.514,0,1.787,78.531,0,5818.728
"DOM_B05",27.596,0.436,0.454,80.49,34.546,67.984,18.142,8.602,52.362,5.142,1.054,20.315,1090.159,125.061,1.407,7.342,290.906,386.83,46.167,2.901,1.454,2.887,3.155,3.463,0.159,0.371,3.745,2966.906,2.895,253.875,14.368,5.233,0.059,0.092,1.22,0.059,4.262,0.089,0.353,0.225,0.453,4.861,1.377,1.132,16.522,7.627,3.038,0.667,9.008,0,36.938,0.001,0.239,3.044,0,0,0.019,365.124,0,5982.816
"DOM_B06",48.989,3.234,3.697,14.804,346.89,45.505,4.838,9.634,57.384,5.104,2.712,25.601,25762.86,284.808,1.822,9.467,53.28,61.768,22.894,11.212,2.148,4.041,7.149,8.925,0.319,0.774,18.148,2521.205,21.282,534.007,172.08,110.909,4.845,12.353,28.677,2.381,11.545,1.778,14.625,4.54,22.891,396.202,36.359,13.755,174.542,41.192,28.746,10.214,22.45,0,134.936,0,0.111,7443.383,0,0,0.163,41909.369,0,80492.543
"DOM_B07",20.949,0.203,0.484,77.046,239.083,6217.484,90.118,84.305,96.311,5.114,0.701,3.241,2001.328,699.996,3.936,7.68,750.445,9497.492,7544.991,213.57,9.508,30.484,45.099,25.256,0.307,0.867,32.436,611.269,7.01,597.356,31.875,14.881,0.091,0.348,3.715,0.202,5.75,0.225,0.909,0.233,1.063,20.46,9.187,3.28,14.635,3.945,2.708,2.093,15.22,0,0.973,0,0.11,337.738,0,0,0,34259.069,0,63642.777
"DOM_B08",75.695,0.783,1.636,6.794,33.193,66.943,46.024,9.535,85.463,8.2,2.133,17.944,255.979,241.938,5.544,26.161,639.258,110.109,27.639,7.466,4.552,6.706,5.568,9.279,0.232,0.332,11.423,85.936,6.371,707.956,23.675,14.375,0.677,1.592,2.169,0.205,10.334,0.334,0.379,0.517,1.222,16.483,3.766,3.422,18.177,4.27,6.74,1.737,6.043,0,150.211,0,0.133,1.699,0.112,0,0.089,827.871,0,3603.023
"DOM_B09",3.303,0.039,3.868,47.075,1911.524,185.89,32.234,223.262,3.267,0.043,0.14,5.734,707.886,1.235,0.06,1.473,23.854,8.765,4.379,0.135,0.033,0.132,0.259,0.022,0,0.006,0.108,128.941,0.528,37.79,0.517,4.497,0.165,0.239,1.255,0.328,0.361,0.355,0.006,0,0.31,0.654,1.584,0.048,1.433,0.388,0.297,0.033,0.431,0,0.002,0,112.685,1624.218,0,0,0,80.771,0,5162.561
"DOM_C10T12",13074.676,11.171,270.514,14.589,90.59,104.926,8.791,9.745,36785.166,498.267,43.1,301.754,815.702,3413.2,267.567,711.14,113.602,38.827,22.716,66.606,58.645,66.773,77.987,112.825,3.681,5.45,144.692,68.414,51.798,210.608,2283.99,76.542,15.392,6.534,52.446,5.173,13798.404,44.103,34.321,60.918,119.982,69.295,115.962,114.269,699.167,631.893,788.15,486.396,491.111,0,132127.556,0,38.221,61.703,96.519,0,98.323,46308.857,0,256088.751
"DOM_C13T15",90.801,4.683,39.1,6.578,38.635,30.353,2.156,3.907,140.332,8779.249,14.392,283.386,34.105,180.9,18.221,206.37,69.336,14.114,5.654,29.506,20.082,27.149,49.191,291.405,3.986,8.245,437.751,21.316,12.365,162.901,747.692,32.545,0.989,1.756,18.526,6.565,134.955,7.315,8.747,11.225,23.099,10.99,92.434,82.396,340.825,82.897,299.783,136.131,288.188,0,27851.758,0,4.604,31.534,19.477,0,64.025,3008.132,0,44332.757
"DOM_C16",148.056,20.758,3.376,10.484,23.017,33.389,2.571,2.517,254.847,47.675,1662.601,376.883,7.901,119.066,6.478,43.752,101.752,10.032,8.574,47.982,16.729,32.896,40.757,108.171,8.411,4.449,1054.781,85.732,6.7,2493,402.924,34.785,0.396,0.534,42.671,0.647,48.046,7.743,5.501,5.62,9.957,381.945,93.56,27.013,34.904,37.774,35.509,24.324,132.626,0,638.444,0,0.06,30.235,7.369,0,3.712,3935.526,0,12725.161
"DOM_C17_18",211.292,3.275,11.052,4.793,67.731,56.748,2.915,5.123,3226.596,226.906,76.031,9182.203,104.156,476.85,188.084,228.368,235.006,28.008,23.093,86.757,106.751,111.984,149.919,143.671,2.024,8.892,285.255,108.965,33.09,216.764,2431.415,128.296,5.441,5.144,82.58,40.381,198.224,414.149,136.094,338.138,712.215,40.136,1027.648,480.798,1054.314,868.03,523.36,192.914,664.052,0,3497.073,0,1.406,161.232,24.87,0,10.519,8532.504,0,37183.231
"DOM_C19",4250.556,214.703,572.964,306.512,1911.833,2273.222,154.072,274.677,2640.434,211.688,185.351,551.264,44231.81,7257.26,107.429,164.726,833.414,1208.521,181.217,219.725,71.275,252.091,228.945,470.219,6.827,21.668,602.523,7330.112,445.838,2423.929,9419.229,18287.496,959.563,2566.247,1446.482,244.107,491.634,82.081,275.62,301.775,972.158,121.778,824.71,1071.807,3440.285,793.619,889.469,420.94,1213.76,0,28629.401,0,0.491,2.686,53.153,0,34.586,10780.715,0,162928.599
"DOM_C20",10212.424,29.77,43.701,127.394,701.937,1065.265,71.219,82.625,3671.987,2305.371,415.319,2323.338,8754.749,30278.025,1380.638,7773.639,1122.229,461.258,226.43,527.686,563.183,632.834,509.021,1073.418,33.386,42.827,1144.535,472.263,397.517,1592.386,1519.05,469.711,23.777,56.287,153.319,9.689,453.614,93.425,23.625,104.267,104.357,534.855,400.415,283.656,487.841,414.273,1647.902,171.375,979.009,0,16684.119,0.001,8.699,46.064,13.643,0,10.494,13384.511,0,116114.352
"DOM_C21",308.467,0.267,3.454,2.466,18.82,26.305,0.668,0.602,205.092,15.567,1.994,8.71,31.885,186.447,1273.822,28.051,4.36,2.658,1.225,2.279,3.466,2.446,7.908,4.85,0.132,0.239,16.818,6.934,7.428,9.942,73.012,8.886,0.497,0.603,2.462,0.538,16.451,0.978,0.444,0.645,2.669,2.303,99.049,6.949,236.793,48.554,4775.257,23.608,75.116,0,10915.794,0,976.065,4.192,6.244,0,6.635,994.614,0,20461.665
"DOM_C22",972.113,17.097,31.144,60.546,376.081,253.506,17.353,23.502,5148.676,1149.601,136.391,805.876,476.184,1747.979,369.812,4195.334,297.923,99.087,77.062,395.089,593.992,848.702,921.71,2719.675,16.755,96.188,946.225,118.211,163.216,2846.294,4279.939,1074.341,9.78,9.236,144.279,16.802,165.996,37.988,52.17,41.541,130.838,418.212,321.488,213.272,272.774,192.987,408.132,98.675,292.951,0,3882.891,0,0.378,217.345,15.212,0,1.281,2812.165,0,41031.997
"DOM_C23",388.829,6.253,3.25,16.617,228.528,308.694,23.05,15.368,1251.258,101.906,77.951,43.426,162.001,449.34,113.398,278.124,4378.583,357.637,68.56,177.892,228.995,231.659,173.217,534.202,10.749,13.476,234.62,147.093,79.839,13670.726,635.207,72.668,6.443,1.129,39.316,2.444,137.025,2.768,8.701,4.782,35.795,1111.717,145.402,39.787,151.898,172.411,158.539,44.078,173.262,0,919.609,0,5.062,65.751,4.119,0,0.289,1883.903,0,29597.344
"DOM_C24A",163.031,5.732,3.063,82.637,1377.174,517.356,9.453,40.043,274.919,54.879,58.837,58.718,328.568,246.484,17.881,339.798,433.141,14758.181,492.51,8166.216,510.757,1347.774,5714.746,4540.869,141.844,387.085,1127.233,327.626,280.824,6542.069,736.319,89.135,5.722,1.427,68.353,1.128,14.194,1.596,5.753,4.228,12.415,154.652,169.719,36.116,113.092,44.567,27.286,29.339,92.472,0,228.52,0,0.001,167.975,0,0,0.048,14506.841,0,64860.346
"DOM_C24B",117.879,2.384,0.694,8.83,184.891,109.79,2.885,5.306,340.631,48.414,27.291,70.647,157.234,734.25,34.734,200.065,118.177,1677.058,4759.281,2413.735,759.944,1997.126,1509.025,1556.92,26.556,120.96,865.211,106.356,147.661,1127.472,405.597,30.538,1.837,0.512,14.711,0.225,15.744,2.282,3.013,3.268,10.026,37.849,31.843,16.854,41.405,8.491,29.057,12.459,62.16,0,292.501,0,0.002,104.307,0,0,0.096,4764.903,0,25121.087
"DOM_C25",473.769,20.847,11.763,120.236,923.287,483.792,19.661,81.502,1821.841,186.409,176.047,141.358,455.157,586.552,58.858,339.882,282.133,1042.973,218.626,3663.839,494.468,902.262,3389.594,2787.238,100.837,197.563,1246.569,314.619,98.195,6072.045,1467.874,163.92,7.792,4.339,87.562,3.329,111.371,8.59,58.195,34.681,32.202,420.961,262.175,194.326,851.676,129.228,120.38,67.72,259.669,0,3012.469,0,0.099,2592.539,120.173,0,0.609,2556.051,0,39279.853
"DOM_C26",40.818,2.797,3.602,9.268,112.736,53.542,2.678,8.135,79.889,16.794,4.76,30.314,97.271,81.262,11.482,29.576,22.997,16.505,8.94,64.617,5520.179,704.229,582.578,427.596,18.296,28.088,349.058,221.947,39.613,372.438,933.153,61.977,4.319,10.197,48.179,9.855,35.307,55.215,825.901,498.854,181.281,15.125,328.534,121.639,332.685,202.299,501.849,79.599,367.132,0,8343.341,0,0.005,6804.483,317.721,0,10.284,1370.985,0,30421.923
"DOM_C27",91.328,2.492,6.033,17.964,100.379,123.731,7.594,18.147,145.31,24.363,8.63,44.486,71.364,88.713,12.217,59.743,42.773,63.566,39.086,162.973,818.687,3116.151,940.945,1333.986,15.577,59.234,649.222,1276.895,42.794,1935.694,1012.172,164.38,7.532,7.501,44.765,3.871,40.438,20.727,330.812,118.423,35.189,49.973,246.754,95.213,334.5,91.535,154.185,100.861,210.237,0,6024.336,0,0,5006.372,233.474,0,5.725,2895.377,0,28554.43
"DOM_C28",323.873,30.509,21.99,158.212,1170.177,663.138,33.161,98.931,569.679,122.708,42.526,159.289,612.341,228.462,29.174,136.849,253.19,213.529,59.128,353.517,270.803,558.106,4181.179,1362.906,49.7,79.842,1206.162,723.363,113.52,1502.951,1130.245,237.908,7.202,20.215,83.927,7.49,30.465,13.64,84.127,66.854,122.039,42.093,211.023,154.163,357.764,104.263,160.443,75.763,124.897,0,1685.967,0,0.104,21821.279,1003.044,0,0.956,7485.862,0,50360.649
"DOM_C29",83.001,23.729,5.53,9.074,120.016,132.313,6.284,11.828,129.397,43.487,10.225,19.736,91.998,73.353,7.641,56.055,68.794,70.991,23.945,106.245,83.972,169.762,400.005,19302.579,6.117,53.179,261.11,119.725,38.685,364.014,5088.844,1510.901,14.431,26.895,117.425,9.048,12.499,6.035,26.498,27.029,33.887,21.073,83.531,181.798,166.529,56.617,43.048,37.888,72.401,0,20567.121,0,0,18279.15,852.686,0,9.106,11309.298,0,80446.527
"DOM_C301",1.379,0.2,33.879,0.342,43.966,8.567,0.364,0.035,3.823,0.217,0.134,0.234,0.986,0.588,0.061,0.619,0.193,0.549,0.272,3.523,4.701,3.022,31.692,42.382,1013.858,177.389,234.889,2.143,0.659,5.885,39.95,84.738,300.32,88.857,65.145,0.394,0.408,0.077,0.042,0.116,2.489,0.058,3.721,8.33,689.947,3.285,1.343,6.09,22.96,0,559.208,0,0,2068.256,96.001,0,0,24.043,0,5682.329
"DOM_C302T309",1.418,1.473,8.781,1.575,3.091,5.204,0.095,0.57,8.273,0.342,0.309,0.244,0.27,0.953,0.06,0.758,0.701,1.031,0.341,6.846,4.899,7.456,18.708,251.101,25.178,800.774,212.001,1.887,0.522,9.957,142.958,340.079,11.295,124.933,18.554,0.483,0.427,0.024,0.125,0.402,1.114,0.086,4.553,17.144,321.14,3.168,18.667,2.339,23.466,0,931.161,0,0,2109.813,95.896,0,0,3415.327,0,8957.973
"DOM_C31T33",1500.249,49.109,83.174,108.266,1171.341,592.806,61.27,94.716,1311.776,328.082,77.166,326.157,1240.708,564.313,98.546,165.751,311.472,381.138,84.542,227.171,204.072,186.761,399.833,402.823,13.166,47.782,2036.772,1801.485,288.114,870.631,1791.614,1211.915,69.611,302.044,322.927,26.087,203.571,34.837,280.649,212.293,381.384,120.706,475.623,351.666,1039.71,613.288,1663.211,389.388,450.82,0,11349.413,0.001,8.597,6841.568,174.363,0,47.59,2261.854,0,45653.918
