"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",25.643,0.51,0.276,0.109,0.814,0.017,0.15,0.115,12.873,2.129,0.043,0.005,0.081,0.145,0.526,0.259,0.001,0,0,0.001,0.009,0.003,0.013,0,0.008,0.003,0.045,0.034,0.086,1.719,9.289,0.002,0.06,0.002,0.058,0.004,16.956,0.049,0.175,0.01,0.293,0.248,0.511,0.749,9.689,2.172,3.268,0.417,0.363,0,54.998,0.021,1.405,0.191,0.011,0,0.044,0.513,0,147.115
"DOM_A02",0.581,5.333,0.033,1.254,1.474,0.051,0.13,0.008,0.097,0.077,2.585,0.043,0.05,0.019,0.016,0.32,0.005,0,0,0.001,0,0.001,0.003,0,0.01,0.001,0.236,0.128,0.009,1.375,1.744,0,0.006,0.001,0.004,0.001,0.311,0.013,0.121,0.012,0.038,0.098,0.055,0.038,2.52,0.234,0.112,0.089,0.037,0,5.101,0.024,0.162,0.164,0.004,0,0.001,0.073,0,24.805
"DOM_A03",0.241,0.054,18.892,0.174,0.109,0.069,0.108,0.002,9.151,0.04,0,0.003,0.119,0.01,0.037,0.004,0.001,0,0,0.003,0.005,0.004,0.006,0,0.014,0,0.003,0.002,0.028,0.179,3.032,0.001,0.166,0.004,0.027,0,43.948,0.073,0.312,0.069,0.907,0.303,0.239,0.165,21.835,1.555,2.559,0.191,0.187,0,5.232,0.006,0.008,0.232,0.003,0,0.003,0.236,0,110.553
"DOM_B05",0.426,0.034,0.004,365.759,160.18,12.286,17.829,30.289,0.252,0.783,0.028,0.156,713.717,1.302,0.113,0.417,2.037,1.004,0.066,0.046,0.054,0.145,0.139,0,0.4,0.185,0.028,60.851,0.389,19.955,2.239,0.012,0.026,0.011,0.178,0.01,0.26,0.018,0.942,0.044,0.478,1.305,1.059,0.141,22.2,4.65,0.624,0.043,0.531,0,0.061,0,0.008,0.069,0,0,0,0.29,0,1424.073
"DOM_B06",0.051,0.006,0.019,5.356,209.236,0.884,2.655,3.667,0.037,0.047,0.007,0.02,1617.454,0.511,0.026,0.09,0.127,0.016,0.004,0.057,0.02,0.024,0.03,0,0.056,0.031,0.02,4.545,0.181,1.374,1.768,0.012,0.233,0.121,0.193,0.023,0.068,0.027,0.427,0.047,0.882,0.379,0.764,0.214,4.295,0.467,0.153,0.028,0.034,0,2.513,0,0.432,176.532,0.585,0,0.005,6256.022,0,8292.777
"DOM_B07",0.217,0.003,0.017,85.384,395.805,422.633,144.884,114.253,0.161,0.181,0.006,0.063,334.319,3.404,0.243,0.196,4.659,6.574,3.64,3.876,0.244,0.586,0.869,0,0.163,0.028,0.395,2.993,0.592,119.604,1.809,0.01,0.025,0.025,0.151,0.01,0.29,0.022,0.243,0.008,0.103,0.747,3.722,0.362,3.514,0.394,0.142,0.06,0.283,0,0.029,0,0,0.119,0,0,0,0.074,0,1658.132
"DOM_B08",1.86,0.092,0.192,33.09,213.713,19.224,321.207,58.061,0.226,0.271,0.008,0.071,168.42,3.644,0.228,0.426,17.838,0.344,0.056,0.414,0.196,0.43,0.307,0,0.184,0.073,0.455,1.949,2.27,577.619,2.485,0.01,0.062,0.024,0.154,0.007,0.387,0.007,0.388,0.009,0.13,8.343,1.949,1.901,30.813,0.588,0.181,0.084,0.147,0,5.322,0,0.004,0.583,0.022,0,0.001,2.6,0,1479.069
"DOM_B09",0.017,0.005,0.011,2.864,167.636,0.796,2.842,15.619,0.012,0.04,0.002,0.013,26.075,0.015,0.022,0.023,0.018,0.001,0,0.02,0.028,0.022,0.029,0,0.032,0.017,0.008,0.1,0.067,1.389,1.692,0.004,0.089,0.059,0.097,0.017,0.144,0.121,1.193,0.222,3.92,0.311,1.872,1.107,6.368,1.193,0.941,0.171,0.125,0,41.816,0.098,0.008,743.145,0.01,0,0.725,76.296,0,1099.468
"DOM_C10T12",0.314,0.001,0.043,0.02,0.245,0.007,0.032,0.018,0.286,0.011,0,0.003,0.127,0.009,0.022,0.003,0.001,0,0,0.002,0.002,0.002,0.003,0,0.003,0.001,0.002,0.002,0.006,0.092,0.334,0,0.014,0.002,0.006,0.001,1.265,0.014,0.105,0.011,0.155,0.04,0.053,0.029,0.647,0.213,0.178,0.033,0.015,0,54.041,0.002,0.334,0.491,0.055,0,0.085,7.381,0,66.761
"DOM_C13T15",0.021,0.002,0.014,0.042,0.438,0.014,0.029,0.031,0.009,4.11,0.001,0.009,0.055,0.008,0.009,0.055,0.004,0,0,0.004,0.006,0.006,0.009,0,0.036,0.012,0.059,0.002,0.007,0.255,0.368,0,0.003,0.001,0.007,0.001,0.072,0.008,0.048,0.007,0.091,0.047,0.111,0.052,0.717,0.064,0.165,0.031,0.044,0,17.443,0.001,0.089,4.037,0.202,0,0.06,30.567,0,59.482
