"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",8589.81,270.377,30.782,0.524,5.253,1.491,1.869,0.971,21605.461,70.949,131.925,15.68,3.548,103.469,41.625,60.746,2.395,0.813,1.808,1.326,0.697,0.53,2.857,1.735,0.094,1.169,25.638,4.568,4.898,116.016,552.657,14.082,0.696,0.299,9.182,1.376,2477.229,4.952,1.578,1.913,7.342,26.843,27.424,101.211,222.638,75.723,252.682,44.82,60.754,0,16283.183,0.003,0.333,70.025,65.476,0,46.893,22084.652,0,73532.988
"DOM_A02",911.64,4032.684,3.52,5.496,8.494,3.348,2.089,0.138,1737.105,8.534,6094.757,380.57,0.138,24.493,4.631,113.831,6.506,1.05,2.26,0.785,0.072,0.146,1.025,0.482,0.116,0.383,191.812,24.882,0.775,161.123,143.373,2.172,0.122,0.124,1.658,0.276,215.986,1.84,1.17,1.61,1.68,14.457,4.111,14.507,102.619,16.179,29.233,17.797,15.316,0,1352.212,0.004,0.091,67.622,5.336,0,5.161,2119.935,0,17857.475
"DOM_A03",13.259,1.165,58.483,0.022,0.075,0.117,0.044,0.016,966.283,0.116,0.078,0.042,0.021,0.329,0.147,0.099,0.051,0.015,0.05,0.057,0.012,0.014,0.05,0.018,0.01,0.019,0.118,0.043,0.088,6.201,14.308,0.217,0.056,0.014,0.224,0.011,213.209,0.214,0.12,0.211,0.655,3.198,0.486,0.384,18.116,1.926,7.175,0.752,1.288,0,1006.206,0,0.001,63.091,5.026,0,0.444,1500.28,0,3884.655
"DOM_B05",5.737,0.616,0.013,39.724,21.863,19.523,6.714,7.259,14.352,0.851,1.599,13.846,74.131,30.785,0.337,3.491,66.421,209.335,86.593,0.596,0.096,0.396,0.96,0.589,0.095,1.467,0.58,290.82,0.584,49.218,4.897,2.839,0.01,0.04,0.913,0.071,1.88,0.096,0.196,0.122,0.309,5.04,0.659,0.558,18.964,5.702,1.959,0.176,3.741,0,0.001,0,0,0.242,0,0,0,5118.66,0,6115.665
"DOM_B06",195.438,40.161,22.493,69.079,3922.161,205.926,130.608,154.204,300.5,8.472,61.783,219.842,20819.298,1461.585,13.119,85.675,449.069,371.904,593.235,87.757,6.042,11.346,28.397,38.813,1.862,31.216,68.995,2707.547,51.073,593.941,711.347,945.721,44.462,238.808,181.666,40.578,76.554,23.534,25.852,38.72,169.107,196.56,148.926,148.393,683.388,96.642,108.182,26.263,63.929,0,3490.867,0.606,2.038,139.699,0,0,26.241,102255.87,0,142635.493
"DOM_B07",34.59,3.566,2.184,34.076,1137.259,1532.871,166.798,227.991,104.216,4.943,11.48,23.692,106.705,199.553,14.036,22.918,357.819,3019.694,10550.884,128.3,14.109,9.231,30.18,25.948,1.009,15.911,41.193,47.797,14.176,867.191,404.677,48.404,1.769,7.361,60.201,10.111,77.473,52.856,66.152,105.049,468.255,290.602,373.484,200.332,347.698,78.573,109.84,45.333,68.344,0,178.343,5.281,22.913,744.636,0,0,16.852,10893.637,0,33428.498
"DOM_B08",221.514,6.236,2.168,11.156,119.412,92.567,330.596,43.948,102.629,12.438,26.982,84.681,59.26,564.566,29.408,205.346,1572.556,192.629,198.819,26.52,6.26,8.766,13.601,15.727,0.936,7.008,57.002,25.129,18.78,3883.024,33.792,8.2,0.134,0.433,5.927,0.436,15.31,6.871,0.98,2.968,5.056,96.571,19,59.132,89.936,10.782,41.561,3.873,23.756,0,483.94,0.02,0.108,79.556,4.717,0,6.901,4973.496,0,13913.12
"DOM_B09",14.801,0.984,12.991,136.179,10725.257,497.916,478.453,1786.064,17.237,0.409,3.287,31.101,296.159,5.607,1.288,10.366,119.551,31.793,69.546,2.338,1.025,0.808,2.627,1.664,0.083,1.703,2.597,73.594,2.975,502.448,31.056,22.377,0.681,2.186,13.105,4.632,8.479,7.604,5.604,13.243,37.501,40.046,36.174,18.421,46.697,9.143,10.964,3.725,6.035,0,18.665,0.308,1.932,2936.361,0,0,0.116,415.072,0,18520.979
"DOM_C10T12",5921.339,18.741,128.262,1.356,24.269,5.428,5.471,3.141,14420.836,21.868,13.553,63.917,13.078,275.646,85.724,21.621,9.835,4.052,11.971,8.261,2.782,2.783,9.157,5.056,0.354,6.56,34.78,4.306,11.862,102.504,1042.017,35.114,5.662,5.026,33.531,7.198,10258.843,59.362,22.161,37.995,103.338,140.89,75.547,105.147,736.435,367.418,729.203,173.247,145.143,0,63853.732,0.174,1.413,213.681,125.991,0,326.666,30511.258,0,130354.707
"DOM_C13T15",29.087,3.996,4.961,1.086,16.665,6.305,2.138,1.935,37.951,452.941,12.711,57.569,6.039,33.347,5.545,53.967,19.387,4.798,5.465,10.53,3.391,2.896,10.32,41.152,1.053,12.836,165.175,2.151,4.039,150.281,118.905,10.063,0.352,1.95,6.821,3.061,55.384,6.343,3.484,4.184,11.137,26.267,27.143,46.949,146.2,24.603,84.204,22.328,55.3,0,2271.418,0.022,0.741,202.894,26.76,0,29.348,2461.209,0,6806.789
