"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",912.31,20.971,0.303,0,0.001,0.008,0.64,0.006,6523.436,16.443,9.401,1.312,0.035,110.754,96.83,17.792,0.641,0.336,0.322,2.502,2.191,1.669,3.628,0.211,0.004,0.485,7.624,52.175,3.868,29.819,383.933,22.335,15.77,3.689,9.919,1.65,315.54,1.337,1.655,3.294,11.71,5.403,67.021,33.84,50.95,5.761,64.382,24.845,16.796,0,2430.952,0.033,585.94,151.248,-4.248,0,186.928,228.384,0,12434.781
"DOM_A02",12.197,151.033,0.012,0,0.001,0.005,0.303,0.001,25.911,0.343,500.507,16.907,0.005,10.197,2.195,13.79,1.133,0.133,0.127,0.568,0.314,0.369,0.536,0.045,0.003,0.083,27.107,96.287,0.275,33.37,49.98,1.397,0.896,0.236,1.347,0.169,3.837,0.247,0.216,0.48,0.544,15.303,2.805,1.47,6.673,0.458,1.635,2.838,2.137,0,106.139,0,0.082,57.604,0.176,0,0.203,63.488,0,1214.118
"DOM_A03",0.058,0.007,0.064,0,0,0,0.006,0,16.883,0.003,0.011,0.006,0.001,0.07,0.079,0.007,0.011,0.004,0.002,0.015,0.036,0.016,0.02,0.001,0,0.005,0.018,0.052,0.007,0.073,0.531,0.138,0.434,0.031,0.079,0.021,1.751,0.008,0.006,0.019,0.028,0.02,0.074,0.046,0.18,0.012,0.12,0.056,0.038,0,5.714,0,0.022,0.33,-0.111,0,0.406,46.77,0,74.177
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0.004,0.001,0,0,0,0,0.009,0,0.023,0.001,0.003,0.004,0.063,0.131,0.027,0.008,0.035,0.008,0.005,0.01,0.023,0.008,0.011,0.001,0,0.002,0.009,1.5,0.005,0.087,0.172,0.052,0.04,0.026,0.034,0.008,0.008,0.006,0.008,0.021,0.061,0.019,0.193,0.034,0.032,0.003,0.011,0.012,0.013,0,0.161,0,0.01,0.057,0,0,0.008,6.431,0,9.396
"DOM_B07",0.013,0.001,0,0,0,0.062,0.551,0.003,0.127,0.002,0.006,0.007,0.058,3.113,0.078,0.024,1.413,9.939,14.283,0.843,0.052,0.086,0.143,0.003,0,0.004,0.083,4.208,0.02,1.946,0.248,0.116,0.033,0.023,0.05,0.011,0.014,0.005,0.007,0.019,0.044,0.033,0.225,0.045,0.052,0.004,0.012,0.017,0.03,0,0.084,0,0.002,0.138,0,0,0.011,13.045,0,51.338
"DOM_B08",7.301,0.465,0.027,0,0.011,0.27,117.89,0.13,20.696,0.23,0.279,3.668,2.798,319.874,4.75,3.361,515.787,50.001,20.425,8.495,2.379,5.261,4.268,0.071,0.002,0.278,7.926,255.5,6.737,858.003,11.439,4.474,0.39,0.122,1.589,0.084,0.875,0.01,0.051,0.027,0.047,11.982,3.124,8.665,11.682,0.151,0.269,0.807,0.594,0,106.865,0,0.001,0.08,0,0,0.007,31.759,0,2411.975
"DOM_B09",0.005,0.001,0,0,0.001,0.002,0.169,0.006,0.03,0.001,0.004,0.007,0.018,0.059,0.034,0.009,0.076,0.013,0.01,0.014,0.031,0.011,0.016,0.001,0,0.003,0.012,0.842,0.006,0.229,0.229,0.078,0.047,0.025,0.05,0.013,0.011,0.009,0.011,0.03,0.085,0.034,0.289,0.047,0.05,0.004,0.015,0.017,0.018,0,0.076,0,0.706,35.58,-0.03,0,0.011,0.872,0,39.886
"DOM_C10T12",2232.951,5.605,6.033,0,0.008,0.043,5.743,0.027,15725.626,39.468,7.751,25.655,1.178,1270.141,753.421,19.286,7.231,1.644,3.399,10.064,11.294,9.823,14.991,0.275,0.015,1.831,34.991,81.737,20.903,43.695,2004.66,83.219,375.618,34.165,76.854,16.989,4554.621,37.351,16.611,67.421,78.783,53,205.638,117.966,365.663,96.861,610.692,463.466,156.069,0,21801.291,0.002,0.43,0.105,1.368,0,462.388,9088.405,0,61104.466
"DOM_C13T15",1.774,0.529,0.054,0,0.004,0.039,0.734,0.009,9.554,198.963,4.181,5.109,0.064,19.767,16.176,10.551,3.432,0.985,0.659,6.205,15.387,4.412,7.353,1.849,0.015,1.813,92.035,23.887,4.383,30.004,149.475,10.169,5.517,3.957,7.748,5.825,11.745,2.798,1.706,3.227,6.034,12.666,39.037,38.662,56.415,4.974,27.402,40.532,21.793,0,677.293,0.017,2.753,57.945,-36.261,0,16.048,2495.948,0,4123.35
