"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1023.735,23.457,24.5,0,0.004,0.449,0.16,0.015,4040.368,10.24,3.852,0.922,0.012,8.732,3.664,2.996,0.057,0.002,0.001,0.029,0.104,0.013,0.094,0,0.002,0.007,0.388,2.228,0.388,6.572,62.331,1.595,0.101,0.045,0.416,0.015,224.764,0.176,0.11,0.038,0.359,0.476,4.718,7.329,4.711,3.921,12.804,1.869,1.996,0,4955.045,0.016,0.388,406.975,17.951,0,9.325,5605.947,0,16476.409
"DOM_A02",80.329,573.199,3.781,0.001,0.016,3.255,0.309,0.002,197.814,1.053,724.506,77.618,0.014,2.771,0.354,8.181,0.625,0.03,0.01,0.064,0.009,0.01,0.047,0,0.005,0.004,3.05,19.262,0.064,11.607,19.323,0.295,0.023,0.014,0.08,0.006,14.835,0.109,0.169,0.096,0.115,0.484,0.621,0.931,2.777,1.014,1.365,0.91,0.543,0,510.948,0,0.031,71.936,1.025,0,0.305,237.864,0,2573.808
"DOM_A03",7.386,2.21,1557.543,0,0.001,1.819,0.103,0.004,4014.846,0.121,0.043,0.097,0.036,0.536,0.23,0.046,0.068,0.004,0.003,0.072,0.071,0.023,0.043,0,0.005,0.004,0.046,0.162,0.097,0.641,34.713,0.51,0.232,0.085,0.178,0.003,493.487,0.252,0.28,0.433,1.066,0.482,1.843,0.455,9.158,2.412,10.347,0.751,0.94,0,244.29,0,0.003,2.318,0.342,0,0.887,162.364,0,6554.092
"DOM_B05",0.007,0.001,0.003,0,0.001,0.05,0.005,0.002,0.027,0.001,0.003,0.006,0.024,0.006,0.001,0.002,0.012,0.002,0.001,0.002,0.003,0.001,0.001,0,0,0,0.001,0.37,0.004,0.063,0.035,0.018,0,0.001,0.003,0.001,0.006,0.001,0.004,0.005,0.007,0.006,0.012,0.004,0.006,0.004,0.008,0.001,0.001,0,0.115,0,0.003,0.131,0,0,0.001,0.29,0,1.261
"DOM_B06",0.381,0.157,0.258,0,0.232,5.357,0.74,0.451,1.57,0.044,0.19,0.359,27.921,0.255,0.053,0.081,0.286,0.039,0.01,0.1,0.121,0.027,0.051,0,0.004,0.011,0.093,16.76,0.076,1.31,3.116,2.251,0.02,0.072,0.419,0.067,0.158,0.047,0.11,0.072,0.29,0.113,1.154,0.289,0.319,0.181,0.419,0.036,0.055,0,4.833,0,0.002,10.209,0,0,0.083,196.913,0,278.167
"DOM_B07",74.378,1.037,5.383,0.022,3.484,11072.906,145.718,17.779,90.112,6.404,9.105,28.922,105.675,286.068,10.37,38.932,254.867,659.496,361.19,90.462,8.807,4.346,7.938,0,0.187,0.521,6.818,187.636,5.416,426.987,44.955,18.291,0.935,5.71,7.062,0.201,7.589,2.485,2.678,3.541,9.438,5.514,77.032,14.178,7.445,5.36,19.529,1.789,4.766,0,32.177,0,2.233,46.724,0,0,0.277,40643.031,0,54873.905
"DOM_B08",67.402,2.148,9.262,0.005,1.74,270.077,143.569,6.402,62.031,4.034,5.627,34.297,28.236,158.115,6.382,26.553,431.796,15.497,2.483,6.089,4.131,1.735,1.655,0,0.088,0.213,2.975,55.25,5.608,880.932,10.57,3.774,0.059,0.252,0.903,0.029,3.774,0.567,0.243,0.407,0.552,8.298,9.286,13.04,6.784,1.533,10.424,0.468,1.944,0,9.156,0,0.014,63.225,0,0,0.165,8063.399,0,10443.198
"DOM_B09",3.164,0.107,3.249,0.003,3.205,85.578,17.093,8.209,3.123,0.176,0.283,2.358,8.795,6.815,0.281,1.242,19.978,0.79,0.152,0.279,0.186,0.079,0.082,0,0.004,0.01,0.137,10.835,0.285,43.152,0.562,0.743,0.025,0.112,0.148,0.018,0.217,0.078,0.015,0.02,0.065,0.44,0.788,0.583,0.358,0.092,0.495,0.022,0.092,0,0.5,0,0.001,160.69,-0.06,0,0.008,346.876,0,732.539
"DOM_C10T12",1093.726,5.325,274.175,0.001,0.243,56.367,3.905,0.566,4575.861,12.779,13.54,42.59,9.324,111.952,19.572,26.147,10.614,2.232,0.572,10.427,27.671,3.551,5.917,0,1.026,1.826,8.006,15.909,5.166,65.177,284.469,33.434,3.134,10.124,7.738,0.589,1473.939,8.447,14.754,12.332,28.827,11.852,140.286,29.987,37.002,40.472,98.188,15.968,10.532,0,19858.553,0.003,43.908,97.922,25.626,0,38.374,13283.973,0,42014.598
"DOM_C13T15",6.582,0.944,11.165,0,0.047,10.19,0.612,0.107,20.503,132.202,2.759,15.735,1.075,6.551,1.147,5.652,2.728,0.395,0.092,2.133,5.047,0.685,1.317,0,0.217,0.463,4.415,2.363,0.925,16.734,41.21,5.614,0.309,1.59,1.113,0.222,10.27,0.87,1.946,1.038,2.668,1.551,19.112,9.215,9.072,3.206,18.643,2.844,3.466,0,934.872,0.001,1.367,14.901,1.071,0,4.983,193.503,0,1537.441
"DOM_C16",23.684,13.08,4.864,0.001,0.097,28.436,1.862,0.175,71.545,2.549,759.421,109.142,0.507,13.379,1.131,5.437,14.322,0.401,0.195,8.006,3.856,1.89,2.466,0,0.708,0.627,43.949,17.624,1.7,721.582,67.296,8.889,0.095,0.371,6.079,0.082,14.657,2.153,2.002,1.095,3.335,44.502,51.735,12.368,3.787,4.979,9.333,2.202,6.548,0,101.035,0,0.035,14.218,4.915,0,1.637,2918.921,0,5134.906
