"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",637493.912,11933.343,7640.381,347.247,113.548,87.056,404.342,42.228,811297.966,86429.159,3662.95,723.628,23.982,29718.836,10365.157,11691.452,367.752,39.143,58.916,130.575,533.664,213.073,1089.834,222.794,26.723,60.261,3366.755,3661.337,1161.282,21202.954,39096.635,1745.471,359.575,23.056,648.167,59.502,76599.526,143.793,63.767,123.593,308.212,740.178,6304.676,4029.812,7099.062,5091.828,5328.791,1852.99,1247.028,0,470140.557,30.96,1.099,43055.681,600.095,0,139.877,17359.384,0,2326303.565
"DOM_A02",3784.525,35705.773,115.241,1201.247,59.306,79.535,95.692,0.651,1686.404,641.833,86462.013,6892.447,3.579,1051.145,82.153,3921.703,512.197,87.471,57.235,36.464,3.166,17.895,64.197,10.905,9.12,4.185,4988.733,3932.434,17.58,4569.221,1386.236,32.084,8.521,0.769,12.576,2.452,335.982,10.827,12.043,39.969,9.545,61.188,68.467,49.173,491.304,142.802,48.954,108.649,52.856,0,4376.141,30.461,0.094,0.104,0.854,0,0,106.351,0,163482.45
"DOM_A03",551.631,129.884,56282.944,60.047,1.198,39.842,28.853,0.008,91964.459,65.201,4.004,11.3,6.005,202.12,69.728,14.832,46.615,7.15,14.183,34.934,30.507,32.752,49.341,3.594,4.564,0.652,25.982,23.466,22.335,210.824,2441.131,58.174,94.48,4.096,29.158,0.055,19198.078,23.007,11.643,84.744,94.752,96.845,139.343,35.363,1575.768,357.589,497.535,79.66,84.839,0,97725.881,7.08,0.036,30.521,19.469,0,10.407,1469.702,0,274108.313
"DOM_B05",348.129,27.457,3.621,43043.636,800.836,2395.34,1632.97,371.934,442.165,740.173,113.846,1308.087,16862.285,8773.936,72.826,623.369,27192.357,91411.165,11591.613,175.368,110.707,378.587,398.386,134.803,45.535,122.118,71.768,229217.252,124.121,8145.457,294.846,367.916,5.161,4.517,66.374,4.976,62.387,2.666,11.912,17.899,15.771,144.524,105.618,17.432,537.893,359.301,68.928,6.449,67.013,0,2057.784,0,0.026,0.102,3.48,0,0,1084.184,0,451987.009
"DOM_B06",36.002,1.025,3.33,3002.768,5296.298,738.592,1076.996,208.452,320.73,248.852,103.154,838.394,194940.283,16654.187,62.892,634.686,7824.314,6897.615,3676.507,1016.838,150.753,208.297,324.966,220.51,27.546,87.723,211.671,86988.802,234.8,1487.196,876.114,378.81,11.286,2.308,238.681,27.644,32.252,7.939,9.127,51.214,75.706,167.403,444.25,63.176,360.817,131.054,43.846,7.25,14.112,0,104.49,0,0.007,0.142,0.067,0,0,4288.143,0,340860.016
"DOM_B07",26.626,0.347,2.521,1501.16,297.026,12393.036,1992.497,210.583,60.208,41.922,3.409,14.109,1180.08,3442.236,23.574,43.955,9335.13,89872.53,96454.779,2236.261,74.722,229.382,372.748,71.327,2.788,2.755,152.948,1682.537,33.325,7330.416,30.501,46.674,0.751,1.619,8.427,0.774,7.373,0.444,0.464,0.48,0.49,11.864,57.934,10.056,12.782,4.57,2.085,0.957,5.369,0,0.008,0,0.007,0.059,0.01,0,0,7898.224,0,237186.859
"DOM_B08",424.274,20.692,52.512,1071.755,298.57,1029.963,8300.441,199.496,198.371,109.639,8.946,291.87,1099.65,6875.62,41.023,178.167,66829.29,8598.776,2619.385,441.445,111.912,313.253,244.826,51.781,5.834,13.359,328.356,1978.715,269.609,66190.551,78.765,69.641,0.833,0.408,14.897,0.77,16.109,0.159,1.245,0.636,0.651,229.588,57.398,116.425,207.906,12.24,4.739,2.62,3.796,0,183.3,0,0.006,0.146,1.186,0,0,3614.727,0,172816.273
"DOM_B09",24.003,0.906,119.78,4852.401,12710.448,1973.791,3764.186,2955.044,12.774,0.866,4.758,88.507,2205.063,32.21,1.992,50.581,1568.025,438.069,296.63,7.993,2.795,8.913,14.09,0.508,0.001,0.505,1.723,1884.199,12.961,2583.483,3.503,79.818,9.695,6.12,19.619,8.432,2.541,5.589,0.06,0.006,4.279,14.727,68.732,1.505,13.115,4.074,2.246,0.073,0.668,0,0.03,0,0.007,0.12,4.351,0,0,763.85,0,36630.366
"DOM_C10T12",211577.809,523.749,20064.01,768.936,426.27,304.864,704.933,71.056,356125.71,16021.803,556.625,4325.244,857.215,45822.372,10697.925,2826.388,2987.325,771.646,993.853,2290.805,2382.671,1895.439,3142.045,665.169,140.749,316.316,2856.278,1742.356,1712.999,12526.202,59096.978,3539.309,3660.248,456.232,2085.414,293.474,245396.479,1896.579,1296.829,4369.584,6270.857,3418.749,8890.384,2751.001,16402.641,17214.969,11202.47,5713.975,3074.317,0,1009362.626,147.31,0.93,0.396,502.2,0,552.693,67135.996,0,2180831.401
"DOM_C13T15",2161.51,486.75,4575.691,4471.281,1401.436,1574.039,1293.209,319.804,1808.681,943164.165,1935.012,15986.167,612.22,14151.54,2266.559,21697.704,16853.499,3137.45,1360.55,6851.515,6997.397,6750.72,10684.867,23156.018,1377.325,2602.045,49630.832,2180.741,3354.376,45284.349,27092.771,3515.154,278.445,338.002,1648.788,1404.96,6001.811,624.812,617.401,1797.946,1827.126,1537.298,17909.322,6415.532,22617.625,5618.951,12282.858,3701.337,6797.507,0,285889.638,32.711,0.008,0.483,1028.634,0,428.341,310968.667,0,1918503.578
"DOM_C16",934.444,422.386,90.224,936.894,126.433,305.23,260.355,27.925,919.207,1114.494,45697.013,5073.863,18.096,2699.488,181.541,1281.843,5864.944,401.386,499.187,2314.822,1168.888,1887.929,1769.064,2132.612,673.736,321.816,30308.985,1092.52,215.38,149718.943,2497.562,529.024,18.715,10.146,583.571,13.97,352.641,105.16,45.945,129.035,107.719,1785.056,2455.476,351.513,266.89,338.788,206.504,126.166,588.614,0,4612.919,0,0.033,0.143,41.278,0,21.094,16931.087,0,290578.697
"DOM_C17_18",1496.311,89.634,368.936,587.811,600.604,583.102,387.758,70.882,12570.832,7037.271,2740.795,212145.6,446.142,11959.066,6791.64,7243.265,16571.373,1513.076,1547.2,6246.875,11747.522,8875.676,8150.85,3392.233,239.73,1126.972,9076.736,2631.597,1749.82,14596.54,27930.143,3234.88,437.717,198.563,1770.184,1929.587,2005.756,12491.25,3074.931,14750.484,22535.601,2104.884,55927.049,9777.725,19863.983,17340.584,5625.006,2088.995,2932.223,0,37608.963,0,0.049,7926.535,1015.773,0,61.723,30804.115,0,636022.553
"DOM_C19",13285.42,2142.339,7640.107,13600.347,5467.828,10390.707,7744.213,1564.055,3813.1,2922.177,2703.541,4390.404,69274.332,94929.937,1527.309,2395.527,23572.077,26001.859,5282.643,5580.917,2548.033,7315.559,5352.542,4671.806,270.147,805.945,3489.171,53796.63,7378.883,71311.435,27294.08,139722.494,28265.709,32972.616,9728.297,2700.704,1675.751,545.78,1167.437,3490.318,5763.033,1723.553,11624.694,3877.091,13546.267,3583.259,2828.955,684.268,1703.957,0,24455.899,3.159,0.398,0.129,220.688,0,101.707,46102.218,0,824951.449
"DOM_C20",56648.777,469.403,666.663,9859.491,3437.493,8538.598,6285.663,807.219,9123.488,67505.606,10997.964,38600.769,17488.913,555245.916,35821.213,210794.997,56434.248,13490.309,10203.97,21454.705,36366.117,32267.354,19562.108,18456.241,2339.786,2663.315,25729.745,3459.185,8984.297,77696.804,7008.351,1989.907,304.268,198.17,1548.405,101.557,1777.827,1067.616,129.088,2044.674,884.888,3472.536,15513.129,3668.709,2925.555,3159.118,9334.352,585.002,2236.727,0,32607.727,12.728,0.846,0.168,118.41,0,80.274,196912.545,0,1649082.932
