"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",842.712,51.643,2.903,0.003,0.01,0.018,0.024,0.009,2599.666,32.818,2.575,0.134,0.033,3.995,2.073,4.402,0.043,0.003,0.092,0.049,0,0,0.041,0.014,0.002,0.003,0.785,0.493,0.079,3.193,20.68,0.47,0.065,0.021,0.37,0.006,29.255,0.069,0.019,0.044,0.057,0.192,0.374,0.92,4.281,1.057,2.917,0.158,0.581,0,7386.837,0.002,0.122,1671.562,22.85,0,1.379,5550.696,0,18242.803
"DOM_A02",24.492,816.583,0.226,0.056,0.028,0.083,0.03,0.001,21.354,1.411,318.168,6.698,0.021,0.734,0.086,7.743,0.299,0.028,0.42,0.068,0,0,0.013,0.004,0.004,0.001,5.72,2.767,0.008,3.632,4.298,0.045,0.008,0.004,0.038,0.001,0.649,0.031,0.017,0.063,0.009,0.084,0.019,0.054,1.538,0.153,0.133,0.045,0.109,0,756.924,0,0.057,2.541,0.083,0,0,9.127,0,1986.704
"DOM_A03",0.119,0.071,2.571,0,0,0.001,0,0,38.424,0.006,0.001,0,0.002,0.004,0.002,0.001,0.001,0,0.003,0.002,0,0,0,0,0,0,0.001,0.001,0,0.007,0.14,0.003,0.002,0.001,0.002,0,0.901,0.002,0,0.003,0.002,0.003,0.001,0.001,0.117,0.009,0.028,0.001,0.004,0,294.453,0,0,0.23,0.036,0,0.111,4.744,0,342.016
"DOM_B05",0.029,0.006,0.001,0.008,0.004,0.014,0.005,0.003,0.076,0.014,0.008,0.007,0.698,0.034,0.003,0.017,0.168,0.118,0.381,0.015,0,0,0.002,0.002,0,0,0.006,0.632,0.003,0.421,0.026,0.007,0,0.001,0.004,0,0.004,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.016,0.004,0.003,0,0.002,0,1.344,0,0.001,0.527,0,0,0,12.922,0,17.556
"DOM_B06",0.031,0.009,0.002,0.003,0.041,0.018,0.01,0.006,0.123,0.021,0.011,0.017,15.554,0.184,0.003,0.029,0.126,0.039,0.448,0.042,0,0,0.011,0.004,0.001,0.001,0.015,0.9,0.005,0.122,0.074,0.021,0.001,0.004,0.018,0,0.005,0.002,0.002,0.004,0.003,0.009,0.004,0.004,0.033,0.006,0.005,0,0.002,0,1.658,0,0.01,1.404,0,0,0,120.521,0,141.564
"DOM_B07",0.088,0.008,0.002,0.024,0.055,4.322,0.214,0.08,0.324,0.035,0.008,0.007,2.131,0.833,0.011,0.053,1.935,9.498,234.911,1.478,0,0.001,0.032,0.013,0.001,0.002,0.071,0.419,0.007,2.172,0.045,0.027,0.001,0.004,0.012,0,0.006,0.002,0.001,0.003,0.002,0.012,0.007,0.006,0.026,0.003,0.003,0,0.005,0,0.251,0,0.002,2.465,0,0,0,157.549,0,419.165
"DOM_B08",0.898,0.149,0.033,0.016,0.045,0.335,0.787,0.067,1.182,0.071,0.015,0.088,0.012,1.488,0.016,0.12,12.072,0.842,5.938,0.259,0,0.001,0.019,0.008,0.001,0.002,0.126,0.435,0.033,16.414,0.085,0.033,0.001,0.002,0.015,0,0.018,0.001,0.001,0.001,0.001,0.101,0.005,0.041,0.205,0.005,0.004,0.001,0.004,0,12.146,0,0,0.581,0.016,0,0,4.381,0,59.12
"DOM_B09",0.042,0.009,0.045,0.043,1.121,0.393,0.223,0.601,0.065,0.007,0.009,0.018,2.35,0.013,0.002,0.026,0.217,0.032,0.45,0.08,0,0,0.008,0.005,0.001,0.001,0.011,0.254,0.002,0.525,0.023,0.026,0.002,0.007,0.015,0.001,0.002,0.003,0.001,0.001,0.001,0.007,0.003,0.002,0.017,0.002,0.001,0,0.001,0,0.146,0,0.088,31.092,0.01,0,0,7.714,0,45.716
"DOM_C10T12",340.318,4.566,10.061,0.024,0.136,0.214,0.091,0.038,1174.596,8.445,1.02,1.5,1.516,9.458,3.309,8.171,0.962,0.109,2.875,2.272,0,0.014,0.704,0.604,0.034,0.098,2.043,0.428,0.28,7.192,43.284,2.176,0.94,0.854,2.142,0.049,197.528,1.636,0.481,2.195,1.828,1.565,1.033,1.205,19.854,5.75,7.883,1.517,2.503,0,6704.588,0,0.119,23.861,5.311,0,3.237,2304.963,0,10917.584
"DOM_C13T15",4.28,2.896,2.206,0.054,0.188,0.485,0.107,0.088,10.258,621.763,2.045,3.817,0.962,2.791,0.75,13.772,2.552,0.274,2.965,3.591,0,0.015,0.64,2.215,0.137,0.215,16.437,0.521,0.308,10.557,19.379,1.516,0.071,0.393,1.287,0.174,2.568,0.413,0.242,0.735,0.465,0.605,1.453,2.73,16.89,1.568,4.934,0.539,4.156,0,2243.372,0.468,0.207,47.659,2.97,0,4.303,72.687,0,3138.675
"DOM_C16",29.334,62.519,0.847,0.211,0.283,1.525,0.383,0.144,48.29,11.078,990.479,23.341,0.498,8.982,0.904,12.246,16.255,0.607,17.404,20.169,0,0.058,1.637,3.353,1.228,0.445,169.887,3.747,0.387,563.498,32.443,3.543,0.081,0.218,8.228,0.035,3.057,1.222,0.323,0.966,0.515,12.167,4.275,2.814,4.213,1.743,2.055,0.254,6.51,0,88.853,0,0.002,114.359,0.27,0,0.173,126.682,0,2404.743
"DOM_C17_18",4.847,1.449,0.356,0.015,0.146,0.308,0.062,0.039,85.374,8.475,5.536,79.987,1.299,4.125,3.448,7.63,4.68,0.243,5.655,5.809,0,0.029,0.808,0.605,0.049,0.172,5.828,0.966,0.395,6.366,38.314,2.33,0.196,0.454,2.607,0.506,1.809,33.853,2.257,11.515,9.961,1.439,12.557,5.135,31.576,9.359,4.576,0.506,3.051,0,261.124,0.001,0.492,8.419,0.409,0,0.424,7.917,0,685.487
"DOM_C19",131.705,74.473,22.843,0.979,3.902,16.624,3.661,2.571,88.592,10.095,15.234,5.928,485.71,83.078,2.441,7.276,21.11,12.584,59.191,15.63,0,0.073,1.591,2.36,0.158,0.358,12.156,47.56,4.001,86.243,122.686,298.69,31.86,185.374,43.892,2.148,4.777,2.282,2.563,8.348,7.338,3.528,5.596,12.482,64.841,5.858,7.058,0.717,5.732,0,721.79,0,0.104,2.355,2.124,0,1.16,1747.244,0,4508.674
"DOM_C20",63.837,1.878,0.238,0.081,0.281,1.558,0.341,0.151,19.275,22.951,7.05,5.599,16.023,63.331,6.499,72.519,5.888,0.753,13.062,6.867,0,0.037,0.67,1.08,0.156,0.137,5.693,0.43,0.87,11.445,3.764,0.522,0.05,0.15,0.809,0.01,0.919,0.74,0.035,0.564,0.128,0.853,0.771,0.892,1.652,0.6,2.18,0.058,0.973,0,258.533,0.103,0.08,3.922,0.099,0,0.161,446.921,0,1054.189
"DOM_C21",9.696,0.071,0.147,0.008,0.041,0.202,0.013,0.004,6.352,0.415,0.061,0.017,0.078,1.264,29.697,0.124,0.024,0.018,0.229,0.057,0,0,0.051,0.007,0.001,0.002,0.404,0.048,0.064,0.21,1.08,0.163,0.021,0.052,0.08,0.006,0.361,0.044,0.005,0.015,0.034,0.034,1.228,0.059,5.354,0.423,33.658,0.05,0.223,0,331.502,0.272,23.089,6.198,0.419,0,0.42,5.392,0,459.485
"DOM_C22",39.317,8.386,1.729,0.273,1.074,2.561,0.57,0.299,232.99,51.677,15.07,14.051,6.536,25.029,11.862,274.97,10.245,1.013,27.822,37.496,0.001,0.348,8.915,19.546,0.494,2.275,32.351,1.063,2.318,144.62,87.301,25.679,0.474,0.982,6.286,0.212,2.087,1.647,0.677,1.505,1.241,4.329,3.242,4.395,7.062,1.957,3.644,0.231,3.571,0,137.43,0,0,0.294,0.189,0,0.049,135.281,0,1404.666
"DOM_C23",17.091,3.283,0.165,0.078,0.713,3.493,0.803,0.214,48.805,3.182,9.936,0.443,2.195,6.303,3.647,16.855,172.087,5.696,31.578,18.367,0,0.1,1.695,3.896,0.378,0.321,8.234,1.499,1.397,770.854,12.928,1.665,0.343,0.07,1.818,0.032,2.035,0.083,0.111,0.154,0.434,14.84,1.38,0.995,4.318,1.974,1.313,0.111,1.335,0,16.076,0,0,21.303,0.021,0,0,13.702,0,1230.351
"DOM_C24A",0.731,0.342,0.02,0.053,0.596,0.67,0.037,0.071,1.129,0.415,0.86,0.132,0.637,0.299,0.05,2.862,2.151,31.207,26.399,124.767,0,0.082,8.466,4.836,0.698,1.37,5.092,0.478,0.488,48.114,1.842,0.265,0.038,0.007,0.423,0.002,0.018,0.007,0.007,0.016,0.019,0.309,0.145,0.089,0.294,0.067,0.045,0.01,0.213,0,0.488,0.001,0.146,2.09,0.02,0,0.003,11.802,0,281.417
"DOM_C24B",0.212,0.125,0.011,0.004,0.043,0.088,0.01,0.007,1.139,0.256,0.226,0.084,0.167,0.642,0.066,0.645,0.275,1.344,141.346,15.634,0,0.059,1.023,0.738,0.059,0.188,2.216,0.118,0.114,3.98,0.638,0.1,0.01,0.022,0.07,0.002,0.027,0.015,0.016,0.033,0.029,0.063,0.048,0.044,0.224,0.055,0.133,0.008,0.093,0,12.971,0.004,0.139,15.15,0,0,0.019,1862.881,0,2063.612
"DOM_C25",16.953,8.694,0.536,0.465,2.254,4.251,0.563,0.926,63.513,7.333,17.316,1.766,5.572,7.716,1.491,15.741,7.978,8.89,60.634,282.282,0,0.289,27.94,16.143,2.779,3.809,32.031,2.353,1.016,257.752,22.341,2.863,0.295,0.235,3.092,0.032,1.192,0.365,0.6,1.073,0.249,4.759,1.73,2.969,19.594,1.096,0.875,0.13,2.758,0,157.051,0,0.717,707.775,20.601,0,0.001,23.222,0,1834.602
"DOM_C26",0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0.001,0,0.009
"DOM_C27",0.029,0.016,0.002,0.001,0.006,0.014,0.003,0.002,0.061,0.01,0.012,0.005,0.015,0.011,0.004,0.022,0.06,0.01,0.072,0.115,0,0.01,0.079,0.051,0.004,0.008,0.099,0.098,0.004,0.697,0.109,0.019,0.002,0.005,0.011,0,0.004,0.003,0.019,0.021,0.003,0.01,0.01,0.012,0.046,0.005,0.008,0.001,0.021,0,0.121,0,0,1.915,0.055,0,0,3.063,0,6.986
"DOM_C28",1.564,1.846,0.14,0.102,0.824,1.3,0.277,0.164,4.292,0.758,0.839,0.429,1.201,0.764,0.22,2.358,1.116,0.291,2.376,3.264,0,0.024,6.34,1.444,0.241,0.325,3.898,0.753,0.2,8.939,3.033,0.634,0.023,0.073,0.404,0.011,0.045,0.074,0.095,0.264,0.154,0.088,0.223,0.512,1.043,0.126,0.193,0.02,0.239,0,1.246,0,0.004,261.35,7.57,0,0.001,50.949,0,374.662
