"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",126.034,0.274,0.533,0,0.001,0,0,0,970.808,11.006,10.927,0.015,0,1.526,0.828,0.004,0,0,0,0,0,0,0,0,0,0,0.972,0,2.451,2.332,0.361,0.002,0.001,0.002,0.003,0.001,87.261,2.853,1.719,1.946,0.006,0.051,2.461,0.602,0.062,0.242,6.368,0.053,7.344,0,3360.144,0.002,0.82,401.41,2.91,0,1.174,834.428,0,5839.941
"DOM_A02",16.283,8.458,0.854,0.041,0.004,0,0,0.001,39.446,0.803,67.06,1.303,0,0.032,0.011,0.046,0.131,0,0.001,0.001,0.004,0.239,0.232,0.251,0.048,0.073,44.968,0,0.03,267.132,0.473,0.037,0.007,0.008,0.051,0.006,2.694,0.059,0.044,0.043,0,5.775,1.235,4.376,0,0.049,0.161,2.35,0.133,0,1159.088,0.008,0.047,13.941,0.963,0,0.039,295.368,0,1934.406
"DOM_A03",1.921,0.156,1.572,0.001,0,0,0,0,88.692,0.08,1.183,0.024,0,0.006,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0.818,0,0.015,4.689,2.714,0.001,0,0.001,0.001,0,11.979,0.028,0.016,0.019,0,0.105,0.015,0.018,0.025,0.005,0.057,0.018,0.054,0,596.941,0,0.005,2.639,0.041,0,0.081,11.141,0,725.064
"DOM_B05",0.289,0.006,0.007,89.713,0.378,1.364,3.057,9.167,0.279,0.063,0.065,4.108,5.415,10.294,0.003,0.026,84.524,16.593,33.521,0.005,0.004,0,0,0.001,0,0,0.036,64.566,0.043,3.367,0.103,0.136,0.02,0.056,0.154,0.019,0.071,0.05,0.085,0.049,0.045,0.023,0.065,0.059,0.537,0.078,0.04,0.037,0.066,0,86.319,0,0.01,5.497,0,0,0,8.516,0,428.933
"DOM_B06",1.231,1.076,0.804,0.141,1.436,0.048,0.29,0.254,16.278,1.257,1.931,0.637,54.58,0.974,0.049,0.24,0.331,0.034,0.154,0.021,0.051,0.029,0.032,0.002,0,0,0.926,162.999,0.296,10.842,96.982,43.174,9.222,13.938,20.327,11.458,3.318,3.057,3.629,3.873,0.821,0.36,4.08,0.156,5.692,1.27,0.475,0.402,0.161,0,172.586,0.001,5.788,49.886,0,0,0.003,2393.688,0,3101.287
"DOM_B07",0.382,0.001,0.029,0.532,4.316,2.499,2.38,1.042,0.716,0.033,0.126,0.023,0.044,0.203,0.032,0.043,0.313,0.343,2.948,0.144,0.145,0.006,0.003,0,0,0,0.024,0.002,0.013,16.819,0.041,0.119,0.012,0.09,0.089,0.031,0.2,0.011,0.005,0.007,0.001,0.001,0.099,2.489,0.01,0.487,0.003,0.009,0.004,0,0.742,0.001,0.003,0.75,0,0,0.001,0.492,0,38.859
"DOM_B08",0.527,0.008,0.061,0.692,7.616,0.645,4.467,1.428,2.317,0.055,0.185,0.219,0.005,0.339,0.046,0.061,2.012,0.253,1.296,0.145,0.14,0.008,0.004,0,0,0,0.039,0.004,0.023,43.328,0.106,0.28,0.068,0.16,0.181,0.03,0.277,0.023,0.017,0.016,0.004,0.004,0.068,1.67,0.018,0.655,0.005,0.016,0.015,0,16.437,0.001,0.003,0.981,0,0,0.004,4.553,0,91.513
"DOM_B09",0.151,0.05,0.008,0.013,0.135,0.007,0.046,0.025,0.447,0.02,0.082,0.022,0.015,0.019,0.002,0.005,0.022,0.004,0.017,0.005,0.003,0.001,0.001,0,0,0,0.01,0.48,0.01,1.044,3.621,1.428,0.23,0.299,0.932,0.764,0.105,0.119,0.11,0.007,0.024,0.02,0.11,0.028,0.064,0.062,0.006,0.007,0.013,0,0.682,0.001,1.291,32.714,0,0,0.001,245.294,0,290.575
"DOM_C10T12",64.61,0.014,0.847,0.004,0.036,0.002,0.006,0.007,421.967,4.888,1.25,0.158,0,19.303,7.884,0.104,0,0,0,0,0,0.008,0.01,0,0,0,0.009,0,0.809,1.622,10.952,0.21,0.117,0.253,0.292,0.051,378.221,2.192,1.587,1.212,0.169,0.002,0.485,18.384,11.414,1.502,0.521,2.132,0.402,0,4365.754,0.001,0.775,4.237,0.926,0,3.258,544.259,0,5872.845
"DOM_C13T15",2.199,0.011,2.046,1.494,14.058,0.008,0.021,2.715,10.018,358.245,2.807,1.163,0.002,1.204,0.418,0.523,0.09,0.006,0.034,0.008,0.012,0.029,0.016,0.753,0.004,0.003,18.747,0.047,0.159,10.506,1.951,1.115,0.121,0.234,0.679,0.161,1.981,0.211,0.234,0.183,0.117,0.036,3.595,1.795,41.385,1.112,0.519,30.237,83.412,0,1246.227,0.826,0.566,63.924,0.517,0,3.658,152.508,0,2064.65
"DOM_C16",38.75,0.965,0.089,0.017,0.1,0.001,0.003,0.019,53.133,3.464,57.475,0.219,0,0.195,0.043,0.009,1.267,0.002,0.013,0.005,0.032,2.046,1.986,2.148,0.412,0.624,9.037,0,0.068,122.788,0.224,0.256,0.036,0.065,0.398,0.042,5.761,0.037,0.033,0.026,0.002,1.139,10.354,37.564,0.899,0.596,0.682,18.779,0.456,0,161.788,0,0.003,10.855,0.876,0,0.252,405.926,0,951.961
"DOM_C17_18",1.939,0.05,0.03,0.061,0.544,0.003,0.009,0.1,2.5,0.852,0.642,10.704,0.004,0.454,0.244,0.335,0.018,0.002,0.011,0.003,0.001,0.025,0.017,0.007,0.002,0.002,0.366,0.099,0.034,1.149,1.591,1.078,0.13,0.407,1.443,0.523,0.136,3.588,1.306,1.537,1.027,0.085,3.891,0.471,31.601,4.626,3.453,0.449,0.145,0,93.571,0.003,1.142,3.079,0.067,0,0.441,27.42,0,203.411
"DOM_C19",1.158,0.376,1.128,0.125,1.246,0.006,0.02,0.224,1.212,0.202,0.613,0.079,0.287,0.586,0.03,0.017,0.006,0.006,0.018,0.004,0,0.003,0.002,0,0,0,0.421,0.096,0.017,2.865,0.84,8.088,3.782,8.962,1.433,0.632,0.129,0.049,0.087,0.059,0.11,0.017,0.459,0.077,0.952,0.223,0.066,0.053,0.146,0,1.04,0,0.003,75.86,0,0,0.001,7.219,0,121.033
"DOM_C20",13.407,0.025,0.026,0.246,3.475,0.185,0.412,0.526,26.581,5.525,1.549,4.343,0.009,21.017,3.686,8.508,0.12,0.079,0.629,0.13,0,1.105,0.601,0.001,0,0,4.564,0.008,2.181,4.845,1.882,2.098,0.257,0.579,2.148,0.313,10.753,1.932,0.721,1.064,0.066,0.015,0.744,0.808,1.104,4.271,0.414,1.437,0.393,0,166.426,0.158,0.242,0.541,0.001,0,0.283,66.032,0,368.464
"DOM_C21",1.019,0.002,0.009,0.021,0.183,0.014,0.025,0.027,2.763,0.267,0.114,0.169,0,0.394,2.34,0.298,0.006,0.002,0.015,0.004,0,0.023,0.023,0,0,0,0.282,0.001,0.102,0.233,0.184,0.202,0.08,0.102,0.245,0.09,0.439,0.125,0.116,0.119,0.01,0.001,0.226,0.073,0.412,1.159,0.65,0.232,0.064,0,63.446,0.139,24.663,0.727,0.006,0,0.164,1.876,0,103.888
