"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",40.186,0.391,0.21,0,0,0.015,0.001,0,268.141,0.226,0.005,0,0,0.021,0.002,0.013,0,0,0.003,0,0,0,0,0,0,0,0.003,0.004,0.001,0.022,0.2,0.024,0.001,0,0.002,0,7.549,0.001,0,0,0,0.001,0.004,0.011,0.035,0.003,0.03,0.006,0.013,0,4103.929,0,0.098,0.183,3.792,0,0.919,1356.22,0,5782.265
"DOM_A02",0.874,4.051,0.013,0,0,0.06,0.001,0,1.678,0.011,0.401,0.002,0,0.003,0,0.015,0,0.001,0.014,0,0,0,0,0.001,0,0,0.018,0.017,0,0.053,0.036,0.005,0,0,0.001,0,0.129,0,0.001,0,0,0.004,0.001,0.001,0.011,0,0.001,0.001,0.001,0,383.394,0,0.002,0.061,1.004,0,0.003,438.426,0,830.298
"DOM_A03",0.017,0.001,0.364,0,0,0.003,0,0,7.795,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,0.002,0.001,0,0,0,0,0.462,0,0,0,0,0.001,0,0,0.003,0,0.001,0,0,0,499.548,0,0,0.014,0.006,0,0.044,0.425,0,508.692
"DOM_B05",0.413,0.017,0.003,0.069,0.028,6.973,0.049,0.069,2.6,0.041,0.003,0.003,0.511,0.109,0,0.013,0.07,2.551,8.541,0.001,0,0.007,0,0.007,0,0,0.002,4.751,0.004,0.292,0.032,0.092,0.001,0,0.004,0,0.072,0,0.002,0,0,0.007,0.002,0.001,0.05,0.004,0.007,0.001,0.007,0,0.116,0,0,0.057,0.004,0,0,2.185,0,29.773
"DOM_B06",0.035,0.001,0.002,0.004,0.135,1.713,0.026,0.031,1.279,0.005,0.002,0.001,4.669,0.164,0,0.01,0.015,0.154,2.157,0.003,0,0.002,0,0.005,0,0,0.004,1.427,0.004,0.028,0.061,0.074,0.001,0,0.011,0,0.036,0.001,0.001,0,0.001,0.002,0.005,0.002,0.026,0.001,0.003,0.001,0.001,0,0.016,0,0,0.014,0,0,0,365.158,0,377.291
"DOM_B07",0.256,0.002,0.011,0.021,0.083,307.302,0.505,0.325,2.687,0.004,0.001,0.001,0.311,0.367,0.001,0.007,0.192,21.701,612.846,0.079,0,0.028,0,0.018,0,0,0.02,0.306,0.006,1.117,0.028,0.096,0,0.001,0.004,0,0.094,0,0.001,0,0,0.001,0.007,0.004,0.01,0,0.002,0.001,0.006,0,0.001,0,0,0.006,0,0,0,18300.011,0,19248.469
"DOM_B08",0.098,0.001,0.004,0,0.001,0.214,0.019,0.002,0.474,0.001,0,0,0.002,0.005,0,0,0.01,0.017,0.171,0,0,0,0,0,0,0,0,0.003,0,0.081,0.002,0.002,0,0,0,0,0.068,0,0,0,0,0.001,0,0,0.002,0,0,0,0,0,19.853,0,0,0.004,0.5,0,0.003,164.67,0,186.211
"DOM_B09",1.166,0.024,2.489,0.339,17.725,246.063,4.799,22.891,2.325,0.01,0.005,0.008,2.919,0.018,0,0.042,0.162,0.54,9.695,0.002,0,0.006,0,0.002,0,0,0.002,1.707,0.02,2.006,0.02,0.834,0.027,0.015,0.047,0.003,0.176,0.022,0.001,0,0.003,0.018,0.048,0.003,0.055,0.002,0.008,0.001,0.002,0,0.064,0,1.671,18.231,0.01,0,0,10.322,0,346.548
"DOM_C10T12",49.631,0.079,2.088,0,0.004,0.213,0.005,0.003,313.913,0.5,0.003,0.003,0.006,0.131,0.009,0.011,0.002,0.005,0.17,0.002,0,0.007,0,0.005,0,0,0.011,0.008,0.007,0.061,0.949,0.202,0.046,0.007,0.027,0.001,126.954,0.036,0.027,0.001,0.025,0.008,0.021,0.027,0.405,0.039,0.25,0.147,0.072,0,15169.112,0,0.079,0.036,0.521,0,2.911,157.19,0,15825.969
"DOM_C13T15",0.215,0.028,0.111,0.001,0.007,0.622,0.005,0.009,1.383,9.238,0.004,0.003,0.003,0.007,0.001,0.01,0.002,0.012,0.139,0.003,0,0.011,0,0.037,0.001,0,0.039,0.009,0.007,0.098,0.272,0.137,0.002,0.003,0.013,0.002,0.583,0.008,0.013,0,0.004,0.006,0.028,0.038,0.322,0.009,0.135,0.044,0.09,0,1099.277,0,0,0.091,0.094,0,2.384,26.15,0,1141.709
