"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",4471.443,18.551,29.588,1.613,4.959,0.234,0.442,0.065,14057.054,144.771,13.266,5.577,1.068,54.067,18.939,25.286,1.165,0.271,0.051,0.494,0.537,0.4,1.439,0.528,0.019,0.11,13.059,13.638,4.411,62.155,420.797,7.062,0.101,0.372,2.826,0.249,1567.858,1.599,1.541,0.688,2.965,6.891,6.768,37.134,86.475,49.529,105.308,42.952,29.156,0,14289.653,5.625,33.801,2268.199,125.614,0,52.405,5024.496,0,43115.266
"DOM_A02",72.969,99.981,0.91,7.571,3.571,0.261,0.189,0.004,110.272,3.439,249.971,53.98,0.321,4.043,0.425,17.159,1.552,0.329,0.041,0.152,0.104,0.092,0.231,0.084,0.006,0.023,23.716,27.458,0.203,21.246,36.997,0.485,0.006,0.07,0.149,0.021,18.548,0.179,0.384,0.173,0.17,1.124,0.334,1.101,11.481,2.673,2.334,4.551,1.293,0,133.696,0.049,0.647,18.889,0.618,0,0.184,75.909,0,1012.371
"DOM_A03",3.259,0.054,30.718,0.354,0.901,0.087,0.052,0.011,280.579,1.505,0.138,0.957,1.432,1.977,0.406,1.126,0.755,0.584,0.043,0.415,0.64,0.404,0.635,0.365,0.031,0.114,0.592,0.984,0.25,3.788,12.408,1.287,0.018,0.378,0.213,0.029,61.259,0.158,0.508,0.178,0.261,0.399,0.45,0.407,3.656,0.795,2.9,0.746,0.786,0,1269.754,0.006,0.279,7.708,1.068,0,3.753,61.514,0,1764.072
"DOM_B05",13.432,0.23,0.211,663.056,115.316,18.44,7.59,2.288,41.261,7.594,0.958,25.139,808.443,73.725,0.805,7.084,186.594,586.195,17.325,1.253,0.548,1.699,2.277,1.14,0.061,0.652,1.358,3906.577,2.566,87.133,35.87,13.481,0.142,3.627,6.977,0.32,5.271,0.162,1.12,0.303,0.665,4.714,1.621,1.212,30.794,15.024,4.817,0.998,2.556,0,0.072,0.001,0.07,2.679,0,0,0.063,4490.807,0,11204.315
"DOM_B06",41.869,1.583,7.014,45.46,726.665,7.799,4.524,1.437,101.583,11.594,4.304,22.027,8140.678,82.735,4.065,11.309,36.5,27.002,2.638,9.334,4.381,6.042,8.287,8.803,0.11,1.516,12.804,1330.248,16.332,303.116,617.386,258.532,4.802,130.452,175.934,8.298,26.646,2.81,17.022,4.698,16.208,59.348,26.638,17.935,110.472,19.679,21.183,13.421,11.537,0,411.435,5.158,0.93,1596.713,0,0,1.158,11728.203,0,26268.354
"DOM_B07",0.804,0.007,0.017,3.816,8.036,16.007,1.443,0.206,0.993,0.217,0.039,0.222,9.105,5.67,0.122,0.799,10.253,93.907,22.421,4.617,0.186,0.527,1.793,0.729,0.017,0.166,0.734,4.782,0.434,21.276,1.019,0.235,0.001,0.013,0.111,0.007,0.212,0.021,0.111,0.017,0.101,1.272,0.408,0.18,1.192,0.276,0.329,0.114,0.211,0,1.226,0.109,0.016,29.637,0,0,0.008,2609.164,0,2855.335
"DOM_B08",9.133,0.085,0.515,9.637,24.426,4.721,21.906,0.703,10.617,0.674,0.063,3.42,30.809,34.066,0.299,1.686,263.503,32.758,2.495,1.494,0.249,0.757,0.759,0.234,0.005,0.046,2.366,19.642,2.708,395.905,3.1,0.788,0.001,0.032,0.171,0.008,0.996,0.018,0.07,0.016,0.024,4.198,0.362,3.58,6.585,0.339,0.397,0.262,0.348,0,1.984,0,1.682,0.452,0.023,0,0.06,58.637,0,959.817
"DOM_B09",1.898,0.019,0.112,2.007,5.277,0.946,4.538,0.148,2.428,0.171,0.016,0.72,6.417,6.913,0.062,0.283,54.585,6.614,0.469,0.325,0.072,0.168,0.183,0.059,0.001,0.013,0.501,4.108,0.566,82.201,1.046,0.222,0.001,0.023,0.048,0.003,0.278,0.009,0.04,0.012,0.019,0.891,0.13,0.753,1.441,0.082,0.12,0.074,0.086,0,1.103,0,0.703,1.105,0.01,0,0.01,6.774,0,196.804
"DOM_C10T12",2001.619,1.022,88.369,3.694,18.568,0.921,1.043,0.149,6231.521,47.515,1.194,19.944,12.871,109.94,28,10.02,6.246,1.812,0.398,2.838,1.797,2.028,3.516,1.316,0.039,0.39,9.618,7.338,7.527,30.9,548.122,14.867,0.655,3.676,7.914,1.177,4907.78,12.503,13.485,8.721,26.476,22.216,20.089,25.02,206.239,165.159,229.336,150.347,51.414,0,25957.874,0.339,132.376,20.608,33.711,0,104.82,6692.78,0,48009.854
"DOM_C13T15",10.735,0.367,8.836,6.477,19.95,1.269,0.619,0.185,22.359,1348.699,1.616,36.71,3.17,16.263,2.578,33.189,13.658,2.149,0.225,4.665,2.603,3.475,6.485,17.925,0.204,1.592,71.271,3.441,5.195,56.376,141.956,6.729,0.035,1.044,2.943,1.647,47.204,2.254,3.209,1.581,5.072,5.669,16.643,25.397,106.611,21.068,76.032,41.764,71.326,0,5403.304,0.009,5.318,119.67,81.005,0,83.499,962.216,0,8935.493
"DOM_C16",10.688,0.944,0.516,4.654,6.288,0.764,0.39,0.058,19.841,4.229,102.143,30.81,0.423,7.362,0.575,4.617,12.833,0.889,0.243,4.199,1.209,2.432,2.903,4.302,0.271,0.52,115.875,6.077,1.292,494.183,41.695,3.228,0.008,0.154,3.382,0.081,9.343,1.255,0.96,0.422,1.356,18.047,9.354,5.486,5.592,5.451,7.871,4.665,18.963,0,63.714,0.001,6.778,26.53,11.511,0,6.05,42.197,0,1135.628
"DOM_C17_18",28.136,0.303,3.323,4.305,35.761,2.379,0.855,0.208,472.203,62.904,9.794,1507.464,8.416,52.177,29.801,55.327,57.886,4.664,1.118,16.674,15.862,17.946,20.7,14.359,0.134,2.544,58.45,16.346,12.602,96.078,553.948,26.467,0.205,2.439,13.642,9.515,74.532,87.675,53.795,49.779,183.737,25.007,240.78,128.473,356.544,246.87,146.291,74.447,60.189,0,851.403,0.004,2.787,10,9.975,0,16.828,780.633,0,6614.682
