"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",401.803,0.468,1.051,0.002,0,0,0.081,0,1303.029,2.73,1.662,11.643,0.104,2.102,1.18,2.035,0.405,0.135,0.073,0.078,0.204,0.238,0.013,0.004,0.001,0.001,9.264,0.412,0.627,2.592,19.633,0.281,0.118,0.023,0.203,0.116,96.768,1.275,0.237,0.345,0.874,0.529,2.852,2.733,1.938,2.262,11.636,0.818,1.513,0,723.917,0.119,51.688,99.154,8.323,0,13.008,2258.472,0,5040.77
"DOM_A02",4.979,1.856,0.036,0.005,0,0,0.029,0,4.983,0.049,14.454,1.923,0.005,0.136,0.017,0.935,0.08,0.013,0.009,0.012,0.01,0.022,0.001,0.001,0.001,0,15.929,0.603,0.039,3.201,1.489,0.021,0.006,0.003,0.022,0.003,0.966,0.012,0.02,0.009,0.015,0.156,0.108,0.075,0.185,0.094,0.249,0.085,0.123,0,11.496,0.001,0.064,0.81,0.132,0,0.136,5.834,0,71.443
"DOM_A03",0.164,0.001,3.044,0,0,0,0.003,0,65.202,0.002,0.001,0.002,0.002,0.006,0.003,0.003,0.002,0.001,0,0.001,0.002,0.002,0,0,0,0,0.022,0.002,0.002,0.031,0.362,0.008,0.019,0.002,0.004,0.001,9.813,0.004,0.006,0.004,0.013,0.018,0.018,0.008,0.108,0.038,0.312,0.014,0.025,0,19.459,0,0.004,0.13,0.018,0,1.045,5.417,0,105.35
"DOM_B05",0.064,0,0,0.026,0,0,0.05,0,0.19,0.007,0.003,0.039,1.129,0.106,0.002,0.019,0.243,0.517,0.068,0.002,0.002,0.006,0,0,0,0,0.032,5.152,0.008,0.252,0.049,0.011,0.001,0.001,0.004,0.001,0.031,0.001,0.003,0.001,0.003,0.02,0.007,0.004,0.024,0.025,0.032,0.002,0.014,0,1.367,0,0.002,0.086,0.002,0,0.012,0.107,0,9.724
"DOM_B06",0.015,0,0.001,0,0,0,0.009,0,0.027,0.001,0.001,0.003,0.262,0.012,0.001,0.003,0.016,0.003,0.001,0.001,0.001,0.001,0,0,0,0,0.016,0.047,0.002,0.052,0.035,0.011,0.006,0.006,0.004,0.001,0.01,0.001,0.004,0.001,0.004,0.006,0.008,0.004,0.005,0.004,0.013,0.002,0.002,0,0.103,0,0.004,0.104,0,0,0.011,1.111,0,1.938
"DOM_B07",0.008,0,0,0,0,0,0.005,0,0.01,0,0,0.001,0.009,0.006,0.001,0.003,0.011,0.008,0.003,0.001,0.001,0.001,0,0,0,0,0.011,0.03,0.001,0.046,0.018,0.003,0.001,0.001,0.001,0.001,0.003,0.001,0.003,0.001,0.004,0.006,0.012,0.003,0.005,0.002,0.007,0.001,0.001,0,0.042,0,0,0.047,0,0,0.008,0.281,0,0.608
"DOM_B08",8.891,0.018,0.226,0.071,0.003,0.004,33.01,0.006,10.994,0.114,0.024,1.229,7.961,11.325,0.112,0.68,77.406,6.938,2.176,0.31,0.133,0.516,0.019,0.003,0.001,0.001,10.702,4.824,0.898,176.765,1.14,0.221,0.025,0.011,0.073,0.007,0.674,0.002,0.022,0.002,0.01,2.588,0.255,1.817,1.113,0.102,0.198,0.045,0.131,0,4.629,0,0.008,0.211,0.004,0,0.031,2.168,0,370.846
"DOM_B09",0.007,0,0,0,0,0,0.011,0,0.015,0,0,0.001,0.018,0.003,0,0.002,0.01,0.002,0.001,0.002,0.001,0.002,0,0,0,0,0.014,0.005,0.001,0.053,0.02,0.004,0.002,0.001,0.002,0.001,0.004,0.001,0.003,0.001,0.003,0.006,0.01,0.003,0.005,0.002,0.007,0.001,0.001,0,0.056,0,0.01,0.212,0,0,0.007,0.114,0,0.623
"DOM_C10T12",288.16,0.063,5.299,0.017,0.001,0.001,0.7,0.001,885.741,1.979,0.455,3.245,2.233,8.037,2.398,4.337,1.8,1.179,0.348,0.834,1.474,1.339,0.107,0.035,0.008,0.008,20.158,1.19,1.544,14.219,35.316,2.439,1.16,0.745,0.856,0.334,353.158,1.374,1.675,0.888,3.099,2.926,6.207,3.188,5.121,7.619,34.675,3.096,3.426,0,4477.347,9.949,70.015,26.329,5.55,0,49.563,2882.472,0,9235.438
"DOM_C13T15",0.984,0.006,0.256,0.003,0,0,0.075,0,2.034,15.279,0.071,0.925,0.121,0.43,0.102,1.253,0.312,0.067,0.021,0.088,0.145,0.181,0.014,0.018,0.002,0.002,20.556,0.111,0.13,1.977,4.734,0.203,0.056,0.062,0.125,0.104,3.173,0.107,0.3,0.377,0.538,0.378,1.367,0.948,1.212,0.527,5.134,0.527,1.279,0,166.948,0.004,0.177,1.603,0.278,0,10.176,126.548,0,372.048
"DOM_C16",1.233,0.025,0.025,0.004,0,0,0.061,0,2.397,0.07,7.718,1.293,0.029,0.283,0.033,0.313,0.419,0.033,0.028,0.104,0.09,0.194,0.009,0.007,0.005,0.001,59.17,0.218,0.055,24.045,2.066,0.106,0.01,0.007,0.165,0.007,0.916,0.052,0.048,0.02,0.056,1.058,0.782,0.301,0.097,0.172,0.602,0.088,0.569,0,17.035,0.001,0.024,7.321,1.29,0,1.196,56.314,0,188.165
