"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",33.265,0.111,0.024,0,0.001,0.002,0.006,0,110.007,0.164,1.784,0.04,0,0.053,0.255,0.092,0.02,0,0.001,0.009,0.001,0.001,0.001,0,0,0,0.053,0.469,0.045,2.223,0.911,0.013,0.009,0.001,0.126,0.002,24.253,0.045,0.014,0.028,0.107,0.177,0.06,0.182,0.097,0.126,0.481,0.179,0.143,0,286.126,0.127,7.623,8.82,0.429,0,13.311,165.897,0,657.914
"DOM_A02",0.559,0.207,0.001,0,0.001,0.003,0.005,0,0.504,0.007,4.363,0.098,0.001,0.066,0.035,0.095,0.042,0,0.001,0.012,0.001,0.002,0.001,0,0,0,0.078,0.473,0.016,0.4,0.07,0.004,0.005,0.001,0.023,0.001,0.338,0.05,0.005,0.031,0.032,0.01,0.015,0.016,0.015,0.013,0.038,0.026,0.015,0,3.733,0,18.063,0.054,-0.002,0,0.053,2.729,0,32.309
"DOM_A03",0.028,0.001,0.091,0,0.001,0.001,0.004,0,6.742,0.001,0.006,0.002,0,0.002,0.003,0.002,0.011,0,0.001,0.006,0,0.001,0.001,0,0,0,0.003,0.015,0.002,0.06,0.106,0.011,0.171,0.001,0.335,0.001,3.281,0.023,0.003,0.017,0.027,0.002,0.015,0.007,0.015,0.006,0.025,0.008,0.004,0,1.468,0,0.005,0.031,0.087,0,0.9,33.173,0,46.706
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0.016,0,0,0,0.034,0.011,0.036,0.001,0.137,0.002,0.01,0.016,0.241,0.089,0.007,0.013,0.327,0.011,0.027,0.039,0,0.001,0.001,0.001,0,0,0.007,13.487,0.02,0.229,0.099,0.019,0.014,0.005,0.244,0.003,0.047,0.03,0.004,0.026,0.046,0.009,0.027,0.014,0.013,0.01,0.014,0.006,0.004,0,12.142,0,0.92,0.052,0,0,0.012,1.072,0,29.597
"DOM_B07",0.029,0,0,0,0.011,0.817,0.286,0.002,0.124,0.002,0.002,0.003,0.007,0.09,0.012,0.006,1.742,0.661,3.404,0.401,0.001,0.007,0.006,0.001,0,0,0.017,1.325,0.015,2.774,0.03,0.006,0.001,0.001,0.031,0.001,0.061,0.029,0.007,0.032,0.098,0.007,0.055,0.017,0.005,0.005,0.012,0.007,0.008,0,0.044,0,0.008,0.024,0,0,0.015,23.836,0,36.083
"DOM_B08",0.389,0.001,0.003,0,0.012,0.08,1.346,0.002,0.475,0.004,0.007,0.03,0.008,0.204,0.019,0.02,13.977,0.074,0.112,0.091,0.001,0.008,0.004,0.001,0,0,0.037,1.788,0.097,27.274,0.073,0.015,0.108,0.002,0.249,0.001,0.104,0.011,0.002,0.007,0.014,0.067,0.017,0.096,0.037,0.006,0.009,0.008,0.01,0,3.783,0,0.005,0.044,0.003,0,0.071,18.506,0,69.311
"DOM_B09",0.003,0,0,0,0.005,0.002,0.008,0,0.009,0,0.001,0.001,0.001,0.001,0.001,0,0.018,0,0,0.003,0,0,0,0,0,0,0.001,0.039,0.001,0.059,0.014,0.004,0.004,0.001,0.064,0.001,0.005,0.007,0.001,0.005,0.007,0.001,0.004,0.002,0.001,0.001,0.002,0.001,0,0,0.058,0,0.018,0.141,0,0,0.005,0.411,0,0.908
"DOM_C10T12",13.048,0.002,0.07,0,0.004,0.005,0.013,0,63.819,0.021,0.026,0.041,0.001,0.096,0.333,0.022,0.063,0.001,0.004,0.048,0.006,0.007,0.006,0.002,0,0,0.314,0.163,0.076,1.126,1.35,0.032,0.047,0.004,0.322,0.011,63.208,0.574,0.079,0.479,1.198,0.087,0.31,0.199,0.187,0.509,1.907,0.673,0.206,0,677.104,0.188,2.206,7.015,0.216,0,29.988,586.9,0,1454.314
"DOM_C13T15",0.096,0.001,0.007,0,0.002,0.005,0.007,0,0.22,0.939,0.041,0.063,0,0.02,0.031,0.091,0.134,0.003,0.004,0.298,0.004,0.02,0.023,0.01,0,0,0.188,0.107,0.023,1.671,0.246,0.007,0.009,0.001,0.078,0.004,0.857,0.073,0.012,0.064,0.098,0.032,0.097,0.078,0.052,0.03,0.269,0.098,0.112,0,27.414,0,0.559,0.657,-0.268,0,1.535,3.198,0,39.322
