"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1298.91,75.805,6.052,3.757,0.006,0.753,0.736,0.184,4060.9,398.12,5.46,2.746,0.665,40.851,97.875,63.059,56.551,7.526,2.72,49.519,8.775,31.719,28.817,24.122,0.056,5.637,19.925,62.068,18.961,69.088,571.692,31.594,0.11,0.327,28.692,6.82,493.63,3.771,1.653,1.568,1.262,18.061,66.287,46.656,8.566,20.868,31.537,44.232,20.602,0,2498.658,3.887,10.332,85.895,14.168,0,49.129,2228.844,0,12730.207
"DOM_A02",33.223,429.059,0.249,6.753,0.121,0.034,3.748,2.072,100.363,9.9,742.876,91.005,0.3,11.316,2.665,7.945,4.807,1.982,0.7,3.3,1.198,2.214,3.11,6.302,0.007,0.514,24.467,106.948,1.285,22.389,20.954,3.05,0.006,0.034,3.558,0.51,13.94,0.647,0.411,0.477,0.975,12.711,4.577,3.151,1.638,1.195,2.245,1.994,2.755,0,330.689,1.352,15.266,7.281,5.073,0,2.309,1018.744,0,3076.394
"DOM_A03",0.524,0.048,0.521,0.004,0,0.001,0.003,0.001,1.544,0.122,0.031,0.034,0.002,0.067,0.037,0.072,0.051,0.046,0.009,0.11,0.076,0.086,0.09,0.203,0,0.021,0.07,0.07,0.038,0.203,0.422,0.07,0,0.003,0.072,0.012,2.502,0.033,0.027,0.132,0.07,0.205,0.128,0.058,0.04,0.033,0.144,0.059,0.031,0,8.499,0.025,0.069,0.606,0.196,0,0.377,62.642,0,80.54
"DOM_B05",4.016,2.057,0.032,3.84,0.407,0.384,2.006,1.041,6.279,1.233,1.327,5.458,4.249,32.147,0.334,61.541,17.188,143.454,16.287,4.16,0.744,2.15,3.034,5.062,0.006,1.149,1.943,494.539,1.707,6.48,8.626,6.166,0.007,0.475,4.714,0.542,2.212,0.398,0.924,0.976,1.305,16.584,2.685,2.034,7.866,4.768,3.926,1.576,1.554,0,139.177,0.012,2.24,5.497,0,0,0.95,443.836,0,1483.306
"DOM_B06",0.81,0.102,0.011,0.162,0.088,0.051,0.116,0.02,0.822,0.237,0.246,0.386,2.047,0.779,0.117,0.427,0.832,1.057,0.269,0.776,0.618,0.506,0.677,1.226,0.001,0.142,0.505,64.282,0.634,1.985,5.172,1.012,0.002,0.066,0.907,0.104,1.057,0.179,0.328,0.257,0.754,6.083,2.178,0.85,1.819,0.859,1.056,0.636,0.306,0,10.017,0.025,0.634,0.317,0,0,0.255,20.127,0,134.928
"DOM_B07",0.263,0.053,0.005,0.063,0.011,0.67,2.25,0.096,0.377,0.081,0.07,0.187,0.112,0.411,0.063,0.229,0.724,91.436,45.013,19.28,0.232,25.059,4.248,3.074,0.014,1.277,0.563,2.17,5.883,2.276,1.263,0.307,0.001,0.015,0.232,0.034,0.286,0.035,0.069,0.044,0.113,2.263,0.577,0.967,0.909,0.178,0.504,0.161,0.135,0,3.403,0.009,2.882,2.888,0,0,0.038,10.487,0,233.988
"DOM_B08",3.298,3.156,0.157,0.755,0.009,1.456,35.62,1.643,3.683,0.288,0.891,1.021,0.059,19.191,0.413,1.657,235.209,83.329,24.662,3.314,1.723,1.815,5.303,9.469,0.009,1.006,1.263,2.969,7.189,190.931,8.06,4.01,0.027,0.071,4.702,0.634,1.17,0.267,0.405,0.263,0.962,21.825,3.253,8.461,3.311,0.503,1.008,0.845,0.386,0,36.897,0.192,2.663,14.194,0.296,0,1.567,223.608,0,981.064
"DOM_B09",0.448,32.855,0.181,22.623,0.964,0.051,26.265,16.582,0.951,0.149,0.595,0.502,2.094,1.112,0.091,0.463,3.867,1.549,0.589,0.888,0.328,0.702,0.685,1.866,0.001,0.182,0.635,2.889,0.718,8.908,2.416,2.127,0.003,0.077,2.789,0.297,0.281,0.086,0.101,0.078,0.125,2.713,2.052,3.926,0.73,0.308,0.378,0.176,0.206,0,5.328,0.007,0.68,3.778,0.01,0,0.641,19.106,0,178.151
"DOM_C10T12",919.404,24.647,3.409,1.196,0.098,0.148,0.939,0.138,1703.611,14.106,8.834,12.208,0.684,81.984,10.148,41.984,16.374,15.372,3.32,35.441,25.221,20.413,29.198,63.165,0.052,5.767,17.265,15.164,14.321,39.823,321.264,15.738,0.406,1.887,13.84,1.237,795.301,6.924,3.255,9.159,12.14,58.456,42.588,57.694,51.091,47.188,118.014,26.29,15.682,0,8022.741,6.805,17.742,84.484,32.82,0,116.651,6097.094,0,19100.92
"DOM_C13T15",10.211,10.856,0.191,0.732,0.007,0.11,0.222,0.055,8.707,123.637,2.005,46.873,0.165,7.951,17.662,51.552,14.665,2.618,0.656,12.68,10.025,16.634,18.879,261.727,0.049,5.678,33.298,5.544,6.594,31.516,59.494,12.647,0.051,0.167,3.265,1.664,10.841,10.703,0.959,2.903,2.35,33.867,17.52,32.484,11.026,3.699,47.701,9.375,10.376,0,748.492,0.617,16.755,20.893,12.628,0,21.182,1877.76,0,3670.917
"DOM_C16",11.68,62.055,0.059,1.246,0.042,0.431,1.751,0.168,11.519,1.583,841.264,197.94,0.081,11.282,1.257,24.391,48.749,46.373,15.463,47.302,7.44,17.157,31.479,169.823,0.204,7.574,296.514,43.053,18.949,507.763,66.148,14.053,0.037,0.233,14.503,0.549,19.105,13.408,1.353,7.019,3.577,401.196,54.426,25.994,13.967,8.009,10.055,4.862,10.101,0,252.219,0.21,9.777,23.707,7.51,0,6.338,2161.87,0,5554.816
"DOM_C17_18",8.072,3.395,0.093,0.381,0.102,0.228,1.543,0.022,105.902,18.134,31.497,1026.247,0.128,24.68,20.398,50.505,49.52,15.076,5.155,34.744,10.449,39.202,43.237,63.72,0.079,15.895,78.068,27.061,10.624,40.751,302.103,10.734,0.403,0.325,17.409,8.943,35.624,242.831,4.923,75.45,98.863,74.407,588.296,154.056,32.869,58.934,39.282,39.46,33.882,0,261.817,0.044,12.953,13.154,11.284,0,16.368,3179.953,0,7039.272
"DOM_C19",9.804,1.275,0.054,1.003,0.22,0.218,1.035,0.228,5.991,1.668,2.336,2.452,1.343,71.643,0.674,7.767,6.401,12.641,2.421,5.401,2.092,3.312,4.483,10.42,0.009,1.089,3.207,24.905,3.512,15.491,30.052,43.203,0.315,6.372,20.408,1.059,2.556,0.561,0.705,0.564,1.425,14.379,4.729,4.9,5.653,2.126,3.516,1.582,1.237,0,33.221,0.025,11.001,0.657,0,0,0.383,172.956,0,566.677
"DOM_C20",372.353,18.041,0.942,13.275,1.181,2.306,14.776,2.561,162.195,206.638,102.406,146.793,33.388,2147.944,61.386,1423.32,220.557,92.701,28.3,167.778,73.63,173.822,178.927,487.927,0.515,43.325,167.268,145.065,116.259,312.589,272.972,139.382,0.841,14.731,112.109,10.112,35.482,14.337,10.516,9.773,15.316,230.142,131.155,81.322,55.065,25.877,105.297,17.748,41.322,0,1011.104,0.62,111.515,144.437,3.21,0,24.375,7154.512,0,16691.441
"DOM_C21",17.553,1.169,0.054,0.382,0.018,0.028,0.186,0.03,19.131,2.786,2.477,5.054,0.185,13.4,97.567,15.461,4.036,3.93,0.779,8.827,8.805,7.143,8.513,30.199,0.015,1.801,5.912,2.081,1.977,15.812,47.327,2.881,0.013,0.29,1.334,0.238,5.566,1.825,0.842,5.34,2.321,8.211,36.055,4.994,3.863,1.453,583.723,3.69,6.518,0,368.959,0.065,396.465,48.155,3.502,0,2.933,636.065,0,2447.935
