"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",4242.411,64.273,3.31,0.162,0.67,0,6.683,0.278,26806.163,195.37,41.983,45.841,31.668,289.362,128.972,120.942,38.139,50.81,26.968,37.762,14.177,20.675,50.493,109.859,1.681,6.131,48.374,517.001,41.782,333.067,623.747,37.18,5.557,1.469,52.16,6.628,1602.975,8.302,16.797,12.172,28.845,156.152,98,158.459,162.226,86.136,449.078,45.172,86.259,0,30900.06,28.838,151.633,1087.513,49.973,0,105.939,7973.609,0,77209.882
"DOM_A02",79.505,621.814,0.155,0.106,0.035,0,0.7,0.002,152.527,4.631,2443.094,212.465,0.123,23.579,3.027,97.136,4.582,1.197,0.992,0.791,0.026,0.303,1.869,0.83,0.163,0.098,117.209,110.983,0.514,38.551,60.132,0.49,0.304,0.027,0.794,0.125,22.55,0.552,0.389,0.706,0.277,2.747,1.482,4.813,16.889,4.021,10.033,5.274,2.991,0,2115.479,0,0.013,0.007,5.316,0,0.011,1106.669,0,7279.097
"DOM_A03",0.388,0.049,1.713,0,0,0,0.005,0,227.898,0.014,0.003,0.008,0.005,0.129,0.068,0.009,0.009,0.002,0.006,0.017,0.006,0.013,0.033,0.008,0.016,0.004,0.018,0.015,0.012,0.041,2.102,0.021,0.08,0.004,0.043,0.001,27.981,0.027,0.009,0.034,0.056,0.091,0.076,0.063,1.185,0.228,1.932,0.102,0.161,0,278.133,0,0.017,0.086,0.79,0,3.655,176.799,0,724.162
"DOM_B05",2.127,0.104,0.018,0.248,0.107,0,1.118,0.105,9.307,1.16,1.017,5.275,39.671,16.619,1.328,3.749,13.332,55.15,10.572,3.424,1.268,2.058,4.181,6.509,0.163,0.639,1.794,445.434,2.47,5.877,11.315,3.13,0.38,0.395,2.777,0.499,4.417,0.531,1.195,0.783,2.095,4.276,3.024,2.387,5.41,3.626,7.74,1.355,2.242,0,49.883,0,0.409,5.323,0.291,0,0.046,379.773,0,1128.126
"DOM_B06",0.748,0.1,0.027,0.005,0.321,0,0.254,0.049,1.126,0.069,0.218,0.36,641.138,5.979,0.166,0.217,0.679,1.003,0.285,0.437,0.114,0.476,2.189,1.541,0.036,0.1,0.65,237.206,0.621,2.052,3.151,5.501,2.777,3.249,1.638,0.36,0.321,0.081,0.112,0.173,0.393,0.284,0.804,1.179,1.271,0.289,0.865,0.146,0.281,0,5.288,0,0.134,3.157,0,0,0.076,164.752,0,1094.444
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",42.267,1.597,0.316,0.375,0.753,0,235.232,2.642,131.481,4.89,5.017,38.665,148.31,608.438,11.632,28.694,2359.294,463.268,178.738,49.965,13.139,34.018,57.667,56.413,1.474,4.67,40.649,222.149,37.604,2377.101,27.353,7.22,1.317,0.98,6.336,0.535,16.171,1.039,0.974,0.953,1.287,53.631,11.61,55.202,32.252,4.356,9.994,1.909,5.51,0,517.565,0,5.391,160.947,29.924,0,0.889,1621.027,0,9730.83
"DOM_B09",1.187,0.037,0.378,1.008,17.7,0,64.865,23.355,2.628,0.016,0.317,6.287,178.495,1.701,0.172,2.952,33.058,14.13,12.114,0.408,0.053,0.355,0.965,0.09,0,0.028,0.172,125.318,0.681,51.36,0.344,2.868,0.811,0.513,2.911,1.008,0.398,0.538,0.004,0,0.291,1.511,3.225,0.402,1.062,0.27,0.365,0.021,0.098,0,0.002,0,45.512,932.534,0,0,0,197.231,0,1731.748
"DOM_C10T12",3096.489,5.46,18.333,0.045,0.166,0,3.623,0.177,19848.951,70.971,10.627,77.288,21.202,713.712,275.582,39.496,14.648,8.793,11.17,24.879,12.202,19.989,50.986,35.346,1.421,5.491,48.865,26.333,31.358,54.335,1158.716,28.943,53.496,7.738,64.069,9.943,8095.271,45.997,19.073,39.652,57.377,70.402,97.24,142.252,298.566,277.355,1150.646,190.181,110.504,0,142862.815,0,545.612,46.007,232.618,0,591.389,58439.152,0,239162.954
"DOM_C13T15",14.48,1.466,0.937,0.06,0.164,0,1.735,0.181,71.074,1264.227,13.821,79.346,6.925,72.235,18.718,112.728,28.544,13.07,6.792,44.254,21.211,37.007,87.597,345.301,4.877,15.015,214.206,15.22,14.84,99.355,170.273,12.903,3.375,3.344,17.747,8.53,62.619,6.794,5.846,21.162,13.915,15.442,60.642,93.45,93.391,22.755,169.268,30.492,70.855,0,7415.464,0,8.662,281.344,103.832,0,39.747,13495.959,0,24833.196
"DOM_C16",88.191,30.365,0.564,0.375,0.469,0,9.228,0.479,356.26,38.558,5308.783,651.497,12.36,282.668,36.851,165.68,226.188,38.691,43.15,238.537,52.99,152.134,266.387,741.839,50.399,37.792,2982.564,201.409,34.032,5153.559,496.787,45.27,5.087,4.005,164.205,5.753,114.901,25.067,11.993,18.234,27.59,380.56,229.868,187.474,56.94,50.255,157.321,31.09,171.612,0,3569.638,0.036,9.981,4983.823,1324.263,0,25.755,7973.076,0,37272.582
"DOM_C17_18",80.703,4.794,1.109,0.179,1.03,0,8.551,0.662,2382.44,115.508,194.371,9787.499,51.029,601.368,506.022,413.921,315.11,69.825,67.928,313.539,219.003,338.041,565.42,653.023,11.774,65.602,521.141,273.322,115.075,369.749,2513.688,126.914,36.278,19.463,266.785,204.83,315.155,1917.445,221.951,566.081,1217.246,258.043,2039.413,1734.22,1424.724,1005.672,1276.196,250.918,381.834,0,13906.816,0.915,50.26,382.772,122.042,0,95.941,22262.488,0,70645.83
"DOM_C19",1180.966,145.96,39.829,4.781,13.027,0,225.583,20.781,1777.934,128.524,342.572,555.737,9950.307,9615.168,315.265,565.394,887.533,1451.846,394.918,606.448,181.151,604.999,870.415,1686.629,28.723,117.717,769.373,6407.255,903.476,2562.458,4715.317,8270.959,4178.636,4881.151,2426.225,541.263,505.798,130.697,170.2,306.429,612.881,357.537,1220.338,1781.006,1870.421,427.755,1312.943,217.457,436.159,0,16867.536,0.6,150.677,888.984,110.247,0,126.539,18317.459,0,113179.981
"DOM_C20",1731.559,21.308,3.122,1.673,5.103,0,83.086,5.826,1538.692,698.786,497.531,1428.347,1258.462,18525.009,1956.269,7349.104,840.968,408.163,311.826,862.88,546.746,953.3,1244.334,2569.025,72.091,148.267,1136.589,807.248,436.033,1657.466,1824.913,439.911,185.333,200.932,522.135,80.406,446.795,185.367,156.992,540.697,493.733,744.22,1308.272,1257.18,619.622,326.665,1607.799,161.781,684.199,0,13380.931,18.265,392.88,2752.998,141.917,0,73.722,116690.013,0,192336.492
"DOM_C21",102.489,5.033,0.519,0.271,1.669,0,10.915,2.063,398.928,45.896,41.168,95.279,64.509,555.85,476.073,241.988,65.017,60.816,35.807,147.111,108.254,136.649,282.186,380.517,10.332,32.406,157.171,150.648,66.628,431.937,1130.401,110.185,41.697,36.849,256.233,46.312,248.034,88.306,120.016,313.681,378.072,416.557,941.209,498.452,340.457,143.489,761.114,87.964,118.519,0,3593.677,18.13,471.609,1973.001,74.412,0,33.071,48873.646,0,65223.222
