"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1329.245,7.106,4.83,0,2.821,0,1.268,0.893,3734.732,15.744,3.361,1.706,2.786,12.769,10.121,5.608,2.688,0.537,0.216,4.206,2.035,1.655,12.28,0.541,0.425,0.216,8.576,8.666,7.909,65.023,116.41,15.322,117.857,4.593,7.397,2.45,261.105,9.501,7.381,12.284,11.77,13.22,65.076,44.582,27.165,16.496,48.832,24.727,10.171,0,2760.161,23.757,95.36,262.366,14.495,0,177.019,4195.195,0,13592.654
"DOM_A02",17.772,44.305,0.153,0,0.073,0,0.095,0.01,17.89,0.33,117.088,4.666,0.266,0.998,0.455,3.151,0.646,0.094,0.034,0.464,0.146,0.134,0.934,0.036,0.08,0.015,13.687,8.744,0.261,18.805,9.187,0.524,1.109,0.031,0.293,0.091,2.732,0.169,0.083,0.121,0.13,1.097,0.606,0.661,1.511,0.681,1.19,0.699,0.437,0,43.319,0.01,36.946,2.085,0.338,0,0.791,65.786,0,421.957
"DOM_A03",0.662,0.034,4.443,0,0.053,0,0.038,0.012,57.406,0.051,0.136,0.074,0.324,0.216,0.397,0.103,0.217,0.067,0.016,0.334,0.16,0.123,0.847,0.025,0.026,0.013,0.45,0.262,0.13,2.456,1.74,0.415,16.58,0.073,0.355,0.053,7.569,0.18,0.099,0.128,0.145,0.204,0.465,0.47,0.475,0.229,0.766,0.131,0.096,0,17.397,0.001,0.155,3.223,1.055,0,2.508,504.112,0,627.7
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",1.159,0.04,0.05,0,6.012,0,1.196,0.424,7.231,0.278,0.447,1.086,999.806,19.858,0.804,1.027,8.281,4.072,1.578,2.991,0.363,0.346,2.526,0.096,0.108,0.056,1.77,316.362,1.345,7.79,10.458,2.412,9.628,0.387,2.501,0.38,0.85,0.474,0.421,2.237,1.224,2.176,2.779,1.998,2.402,1.127,1.074,0.332,0.295,0,8.041,0.001,0.32,4.559,91.678,0,1.031,1074.425,0,2610.316
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",9.894,0.153,0.378,0,4.439,0,28.235,2.294,11.937,0.281,0.175,1.062,20.172,24.349,0.625,0.819,200.09,14.928,3.358,3.462,0.324,0.735,3.233,0.058,0.065,0.026,3.925,23.763,4.046,493.477,3.113,0.915,13.132,0.079,0.506,0.072,0.81,0.176,0.124,0.267,0.191,7.206,1.097,4.242,3,0.359,0.496,0.207,0.211,0,63.162,0,0.51,9.425,0.321,0,0.811,215.463,0,1182.203
"DOM_B09",1.147,0.015,1.345,0,83.408,0,22.259,30.403,1.278,0.015,0.09,0.6,67.566,0.269,0.108,0.417,9.225,1.493,0.739,0.177,0.04,0.058,0.444,0.006,0.005,0.004,0.136,40.893,0.305,37.715,0.618,1.309,5.077,0.161,0.678,0.275,0.217,0.229,0.013,0.013,0.116,0.902,1.45,0.157,0.385,0.154,0.114,0.022,0.058,0,0.852,0,9.713,170.018,0,0,0.126,186.116,0,678.932
"DOM_C10T12",746.972,0.466,17.711,0,0.35,0,0.434,0.102,2102.577,2.27,0.628,1.947,2.365,25.523,13.919,1.281,1.288,0.257,0.181,1.619,0.568,0.546,3.892,0.083,0.112,0.05,4.899,2.585,3.665,11.899,100.891,3.958,59.801,0.664,3.26,0.932,819.884,5.059,1.954,5.029,5.871,11.312,11.166,12.604,24.656,33.172,84.461,17.807,8.074,0,7911.552,3.654,24.447,7.128,33.137,0,288.209,14744.678,0,27171.548
"DOM_C13T15",2.046,0.123,0.811,0,0.262,0,0.181,0.082,5.436,90.387,0.655,2.278,0.531,1.874,1.019,3.444,1.863,0.25,0.087,2.294,0.768,0.761,5.386,0.554,0.37,0.116,17.914,1.354,2.228,17.107,26.492,1.764,5.269,0.243,1.488,0.991,7.781,1.081,0.914,2.08,2.717,5.858,8.233,11.651,11.947,4.276,12.962,5.21,4.862,0,222.524,0,1.587,14.671,6.858,0,3.065,1242.066,0,1766.77
"DOM_C16",15.808,5.236,0.385,0,0.397,0,0.574,0.13,25.858,1.473,219.419,11.749,0.541,7.062,1.78,4.21,11.736,1.324,0.693,13.615,1.594,2.809,16.039,1.05,3.334,0.286,213.771,9.326,11.471,720.714,35.86,3.022,5.202,0.164,5.244,0.247,8.232,2.132,0.706,2.085,1.699,38.72,14.053,10.863,4.774,4.551,7.633,2.807,6.941,0,171.636,0.001,3.22,29.936,12.954,0,1.682,645.573,0,2322.32
"DOM_C17_18",10.857,0.172,0.379,0,0.805,0,0.391,0.202,82.646,2.805,3.213,133.745,2.442,7.535,8.501,5.118,7.615,0.706,0.431,9.804,4.855,4.06,19.238,0.542,0.594,0.397,18.411,10.308,7.388,30.993,145.695,6.602,25.137,0.738,5.957,8.034,13.446,151.867,14.234,31.667,77.211,22.354,118.701,70.914,79.792,79.262,36.543,20.515,23.361,0,90.322,0,4.94,22.109,3.495,0,5.082,1050.297,0,2482.43
