"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3837.243,0.258,6.094,0.006,0.227,0.004,0.08,0.033,10023.033,205.793,4.562,0.724,0.082,21.948,23.201,10.88,0.136,0.014,0.027,0.047,0.089,0.132,0.116,0.083,0.005,0.003,5.508,7.512,0.357,10.207,32.561,1.024,0.46,0.038,0.991,0.02,598.146,0.288,0.164,0.018,0.123,0.603,0.742,1.752,4.581,6.34,22.907,2.953,5.648,0,31577.353,0,0.539,2358.859,95.087,0,63.808,2279.059,0,51212.466
"DOM_A02",0.379,0.034,0.002,0,0.004,0,0.001,0,0.879,0.049,0.236,0.021,0.029,0.019,0.008,0.016,0.012,0.014,0.006,0.011,0.002,0.01,0.003,0.004,0,0,0.028,0.033,0.001,0.055,0.014,0.011,0.003,0.005,0.003,0,0.063,0.001,0.002,0,0.001,0.002,0.001,0.001,0.003,0.003,0.01,0.001,0.003,0,3.428,0,0.002,0.295,0.013,0,0.015,4.227,0,9.966
"DOM_A03",1.488,0.001,15.824,0,0.007,0.001,0.003,0,427.237,0.121,0.006,0.01,0.039,0.071,0.064,0.014,0.018,0.015,0.009,0.016,0.004,0.018,0.005,0.005,0.001,0,0.026,0.034,0.004,0.087,0.909,0.024,0.063,0.007,0.024,0,53.378,0.019,0.013,0.005,0.014,0.026,0.011,0.017,0.364,0.16,0.783,0.053,0.125,0,4002.509,0,0,0.332,1.506,0,5.669,19.786,0,4530.928
"DOM_B05",0.484,0,0.005,0.113,0.382,0.018,0.056,0.056,1.13,0.424,0.037,0.224,9.305,1.044,0.048,0.119,1.566,4.737,0.841,0.055,0.013,0.076,0.019,0.024,0.002,0.002,0.06,75.179,0.011,0.812,0.075,0.078,0.014,0.02,0.028,0.001,0.117,0.005,0.011,0.001,0.003,0.022,0.009,0.006,0.06,0.074,0.082,0.005,0.057,0,141.541,0,0.001,0.495,0.37,0,0.036,97.206,0,337.161
"DOM_B06",28.466,0.002,0.091,0.973,205.926,0.691,4.23,3.175,130.793,13.057,2.565,16.713,12911.705,242.901,2.925,11.727,56.989,46.303,33.354,7.169,0.498,2.534,0.685,1.616,0.096,0.089,6.708,3480.291,1.713,14.194,15.074,4.393,0.288,0.073,7.206,0.184,8.604,0.371,0.464,0.144,0.674,2.477,2.03,0.744,4.624,3.261,4.06,0.393,0.981,0,15546.512,0,0.003,14.913,40.426,0,0.404,9166.897,0,42053.377
"DOM_B07",3.502,0.001,0.149,0.25,28.481,4.459,3.451,3.316,10.774,3.189,0.242,0.719,35.439,18.564,1.78,1.088,24.574,209.321,303.278,5.907,0.77,1.732,0.447,0.644,0.023,0.017,2.624,30.989,0.261,28.274,4.714,0.832,0.236,0.245,1.367,0.04,4.274,0.873,2.14,0.326,2.484,1.283,3.238,0.745,1.128,1.078,3.478,0.586,1.49,0,15.62,0.485,0.575,13.64,0.003,0,0.981,14.766,0,800.894
"DOM_B08",80.237,0.014,1.736,0.884,124.094,1.92,57.691,14.31,80.523,8.797,0.462,9.766,148.82,159.452,3.021,5.559,774.752,92.561,38.485,5.201,0.645,6.291,0.895,0.693,0.037,0.025,17.088,143.647,2.733,1003.744,2.138,1.743,0.532,0.163,1.019,0.024,4.247,0.076,0.134,0.007,0.028,6.095,0.571,1.273,4.277,0.532,0.888,0.274,0.662,0,22.616,0,0.003,2.653,0,0,0.217,248.494,0,3082.749
"DOM_B09",4.423,0.001,2.614,2.171,689.976,2.548,20.402,62.087,4.256,0.503,0.214,2.537,220.701,1.178,0.207,1.396,15.993,4.298,3.836,0.232,0.048,0.284,0.082,0.062,0.003,0.003,0.221,109.879,0.172,34.622,0.269,1.463,0.408,0.359,0.953,0.081,0.687,0.3,0.037,0.005,0.056,0.421,0.661,0.033,0.277,0.167,0.402,0.022,0.118,0,31.979,0.001,0.024,1.787,0.07,0,0.129,16.311,0,1241.966
"DOM_C10T12",761.844,0.007,9.317,0.012,0.866,0.019,0.133,0.068,1940.545,21.35,0.619,2.569,3.668,20.81,14.787,1.738,1.299,1.09,0.647,1.044,0.409,1.192,0.339,0.436,0.025,0.018,3.151,3.438,0.347,5.836,21.502,1.633,1.724,0.567,1.656,0.071,707.782,1.73,1.76,0.335,1.301,1.412,1.421,1.037,4.655,10.252,26.137,5.343,4.759,0,29444.285,0.112,0.682,933.121,51.505,0,286.289,2230.4,0,36539.09
"DOM_C13T15",21.537,0.008,3.004,0.028,1.369,0.042,0.165,0.108,40.527,2283.434,1.732,14.395,2.449,10.095,3.666,19.38,5.548,1.365,0.67,2.19,0.706,2.973,0.892,7.198,0.2,0.112,68.108,2.243,0.341,16.303,12.006,1.345,0.386,0.435,1.236,0.122,30.27,0.578,0.508,0.113,0.317,0.902,1.636,1.461,4.554,2.361,25.81,3.378,10.302,0,5479.249,0.017,0.017,388.377,146.049,0,190.137,2588.309,0,11400.665
