"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",4132.617,43.797,22.472,0.011,0,0.812,3.562,0.165,19529.434,132.745,35.809,32.188,36.437,172.001,76.921,66.689,30.391,27.388,11.766,47.436,4.961,18.895,25.324,53.721,3.178,19.346,28.104,45.984,22.542,149.549,418.243,41.854,2.871,9.822,31.701,2.353,1424.641,10.566,9.866,10.268,10.58,15.849,43.41,70.946,42.192,25.742,159.261,77.888,38.42,0,14931.198,14.141,82.797,3736.387,150.682,0,581.451,20017.516,0,66734.889
"DOM_A02",66.807,318.849,0.833,0.011,0,0.118,0.49,0.002,97.817,2.306,866.663,82.857,0.246,10.807,1.227,35.626,2.941,0.639,0.529,0.497,0.012,0.123,0.309,0.332,0.069,0.079,30.33,57.29,0.467,23.011,32.908,0.425,0.044,0.035,0.486,0.035,16.317,0.309,0.327,0.367,0.146,0.83,0.636,1.587,5.043,1.362,2.983,6.653,2.103,0,426.68,0.947,150.369,125.546,3.344,0,0.16,207.19,0,2588.123
"DOM_A03",0.557,0.066,24.958,0,0,0.003,0.008,0,356.898,0.015,0.003,0.006,0.01,0.117,0.058,0.008,0.015,0.003,0.007,0.023,0.002,0.01,0.014,0.009,0.113,0.036,0.019,0.022,0.024,0.066,2.149,0.037,0.04,0.014,0.059,0,52.651,0.031,0.016,0.04,0.045,0.064,0.064,0.051,0.908,0.182,1.422,0.267,0.192,0,1992.182,0,0.002,0.325,2.46,0,27.549,787.1,0,3250.922
"DOM_B05",0.012,0.001,0.001,0.004,0,0.003,0.017,0.003,0.037,0.002,0.003,0.007,4.795,0.02,0.004,0.005,0.047,0.025,0.026,0.01,0.001,0.004,0.004,0.011,0,0.002,0.005,35.976,0.02,0.182,0.06,0.03,0,0.002,0.028,0.003,0.014,0.002,0.003,0.002,0.004,0.026,0.014,0.008,0.015,0.007,0.015,0.006,0.005,0,0.045,0,0.032,0.279,0,0,0.027,5.445,0,47.299
"DOM_B06",0.041,0.003,0.009,0,0,0.004,0.019,0.003,0.053,0.003,0.005,0.011,0.604,0.156,0.005,0.006,0.049,0.031,0.012,0.014,0.001,0.007,0.007,0.02,0.001,0.003,0.01,0.21,0.024,0.119,0.119,0.217,0.021,0.1,0.065,0.006,0.017,0.004,0.006,0.006,0.009,0.009,0.022,0.026,0.026,0.007,0.019,0.01,0.009,0,0.45,0,0.019,0.284,0.005,0,0.03,1.74,0,4.656
"DOM_B07",0.145,0.003,0.006,0.003,0,3.065,1.816,0.058,0.864,0.041,0.022,0.056,5.563,6.512,0.081,0.149,9.935,92.4,136.438,7.044,0.05,0.65,0.991,1.443,0.052,0.264,0.357,4.487,0.268,8.876,0.252,0.105,0.003,0.011,0.075,0.002,0.107,0.006,0.008,0.006,0.005,0.063,0.142,0.086,0.046,0.013,0.037,0.025,0.055,0,0.201,0.001,0.063,0.312,0,0,0.016,1807.189,0,2090.469
"DOM_B08",45.72,1.126,2.292,0.06,0.001,8.41,234.312,1.766,84.397,2.726,0.816,21.323,168.22,410.155,4.074,10.295,2050.192,286.743,122.012,28.634,0.682,9.347,6.661,7.312,0.328,1.558,12.774,168.514,28.379,1955.118,12.938,4.658,0.078,0.287,3.16,0.077,6.645,0.191,0.365,0.185,0.155,16.716,3.464,24.896,12.816,0.828,1.909,1.394,1.431,0,21.851,0.011,1.174,15.057,0.834,0,0.767,894.274,0,6700.104
"DOM_B09",0.194,0.004,0.392,0.021,0.003,1.243,8.086,2.014,0.331,0.002,0.022,0.477,25.926,0.149,0.014,0.21,3.721,1.127,1.066,0.04,0.001,0.02,0.028,0.006,0,0.003,0.01,12.338,0.107,5.889,0.037,0.347,0.021,0.057,0.277,0.042,0.056,0.057,0.001,0,0.017,0.081,0.276,0.025,0.061,0.017,0.026,0.003,0.014,0,0.005,0,7.809,155.166,0,0,0.001,322.939,0,550.781
"DOM_C10T12",6699.55,7.919,252.124,0.022,0.001,1.927,8.59,0.403,31454.524,131.456,12.365,84.984,53.413,859.839,295.006,43.917,33.86,15.437,16.631,38.5,4.106,22.733,25.175,40.276,2.012,11.497,42.088,96.779,70.889,122.219,1358.643,63.628,16.847,16.527,134.74,9.234,15878.995,64.342,55.849,87.998,90.579,91.004,204.687,231.905,289.687,254.168,929.91,491.674,163.441,0,70885.499,32.768,10.368,35.453,121.84,0,2257.267,35031.534,0,169256.828
"DOM_C13T15",28.982,2.263,17.745,0.015,0,1.275,2.949,0.186,119.288,2231.65,15.082,193.705,8.944,102.218,26.098,149.843,54.509,11.147,7.057,49.859,4.539,22.619,29.712,305.948,5.846,22.908,219.491,27.287,21.29,159.437,245.633,17.604,0.932,2.824,23.106,3.711,133.302,11.128,6.367,9.314,9.467,14.824,59.104,76.93,63.158,22.116,157.001,75.41,77.355,0,4604.152,0.237,9.157,129.922,47.771,0,276.199,11246.498,0,21165.114
