"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",168.184,30.742,0.632,0.013,0.067,0,0.03,0.003,402.383,6.874,24.138,0.456,0.018,0.986,0.141,0.783,0.13,0.003,0.009,0.25,0.285,0.136,0.103,0.059,0.02,0.001,1.02,1.066,0.301,3.313,11.927,0.607,0.119,0.046,1.837,0.115,34.972,0.121,0.21,1.13,0.357,2.368,1.282,1.896,1.528,1.138,2.047,1.356,1.026,0,404.749,0.281,0.934,22.931,3.009,0,8.948,545.044,0,1692.125
"DOM_A02",13.278,455.152,0.16,0.123,0.201,0,0.113,0.006,10.545,1.073,518.767,7.54,0.086,0.847,0.049,3.03,0.981,0.015,0.044,1.011,1.103,0.557,0.38,0.24,0.089,0.002,8.638,7.739,0.301,7.041,10.3,1.175,0.159,0.107,2.861,0.239,3.155,0.231,0.383,2.092,0.593,3.072,1.631,1.259,1.72,0.852,0.925,1.405,0.75,0,35.938,0.584,1.605,9.261,0.939,0,1.74,227.659,0,1349.748
"DOM_A03",0.158,0.108,2.592,0.002,0.011,0,0.004,0,26.837,0.038,0.162,0.025,0.006,0.035,0.003,0.027,0.033,0.001,0.002,0.071,0.09,0.041,0.028,0.017,0.018,0,0.076,0.054,0.019,0.175,0.47,0.075,0.026,0.014,0.125,0.009,4.832,0.014,0.018,0.082,0.03,0.073,0.108,0.055,0.156,0.05,0.116,0.049,0.038,0,9.205,0.001,0.069,0.321,0.198,0,0.461,50.776,0,98.004
"DOM_B05",0.094,0.029,0.001,0.274,0.069,0,0.056,0.007,0.225,0.068,0.061,0.105,0.485,0.267,0.001,0.034,1.154,0.141,0.138,0.023,0.014,0.023,0.011,0.006,0.004,0,0.015,30.677,0.022,0.43,0.085,0.053,0.001,0.001,0.063,0.002,0.03,0.001,0.003,0.006,0.002,0.066,0.013,0.01,0.081,0.064,0.018,0.006,0.038,0,11.515,0,0.005,0.114,0.078,0,0.007,1.477,0,48.176
"DOM_B06",0.129,0.018,0.004,0.26,5.342,0,0.467,0.047,1.939,0.287,0.635,0.891,75.801,6.757,0.011,0.444,4.378,0.144,0.591,1.338,0.157,0.154,0.107,0.108,0.03,0.001,0.528,157.666,0.44,0.928,2.729,0.66,0.032,0.011,2.546,0.101,0.186,0.028,0.023,0.177,0.081,0.818,0.575,0.32,0.691,0.293,0.121,0.081,0.075,0,11.16,0,0.619,0.115,0,0,0.007,143.981,0,425.032
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",1.466,0.326,0.059,0.093,0.319,0,3.466,0.044,1.483,0.146,0.232,0.322,0.43,2.735,0.01,0.153,36.343,0.176,0.412,0.659,0.203,0.277,0.103,0.055,0.012,0,0.564,3.68,0.595,39.728,0.524,0.261,0.019,0.013,0.421,0.03,0.145,0.009,0.018,0.033,0.016,1.476,0.147,0.601,0.482,0.076,0.059,0.059,0.063,0,1.788,0,0.102,3.569,0.016,0,0.282,26.475,0,130.775
"DOM_B09",0.012,0.005,0.011,0.034,1.021,0,0.131,0.052,0.015,0.002,0.014,0.01,0.087,0.007,0,0.005,0.1,0.001,0.004,0.015,0.007,0.005,0.004,0.002,0.001,0,0.007,0.316,0.005,0.191,0.022,0.02,0.004,0.002,0.036,0.004,0.004,0.002,0.002,0.007,0.002,0.02,0.021,0.006,0.011,0.003,0.003,0.003,0.002,0,0.037,0,0.265,4.619,0,0,0.007,5.573,0,12.738
"DOM_C10T12",30.657,0.264,0.932,0.003,0.02,0,0.016,0.001,76.419,0.295,0.137,0.167,0.015,0.816,0.084,0.059,0.082,0.001,0.006,0.07,0.064,0.044,0.026,0.011,0.003,0,0.183,0.12,0.133,0.251,4.801,0.192,0.178,0.026,0.677,0.046,49.936,0.153,0.074,0.472,0.149,0.514,0.449,0.455,1.105,1.373,1.667,1.881,0.532,0,717.073,0.298,1.724,0.341,3.798,0,14.558,1663.169,0,2576.519
"DOM_C13T15",0.36,0.218,0.064,0.012,0.063,0,0.019,0.003,0.771,15.801,2.109,0.323,0.018,0.209,0.017,0.429,0.253,0.006,0.016,1.403,0.573,0.392,0.369,0.347,0.076,0.002,1.687,0.188,0.153,2.338,1.648,0.269,0.038,0.029,0.477,0.067,0.46,0.044,0.05,0.193,0.046,0.32,0.472,0.5,0.56,0.201,0.495,0.453,0.395,0,19.02,0.006,0.108,1.353,1.538,0,0.857,575.079,0,632.897
"DOM_C16",12.651,38.98,0.398,0.322,0.639,0,0.46,0.031,18.192,3.711,1023.028,20.008,0.108,4.353,0.153,3.836,12.217,0.045,0.328,12.593,5.548,5.573,2.521,4.126,2.711,0.02,167.115,8.552,2.136,323.775,32.952,4.545,0.301,0.18,25.215,0.393,7.906,1.123,0.791,4.096,1.273,28.294,17.159,7.963,3.038,3.28,3.29,3.769,8.617,0,35.263,0.097,0.988,25.959,6.223,0,2.906,2298.708,0,4198.455
"DOM_C17_18",0.818,0.39,0.052,0.024,0.226,0,0.052,0.005,6.519,1.117,2.365,30.938,0.08,0.72,0.13,0.817,0.865,0.017,0.08,1.866,3.105,1.365,0.566,0.385,0.101,0.006,2.202,1.853,2.32,1.824,27.454,1.754,0.257,0.155,4.757,2.468,2.101,24.387,3.072,15.144,8.293,3.794,38.341,11.273,15.077,13.969,4.551,6.515,6.093,0,12.522,0.035,0.17,0.861,1.211,0,3.76,369.925,0,638.749
"DOM_C19",5.428,3.033,0.902,0.16,0.848,0,0.504,0.043,3.632,0.689,2.176,0.918,10.114,14.804,0.05,0.457,2.736,0.079,0.156,1.254,0.664,0.778,0.287,0.378,0.056,0.002,1.45,42.207,2.14,5.611,11.237,25.408,22.846,23.383,11.742,1.085,1.844,0.219,0.528,2.063,0.773,1.859,2.86,2.414,3.562,1.463,1.439,1.324,1.1,0,8.024,0.002,6.833,10.984,0,0,0.014,199.178,0,443.744
"DOM_C20",5.624,0.788,0.089,0.047,0.248,0,0.131,0.012,2.834,2.152,4.172,1.425,0.97,17.291,0.197,3.934,1.329,0.025,0.085,1.737,2.254,1.195,0.573,0.503,0.143,0.003,1.977,2.476,1.005,3.874,4.19,2.058,1.009,1.005,2.622,0.201,0.822,0.293,0.268,1.247,0.419,1.152,2.207,1.242,0.777,0.479,1.174,0.501,0.753,0,7.998,0.019,2.408,6.489,-0.07,0,1.301,612.896,0,710.556
"DOM_C21",1.15,0.05,0.02,0.005,0.033,0,0.008,0.001,0.659,0.081,0.253,0.042,0.008,0.225,1.588,0.055,0.048,0.001,0.004,0.103,0.145,0.063,0.06,0.027,0.009,0,0.195,0.091,0.115,0.275,0.553,0.112,0.023,0.016,0.237,0.019,0.081,0.025,0.032,0.15,0.055,0.16,1.395,0.172,0.774,0.229,14.436,0.217,0.18,0,11.254,0.002,7.171,0.847,0.106,0,0.15,24.633,0,68.343
"DOM_C22",5.664,1.439,0.268,0.143,0.682,0,0.227,0.02,27.277,4.156,8.018,5.655,0.141,3.987,0.529,25.008,2.756,0.024,0.176,8.242,12.839,10.623,4.287,7.739,0.443,0.032,11.561,0.966,2.713,30.84,26.553,8.519,0.352,0.144,6.543,0.424,1.924,0.493,0.38,1.585,0.597,4.268,4.252,3.858,1.423,1.185,1.993,1.116,1.321,0,30.128,0.057,0.278,5.797,1.926,0,0.179,358.182,0,639.932
"DOM_C23",3.804,1.046,0.062,0.074,0.666,0,0.763,0.024,9.949,0.845,7.053,0.421,0.147,1.805,0.236,2.349,61.009,0.159,0.306,5.298,7.519,4.316,1.208,2.366,0.421,0.007,4.398,2.214,1.528,211.764,7.069,1.83,0.378,0.074,3.445,0.192,2.505,0.095,0.17,0.601,0.318,17.694,3.203,1.726,1.396,1.645,1.183,0.828,1.237,0,48.566,0.02,0.493,8.563,1.059,0,0.863,351.192,0,788.103
"DOM_C24A",0.013,0.006,0.001,0.002,0.024,0,0.001,0,0.017,0.006,0.033,0.007,0.004,0.009,0,0.019,0.041,0.089,0.012,1.574,0.106,0.163,0.246,0.125,0.035,0.001,0.125,0.106,0.101,0.651,0.051,0.014,0.007,0.005,0.035,0.001,0.005,0.001,0.001,0.003,0.001,0.029,0.02,0.006,0.013,0.006,0.006,0.005,0.004,0,0.074,0,0.001,0.013,0,0,0.002,46.404,0,50.231
