"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",440.615,18.035,2.405,0.261,0,0.52,0.698,0.118,2164.644,9.731,15.482,6.961,0.963,15.237,2.168,3.217,0.823,0.482,0.52,1.147,1.12,0.735,2.642,0.513,0.45,0.056,3.529,3.1,1.937,30.918,46.863,5.532,1.987,1.818,3.165,0.35,247.439,2.155,0.936,2.073,1.591,3.049,6.202,13.423,13.003,7.08,51.605,6.917,5.666,0,2366.089,0.027,0.561,13.503,2.237,0,22.884,652.919,0,6208.1
"DOM_A02",79.986,1614.783,0.648,3.505,0,0.782,1.303,0.006,110.692,2.385,2877.319,689.922,0.273,15.11,0.501,30.41,3.304,1.58,1.571,0.643,0.057,0.2,1.393,0.052,0.489,0.016,38.459,75.031,0.433,58.652,42.06,0.63,0.295,0.041,0.707,0.064,32.16,0.881,0.306,0.886,0.35,3.823,1.21,3.327,20.597,5.076,12.992,9.283,6.013,0,520.829,0.478,1.382,158.429,6.924,0,0.181,136.163,0,6574.594
"DOM_A03",0.458,0.091,5.103,0.003,0,0.007,0.007,0,120.646,0.008,0.005,0.035,0.014,0.087,0.011,0.004,0.007,0.006,0.009,0.013,0.009,0.008,0.028,0.001,0.595,0.007,0.021,0.01,0.01,0.064,1.254,0.028,0.13,0.015,0.037,0.001,28.962,0.03,0.006,0.03,0.033,0.082,0.043,0.033,1.058,0.219,1.768,0.146,0.161,0,104.88,0.004,0.03,0.517,0.305,0,0.463,36.314,0,303.819
"DOM_B05",0.459,0.127,0.004,11.101,0,1.104,1.073,0.15,1.933,0.154,3.54,7.05,102.56,6.112,0.038,0.309,8.201,74.782,14.517,0.345,0.289,0.311,0.712,0.068,0.224,0.028,0.647,389.993,0.178,9.488,0.995,0.486,0.028,0.038,0.309,0.023,0.383,0.094,0.045,0.233,0.087,0.652,0.251,0.198,1.181,0.667,0.652,0.092,0.585,0,1.495,0,0.083,0.946,0.001,0,0.037,21.614,0,666.673
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0.467,0.063,0.015,0.227,0,2.396,5.566,0.11,0.977,0.032,0.1,1.555,4.834,5.478,0.027,0.132,20.533,34.497,46.733,2.66,0.395,0.69,1.794,0.128,0.164,0.031,0.317,2.358,0.406,41.099,0.414,0.177,0.016,0.016,0.116,0.012,0.131,0.048,0.025,0.165,0.05,0.591,0.271,0.464,0.533,0.064,0.187,0.05,0.069,0,0.328,0.007,0.368,1.576,0,0,0.019,1417.163,0,1596.642
"DOM_B08",5.202,0.576,0.164,1.65,0,5.345,58.086,0.848,10.696,0.253,0.562,15.939,39.22,51.751,0.189,0.953,222.378,80.885,38.846,4.287,1.342,1.995,3.534,0.202,0.309,0.042,1.664,20.02,3.422,441.894,2.517,1.088,0.092,0.077,0.65,0.053,2.001,0.216,0.101,0.533,0.181,6.37,0.79,4.748,4.832,0.452,1.088,0.352,0.419,0,14.609,0.006,0.248,2.07,0,0,0.143,213.558,0,1269.452
"DOM_B09",0.098,0.008,0.128,2.734,0,3.731,9.859,4.625,0.155,0.001,0.031,1.651,29.004,0.092,0.002,0.076,1.952,1.515,1.558,0.029,0.007,0.018,0.061,0.001,0.001,0,0.009,6.945,0.049,6.393,0.027,0.278,0.063,0.05,0.182,0.035,0.045,0.03,0,0.001,0.016,0.15,0.202,0.023,0.108,0.028,0.034,0.004,0.021,0,0.008,0,6.628,146.4,0,0,0,33.072,0,258.14
"DOM_C10T12",287.456,1.218,6.956,0.121,0,0.17,0.583,0.036,1280.603,3.52,0.896,20.148,3.345,41.472,4.147,0.845,0.683,0.543,1.269,0.956,0.592,0.662,1.951,0.095,0.191,0.035,1.514,1.302,2.106,4.803,69.704,2.52,3.493,0.605,3.722,0.368,955.224,5.486,0.953,3.521,3.022,6.403,5.343,7.915,30.192,29.413,127.767,26.769,12.051,0,9707.642,4.67,25.196,3.494,10.542,0,80.618,1604.444,0,14399.299
"DOM_C13T15",1.27,0.388,0.302,0.216,0,0.321,0.304,0.042,5.429,65.602,1.61,17.875,1.058,4.153,0.345,3.899,1.652,1.374,0.96,3.228,2.632,2.14,6.155,1.926,1.192,0.189,6.932,0.941,1.323,13.754,13.404,1.566,0.206,0.253,1.26,0.391,6.475,0.697,0.264,0.661,0.546,1.467,3.622,6.445,12.041,2.964,20.174,5.736,5.212,0,346.71,0.005,0.413,13.52,7.141,0,6.625,769.609,0,1374.62
"DOM_C16",27.25,44.08,0.733,3.652,0,4.891,5.169,0.466,74.442,6.74,1755.73,610.572,9.999,55.418,2.092,15.29,46.322,57.61,48.847,56.798,22.4,26.715,61.105,12.03,42.111,1.759,287.698,36.08,87.381,2163.188,114.401,14.955,1.708,1.554,35.266,0.781,42.585,9.88,2.852,7.25,9.755,146.352,54.998,37.928,47.697,20.948,69.406,16.502,39.016,0,148.574,0.009,1.813,19.384,10.347,0,4.398,3660.578,0,10085.506
"DOM_C17_18",39.8,6.055,1.176,2.26,0,5.903,5.951,0.71,328.947,16.701,62.762,4451.406,49.908,200.765,19.161,55.729,52.067,44.041,35.848,62.299,97.691,52.647,114.089,11.54,13.849,2.354,50.074,54.904,28.465,182.34,294.09,33.37,8.214,6.709,38.572,9.519,78.033,440.318,19.572,85.411,95.834,56.705,194.637,155.238,187.664,136.249,234.905,51.08,79.804,0,783.122,0.048,9.68,92.234,31.434,0,13.967,10722.774,0,19908.624
"DOM_C19",146.473,23.248,9.761,11.063,0,28.896,29.867,3.415,103.915,18.156,46.042,254.941,1898.455,1073.876,17.051,117.18,59.885,122.075,52.049,46.853,31.812,40.216,55.984,10.319,12.043,1.403,44.158,400.182,54.097,284.5,225.662,563.336,359.56,527.639,109.408,13.192,44.845,18.631,6.842,22.491,28.719,38.091,66.622,80.412,140.962,37.405,144.454,26.828,47.521,0,135.873,0.018,3.096,10.842,13.462,0,1.526,6510.024,0,14175.374
"DOM_C20",519.967,10.116,1.81,12.89,0,37.091,37.869,3.009,238.332,97.95,161.68,1113.181,547.208,3476.361,97.576,709.84,161.828,109.875,122.816,160.956,206.929,150.128,197.575,36.162,55.683,4.521,119.575,38.121,86.31,473.204,123.907,26.21,9.939,11.51,36.265,1.431,67.431,58.93,4.605,25.337,13.27,97.107,115.428,122.379,64.222,51.552,419.042,30.137,108.886,0,786.376,0.035,26.527,48.059,15.116,0,8.456,6240.728,0,17501.445
"DOM_C21",8.895,0.535,0.157,0.269,0,0.756,0.579,0.087,11.368,1.08,2.408,9.253,4.096,20.294,40.743,3.447,1.558,2.72,1.872,2.797,5.138,2.436,6.601,0.629,1.284,0.137,8.429,2.276,2.277,15.596,11.069,2.549,0.691,0.818,2.255,0.247,4.897,1.972,0.777,2.339,3.114,3.542,17.29,4.645,18.187,7.12,381.669,5.299,5.305,0,343.703,0.071,230.322,46.041,8.729,0,4.828,1235.467,0,2500.662
"DOM_C22",16.997,2.799,0.581,2.076,0,3.149,3.325,0.395,123.882,9.318,18.997,118.378,14.577,67.032,7.376,107.223,15.331,13.502,14.272,49.354,82.843,62.955,122.288,26.747,11.707,3.219,34.613,7.561,13.172,277.212,118.655,35.17,2.828,2.133,13.01,1.182,14.067,8.859,3.555,8.768,7.104,24.599,27.492,24.568,19.306,10.926,43.296,7.843,9.774,0,378.172,0.017,4.208,54.228,15.313,0,1.7,2076.389,0,4144.045
"DOM_C23",14.142,1.541,0.155,1.383,0,6.209,14,0.537,48.205,2.322,16.849,20.394,15.765,53.519,3.948,15.466,286.674,60.499,24.4,34.552,33.295,27.38,47.583,8.973,9.771,0.887,15.303,12.082,8.655,1844.01,34.753,6.229,2.429,0.868,7.414,0.486,16.315,3.03,1.49,5.637,5.816,96.792,28.688,13.042,17.945,12.108,22.18,5.469,9.644,0,242.699,0.005,3.361,44.201,7.728,0,0.497,801.368,0,4018.693
"DOM_C24A",1.556,0.444,0.035,2.209,0,4.234,1.079,0.361,3.6,0.443,5.223,5.546,5.025,3.985,0.184,7.615,16.102,1224.363,66.632,776.982,38.348,86.827,622.903,43.181,65.123,11.695,39.318,8.218,29.054,529.275,12.941,2.176,0.936,0.022,4.489,0.042,0.383,0.092,0.048,0.092,0.25,8.442,10.699,1.726,2.337,1.256,1.244,1.253,1.325,0,0,0,2.661,0,0,0,0,6920.497,0,10572.469
"DOM_C24B",0.652,0.279,0.005,0.17,0,1.262,0.429,0.038,11.24,0.534,3.642,9.871,2.591,28.581,0.716,5.235,6.317,175.206,1333.642,338.449,96.717,214.404,236.89,21.854,16.165,5.375,44.104,3.957,25.902,118.744,11.325,1.13,0.468,0.035,1.209,0.007,1.242,0.52,0.059,0.143,0.328,3.683,2.81,0.601,1.388,0.116,1.566,0.766,1.404,0,3.133,0,0,5.939,0,0,0,5351.354,0,8092.198
"DOM_C25",39.028,10.613,1.384,13.168,0,19.343,15.832,3.512,157.522,7.784,76.02,100.685,48.352,85.104,5.215,30.636,52.952,211.409,98.264,984.91,165.96,198.222,1172.691,85.13,145.719,18.703,178.247,60.732,35.273,1691.697,152.858,41.915,12.434,18.321,37.727,1.961,33.553,13.814,11.215,28.239,16.707,100.652,101.505,63.749,135.873,26.905,66.004,21.271,27.58,0,479.937,0.024,12.271,602.008,172.63,0,2.521,3033.194,0,10928.975
"DOM_C26",5.195,2.036,0.353,1.792,0,3.232,2.961,0.611,22.36,2.148,5.469,37.807,18.684,27.394,3.17,7.126,7.534,14.159,14.859,45.887,2907.487,295.452,390.378,26.421,55.561,5.666,99.086,47.953,14.54,217.523,196.376,20.592,8.159,10.216,38.815,6.799,24.431,57.337,138.899,456.874,91.14,38.072,187.995,101.908,143.507,65.841,245.612,37.465,46.969,0,950.8,0.122,9.437,1484.395,452.832,0,10.508,6217.898,0,15325.848
"DOM_C27",7.223,1.535,0.297,1.711,0,3.575,3.522,0.719,19.058,1.399,6.221,25.055,9.901,15.679,1.358,5.887,6.342,17.44,14.485,45.474,169.2,405.634,230.16,27.085,18.055,3.964,63.648,73.839,8.718,364.094,82.136,16.199,3.99,2.915,13.565,1.153,12.626,12.446,17.791,27.193,15.251,24.196,69.271,30.838,45.39,13.963,40.347,15.175,13.728,0,461.394,0.064,9.642,296.45,97.728,0,3.719,4384.518,0,7262.967
"DOM_C28",42.641,15.127,1.893,15.879,0,24.418,22.308,4.425,95.314,8.142,35.48,129.889,74.01,80.75,5.693,22.803,44.713,86.278,47.026,152.471,238.742,166.236,1305.371,76.734,77.991,9.222,196.322,101.237,35.66,582.099,234.79,65.816,14.7,23.908,50.53,4.237,30.932,30.101,23.124,71.548,47.478,60.151,178.792,83.817,123.443,38.172,110.15,32.593,29.943,0,594.827,0.149,36.797,2118.904,737.984,0,5.197,11102.607,0,19549.566
"DOM_C29",4.249,1.162,0.082,0.591,0,1.239,1.045,0.173,5.004,0.812,2.432,10.653,5.722,21.794,0.721,4.78,2.805,6.598,5.54,9.608,7.553,8.472,52.841,71.092,3.489,0.751,9.308,3.725,2.379,27.361,66.651,14.195,1.137,1.284,3.829,0.248,1.662,1.416,0.744,2.304,1.944,2.943,7.577,5.743,5.407,1.91,6.591,1.625,1.902,0,169.252,0.012,1.49,200.807,74.05,0,0.525,1443.098,0,2290.326
"DOM_C301",0.021,0.021,0.588,0.01,0,0.09,0.058,0,0.098,0.002,0.015,0.034,0.021,0.022,0.001,0.017,0.008,0.05,0.051,0.353,0.389,0.21,3.672,0.43,501.005,5.665,12.028,0.061,0.063,0.522,0.848,2.716,59.086,9.603,4.831,0.022,0.033,0.004,0.001,0.006,0.063,0.035,0.254,0.618,26.529,0.121,0.099,0.316,0.331,0,54.784,0,0,357.108,137.639,0,0,1670.706,0,2851.258
"DOM_C302T309",0.004,0.025,0.025,0.008,0,0.009,0.003,0.001,0.035,0.001,0.006,0.007,0.002,0.007,0,0.004,0.005,0.016,0.011,0.112,0.069,0.084,0.354,0.411,2.097,4.757,1.749,0.01,0.008,0.147,0.713,1.755,0.371,2.175,0.223,0.004,0.005,0.001,0.001,0.005,0.005,0.008,0.043,0.197,1.994,0.019,0.172,0.02,0.048,0,8.14,0,0.001,32.542,12.435,0,0,298.804,0,369.645
"DOM_C31T33",79.106,16.773,4.344,11.415,0,20.835,32.457,3.64,112.03,9.026,36.012,153.473,91.81,76.442,5.749,16.592,44.633,113.794,53.759,85.801,106.513,57.248,195.062,15.38,20.889,5.215,225.525,168.59,47.031,270.535,153.169,125.783,43.491,100.88,78.45,4.569,40.992,17.539,23.566,52.138,32.628,51.816,111.157,83.687,126.406,45.878,180.056,44.885,30.56,0,536.431,0.014,12.381,453.615,65.972,0,11.225,2162.169,0,6669.139
"DOM_D",123.545,13.983,4.546,29.767,0,61.589,66.696,2.86,359.86,32.03,68.693,715.842,388.316,350.834,13.803,65.36,166.515,418.104,259.615,170.474,100.149,71.78,183.053,23.655,25.803,5.612,83.171,1906.241,143.146,253.094,591.785,194.259,10.422,15.821,130.772,12.703,366.354,42.857,57.83,72.866,97.944,324.235,163.334,104.942,385.125,267.414,602.156,164.625,146.469,0,4233.441,0.029,9.143,349.076,0.523,0,0.914,245.916,0,14699.089
"DOM_E",25.884,1.965,1.01,4.13,0,10.912,8.669,2.242,77.292,4.191,14.198,384.949,53.804,43.63,3.553,8.259,22.265,408.297,282.329,38.005,16.675,14.206,45.748,3.766,6.549,1.778,16.291,76.083,758.536,219.262,137.573,20.68,4.341,2.537,29.215,2.947,80.292,9.489,6.558,19.21,27.85,119.926,130.517,38.731,345.546,85.488,234.502,35.359,35.827,0,740.681,0.008,34.647,139.208,0.182,0,0.212,198.251,0,5034.255
"DOM_F",51.361,27.701,2.051,7.572,0,9.969,10.555,2.683,30.536,2.872,10.23,36.625,41.278,23.065,1.64,5.695,18.139,33.014,25.476,42.353,13.196,14.015,40.331,3.632,9.687,1.114,63.066,193.763,88.229,5399.025,218.734,65.927,7.154,5.79,140.902,5.398,70.773,13.047,34.396,16.963,50.768,1976.625,215.878,69.633,647.155,141.563,258.095,47.043,46.432,0,34.82,0.01,434.048,35448.614,0.472,0,0.934,52.266,0,46212.312
"DOM_G",399.59,168.466,10.472,23.57,0,62.15,55.446,6.485,1069.568,89.853,569.144,1266.307,514.802,1232.485,69.821,288.447,202.703,473.163,273.626,510.445,959.478,386.34,1089.786,173.061,159.577,19.746,282.875,255.067,138.063,1840.711,1417.064,781.418,83.138,97.663,201.139,28.623,444.938,259.871,83.209,195.809,175.911,252.538,425.4,545.869,400.221,201.024,896.461,150.034,175.007,0,9030.949,1.446,293.504,2671.534,2.651,0,82.575,8786.917,0,40276.163
