"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",8920.387,168.487,21.084,0.024,0.02,0.007,1.159,0.088,29436.026,199.161,131.312,15.923,3.735,136.452,55.6,52.617,4.379,1.59,1.102,9.544,3.546,3.841,7.896,9.382,2.375,12.54,45.39,123.593,20.897,151.624,874.014,24.295,9.815,2.181,16.34,2.439,3721.007,128.166,23.715,32.638,80.879,48.858,290.728,279.863,186.859,104.221,364.389,1126.094,327.583,0,31504.054,1532.779,3983.204,846.613,104.827,0,972.844,20589.209,0,106717.394
"DOM_A02",267.092,1416.425,1.514,0.142,0.022,0.017,0.983,0.004,286.195,8.089,2104.523,164.044,0.604,23.481,2.367,76.211,6.032,1.197,0.587,1.295,0.332,0.436,1.199,0.96,0.481,1.61,98.415,417.092,0.882,118.333,147.909,1.484,0.63,0.149,0.795,0.105,79.756,1.847,1.162,2.252,1.01,4.96,4.908,12.357,28.833,6.491,14.877,15.569,7.621,0,2348.144,0.007,0.9,3.046,1.921,0,0.439,456.605,0,8144.342
"DOM_A03",2.275,0.321,35.743,0.001,0.002,0.001,0.052,0.002,835.418,0.202,0.116,0.175,0.535,0.693,0.201,0.205,0.203,0.167,0.055,0.342,0.185,0.183,0.279,0.342,0.525,0.859,0.518,0.672,0.112,1.719,11.68,0.697,4.924,0.085,1.219,0.027,218.087,0.297,0.136,0.33,0.468,0.447,0.971,0.688,4.609,0.823,6.164,0.701,0.745,0,829.124,0.001,0.425,3.148,2.369,0,20.6,838.61,0,2829.47
"DOM_B05",0.309,0.012,0.006,0.011,0.003,0.002,0.102,0.01,0.905,0.09,0.055,0.133,2.375,0.703,0.076,0.144,1.676,2.283,0.262,0.179,0.107,0.106,0.141,0.241,0.036,0.341,0.205,49.717,0.066,6.671,0.732,0.158,0.038,0.03,0.044,0.005,0.291,0.061,0.043,0.053,0.048,0.235,0.221,0.213,0.151,0.078,0.223,0.043,0.081,0,6.108,0.001,0.219,0.998,0,0,0.069,16.442,0,93.553
"DOM_B06",1.475,0.133,0.156,0.003,0.007,0.004,0.147,0.012,1.188,0.064,0.11,0.192,40.23,7.568,0.067,0.1,0.614,0.638,0.15,0.254,0.027,0.129,0.114,0.316,0.021,0.196,0.685,37.938,0.532,2.967,4.22,6.957,5.529,5.141,0.863,0.157,0.607,0.13,0.158,0.291,0.682,0.245,1.285,1.878,1.293,0.266,0.681,0.233,0.343,0,0.019,0,0.003,0.007,0,0,0.001,341.781,0,468.806
"DOM_B07",0.028,0.001,0.001,0.001,0.002,0.014,0.159,0.01,0.087,0.004,0.004,0.007,0.498,0.483,0.005,0.021,0.922,6.239,5.061,1.043,0.025,0.102,0.281,0.303,0.037,0.304,0.134,1.219,0.053,2.474,0.06,0.016,0.002,0.001,0.008,0.001,0.014,0.002,0.002,0.002,0.005,0.025,0.063,0.04,0.015,0.003,0.006,0.004,0.01,0,0.069,0,0.019,0.146,0,0,0.001,81.401,0,101.44
"DOM_B08",40.89,1.124,0.941,0.175,0.146,0.296,114.754,1.173,51.565,1.527,0.307,9.548,96.947,205.222,1.486,4.776,1045.608,136.113,33.896,14.028,0.928,4.615,4.149,2.879,0.348,2.454,10.268,290.129,16.181,2321.978,10.595,3.155,0.296,0.12,1.164,0.042,5.284,0.039,0.15,0.054,0.096,25.169,4.878,46.185,16.746,0.762,0.992,0.836,1.328,0,174.233,0,0.013,0.064,1.374,0,0.015,574.608,0,5282.647
"DOM_B09",0.75,0.017,0.663,0.245,1.926,0.176,16.207,5.379,0.957,0.017,0.055,0.898,60.109,0.342,0.031,0.433,7.666,2.163,1.193,0.099,0.02,0.051,0.091,0.031,0.004,0.072,0.092,85.54,0.231,28.289,0.233,1.09,0.25,0.128,0.461,0.132,0.284,0.271,0.008,0.008,0.166,0.506,1.579,0.214,0.338,0.082,0.117,0.016,0.054,0,0.415,0,14.515,299.261,0,0,0.011,120.991,0,654.874
"DOM_C10T12",7164.82,7.776,121.749,0.038,0.062,0.03,3.646,0.153,21731.262,108.871,5.373,37.875,25.084,471.104,136.472,16.039,11.996,3.705,3.449,9.987,3.537,5.684,9.159,8.216,1.386,12.485,33.847,53.999,28.148,77.651,1246.089,32.663,39.433,4.776,29.521,4.775,15751.646,75.429,24.735,65.068,69.758,69.55,157.943,212.669,291.105,271.496,1060.794,262.604,131.378,0,102558.593,56.763,316.352,53.385,159.51,0,1798.439,46193.587,0,201031.664
"DOM_C13T15",11.186,1.388,3.408,0.035,0.042,0.034,0.853,0.09,24.506,986.397,4.262,21.13,2.584,19.592,5.026,25.893,11.428,2.754,1.044,11.401,4.788,4.805,8.839,77.516,3.529,22.531,112.211,21.183,10.334,76.805,167.771,7.468,1.251,1.064,5.937,3.178,74.25,7.559,4.192,6.209,10.983,8.103,68.77,137.026,86.803,21.693,117.939,48.541,68.889,0,6924.532,0.001,0.287,1.05,49.803,0,264.785,11736.349,0,21300.025
