"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",5367.052,24.01,20.193,0.047,4.074,0,3.84,1.847,14751.401,24.778,32.315,2.606,5.88,19.994,209.993,4.301,4.302,2.522,0.917,6.234,3.524,2.529,5.612,6.82,0.877,5.032,12.625,202.217,15.034,257.199,496.066,25.817,3.438,79.718,16.269,4.318,180.734,21.216,7.039,68.488,238.619,87.376,266.827,324.511,165.622,40.046,148.95,30.627,20.753,0,19391.725,3.912,11.473,1186.871,35.606,0,732.616,2941.507,0,47527.917
"DOM_A02",236.954,563.667,0.04,0.135,0.128,0,0.032,0.076,75.304,73.876,119.217,1.456,0.263,3.501,0.199,15.419,0.135,4.507,1.648,0.242,0.133,0.091,1.487,0.334,0.027,0.153,87.799,946.204,0.638,4,6.095,1.499,0.281,7.567,1.117,0.369,11.685,2.807,0.385,5.809,21.007,13.96,18.101,30.238,14.668,3.253,7.181,7.805,3.652,0,526.343,0.997,7.619,1.984,0.282,0,55.38,61.237,0,2948.983
"DOM_A03",1.387,0.009,160.083,0.001,0.176,0,0.027,0.024,413.675,0.066,0.035,0.072,0.198,0.127,0.082,0.085,0.063,0.06,0.02,0.112,0.103,0.042,0.101,0.179,0.022,0.066,0.132,0.31,0.192,1.265,2.235,0.521,1.02,2.339,1.789,0.119,108.042,1.005,0.09,1.614,6.523,3.937,6.493,9.547,4.832,1.245,8.873,3.683,1.185,0,946.804,0.3,2.31,6.05,3.76,0,88.858,1054.676,0,2846.567
"DOM_B05",0.008,0.001,0.001,0.114,0.041,0,0.03,0.081,0.027,0.001,0.005,0.022,4.287,0.536,0.012,0.009,0.783,5.242,0.006,0.021,0.007,0.004,0.008,0.012,0.003,0.004,0.016,9.262,0.034,1.347,0.261,0.042,0.007,0.015,0.037,0.009,0.06,0.025,0.03,0.06,0.097,0.594,0.117,0.086,0.178,0.133,0.099,0.022,0.106,0,19.435,0.01,0.001,1.998,0,0,0.066,200.254,0,245.668
"DOM_B06",0,0,0.025,0,61.437,0,0.236,1.41,0.039,0,0,65.384,463.903,15.63,0,0,0.088,7.608,9.594,0.072,0,0,0,0,0.055,0,0,1195.193,0.019,0.05,0.022,0,0.018,0,0.167,0,0,0,0,0,0.07,1.118,12.828,0,0,0.105,0,0.05,1.481,0,19.949,0,1.221,0,0,0,0,30871.84,0,32729.612
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",3.26,0.129,0.122,0.228,0.785,0,231.387,12.732,30.868,0.803,2.16,10.118,58.264,26.46,1.543,12.257,874.257,61.514,13.979,227.75,2.512,3.27,1.884,29.009,3.203,1.755,70.05,2.784,3.836,2660.872,42.077,10.601,1.084,1.586,7.923,1.592,6.725,2.446,1.456,5.218,7.357,17.775,18.771,95.663,14.181,13.818,10.386,4.032,3.834,0,238.784,0.106,0.636,14.96,1.442,0,3.112,805.519,0,5678.877
"DOM_B09",8.998,0.326,0.245,3.903,1742.712,0,165.802,759.586,33.412,1.328,3.117,4.102,284.74,7.765,4.733,5.952,41.108,3.564,1.465,7.895,3.351,3.611,9.24,9.837,0.465,7.848,8.102,237.592,11.667,443.22,106.173,44.055,2.101,2.152,11.982,4.325,13.791,10.005,4.3,18.406,32.603,17.678,135.594,27.585,28.44,19.267,39.286,7.818,4.074,0,212.537,0.384,2.844,81.018,10.87,0,12.632,1982.575,0,6648.182
"DOM_C10T12",1112.349,3.125,218.329,0.191,32.305,0,7.467,14.294,15972.683,545.225,80.613,38.577,197.697,320.747,68.422,130.02,46.618,18.625,19.274,43.985,163.833,146.662,372.51,342.975,4.857,32.239,234.151,123.535,44.424,540.081,1789.516,624.913,42.332,29.569,749.487,64.592,12950.386,335.377,50.436,228.768,305.376,321.659,308.568,412.953,251.787,1277.742,1410.007,494.438,331.967,0,85726.924,8.88,28.606,583.809,89.714,0,1274.077,21990.54,0,152558.237
"DOM_C13T15",15.816,0.365,20.97,0.091,2.672,0,0.887,0.916,65.006,339.066,9.918,89.817,23.827,39.229,11.913,214.978,10.261,3.635,1.221,16.588,5.793,6.112,16.234,375.198,1.233,8.468,34.247,12.208,16.292,154.217,1099.515,16.859,2.098,14.274,7.564,2.617,151.491,18.461,5.978,13.378,67.247,52.233,40.72,25.004,492.049,85.642,371.026,41.655,237.561,0,5017.883,0.937,6.77,183.379,44.714,0,121.713,5447.221,0,15065.167
"DOM_C16",45.502,1.636,1.49,0.364,2.602,0,2.206,1.803,953.804,10.194,1372.179,1234.528,68.201,254.238,42.712,196.206,105.012,2.864,7.686,52.931,55.189,45.532,55.704,46.578,15.686,6.332,167.413,40.732,95.251,250.453,1246.087,65.77,1.856,9.268,183.503,122.882,307.726,742.545,54.728,202.81,275.348,103.842,671.169,352.89,584.306,504.839,566.386,150.518,77.686,0,1696.981,0.408,6.558,87.303,15.001,0,35.55,892.372,0,14093.36
"DOM_C17_18",383.335,27.511,16.359,2.266,42.121,0,21.878,2.27,1255.892,10.616,15.598,1887.884,21.286,112.693,286.65,39.992,292.576,11.328,6.008,40.404,10.648,12.737,34.626,55.762,2.07,12.155,340.889,43.331,94.104,1080.675,2841.984,1294.354,194.794,2132.429,358.447,246.151,67.054,901.93,105.861,76.419,1092.26,143.603,454.655,627.132,1452.857,1532.216,1189.851,272.035,86.105,0,4307.888,0.908,9.589,180.113,35.607,0,76.816,3730.227,0,29574.95
"DOM_C19",0.034,38.974,91.948,2.628,0.105,0,81.795,95.683,0.121,3.654,190.986,210.362,2566.89,8.822,0.029,41.54,11.408,0.034,0.018,155.138,2.495,54.002,92.942,860.798,4.17,20.345,77.159,4505.87,8.611,1260.767,18.847,4846.296,945.066,3017.966,0.092,0.04,0.136,104.295,0.167,2.575,18.136,33.001,9.615,393.722,70.464,57.608,11.103,5.486,0.612,0,15631.223,0.04,0.155,5.212,93.326,0,116.12,20717.903,0,56486.534
"DOM_C20",984.796,1.366,2.485,1.536,8.465,0,27.994,18.929,508.259,232.364,141.189,107.417,3240.441,6109.551,336.874,1975.186,322.584,45.691,11.944,187.903,145.293,99.52,224.52,524.899,5.926,58.059,229.525,271.217,116.702,459.575,377.688,66.258,9.736,29.845,17.006,3.381,131.948,45.372,11.941,31.466,64.137,90.809,1272.935,355.759,162.164,198.917,871.922,30.938,167.737,0,6703.355,5.647,46.54,613.673,42.699,0,106.709,24862.255,0,52721.046
"DOM_C21",61.813,0.529,1.541,0.081,4.659,0,1.647,2.902,116.296,11.39,7.452,10.163,113.464,212.305,2657.344,70.644,15.591,5.049,2.007,14.809,14.432,8.979,66.884,37.298,2.071,11.387,73.32,47.756,12.209,99.928,100.903,26.786,4.496,15.213,13.08,3.383,60.766,24.428,18.183,67.543,73.519,45.565,1366.222,88.825,150.191,59.224,3863.953,18.714,24.574,0,3877.032,9.571,1545.33,800.526,58.236,0,32.451,28478.257,0,44510.925
"DOM_C22",493.643,1.185,8.53,6.916,9.553,0,7.698,3.039,2049.526,27.777,271.454,508.394,338.088,560.675,135.159,2016.558,127.627,19.322,5.334,477.755,185.345,313.825,522.43,2124.678,6.852,145.168,473.859,35.898,302.405,3298.667,2754.219,190.214,6.86,45.758,182.938,8.667,75.598,47.074,35.696,65.897,189.938,62.193,142.759,429.111,243.789,220.927,437.647,83.728,58.973,0,4503.256,2.555,18.196,479.509,82.368,0,24.749,9315.585,0,34185.567
"DOM_C23",18.889,0.269,0.58,0.14,3.241,0,139.985,1.492,633.441,10.583,41.418,11.24,109.412,110.234,16.762,251.979,844.087,211.398,9.163,179.911,47.842,68.812,24.984,689.6,74.937,23.236,22.182,13.282,47.305,12154.598,582.301,21.053,1.37,5.823,10.146,1.907,93.44,7.4,4.852,11.062,19.731,196.644,53.624,30.988,177.517,206.125,75.772,60.042,66.938,0,3306.53,1.116,4.017,193.079,30.036,0,9.227,2773.899,0,23705.644
"DOM_C24A",3.862,0.558,0.118,0.128,19.229,0,0.549,13.552,22.36,0.587,2.883,3.83,3.28,4.852,2.754,10.865,52.492,643.721,26.007,769.36,33.46,148.169,464.209,993.228,7.551,383.195,115.241,25.21,232.937,373.657,94.281,5.21,0.783,3.019,2.783,0.593,17.847,3.13,4.363,5.068,8.774,12.968,154.075,23.169,26.647,12.051,15.194,9.18,2.754,0,315.437,0.901,0.448,373.878,71.12,0,15.199,8818.313,0,14355.029
"DOM_C24B",4.957,0.152,0.219,0.034,3.816,0,0.61,1.129,17.21,1.101,1.425,8.862,7.923,12.753,3.56,15.084,7.636,40.697,78.352,73.246,9.199,26.171,74.883,77.634,0.619,26.255,41.4,9.38,7.631,106.636,40.529,11.455,0.748,5.287,4.091,1.373,7.766,5.674,3.229,3.492,9.222,7.526,23.858,13.185,23.881,13.273,22.709,3.757,2.101,0,188.021,0.956,1.376,106.226,0,0,6.391,7812.643,0,8977.341
"DOM_C25",229.358,1.948,8.741,0.607,225.577,0,15.497,55.532,393.204,21.381,64.63,95.842,94.493,213.553,69.589,385.106,371.228,782.956,79.38,3386.907,404.119,463.524,3397.524,2514.098,21.085,825.368,1123.695,532.934,528.163,6606.225,953.271,137.663,17.896,279.574,79.689,13.992,118.267,33.357,134.869,50.828,94.147,157.462,381.792,634.241,1584.212,140.949,244.929,64.837,50.872,0,4577.833,5.122,13.732,3446.967,788.523,0,18.124,10820.433,0,47755.847
"DOM_C26",28.927,1.872,10.256,0.548,113.273,0,16.721,29.319,212.872,12.79,14.071,34.561,76.751,82.452,28.352,61.65,89.469,70.309,13.997,140.026,561.385,168.529,175.377,417.307,7.358,171.337,329.532,439.296,78.712,553.534,704.372,172.238,21.929,372.315,121.323,24.054,168.954,295.429,501.906,224.37,73.084,91.156,599.375,241.537,1196,382.562,1118.036,96.193,98.547,0,5509.111,13.443,8.387,3664.576,695.105,0,30.918,10850.884,0,31216.388
"DOM_C27",10.672,0.559,1.91,0.161,24.191,0,4.277,6.691,69.797,3.428,5.826,9.503,17.318,20.109,9.529,28.201,28.277,21.5,4.503,86.152,110.051,296.978,151.927,174.631,2.344,170.944,176.023,198.408,35.551,1066.249,266.73,37.969,4.537,58.115,20.022,3.403,54.009,21.369,85.924,40.571,37.954,31.391,192.735,81.582,147.951,55.33,91.784,25.294,37.742,0,2548.83,3.905,4.829,692.156,119.097,0,31.994,11529.87,0,18960.806
