"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1345.159,1.294,5.316,0.536,0.297,1.043,3.874,0.033,3537.522,21.564,5.428,16.765,26.794,13.759,13.477,10.384,17.704,12.495,17.107,9.412,3.744,5.139,2.533,0.293,1.136,0.31,3.177,227.471,27.031,15.728,194.378,13.718,5.725,0.309,16.042,1.67,898.431,5.716,30.799,6.532,11.965,25.416,21.768,18.296,62.525,20.243,46.047,24.929,31.331,0,6360.688,7.665,20.996,235.845,71.263,0,184.585,2557.462,0,16220.866
"DOM_A02",3.563,0.434,0.016,0.002,0,0.001,0.003,0,7.209,0.045,2.973,0.436,0.006,0.022,0.022,0.127,0.014,0.003,0.005,0.003,0.001,0.002,0.001,0,0.001,0,0.134,0.343,0.009,0.179,0.679,0.007,0.025,0.002,0.009,0.001,1.835,0.006,0.011,0.005,0.003,0.019,0.017,0.025,0.122,0.017,0.042,0.056,0.053,0,44.273,0,0.093,2.313,0.638,0,0.339,15.269,0,81.418
"DOM_A03",0.308,0.002,6.933,0,0,0,0.002,0,103.459,0.006,0.001,0.003,0.011,0.007,0.015,0.003,0.004,0.002,0.003,0.004,0.002,0.003,0.002,0,0.003,0,0.002,0.008,0.007,0.029,0.782,0.01,0.143,0.003,0.015,0.001,48.061,0.013,0.017,0.016,0.015,0.022,0.045,0.022,0.509,0.044,0.247,0.057,0.102,0,479.641,0,0.095,2.659,3.865,0,10.28,595.233,0,1252.716
"DOM_B05",0.104,0,0.001,0.058,0.001,0.011,0.036,0.001,0.26,0.02,0.004,0.067,2.035,0.103,0.008,0.017,0.498,1.246,0.546,0.008,0.002,0.009,0.004,0,0.003,0.001,0.003,15.408,0.051,0.273,0.1,0.016,0.009,0.001,0.015,0.001,0.071,0.002,0.007,0.002,0.003,0.033,0.013,0.007,0.109,0.025,0.023,0.005,0.061,0,0.207,0,0.14,0.444,0.026,0,0.017,15.017,0,37.13
"DOM_B06",0.022,0,0.001,0,0.007,0.001,0.014,0,0.03,0.002,0.001,0.004,34.3,0.009,0.003,0.002,0.09,0.011,0.011,0.003,0.001,0.002,0.001,0,0,0,0.001,8.579,0.006,0.129,0.056,0.011,0.045,0.005,0.017,0.001,0.022,0.003,0.007,0.003,0.003,0.007,0.008,0.008,0.014,0.002,0.006,0.004,0.004,0,0.1,0,0.014,0.131,0.023,0,0.025,0.594,0,44.345
"DOM_B07",0.11,0,0.004,0.011,0.002,0.276,0.24,0.003,0.279,0.01,0.004,0.056,0.778,0.229,0.021,0.016,1.037,6.5,22.944,0.407,0.018,0.077,0.041,0.002,0.009,0.002,0.029,0.698,0.691,1.338,0.244,0.017,0.019,0.002,0.03,0.003,0.183,0.006,0.019,0.007,0.016,0.132,0.09,0.034,0.31,0.025,0.088,0.02,0.048,0,1.311,0,2.283,2.463,0,0,0.015,147.485,0,190.683
"DOM_B08",10.061,0.018,0.295,0.13,0.032,0.393,15.793,0.052,10.417,0.276,0.046,1.44,11.907,7.036,0.417,0.481,102.269,10.51,10.745,1.061,0.136,0.614,0.208,0.01,0.047,0.011,0.626,11.929,3.597,132.052,3.03,0.423,0.886,0.097,0.379,0.03,2.512,0.129,0.299,0.12,0.108,2.326,0.639,1.93,3.675,0.155,0.457,0.231,0.302,0,6.545,0.001,5.092,5.843,0.062,0,0.554,323.531,0,691.964
"DOM_B09",0.013,0,0.002,0.001,0.003,0.002,0.019,0.002,0.023,0.001,0.001,0.003,0.135,0.003,0.003,0.002,0.023,0.004,0.006,0.009,0.001,0.003,0.003,0,0.001,0,0.002,0.051,0.004,0.07,0.052,0.008,0.032,0.003,0.016,0.001,0.013,0.003,0.008,0.004,0.003,0.009,0.028,0.007,0.02,0.002,0.005,0.003,0.004,0,0.068,0,0.081,2.002,0.02,0,0.023,8.848,0,11.655
"DOM_C10T12",359.7,0.029,7.757,0.01,0.005,0.016,0.124,0.002,1073.245,1.439,0.14,1.436,1.508,3.706,5.949,0.63,0.478,0.226,0.425,0.54,0.178,0.383,0.207,0.013,0.078,0.016,0.45,0.98,1.048,2.588,69.283,1.026,12.165,0.301,1.824,0.162,1448.139,2.11,2.338,1.432,1.55,1.828,2.721,2.931,13.334,5.779,15.943,9.8,7.356,0,11185.04,5.248,23.721,7.635,126.13,0,515.716,5235.602,0,20162.417
"DOM_C13T15",3.955,0.021,0.874,0.032,0.01,0.049,0.148,0.005,8.281,116.653,0.338,2.663,1.346,0.956,1.376,2.607,1.255,0.397,0.53,1.106,0.611,0.989,0.502,0.165,0.324,0.068,4.933,1.27,1.661,6.298,27.297,1.118,2.167,0.283,1.353,0.479,16.852,0.807,1.247,0.557,0.695,0.872,4.407,5.823,15.922,1.84,10.156,5.968,6.806,0,495.994,0.006,1.099,4.679,25.433,0,21.092,997.447,0,1809.821
"DOM_C16",10.46,0.161,0.243,0.055,0.007,0.058,0.238,0.004,16.932,1.008,53.396,10.764,0.265,1.412,0.709,1.399,4.395,0.28,1.009,2.475,0.517,1.599,0.619,0.132,1.769,0.079,26.191,3.307,0.909,143.618,23.567,0.85,0.872,0.092,3.906,0.055,13.811,0.947,0.74,0.384,0.435,16.776,5.864,2.964,2.03,0.931,2.379,1.846,5.475,0,34.381,0.001,0.562,18.048,31.686,0,11.425,102.866,0,566.902
"DOM_C17_18",17.938,0.035,0.862,0.039,0.028,0.111,0.362,0.01,219.598,6.845,2.757,317.383,3.474,7.027,20.44,8.859,10.747,0.981,2.785,5.804,4.213,6.675,2.486,0.224,0.586,0.237,6.977,6.404,5.692,16.038,203.682,4.616,12.427,0.841,10.536,4.493,68.425,132.921,31.226,28.77,44.638,8.408,106.536,65.79,97.164,32.34,36.646,22.217,56.516,0,448.794,0.012,2.297,21.005,22.134,0,61.703,480.885,0,2680.641
"DOM_C19",548.793,3.096,72.889,2.985,1.004,7.194,25.592,0.738,315.306,11.578,11.891,31.572,1797.93,235.547,20.388,9.936,66.933,57.679,39.066,22.515,4.189,23.137,6.956,1.097,2.772,0.741,14.357,779.313,107.35,263.321,1063.865,743.141,3860.297,523.326,241.619,31.647,265.366,18.921,61.452,33.36,56.16,29.771,120.283,143.577,342.299,34.342,88.44,42.282,105.598,0,228.87,0.01,1.642,9.97,55.766,0,12.391,13795.125,0,26395.387
"DOM_C20",159.71,0.075,0.995,0.179,0.057,0.46,1.64,0.033,64.085,15.163,3.82,24.032,50.842,121.993,34.608,58.312,12.243,2.976,6,7.591,4.671,8.787,2.507,0.421,1.79,0.247,6.895,9.537,10.067,32.048,44.428,6.599,25.32,3.276,6.635,0.473,26.513,4.822,2.712,2.647,2.1,9.018,12.757,9.942,10.01,2.979,24.075,3.593,11.451,0,94.374,0.03,14.46,23.119,2.968,0,7.145,2240.178,0,3233.407
"DOM_C21",28.469,0.02,0.523,0.037,0.017,0.094,0.249,0.007,21.342,1.574,0.372,1.515,5.865,3.777,130.827,1.972,1.401,1.018,1.093,1.712,0.513,1.263,0.63,0.054,0.221,0.046,0.999,2.684,1.98,8.499,22.104,3.225,11.112,1.289,3.608,0.3,11.727,1.052,2.127,1.11,1.397,2.785,9.939,2.528,17.416,1.882,245.688,2.524,5.752,0,742.507,0.039,666.425,40.613,32.949,0,21.29,962.042,0,3032.202
"DOM_C22",55.798,0.123,1.892,0.293,0.101,0.397,1.433,0.033,299.303,13.162,4.216,25.889,5.86,14.684,31.762,107.817,12.875,2.277,6.635,22.149,16.102,36.466,13.659,2.963,3.322,1.582,18.163,4.806,15.974,159.999,223.042,21.3,14.528,1.013,12.441,1.089,44.493,4.715,6.208,2.48,3.582,20.755,21.116,19.334,14.373,4.034,16.983,5.758,10.406,0,118.629,0.007,2.128,20.383,26.263,0,2.391,952.977,0,2450.163
"DOM_C23",36.881,0.077,0.45,0.13,0.095,0.711,2.675,0.034,118.339,2.392,3.626,1.984,5.268,6.103,14.331,10.876,223.551,12.119,9.853,12.706,9.213,14.756,3.639,0.831,3.016,0.328,6.565,8.675,9.678,1036.169,67.699,4.257,20.43,1.175,8.589,0.484,61.684,1.258,3.887,1.643,3.141,84.009,19.437,7.25,13.448,5.778,10.426,5.115,11.434,0,131.773,0.032,4.484,18.565,6.755,0,7.214,574.276,0,2629.312
"DOM_C24A",2.343,0.011,0.046,0.128,0.122,0.23,0.202,0.016,3.126,0.348,0.527,0.514,1.106,0.399,0.308,2.986,5.442,118.542,13.885,140.123,4.795,20.526,28.732,1.773,9.499,2.223,5.698,3.609,13.037,116.737,13.108,0.5,2.233,0.005,1.825,0.018,0.603,0.032,0.087,0.034,0.079,2.673,5.372,0.472,1.094,0.267,0.253,0.462,0.854,0,0.005,0,0.911,0.006,0,0,0.001,1174.866,0,1702.795
