"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",0.774,0.015,0.015,0,0,0,0,0.001,32.008,1.357,0.023,0.029,0.002,0.098,0.037,0.051,0.008,0.005,0.004,0.014,0.105,0.029,0.026,0.043,0.006,0.008,0.015,0.052,0.04,0.162,5.112,0.054,0.097,0.064,0.003,0.006,11.009,0.019,0.042,0.011,0.015,0.056,0.049,0.034,0.043,0.12,0.139,0.113,0.168,0,366.61,0.168,14.332,14.167,-13.403,0,0.03,16.935,0,450.92
"DOM_A02",0.041,0.131,0.004,0,0,0,0,0.001,1.183,0.042,1.246,0.11,0.003,0.044,0.01,0.042,0.012,0.009,0.008,0.025,0.186,0.051,0.039,0.041,0.01,0.011,0.033,0.151,0.031,0.548,2.144,0.05,0.077,0.101,0.003,0.005,1.836,0.025,0.072,0.017,0.013,0.09,0.031,0.009,0.016,0.045,0.034,0.042,0.066,0,29.278,0.094,1.158,1.477,-1.272,0,0.01,7.397,0,46.834
"DOM_A03",0.023,0,0.081,0,0,0,0,0.001,4.32,0.025,0.008,0.01,0.003,0.027,0.007,0.01,0.006,0.008,0.006,0.019,0.153,0.041,0.031,0.029,0.019,0.01,0.005,0.027,0.022,0.114,1.226,0.037,0.133,0.098,0.002,0.003,3.729,0.019,0.058,0.014,0.011,0.029,0.019,0.005,0.015,0.033,0.032,0.024,0.033,0,69.92,0.056,0.698,0.904,-0.126,0,0.032,4.989,0,86.998
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B09",0.09,0.004,0.334,0,0,0,0,53.314,2.142,0.273,0.169,0.749,9.094,0.425,0.082,0.37,2.534,0.572,0.247,0.466,2.336,0.672,0.72,0.587,0.117,0.161,0.086,31.91,0.719,16.323,14.647,2.709,3.247,3.995,0.124,0.578,2.549,0.612,0.814,0.17,0.247,1.402,1.063,0.092,0.19,0.284,0.227,0.165,0.417,0,28.309,0.009,14.615,104.058,-0.85,0,0.029,26.686,0,330.887
"DOM_C10T12",17.918,0.039,2.094,0,0,0,0,0.058,733.562,7.457,0.172,1.061,0.16,8.813,2.371,0.738,0.163,0.032,0.023,0.119,0.613,0.186,0.245,0.178,0.043,0.043,0.144,0.775,1.993,1.657,210.028,2.576,18.032,4.957,0.276,0.696,1634.152,2.827,2.86,1.651,3.535,5.877,1.834,0.968,3.99,18.529,11.69,14.452,8.602,0,5967.237,3.974,21.492,1.38,-0.162,0,9.488,3330.572,0,12062.175
"DOM_C13T15",0.054,0.01,0.141,0,0,0,0,0.034,1.073,83.526,0.146,1.358,0.014,0.773,0.126,1.225,0.292,0.028,0.009,0.15,0.602,0.181,0.364,1.886,0.188,0.146,0.784,0.195,0.565,2.29,38.575,0.554,0.627,0.754,0.057,0.342,11.719,0.293,0.341,0.162,0.419,1.001,0.781,0.503,0.873,1.115,1.958,2.039,5.274,0,1384.45,0.351,0.949,12.792,-20.134,0,1.449,390.517,0,1933.921
"DOM_C16",0.611,0.277,0.075,0,0,0,0,0.152,15.162,3.178,100.062,10.681,0.024,3.532,0.309,1.744,2.749,0.125,0.08,1.519,3,1.503,1.74,4.332,2.438,0.473,11.185,5.488,2.223,240.271,132.295,4.513,1.513,1.441,0.913,0.276,23.477,2.073,1.473,0.545,1.098,34.202,5.404,1.579,0.655,3.493,1.747,2.822,15.587,0,348.452,0,0.012,24.277,-4.337,0,0.002,143.959,0,1160.404
