"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",265.975,14.652,5.855,0.009,0.002,0.003,0.137,0.013,885.351,10.578,13.467,0.974,0.341,1.883,3.1,2.307,0.539,0.057,0.028,0.512,0.139,0.445,0.487,0.071,0.129,0.026,1.727,6.894,0.85,6.556,52.47,1.646,0.443,0.125,1.681,0.139,197.239,0.871,0.591,1.284,1.804,1.138,5.981,6.516,10.15,3.296,11.153,8.869,4.925,0,1083.409,0.125,103.856,82.756,11.189,0,120.055,829.331,0,3764.151
"DOM_A02",4.419,86.17,0.188,0.024,0.001,0.001,0.048,0,4.941,0.326,170.201,5.229,0.015,0.152,0.064,1.91,0.299,0.012,0.008,0.043,0.003,0.017,0.032,0.002,0.022,0.001,3.091,13.433,0.031,2.676,4.909,0.07,0.018,0.004,0.071,0.009,2.292,0.052,0.047,0.072,0.059,0.118,0.144,0.23,1.361,0.18,0.25,1.026,0.364,0,165.276,0.05,0.269,0.056,0.394,0,3.187,80.17,0,554.038
"DOM_A03",2.286,0.073,2.816,0.002,0,0.001,0.025,0.002,14.116,0.56,0.327,0.305,0.237,0.207,0.263,0.372,0.345,0.049,0.019,0.414,0.086,0.269,0.239,0.045,0.125,0.015,0.41,0.442,0.098,1.752,1.689,0.435,0.088,0.05,0.139,0.02,8.637,0.081,0.058,0.077,0.087,0.096,0.321,0.254,0.578,0.188,1.044,0.386,0.234,0,95.485,0.001,0.958,3.404,0.43,0,8.542,155.482,0,304.664
"DOM_B05",0.012,0.001,0.053,0.031,0.028,0.008,0.499,0.379,0.02,0.003,0.005,0.021,1.224,0.004,0.002,0.009,0.293,0.041,0.04,0.01,0.001,0.004,0.004,0,0.001,0,0.005,6.695,0.01,0.494,0.018,0.032,0.005,0.002,0.019,0.004,0.015,0.006,0.001,0.001,0.003,0.011,0.035,0.004,0.018,0.004,0.008,0.004,0.004,0,0.113,0,0.027,0.075,0.007,0,0.028,2.456,0,12.794
"DOM_B06",0.01,0.003,0.007,0.001,0,0.005,0.035,0.005,0.016,0.002,0.004,0.004,0.56,0.025,0.002,0.002,0.176,0.312,0.357,0.057,0.001,0.007,0.007,0.001,0.001,0,0.011,0.692,0.007,0.173,0.061,0.089,0.035,0.03,0.023,0.003,0.013,0.002,0.003,0.003,0.005,0.004,0.014,0.015,0.023,0.003,0.008,0.007,0.007,0,0.041,0,0.008,0.056,0.008,0,0.023,0.627,0,3.598
"DOM_B07",0.006,0.001,0.002,0.003,0.001,0.015,0.09,0.013,0.024,0.003,0.004,0.005,0.19,0.046,0.003,0.008,0.45,0.882,1.065,0.342,0.014,0.126,0.064,0.007,0.009,0.003,0.055,0.562,0.019,0.447,0.037,0.011,0.001,0.001,0.007,0.001,0.009,0.002,0.003,0.003,0.005,0.006,0.029,0.009,0.012,0.002,0.004,0.005,0.007,0,0.021,0,0.018,0.041,0,0,0.028,2.633,0,7.352
"DOM_B08",2.677,0.228,0.34,0.034,0.011,0.02,4.411,0.162,6.791,1.578,1.067,1.065,2.959,1.554,0.703,1.012,43.133,1.302,0.451,1.718,0.292,1.007,0.806,0.128,0.255,0.043,1.468,9.011,0.647,54.411,2.799,1.246,0.205,0.149,0.405,0.051,4.248,0.169,0.15,0.164,0.208,0.883,1.044,0.924,1.608,0.327,2.428,0.642,0.552,0,34.436,0.002,2.709,11.943,0.044,0,3.781,48.47,0,258.871
"DOM_B09",0.122,0.02,0.246,0.112,0.119,0.031,2.105,1.6,0.136,0.02,0.043,0.118,4.441,0.019,0.014,0.045,1.115,0.077,0.049,0.084,0.009,0.041,0.078,0.006,0.012,0.004,0.439,8.004,0.076,1.885,0.257,0.302,0.065,0.079,0.172,0.023,0.089,0.035,0.045,0.041,0.033,0.044,0.234,0.111,0.166,0.02,0.056,0.057,0.032,0,1.022,0,0.031,0.35,0.34,0,0.067,19.796,0,44.539
"DOM_C10T12",190.581,1.542,22.014,0.018,0.004,0.007,0.347,0.027,649.411,7.552,1.955,5.238,1.821,5.13,6.333,1.93,1.975,0.224,0.135,2.057,0.407,1.39,1.283,0.224,0.36,0.072,3.097,4.928,1.675,10.179,80.422,3.981,1.838,0.417,3.544,0.578,569.019,4.835,1.852,3.322,4.595,2.602,10.601,11.072,24.501,11.508,29.308,23.984,9.831,0,2580.727,0.004,11.704,24.68,10.604,0,377.029,1398.126,0,6122.597
"DOM_C13T15",2.872,0.444,0.831,0.022,0.005,0.012,0.185,0.026,7.925,117.183,2.391,2.654,1.067,0.864,1.26,1.992,2.189,0.281,0.118,2.612,0.732,1.524,1.537,0.89,0.584,0.103,14.15,4.395,1.274,10.995,19.936,2.459,0.357,0.268,1.442,0.47,10.197,1.163,0.728,0.765,1.329,0.787,5.513,6.786,12.245,2.768,11.16,9.147,7.198,0,353.044,0.003,4.993,17.376,9.76,0,79.366,772.516,0,1512.896
"DOM_C16",9.588,2.975,1.059,0.064,0.006,0.018,0.531,0.046,26.2,6.632,235.587,12.288,2.308,2.57,2.403,4.832,11.419,0.645,0.346,10.301,1.207,5.134,4.623,0.993,4.314,0.279,54.755,13.625,1.593,227.413,28.39,5.554,0.687,0.495,5.344,0.226,18.241,1.519,0.801,0.946,1.179,7.2,11.054,5.59,5.273,1.94,9.994,4.904,7.473,0,136.82,0.009,9.319,41.245,3.728,0,22.473,662.498,0,1636.657
"DOM_C17_18",5.091,0.512,0.945,0.019,0.006,0.012,0.285,0.031,49.1,7.418,7.015,196.566,1.915,2.507,5.814,4.874,10.776,0.446,0.284,6.993,1.715,5.611,4.148,0.506,0.83,0.223,9.533,10.108,2.362,16.777,82.498,5.605,0.969,0.466,5.264,2.871,20.433,39.949,6.735,15.309,26.24,2.899,73.553,32.675,46.161,17.427,20.311,18.225,17.087,0,278.042,0.007,5.009,17.257,3.52,0,41.744,352.902,0,1485.578
"DOM_C19",40.538,7.369,15.536,0.356,0.066,0.181,4.887,0.621,79.597,22.117,18.147,15.036,213.184,29.4,9.748,12.444,27.642,5.312,1.452,21.467,4.145,13.787,11.392,2.225,3.566,0.689,27.57,337.849,13.591,107.598,145.84,199.813,79.243,68.074,37.579,5.628,61.923,6.592,8.348,10.727,24.403,8.825,58.341,38.08,55.696,9.087,42.804,20.463,17.977,0,378.222,0.116,37.493,119.236,0,0,63.474,649.05,0,3194.544
"DOM_C20",15.078,0.434,0.529,0.04,0.007,0.022,0.562,0.051,21.441,4.479,4.241,5.896,9.604,22.227,4.45,16.683,7.204,0.487,0.305,7.395,0.993,3.908,3.267,0.584,1.352,0.156,6.132,5.833,2.137,21.316,7.996,2.156,0.482,0.376,1.261,0.104,9.306,0.79,0.247,0.6,0.619,1.255,3.944,2.96,2.994,1.125,7.14,2.145,3.641,0,46.186,0.003,3.743,10.82,3.656,0,6.733,409.198,0,696.293
"DOM_C21",5.195,0.058,0.24,0.012,0.002,0.008,0.157,0.014,4.656,1.06,1.012,1.588,2.563,6.78,23.04,4.666,1.459,0.081,0.064,0.825,0.206,0.774,0.443,0.095,0.234,0.022,1.248,1.249,0.735,2.19,2.398,0.256,0.06,0.034,0.294,0.026,2.932,0.223,0.078,0.256,0.129,0.269,3.44,0.731,4.631,0.601,68.844,1.07,1.607,0,81.303,0.007,78.256,10.712,1.425,0,3.727,619.671,0,943.656
"DOM_C22",9.75,1.221,1.825,0.144,0.025,0.042,1.117,0.115,69.265,13.133,14.033,21.832,3.024,6.399,9.74,75.787,12.865,0.766,0.663,27.661,6.66,32.632,23.472,8.057,4.234,1.5,31.507,8.562,7.676,138.941,103.005,27.265,1.171,0.436,7.826,0.892,12.17,3.034,1.784,1.782,3.648,6.21,18.725,14.395,10.496,3.488,13.937,7.168,7.115,0,63.252,0.002,4.229,36.827,11.169,0,8.905,383.212,0,1284.79
"DOM_C23",7.501,0.773,0.626,0.054,0.017,0.058,2.6,0.097,32.11,3.832,7.749,2.451,2.79,2.908,4.088,6.852,183.504,2.956,0.842,11.721,3.017,10.205,5.19,1.607,2.694,0.275,9.534,13.506,3.718,623.156,20.507,4.468,1.055,0.325,2.978,0.236,15.882,0.537,0.665,0.57,1.398,18.138,11.212,4.067,7.427,3.002,8.17,3.881,4.624,0,70.296,0.009,5.854,61.487,0.567,0,9.287,628.861,0,1831.932
"DOM_C24A",0.054,0.014,0.007,0.009,0.004,0.004,0.024,0.008,0.099,0.039,0.191,0.067,0.084,0.025,0.014,0.295,0.873,5.452,0.205,23.543,0.29,2.706,7.063,0.631,1.601,0.307,2.201,0.944,0.908,14.558,0.768,0.098,0.029,0.001,0.174,0.002,0.018,0.003,0.004,0.004,0.012,0.131,0.654,0.073,0.097,0.026,0.024,0.071,0.071,0,0.03,0,0.195,0.034,0,0,0.002,240.836,0,305.577
"DOM_C24B",0.039,0.015,0.002,0.001,0.001,0.002,0.017,0.002,0.505,0.064,0.215,0.199,0.078,0.285,0.086,0.328,0.559,1.196,6.416,16.493,1.173,10.725,4.322,0.514,0.641,0.228,3.843,0.729,1.28,5.274,1.128,0.089,0.026,0.004,0.078,0.001,0.095,0.012,0.007,0.009,0.025,0.096,0.219,0.034,0.1,0.005,0.053,0.071,0.118,0,0.644,0,0.009,0.257,0,0,0.021,117.091,0,175.42
"DOM_C25",6.39,1.316,0.927,0.227,0.045,0.066,1.168,0.293,28.021,5.041,11.139,10.196,3.136,2.463,2.294,6.172,11.801,3.618,1.206,133.41,5.299,34.595,62.839,5.48,15.775,2.149,41.356,23.695,4.339,207.22,38.026,5.728,0.993,0.425,4.62,0.51,10.962,4.964,3.126,2.89,4.166,6.821,24.55,11.351,24.632,3.638,7.949,6.162,6.603,0,85.467,0.029,5.264,214.619,151.346,0,14.754,1579.606,0,2850.874
"DOM_C26",1.781,0.179,0.228,0.008,0.002,0.003,0.086,0.018,4.773,1.551,0.96,0.916,0.725,0.501,0.682,0.878,1.051,0.166,0.065,1.525,6.012,2.976,1.652,0.218,0.595,0.081,3.104,2.628,0.385,6.234,4.924,1.299,0.245,0.203,0.65,0.1,3.515,0.492,2.192,2.025,0.676,0.385,3.926,1.229,2.725,0.653,4.085,1.358,1.063,0,45.615,0.069,9.862,66.18,21.329,0,9.048,209.111,0,432.946
"DOM_C27",1.787,0.211,0.274,0.021,0.004,0.009,0.207,0.038,4.795,1.377,1.053,1.056,0.769,0.507,0.627,1.047,1.416,0.228,0.112,3.542,7.693,33.56,8.125,1.002,1.379,0.28,10.44,20.724,0.793,25.399,9.314,1.988,0.365,0.21,1.02,0.121,3.975,0.765,3.957,2.438,0.621,0.647,6.061,2.4,3.784,0.72,3.681,2.088,1.726,0,88.8,0.03,3.466,107.797,85.733,0,9.029,995.772,0,1464.984
"DOM_C28",4.776,0.685,0.638,0.079,0.016,0.025,0.497,0.105,14.372,3.789,3.744,2.329,2.167,1.378,1.568,2.602,4.376,0.965,0.328,24.958,1.598,8.847,21.03,1.355,3.928,0.521,14.285,9.604,1.527,45.742,11.17,3.308,0.554,0.378,1.578,0.153,8.018,0.512,0.853,0.825,0.773,1.306,5.358,3.305,5.583,0.886,5.741,1.996,1.807,0,68.872,0.008,6.606,185.653,147.922,0,8.832,668.518,0,1318.355
"DOM_C29",0.356,0.221,0.08,0.008,0.002,0.004,0.076,0.017,1.46,4.179,0.337,0.422,0.166,0.151,0.272,1.184,0.535,0.059,0.04,1.036,0.196,0.999,1.692,9.861,0.263,0.132,2.869,1.099,0.396,3.588,15.257,5.338,0.227,0.138,0.938,0.077,0.504,0.138,0.259,0.549,0.231,0.16,2.094,1.467,1.827,0.266,0.763,0.656,0.523,0,19.608,0.023,6.909,58.812,22.968,0,1.468,215.664,0,388.561
"DOM_C301",0.004,0.003,0.447,0,0.001,0,0.006,0,0.011,0.001,0.003,0.002,0.002,0.001,0.001,0.003,0.003,0.001,0.001,0.048,0.013,0.029,0.179,0.028,50.749,0.63,3.046,0.031,0.009,0.071,0.237,0.504,7.448,0.712,0.791,0.005,0.011,0.002,0.001,0.002,0.013,0.003,0.063,0.139,4.447,0.011,0.009,0.08,0.091,0,19.078,0,0.001,93.663,61.18,0,0.004,138.657,0,382.474
