"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1674.226,24.623,1.18,0.009,0.187,0,0.404,0.202,4081.848,23.162,15.562,5.371,3.417,37.933,20.685,27.077,4.455,2.285,1.887,6.999,17.221,12.872,9.073,25.372,0.024,1.519,8.658,18.686,4.082,51.286,139.972,10.255,0.126,3.289,4.411,0.679,374.963,2.92,1.757,2.671,4.408,16.47,16.242,26.056,27.262,14.144,37.141,16.376,10.556,0,2119.261,2.297,29.967,336.062,23.847,0,69.712,3892.502,0,13263.646
"DOM_A02",20.028,111.104,0.029,0.007,0.023,0,0.08,0.012,18.17,0.391,172.948,14.659,0.144,2.27,0.381,11.699,1.367,0.204,0.244,0.72,0.65,0.771,0.501,2.559,0.005,0.105,11.872,10.496,0.191,19.745,10.404,0.603,0.004,0.121,0.349,0.052,3.482,0.278,0.123,0.244,0.32,1.616,1.039,1.162,2.589,0.802,0.921,1.548,0.888,0,198.915,0.28,1.898,6.738,1.05,0,2.438,110.926,0,750.163
"DOM_A03",0.889,0.012,0.201,0,0,0,0.001,0,15.608,0.01,0.003,0.007,0.008,0.051,0.024,0.013,0.006,0.003,0.003,0.01,0.015,0.014,0.01,0.026,0.001,0.007,0.01,0.018,0.008,0.202,0.331,0.026,0.004,0.008,0.02,0.002,2.835,0.021,0.004,0.009,0.012,0.069,0.04,0.029,0.163,0.05,0.108,0.182,0.052,0,17.134,0.603,0.405,1.347,0.07,0,3.141,14.741,0,58.568
"DOM_B05",0.034,0.001,0,0.001,0.008,0,0.008,0.011,0.055,0.005,0.005,0.019,0.263,0.047,0.008,0.029,0.065,0.025,0.021,0.025,0.033,0.024,0.015,0.065,0,0.004,0.009,2.636,0.023,0.095,0.096,0.033,0,0.002,0.008,0.002,0.038,0.006,0.005,0.004,0.008,0.032,0.017,0.012,0.04,0.026,0.027,0.019,0.013,0,0.191,0,0.013,0.109,0,0,0.004,1.906,0,6.147
"DOM_B06",0.33,0.029,0.026,0.024,2.686,0,1.575,3.765,0.252,0.014,0.025,0.203,182.965,0.146,0.036,0.217,1.539,0.362,0.477,0.124,0.167,0.153,0.105,0.244,0,0.018,0.091,66.872,0.17,8.934,0.618,0.353,0.003,0.089,0.161,0.031,0.139,0.079,0.061,0.136,0.107,1.902,0.493,0.162,0.917,0.194,0.174,0.091,0.064,0,0.517,0,0.252,47.529,0,0,0.014,198.459,0,524.093
"DOM_B07",0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0.001,0,0.001,0.002,0.006,0.001,0.01,0.001,0.002,0.004,0.01,0,0.001,0.001,0.004,0,0.008,0.002,0.001,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0.001,0,0,0,0,0,0.001,0,0.001,0.007,0,0,0,0.205,0,0.277
"DOM_B08",3.246,0.103,0.02,0.01,0.292,0,5.725,0.708,3.064,0.082,0.046,0.926,5.825,16.195,0.213,0.879,98.541,10.308,6.319,1.548,0.604,1.38,0.599,1.123,0.001,0.055,0.845,7.956,0.907,109.331,1.117,0.419,0.004,0.031,0.129,0.017,0.286,0.025,0.024,0.027,0.048,2.08,0.311,1.801,1.454,0.126,0.11,0.11,0.103,0,1.876,0,0.219,10.442,0.062,0,0.11,66.029,0,363.814
"DOM_B09",1.13,0.045,0.123,0.116,11.68,0,7.632,18.24,1.562,0.095,0.782,1.079,61.256,0.828,0.216,1.177,7.551,1.735,2.27,0.515,1.199,1.019,0.948,1.891,0.002,0.115,0.648,32.146,0.218,15.422,1.743,1.482,0.02,0.699,0.623,0.117,0.411,0.278,0.066,0.139,0.18,0.615,1.208,0.347,0.62,0.17,0.289,0.147,0.154,0,2.845,0.002,0.427,49.515,-0.19,0,0.166,118.517,0,352.233
"DOM_C10T12",887.997,2.088,3.551,0.008,0.176,0,0.464,0.212,2282.442,8.932,3.166,9.679,5.463,82.064,30.949,21.13,5.136,2.977,3.218,9.648,18.72,14.739,9.971,27.654,0.028,1.702,7.427,7.446,7.406,23.952,153.611,9.825,0.305,3.469,4.552,0.94,986.252,7.79,2.26,5.246,6.076,13.343,16.534,18.677,43.012,34.597,65.106,38.344,14.245,0,5984.476,6.941,13.943,53.194,26.545,0,150.185,6881.539,0,18019.353
"DOM_C13T15",2.35,0.205,0.107,0.003,0.048,0,0.079,0.059,4.413,86.158,0.658,3.377,0.34,3.001,1.113,7.184,2.373,0.422,0.371,2.266,4.165,2.785,2.578,47.486,0.012,0.731,12.921,1.129,0.996,9.189,18.229,1.516,0.011,0.461,0.624,0.408,5.723,0.879,0.286,0.715,0.662,1.406,4.22,7.098,10.996,2.731,7.726,6.243,5.334,0,116.975,0.016,0.748,14.118,6.149,0,6.392,1161.757,0,1577.938
"DOM_C16",11.985,5.718,0.054,0.012,0.096,0,0.31,0.125,20.007,2.258,202.656,22.714,0.587,10.588,1.788,10.669,16.243,1.873,2.534,18.332,11.026,14.98,10.268,60.462,0.117,2.218,105.295,7.121,2.794,359.487,30.908,4.062,0.023,0.818,3.628,0.162,6.928,1.834,0.387,0.711,0.798,17.862,9.772,7.869,4.596,2.967,4.711,3.571,7.234,0,32.948,0.005,1.873,34.896,15.439,0,5.456,755.322,0,1857.096
"DOM_C17_18",11.289,0.433,0.116,0.005,0.183,0,0.268,0.157,151.275,4.81,7.768,525,2.217,26.847,27.5,33.998,22.607,1.992,3.648,20.579,44.646,34.809,17.911,56.943,0.028,3.596,22.296,9.578,5.457,26.623,184.878,11.991,0.127,2.468,6.387,5.925,22.206,117.012,8.792,25.292,44.692,13.59,104.999,82.062,99.719,67.44,37.999,30.381,30.025,0,317.666,0.072,2.359,15.009,6.606,0,15.739,1506.086,0,3822.103
