"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",13687.352,249.608,104.114,2.923,12.694,2.334,9.178,0.923,61576.599,2740.703,110.568,24.659,1.921,416.984,43.946,388.626,3.48,0.23,0.42,5.19,9.442,4.593,7.787,6.292,0.703,7.214,61.281,23.145,12.432,439.215,1281.873,12.826,9.721,1.582,5.007,0.715,6176.048,2.136,1.098,0.727,2.061,10.669,6.713,51.433,281.603,202.424,84.784,15.195,67.349,0,38355.068,26.216,0.917,18109.764,270.166,0,7.115,6677.268,0,151615.036
"DOM_A02",203.192,1864.497,3.97,20.89,15.036,4.263,5.184,0.042,234.634,52.173,6453.643,588.592,0.314,37.129,0.897,325.071,7.793,0.187,0.49,1.977,0.509,0.772,1.104,0.754,0.465,1.145,223.135,57.725,0.512,232.975,149.117,0.671,0.613,0.158,0.255,0.074,63.27,0.472,0.436,0.478,0.166,2.089,0.172,1.55,48.879,14.283,1.883,2.183,8.211,0,350.134,0.003,0.026,0.937,0.3,0,0.002,94.384,0,11079.817
"DOM_A03",14.947,3.313,913.507,0.633,0.499,1.137,0.884,0.021,8253.381,3.953,0.449,0.811,0.508,4.308,0.416,1.398,0.662,0.058,0.114,1.48,1.351,0.989,0.692,0.548,0.172,0.547,0.845,0.625,0.413,7.981,63.797,0.771,3.061,0.376,0.307,0.013,1892.636,0.503,0.25,0.508,0.742,1.722,0.168,0.677,75.176,17.191,7.992,0.831,6.172,0,23872.135,0.012,0.066,2.537,4.771,0,0.549,645.435,0,35815.041
"DOM_B05",105.605,8.125,0.899,4178.345,1117.925,704.515,486.076,103.538,479.643,355.668,47.966,591.493,3698.2,1705.739,4.436,288.826,2257.392,955.35,522.727,46.098,18.725,65.629,33.718,38.965,12.424,153.769,18.769,18771.099,20.886,2302.816,146.78,34.972,2.211,2.541,7.018,0.808,43.331,1.018,2.396,1.243,1.503,29.156,1.272,4.57,297.333,199.205,8.121,0.76,35.142,0,10.824,0.015,0.134,2.675,0,0,0.01,52038.643,0,91967.052
"DOM_B06",10.991,0.363,0.732,253.756,6408.278,190.453,280.888,50.848,264.248,102.123,38.102,339.283,36804.637,2833.919,3.368,257.459,569.401,63.235,145.291,226.738,21.514,32.07,24.207,55.174,6.619,96.989,48.205,6134.469,33.422,373.077,338.578,31.517,3.841,1.356,21.875,3.812,27.35,2.167,1.635,2.953,6.09,29.252,4.815,12.885,174.881,63.812,4.402,0.888,13.458,0,8.891,0.014,0.113,2.351,0,0,0.009,20924.364,0,77351.167
"DOM_B07",5.555,0.078,0.338,100.219,288.85,2544.036,410.369,40.642,38.145,13.446,1.005,2.641,177.855,462.698,0.968,14.178,536.447,649.832,3008.721,391.639,7.741,27.071,21.364,13.962,0.532,2.514,26.46,94.831,3.633,1431.662,11.601,3.068,0.224,0.541,0.627,0.093,5.051,0.112,0.085,0.043,0.069,1.673,0.509,1.27,5.063,1.826,0.199,0.108,2.462,0,0.863,0.063,0.136,1.97,0,0,0.009,15724.268,0,26079.363
"DOM_B08",93.249,4.46,7.364,75.853,305.67,222.159,1814.266,40.722,149.559,37.75,2.94,100.743,175.838,979.679,1.815,60.709,4067.429,65.936,86.647,82.405,12.844,39.442,15.072,10.993,1.191,12.578,60.135,118.309,29.564,13682.393,31.906,4.97,0.342,0.288,1.17,0.097,13.624,0.075,0.215,0.059,0.067,33.155,0.514,15.112,84.288,5.064,0.484,0.29,1.821,0,38.226,0.004,0.04,1.659,0.104,0,0.003,108.595,0,22699.885
"DOM_B09",1.716,0.071,4.518,92.4,3500.363,114.632,221.134,164.13,3.359,0.536,0.509,8.248,94.943,1.597,0.047,4.911,25.831,0.924,2.664,0.681,0.455,0.497,0.363,0.208,0.019,0.305,0.199,30.427,0.489,144.913,1.646,1.588,0.742,0.625,0.424,0.265,0.842,0.175,0.026,0.016,0.082,0.584,0.17,0.093,1.547,0.498,0.066,0.009,0.176,0,3.392,0.003,0.024,2584.01,0,0,0.002,356.692,0,7374.786
"DOM_C10T12",6238.905,12.25,365.754,6.868,50.507,8.518,20.427,2.017,24888.171,475.17,18.664,149.058,18.63,865.859,62.741,79.703,15.031,0.779,3.524,25.01,18.551,19.351,13.231,11.791,1.712,20.365,57.259,11.018,19.823,171.446,1356.279,21.426,55.276,10.657,12.557,4.227,16850.474,25.628,12.381,17.49,20.548,38.302,6.855,38.264,601.562,712.35,167.603,39.615,225.793,0,123522.563,119.101,2072.431,12.721,113.976,0,34.165,44844.646,0,224589.023
"DOM_C13T15",39.278,7.13,55.673,14.222,69.204,16.974,16.567,3.129,91.891,28331.405,39.421,479.254,4.868,186.516,6.847,722.22,87.19,1.38,2.437,88.142,38.9,55.886,45.491,399.532,23.138,199.634,753.912,5.089,14.223,645.469,544.073,11.167,4.615,4.748,6.669,5.906,226.567,4.266,3.108,4.22,5.591,15.855,7.522,48.675,382.019,91.125,60.892,16.554,396.712,0,18174.356,17.721,0.115,748.338,146.824,0,26.398,16772.192,0,70171.251
