"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",55117.281,199.228,401.627,2.838,0.897,2.763,3.286,2.384,155180.739,13120.859,25.965,27.575,0.856,1249.955,1210.201,544.358,9.062,1.301,1.342,1.739,6.515,5.023,22.659,10.638,0.04,2.57,286.908,66.868,43.17,622.761,1477.413,120.682,2.252,1.067,32.175,3.034,10104.564,11.499,7.628,8.422,20.061,22.939,37.707,495.562,312.151,167.417,345.077,91.24,346.195,0,357390.511,3.382,0.355,825.747,68.391,0,97.847,11319.823,0,611484.553
"DOM_A02",3674.214,7078.096,68.044,110.286,5.262,28.36,8.736,0.413,2901.017,1028.023,6884.169,3179.789,1.437,496.672,107.757,2051.312,141.769,32.567,14.634,5.454,0.436,4.74,14.996,5.851,0.153,2.006,4816.124,806.819,7.845,1507.654,765.142,24.923,0.599,0.399,7.013,1.405,490.939,11.478,16.184,30.594,6.817,23.776,3.475,64.196,242.691,52.747,34.12,58.646,80.549,0,14823.808,3.603,0,0.018,4.333,0,0.001,1960.406,0,53692.496
"DOM_A03",17.182,0.781,1072.99,0.177,0.004,0.456,0.085,0,6480.091,3.079,0.011,0.102,0.084,3.068,2.934,0.253,0.419,0.097,0.119,0.17,0.137,0.281,0.374,0.067,0.002,0.011,0.798,0.159,0.423,2.247,23.981,1.46,0.213,0.069,0.523,0.002,914.21,0.762,0.502,2.079,2.216,1.046,0.205,1.106,24.936,4.232,9.97,1.471,5.321,0,38365.482,0.783,0,0.016,4.684,0,6.96,680.198,0,47639.029
"DOM_B05",77.048,2.11,1.567,702.763,12.433,148.629,25.556,39.84,205.003,251.217,3.056,102.459,1210.305,710.367,27.812,65.451,1260.482,5682.207,518.496,12.051,10.427,25.654,27.645,24.996,0.182,13.485,24.788,8360.983,24.492,496.497,48.849,84.87,0.229,1.294,12.631,2.89,24.733,3.034,5.979,6.238,7.444,9.941,1.267,12.117,50.422,25.941,8.929,1.603,26.538,0,487.694,0.017,0.976,41.989,0.532,0,1.516,299.865,0,21235.541
"DOM_B06",37.473,2.604,2.535,41.799,95.516,41.174,14.811,19.707,169.46,110.69,4.324,63.37,15818.544,1136.249,28.482,64.331,327.389,417.44,142.341,34.802,14.914,23.134,31.66,40.664,0.153,12.507,49.644,3632.625,20.264,161.913,97.389,116.698,1.253,9.62,52.838,5.913,18.931,4.974,6.883,11.431,15.137,9.767,3.379,24.425,31.16,9.283,6.619,1.725,7.543,0,411.655,0.029,0.344,84.1,0,0,1.901,282.02,0,23775.536
"DOM_B07",10.817,0.028,0.623,57.61,11.016,2198.953,76.031,55.824,49.045,33.637,0.115,1.794,197.512,679.868,12.93,9.614,1080.029,13982.361,10307.662,139.768,4.286,25.391,36.396,15.999,0.02,0.554,61.071,144.301,6.524,1011.062,6.254,15.193,0.022,0.352,1.971,0.188,4.461,0.248,0.261,0.154,0.198,1.682,0.881,5.831,2.642,0.707,0.409,0.301,5.286,0,0.13,0,0,0.019,0,0,0.002,577.651,0,30835.686
"DOM_B08",41.395,1.213,10.041,53.741,119.575,100.685,87.549,203.386,63.452,35.565,1.287,16.695,132.118,212.098,12.255,17.25,1145.558,254.481,70.353,10.05,7.499,12.154,13.433,11.992,0.061,3.444,29.267,74.397,9.567,1413.555,22.688,37.796,0.193,1.05,6.303,2.332,7.373,2.231,2.609,2.885,3.226,6.136,0.765,15.132,9.467,1.766,2.359,0.631,2.96,0,213.393,0.01,4.872,339.826,1.621,0,1.909,1860.878,0,6714.524
"DOM_B09",55.16,1.411,125.774,787.399,1990.332,1243.61,606.726,3307.099,74.251,21.598,2.038,74.75,1567.407,42.313,11.912,54.4,776.288,312.877,138.502,7.948,5.859,10.812,14.878,10.882,0.038,3.286,12.691,690.982,15.258,1544.175,23.295,141.931,1.696,9.656,34.053,10.115,11.913,8.721,2.365,2.567,7.24,10.197,4.18,8.397,14.112,3.737,3.202,0.574,3.826,0,177.575,0.013,80.398,5225.851,0,0,0.82,538.446,0,19835.535
"DOM_C10T12",15468.168,11.733,869.536,39.15,20.816,82.817,39.672,20.191,39311.265,1629.169,12.757,229.187,117.287,2532.067,1255.58,462.951,731.092,391.798,103.586,177.103,90.536,158.42,261.534,245.613,1.037,61.437,396.198,396.276,185.715,2687.53,1190.839,422.707,10.645,25.286,124.543,26.6,17247.544,125.298,187.74,283.638,299.936,234.897,36.41,397.101,622.167,442.961,499.576,179.299,352.568,0,207602.129,18.164,103.899,5664.482,105.017,0,447.718,38081.062,0,342722.449
"DOM_C13T15",739.809,8.216,117.1,33.699,14.94,72.967,14.77,16.76,780.386,55288.455,15.4,423.511,92.723,2229.295,506.783,1338.506,396.151,217.073,66.653,91.907,100.225,162.139,168.196,594.984,1.409,72.758,2036.661,257.942,180.556,3514.692,534.927,267.488,1.968,13.562,88.219,26.849,427.218,45.841,113.964,107.983,128.449,328.275,34.249,396.732,489.692,123.919,234.57,80.716,440.092,0,101470.362,3.671,228.955,14687.787,316.008,0,314.021,36641.774,0,227101.961
"DOM_C16",191.096,45.191,11.007,16.69,3.236,22.254,4.854,4.729,300.292,276.25,681.21,405.868,5.343,238.446,54.74,132.256,283.437,45.951,25.944,63.728,34.998,92.104,80.483,202.874,1.947,29.193,4927.681,48.805,28.107,8472.839,202.085,102.207,0.895,5.759,60.785,2.803,96.713,22.419,23.131,31.655,22.199,154.935,13.118,125.03,38.1,25.245,24.448,13.869,151.16,0,2784.73,0.065,17.478,594.059,2.68,0,12.427,703.768,0,21963.319
"DOM_C17_18",247.286,37.852,33.568,8.409,7.443,34.173,5.371,7.857,3740.376,1417.309,89.444,11071.311,22.554,826.084,1297.383,555.261,695.705,90.137,56.69,127.431,205.419,316.888,262.156,254.435,0.554,62.725,1428.029,70.654,97.844,1277.767,1325.189,331.014,4.53,15.989,132.3,117.427,396.351,2332.626,396.291,1299.32,1496.932,110.686,157.797,1345.97,989.36,667.789,311.8,120.628,493.796,0,5301.425,0.075,45.654,1267.612,14.559,0,40.467,1978.599,0,45042.295
"DOM_C19",4354.032,90.453,975.588,407.638,150.055,918.61,189.892,241.314,2164.193,4372.576,73.836,796.06,10826.021,15031.49,1781.904,3427.354,2423.593,3213.971,496.852,289.488,229.444,674.741,421.599,842.011,2.202,127.639,1353.778,4373.195,800.176,6263.589,2661.183,23256.379,331.595,2855.359,1197.963,335.697,598.693,166.782,346.454,623.32,980.204,180.112,120.244,1741.016,1491.641,323.905,390.608,109.558,740.521,0,32398.15,0.836,2.412,173.64,301.328,0,129.119,87533.475,0,226303.488
"DOM_C20",7512.798,14.036,68.398,129.097,45.575,432.125,80.586,75.241,2372.297,16192.609,119.05,1848.567,896.225,33216.218,6337.826,14823.27,2137.456,761.28,395.095,454.043,780.021,1746.531,756.641,1529.361,5.612,204.054,3363.581,178.238,677.16,5074.162,499.5,322.058,4.538,23.199,149.822,13.637,400.774,220.871,119.922,289.926,167.325,319.691,113.878,878.033,307.613,189.565,525.351,59.728,1023.408,0,23455.956,1.46,93.951,7840.142,266.949,0,39.742,32290.583,0,171844.777
"DOM_C21",695.023,1.604,19.435,9.282,4.299,35.26,3.189,3.039,376.146,371.352,3.512,36.126,20.41,848.434,15148.442,246.184,46.682,40.362,12.171,15.312,22.44,27.921,45.821,35.672,0.155,7.52,178.996,17.659,49.395,459.404,100.145,62.031,0.947,4.969,14.459,3.429,26.981,12.193,13.272,15.237,19.851,42.361,55.232,45.78,349.766,62.775,4023.921,19.463,99.587,0,37586.288,4.134,29.504,1600.313,42.579,0,51.077,18501.931,0,81569.474
