"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1636.731,10.819,6.054,0.002,0.005,0.058,0.02,0.002,6905.037,8.828,23.064,0.851,0.133,97.49,552.898,6.71,0.643,0.06,0.076,0.375,2.823,0.127,0.463,0.041,0.002,0.001,35.607,16.76,2.124,88.635,149.558,0.912,0.158,0.106,4.109,0.27,227.749,3.752,0.64,8.425,6.024,11.824,14.487,44.648,18.12,6.312,79.211,7.147,20.543,0,1920.552,1.625,621.288,114.664,6.46,0,41.04,1332.005,0,14038.068
"DOM_A02",3.197,8.099,0.031,0.001,0,0.007,0.001,0,4.068,0.021,48.977,1.089,0.02,1.199,1.707,0.702,0.111,0.007,0.009,0.017,0.12,0.007,0.018,0.003,0,0,11.929,3.661,0.013,1.866,2.074,0.018,0.002,0.013,0.044,0.009,0.356,0.173,0.013,0.513,0.058,0.062,0.071,0.192,0.335,0.058,0.263,0.118,0.223,0,48.319,0.007,0.255,0.325,0.254,0,0.198,101.234,0,242.068
"DOM_A03",0.223,0.012,5.398,0,0,0.002,0,0,98.559,0.002,0.007,0.004,0.02,0.166,0.705,0.006,0.016,0.003,0.004,0.011,0.114,0.006,0.012,0.002,0,0,0.096,0.052,0.007,0.133,1.03,0.014,0.006,0.014,0.035,0.005,7.131,0.133,0.006,0.42,0.119,0.041,0.074,0.054,0.409,0.054,0.77,0.037,0.151,0,124.789,0.003,0.116,0.398,1.091,0,1.555,291.463,0,535.477
"DOM_B05",0.01,0,0,0,0.001,0.01,0.001,0,0.038,0,0.002,0.003,0.055,0.142,0.07,0.002,0.076,0.072,0.087,0.006,0.023,0.001,0.003,0,0,0,0.021,2.069,0.002,0.11,0.021,0.003,0,0.002,0.006,0.001,0.004,0.012,0.001,0.02,0.006,0.004,0.007,0.007,0.007,0.002,0.01,0.001,0.006,0,1.176,0.044,0.032,0.048,0,0,0.034,15.621,0,19.879
"DOM_B06",0.019,0.001,0.002,0,0.004,0.008,0.002,0,0.123,0.001,0.009,0.016,5.67,1.945,0.195,0.014,0.171,0.034,0.038,0.026,0.045,0.003,0.007,0.001,0,0,0.073,8.575,0.013,0.126,0.154,0.02,0.002,0.017,0.048,0.006,0.008,0.031,0.002,0.103,0.029,0.02,0.05,0.042,0.035,0.007,0.024,0.002,0.011,0,0.095,0.001,0.035,0.091,0,0,0.044,74.691,0,92.686
"DOM_B07",0.057,0,0.002,0.003,0.004,2.211,0.06,0.004,0.39,0.004,0.005,0.007,0.823,9.196,1.04,0.02,4.404,9.823,22.446,1.182,0.216,0.048,0.098,0.005,0,0,0.92,3.964,0.033,7.118,0.104,0.015,0,0.004,0.028,0.002,0.019,0.021,0.001,0.014,0.002,0.028,0.069,0.09,0.021,0.004,0.014,0.004,0.069,0,0.002,0,0.002,0.002,0,0,0.002,385.55,0,450.15
"DOM_B08",1.835,0.024,0.058,0.003,0.008,0.291,0.294,0.005,5.459,0.039,0.397,0.218,0.989,24.431,20.269,0.505,46.341,1.365,1.046,0.794,7.153,0.395,0.375,0.089,0.002,0.001,6.006,6.127,0.516,150.216,3.902,0.148,0.023,0.114,0.365,0.032,0.418,1.479,0.091,2.352,0.472,2.556,1.131,2.176,0.664,0.178,0.809,0.115,0.53,0,6.897,0.009,0.4,1.216,0.371,0,0.188,116.284,0,418.17
"DOM_B09",0.103,0.001,0.135,0.015,0.303,0.624,0.202,0.096,0.178,0,0.015,0.066,2.739,0.194,0.249,0.043,1.326,0.086,0.124,0.012,0.054,0.005,0.011,0.001,0,0,0.047,7.895,0.025,4.511,0.052,0.051,0.006,0.029,0.122,0.036,0.017,0.027,0.001,0.035,0.071,0.063,0.094,0.037,0.045,0.008,0.03,0.002,0.021,0,0.111,0.001,0.369,12.335,0,0,0.062,0.906,0,33.59
"DOM_C10T12",1263.188,0.716,34.301,0.006,0.02,0.354,0.085,0.006,4582.313,2.821,4.149,6.538,3.178,521.438,1547.494,15.05,6.192,0.489,0.895,3.181,37.341,1.827,2.419,0.334,0.012,0.009,62.262,8.996,4.99,27.368,270.82,2.33,1.414,1.818,11.773,1.787,970.324,106.798,3.841,214.308,36.83,13.443,32.575,50.623,49.591,32.921,250.3,25.544,50.029,0,8792.806,0.051,2.73,17.062,68.6,0,154.984,16607.501,0,35908.777
"DOM_C13T15",0.239,0.01,0.116,0,0.001,0.009,0.001,0,0.628,3.608,0.108,0.314,0.014,1.788,4.385,0.458,0.322,0.013,0.012,0.137,0.954,0.052,0.11,0.075,0.001,0,13.315,0.162,0.072,1.552,2.723,0.033,0.004,0.025,0.16,0.057,0.594,0.538,0.038,1.587,0.423,0.154,1.06,1.488,0.762,0.124,1.934,0.271,1.156,0,61.494,0.003,0.216,4.174,4.371,0,1.731,309.966,0,423.542
