"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",38.092,0.112,2.79,0,0,0,0.01,0,273.631,0.611,0.052,0.002,0,0.272,0.268,0.088,0.011,0.006,0.082,0.005,0.005,0.002,0.011,0,0,0,0.18,0.24,0.073,1.363,3.859,0.048,0.06,0.02,0.052,0.003,23.19,0.038,0.006,0.01,0.025,0.086,0.319,0.568,0.705,1.257,2.507,0.514,0.703,0,104.05,0.282,16.751,0.09,0.102,0,22.288,26.581,0,522.023
"DOM_A02",0.452,0.605,0.106,0,0,0,0.005,0,0.991,0.008,1.429,0.006,0,0.02,0.005,0.057,0.022,0.009,0.107,0.003,0.001,0.001,0.002,0,0,0,0.476,0.453,0.007,0.63,0.27,0.006,0.007,0.015,0.006,0.001,0.245,0.009,0.004,0.009,0.005,0.054,0.014,0.022,0.104,0.091,0.058,0.06,0.048,0,0.099,0.191,0.689,0.097,0.001,0,0.024,0.123,0,7.647
"DOM_A03",0.617,0.021,376.379,0,0,0,0.013,0,595.208,0.006,0.001,0.002,0,0.035,0.034,0.003,0.019,0.007,0.215,0.016,0.005,0.004,0.009,0,0.001,0,0.027,0.028,0.02,0.283,4.804,0.032,0.309,0.071,0.046,0.001,103.992,0.108,0.019,0.107,0.12,0.077,0.15,0.18,2.838,1.609,3.689,0.433,0.72,0,0.439,0.077,0.048,0.104,2.214,0,11.257,689.743,0,1796.142
"DOM_B05",0.001,0,0.001,0,0,0,0.001,0,0.004,0,0,0,0,0,0,0,0.004,0.002,0.012,0,0,0,0,0,0,0,0.001,0.007,0.001,0.023,0.004,0.001,0,0.001,0.001,0,0.003,0,0,0,0,0.003,0.001,0.001,0.002,0.004,0.003,0.001,0.001,0,0.012,0,0.001,0.018,0,0,0.003,0.007,0,0.124
"DOM_B06",0.004,0,0.006,0,0,0,0.005,0,0.031,0.001,0,0,0.009,0.023,0.001,0.001,0.032,0.034,0.371,0.005,0.002,0.001,0.006,0,0,0,0.006,0.622,0.004,0.087,0.035,0.007,0.023,0.098,0.008,0.001,0.011,0.004,0.002,0.004,0.004,0.008,0.009,0.009,0.011,0.014,0.011,0.004,0.004,0,0.04,0,0.005,0.055,0,0,0.015,0.094,0,1.726
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0,0,0,0.004,0,0.016
"DOM_B08",0.189,0.001,0.143,0,0.001,0,1.344,0,0.517,0.008,0.001,0.002,0.003,0.459,0.01,0.012,9.261,2.125,14.08,0.073,0.007,0.014,0.022,0,0,0.001,0.121,0.86,0.117,29.629,0.072,0.016,0.036,0.106,0.012,0.001,0.046,0.002,0.001,0.002,0.002,0.2,0.024,0.11,0.149,0.027,0.021,0.009,0.021,0,0.081,0,0.005,0.072,0,0,0.02,9.982,0,70.018
"DOM_B09",0.001,0,0.001,0,0,0,0.001,0,0.004,0,0,0,0,0.001,0,0,0.003,0.001,0.011,0.001,0,0,0.001,0,0,0,0.001,0.008,0,0.022,0.004,0.001,0.001,0.004,0.001,0,0.001,0.001,0,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002,0.001,0.001,0,0.008,0,0.001,0.019,0,0,0.003,0.016,0,0.13
"DOM_C10T12",54.649,0.016,30.619,0,0,0,0.068,0,438.506,0.109,0.018,0.026,0.001,1.752,1.181,0.077,0.191,0.104,2.81,0.16,0.047,0.034,0.088,0.001,0.001,0.004,0.581,0.369,0.4,2.445,19.765,0.3,1.805,0.816,0.512,0.056,213.398,1.474,0.343,0.961,1.208,1.073,1.684,1.634,5.066,15.083,16.463,5.938,3.557,0,790.928,1.097,0.292,0.327,4.633,0,76.768,2110.354,0,3809.795
"DOM_C13T15",0.216,0.005,2.632,0,0,0,0.031,0,0.774,10.791,0.021,0.053,0,0.231,0.078,0.3,0.511,0.111,1.021,0.194,0.045,0.046,0.121,0.008,0.005,0.014,3.852,0.107,0.139,3.561,2.753,0.069,0.052,0.155,0.116,0.036,3.512,0.132,0.031,0.105,0.107,0.238,0.952,0.88,1.476,0.952,3.407,0.995,1.829,0,8.345,0.01,0.02,0.329,0.11,0,0.525,46.201,0,98.203
