"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1874.809,1.883,3.202,0,0.109,0,1.13,0.048,4754.327,36.488,2.201,0.913,1.012,38.524,25.915,17.442,0.378,0.105,0.034,0.495,0.808,0.134,0.68,0.081,0.003,0.294,5.555,6.437,4.221,23.439,105.497,3.991,1.506,2.767,0.498,0.187,628.895,1.18,0.68,2.326,1.485,4.016,19.038,19.571,43.943,25.463,61.952,18.977,14.529,0,5337.11,3.342,4.958,427.512,22.331,0,84.137,2366.012,0,16002.57
"DOM_A02",1.622,0.806,0.007,0,0.003,0,0.033,0,1.29,0.046,7.245,1.043,0.035,0.216,0.041,0.847,0.047,0.012,0.003,0.021,0.04,0.005,0.013,0.002,0,0.008,1.145,0.925,0.076,0.712,0.63,0.02,0.006,0.013,0.002,0.001,0.409,0.011,0.011,0.037,0.01,0.067,0.042,0.04,0.466,0.144,0.107,0.149,0.043,0,0.776,0.013,0.291,48.39,1.501,0,0.003,0.159,0,69.589
"DOM_A03",0.232,0.003,1.913,0,0.006,0,0.041,0.001,45.841,0.035,0.008,0.042,0.299,0.13,0.073,0.066,0.055,0.035,0.006,0.108,0.256,0.031,0.062,0.011,0.001,0.043,0.059,0.04,0.033,0.357,0.898,0.125,0.76,0.079,0.044,0.005,13,0.026,0.033,0.097,0.031,0.067,0.114,0.053,0.847,0.175,0.462,0.093,0.068,0,138.879,0,0.005,0.893,0.141,0,2.105,25.358,0,234.145
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0.025,0,0,0,0.171,0,0.268,0.013,0.213,0.016,0.007,0.1,238.944,2.307,0.024,0.11,0.494,0.372,0.096,0.161,0.038,0.009,0.023,0.006,0,0.03,0.046,14.896,0.095,0.263,0.297,0.085,0.009,0.032,0.019,0.006,0.039,0.007,0.008,0.032,0.018,0.096,0.114,0.041,0.248,0.08,0.038,0.016,0.015,0,81.586,0,3.721,0.082,0,0,0.001,646.669,0,991.989
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",21.838,0.057,0.36,0,1.59,0,308.999,2.02,20.9,0.869,0.092,5.355,223.684,155.255,1.794,4.636,629.965,74.444,11.113,10.629,1.395,1.506,2.013,0.186,0.008,0.627,9.146,56.071,15.291,1168.105,3.793,2.066,0.083,0.121,0.162,0.024,2.294,0.014,0.07,0.047,0.035,19.549,2.009,10.256,21.372,1.037,0.485,0.627,0.899,0,62.655,0,0.001,0.06,1.162,0,0.001,1663.036,0,4519.806
"DOM_B09",0.047,0,0.024,0,1.929,0,4.015,0.853,0.057,0.004,0.002,0.051,12.841,0.044,0.01,0.045,0.472,0.117,0.037,0.019,0.031,0.004,0.011,0.001,0,0.006,0.008,1.532,0.028,1.428,0.053,0.082,0.02,0.08,0.009,0.008,0.019,0.014,0.004,0.011,0.007,0.045,0.083,0.01,0.056,0.014,0.015,0.005,0.005,0,0.128,0,2.599,127.631,0,0,0.002,229.48,0,383.997
"DOM_C10T12",1486.403,0.228,17.564,0,0.555,0,4.868,0.192,3843.514,8.714,0.789,8.916,24.1,136.457,63.603,9.954,3.464,1.014,0.495,4.16,3.505,1.123,2.42,0.506,0.015,1.672,10.027,5.253,12.157,25.075,201.817,14.789,11.053,15.174,2.163,1.665,2674.071,12.326,5.785,28.555,11.466,21.891,33.091,23.607,148.887,143.657,195.317,78.998,27.645,0,16206.969,0.021,0.412,17.786,22.706,0,195.689,888.429,0,26660.71
"DOM_C13T15",8.725,0.085,2.109,0,0.482,0,3.02,0.192,14.18,598.534,1.512,21.027,7.947,23.57,6.732,43.616,11.074,1.612,0.349,10.693,5.813,2.219,5.798,5.877,0.123,8.47,92.746,3.76,9.619,56.101,77.193,7.096,1.443,7.687,1.11,2.043,40.834,3.169,2.362,10.001,4.758,10.731,34.135,31.05,111.912,23.855,66.742,37.684,45.683,0,1014.282,0.053,0.093,17.222,10.982,0,8.443,972.729,0,3489.279
