"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3633.792,11.316,7.853,0.021,31.685,0.001,9.676,0.258,20346.531,572.56,46.779,91.726,38.232,217.612,88.18,153.173,105.624,150.376,65.086,102.315,20.916,40.203,97.513,46.137,8.197,14.831,96.773,1078.853,114.46,148.987,756.742,87.112,2.641,1.224,77.556,8.211,1476.503,20.298,40.196,38.513,49.26,69.389,125.527,187.962,146.02,60.149,341.982,80.639,87.065,0,31989.472,0.113,20.609,471.813,32.786,0,360.047,6882.449,0,70753.944
"DOM_A02",69.199,103.885,0.342,0.004,0.397,0,0.274,0.001,132.974,12.997,1095.974,103.843,0.041,8.87,1.58,62.005,3.014,0.829,0.574,0.516,0.012,0.138,0.907,0.131,0.194,0.059,104.13,70.147,0.384,29.553,49.684,0.37,0.086,0.007,0.432,0.044,22.47,0.378,0.257,0.519,0.13,0.93,0.793,3.084,7.673,1.212,4.39,4.623,1.873,0,416.852,0.008,583.048,0.098,0.496,0,0.586,183.393,0,3086.411
"DOM_A03",1.765,0.01,4.41,0,0.003,0,0.003,0,205.166,0.231,0.004,0.023,0.007,0.193,0.11,0.018,0.012,0.006,0.007,0.021,0.005,0.011,0.042,0.01,0.989,0.106,0.067,0.022,0.024,0.067,2.009,0.039,0.109,0.01,0.059,0.003,30.662,0.033,0.012,0.041,0.036,0.044,0.079,0.082,0.743,0.115,1.218,0.15,0.137,0,1180.965,0.005,0.088,1.508,0.843,0,13.77,191.648,0,1637.742
"DOM_B05",0.026,0.001,0.001,0,0.067,0,0.018,0.003,0.101,0.036,0.006,0.045,0.392,0.153,0.007,0.031,0.357,1.671,0.25,0.033,0.006,0.026,0.25,0.032,0.01,0.011,0.041,9.427,0.035,0.682,0.1,0.025,0.001,0,0.029,0.002,0.02,0.003,0.008,0.005,0.008,0.097,0.045,0.022,0.066,0.014,0.041,0.007,0.013,0,0.265,0,0.065,2.463,0,0,0.003,39.155,0,56.174
"DOM_B06",5.433,0.146,0.128,0.015,62.608,0,4.857,0.404,48.6,12.467,3.159,21.466,3282.839,204.07,4.923,20.689,70.865,99.173,54.853,30.51,3.623,10.069,78.683,14.538,3.715,5.099,20.8,2704.462,13.435,160.041,72.799,10.22,0.497,0.263,17.722,1.099,6.495,1.843,4.068,11.867,4.87,28.648,33.588,12.467,25.008,3.727,15.437,2.893,2.808,0,70.456,0.128,80.953,857.161,0,0,0.781,1929.208,0,10136.676
"DOM_B07",0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0.001,0.001,0.043,0.018,0.049,0.002,0.009,0.031,0.009,0.002,0.003,0.006,0.001,0.002,0.019,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.157,0,0.361
"DOM_B08",25.339,0.188,0.429,0.009,5.821,0.001,61.269,0.582,81.805,7.783,2.63,12.466,28.125,151.637,6.036,16.127,1099.935,219.178,69.866,25.502,4.503,13.296,19.84,10.041,1.762,1.773,27.218,94.117,16.984,1452.023,22.19,3.378,0.3,0.079,2.802,0.127,11.24,0.332,0.421,0.45,0.472,17.837,6.41,25.322,10.003,1.236,4.924,1.335,2.766,0,157.405,0.012,0.582,22.554,1.74,0,1.004,1136.555,0,4887.757
"DOM_B09",0.249,0.002,0.188,0.009,49.533,0,6.276,1.898,0.527,0.02,0.036,0.766,12.544,0.156,0.021,0.469,5.394,2.416,1.726,0.067,0.005,0.039,0.117,0.004,0,0.004,0.029,19.691,0.152,9.778,0.072,0.509,0.052,0.026,0.371,0.081,0.08,0.098,0.001,0.001,0.029,0.121,0.41,0.066,0.12,0.019,0.063,0.004,0.015,0,0.006,0,22.757,408.103,0,0,0,248.311,0,793.431
"DOM_C10T12",3774.417,1.331,53.283,0.002,2.581,0,1.971,0.079,21631.166,462.696,5.792,52.094,7.722,378.286,193.969,30.469,12.006,5.151,7.892,16.274,3.621,9.208,24.914,4.84,1.453,2.542,53.432,21.714,29.956,48.082,1150.15,27.41,18.537,2.105,46.37,4.618,10350.527,42.08,16.029,39.307,35.487,31.41,85.487,118.197,201.777,115.877,728.932,213.227,94.094,0,100247.326,11.859,206.745,24.206,100.256,0,1546.032,39356.427,0,181651.417
"DOM_C13T15",25.704,0.88,4.738,0.01,7.936,0,2.405,0.251,145.982,13676.38,24.669,107.538,4.581,53.741,32.298,161.2,44.537,22.194,11.285,67.237,23.196,43.947,111.641,166.729,13.383,19.024,704.708,38.788,53.766,212.504,539.39,31.828,1.828,1.776,36.776,16.606,142.194,18.807,11.511,17.527,15.546,14.309,154.972,291.099,245.183,38.985,437.004,130.578,198.093,0,37106.165,0.021,7.763,435.834,152.908,0,823.712,39179.992,0,95831.661
"DOM_C16",81.316,4.898,1.401,0.013,7.424,0,3.824,0.222,342.739,171.466,2181.894,321.103,6.51,111.708,28.084,113.234,151.268,42.711,29.825,173.281,24.095,77.016,168.964,120.677,59.358,24.355,2518.6,95.817,56.817,3756.03,424.586,53.69,5.389,3.63,122.692,4.81,99.562,22.825,11.98,21.966,25.16,136.063,187.361,152.51,52.356,24.38,183.799,39.503,98.928,0,1830.599,0.169,43.647,1182.123,115.475,0,75.005,3130.08,0,18722.937
"DOM_C17_18",107.264,1.002,3.477,0.008,15.976,0.001,4.651,0.341,2906.154,590.271,118.58,7815.745,20.056,378.323,395.015,484.707,320.415,108.108,77.675,306.355,112.876,230.378,415.736,173.071,20.224,55.955,681.521,182.814,255.333,405.842,2675.209,127.384,13.546,5.404,190.91,95.661,332.622,1497.677,191.598,558.483,692.816,101.544,2152.166,1431.824,938.091,419.585,1026.354,288.42,328.829,0,5213.835,0.076,55.815,211.651,36.527,0,188.88,8895.029,0,43857.811
"DOM_C19",1229.497,32.374,106.762,0.218,191.572,0.012,115.381,8.948,1558.349,319.039,179.65,308.912,4376.787,5078.043,143.523,203.652,727.164,1283.492,277.538,408.922,38.428,282.681,392.278,282.286,30.302,57.736,545.14,6306.138,796.011,2404.041,4659.829,7886.312,1667.031,1534.921,1627.837,231.396,458.875,94.145,127.75,227.497,318.788,126.543,821.563,1058.066,1093.879,153.035,847.751,202.674,311.405,0,3914.934,0.014,2.062,33.171,60.218,0,86.96,19049.078,0,74280.609
"DOM_C20",1565.314,2.439,3.367,0.052,44.155,0.003,29.816,1.831,1166.256,1779.884,226.458,783.886,277.868,7259.356,1013.931,5279.16,609.039,235.631,171.495,552.009,183.59,428.601,561.666,408.359,86.833,76.311,955.041,145.411,314.422,1373.419,609.522,73.403,8.779,5.267,116.541,5.258,167.022,71.236,18.781,72.685,31.877,121.879,421.985,426.795,128.083,47.682,781.518,56.549,318.57,0,5680.795,0.198,103.71,537.115,22.379,0,108.091,35202.828,0,70674.149
"DOM_C21",107.305,0.302,0.52,0.004,4.421,0,2.161,0.173,141.219,130.499,15.661,49.586,17.99,412.435,294.606,295.308,35.64,24.166,12.871,48.14,15.426,32.943,62.634,32.095,6.947,7.759,73.173,18.711,24.279,103.912,72.749,14.375,2.125,1.76,12.142,1.155,36.399,7.496,6.098,19.944,6.654,10.279,65.445,34.648,25.388,5.672,374.648,8.528,21.955,0,737.811,0.268,140.263,654.748,32.124,0,16.319,26120.468,0,30400.347
"DOM_C22",381.877,3.852,8.133,0.062,57.295,0.002,19.089,1.391,4341.86,2069.447,183.184,845.451,52.071,1069.984,659.969,6269.823,371.655,164.071,143.527,1057.286,431.664,1281.801,2254.882,2207.604,106.68,351.139,1793.789,147.221,387.703,3982.918,3266.441,666.426,18.843,7.742,244.584,26.583,221.009,106.595,51.32,90.207,90.967,184.673,561.609,614.36,189.586,66.258,542.19,89.673,167.291,0,5918.531,0.157,63.986,1111.706,101.237,0,38.314,19518.732,0,64604.452
"DOM_C23",146.558,1.345,1.087,0.019,33.506,0.002,35.987,1.116,1088.017,114.123,94.76,42.217,29.779,313.745,172.099,417.117,4121.208,497.557,136.919,399.131,141.178,309.467,373.846,360.428,56.954,46.336,405.801,158.65,171.141,15643.09,468.68,61.404,11.912,3.129,71.547,4.922,155.442,9.411,14.171,25.196,28.912,437.191,314.736,142.843,112.122,43.747,183.681,36.48,79.775,0,3333.082,0.054,33.983,624.099,57.765,0,13.714,10725.313,0,42306.498
"DOM_C24A",22.593,0.496,0.29,0.04,99.7,0.002,3.917,0.844,66.952,41.189,34.384,21.154,12.387,39.578,9.418,268.372,254.089,11055.536,421.068,11114.203,188.899,1089.06,7101.326,1978.767,453.827,750.053,882.915,132.823,415.141,4624.399,235.608,22.897,4.44,0.065,53.162,0.569,3.855,0.653,0.765,0.997,2.252,39.163,124.603,22.466,15.02,5.058,10.278,9.216,13.959,0,0,0,23.112,0,0,0,0,25385.547,0,67057.106
"DOM_C24B",5.22,0.172,0.024,0.002,8.475,0,0.858,0.049,117.206,25.433,13.227,21.234,3.523,156.602,20.227,101.769,54.982,879.909,4638.914,2670.495,262.802,1483.459,1489.688,552.43,62.139,190.153,704.758,35.275,200.535,572.282,114.569,6.56,1.226,0.057,7.897,0.05,6.926,1.187,0.523,0.861,1.644,9.442,17.289,4.098,4.92,0.257,7.805,3.077,7.536,0,55.787,0,0,33.078,0,0,0,18376.374,0,32933.004
"DOM_C25",404.776,9.433,7.113,0.243,257.323,0.007,43.522,7.633,3485.914,846.629,492.936,262.214,85.617,766.251,233.475,1190.485,680.744,2103.932,664.875,16607.877,710.389,2695.632,15673.916,4704.6,1194.212,1392.126,3913.996,560.3,502.531,16566.852,2272.766,247.34,29.537,9.91,303.983,12.058,304.686,37.74,87.954,108.379,51.597,437.996,821.336,740.755,793.406,79.14,404.53,112.964,261.046,0,5969.043,0.176,90.312,8731.917,818.198,0,40.36,25599.461,0,124432.143
"DOM_C26",35.222,0.714,1.282,0.01,14.71,0,4.012,0.407,130.793,69.839,11.126,35.288,10.658,51.975,30.109,67.593,48.509,61.334,26.721,174.753,1427.15,586.563,704.695,220.53,53.633,64.006,343.031,172.152,55.654,500.435,437.257,55.081,8.47,8.867,66.449,10.099,43.594,49.108,228.919,436.783,85.221,27.57,317.826,181.577,120.351,35.735,353.744,48.213,59.709,0,4458.271,0.455,169.764,6118.546,467.288,0,127.193,11539.539,0,30358.532
