"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",184.418,0.437,0.014,0.01,0.004,0.002,0.024,0.004,815.923,3.644,0.061,0.083,0.008,2.144,1.973,0.951,0.028,0.001,0.001,0.005,0.002,0.004,0.006,0.001,0,0,0.093,0.158,0.08,0.684,4.019,0.1,0.002,0.012,0.018,0.001,26.566,0.039,0.024,0.004,0.026,0.033,0.06,0.413,1.512,1.219,2.489,1.03,0.715,0,1387.581,0.091,0.423,201.246,10.043,0,41.833,820.753,0,3511.018
"DOM_A02",18.718,29.768,0.004,0.51,0.031,0.021,0.095,0.001,23.155,0.743,21.718,12.447,0.013,1.316,0.275,5.524,0.488,0.008,0.009,0.016,0.001,0.005,0.006,0.001,0.001,0,2.324,2.814,0.032,2.556,2.137,0.034,0.001,0.006,0.006,0,1.968,0.045,0.057,0.012,0.009,0.073,0.011,0.085,1.716,0.574,0.376,0.972,0.182,0,14.233,0,0.03,7.202,0.259,0,0.042,0.405,0,153.038
"DOM_A03",0.016,0,0.001,0.001,0,0,0,0,0.535,0.005,0,0.002,0.005,0.003,0.004,0.002,0.002,0.001,0.001,0.003,0,0.001,0.001,0,0,0,0.001,0.002,0.001,0.011,0.007,0.002,0,0.002,0,0,0.037,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.011,0.003,0.005,0.002,0.001,0,4.497,0.004,0.019,0.258,0.016,0,0.029,0.357,0,5.857
"DOM_B05",1.837,0.018,0,20.649,0.435,0.68,1.708,0.559,8.122,0.875,0.031,2.463,50.595,11.67,0.257,0.938,27.278,7.936,1.854,0.072,0.007,0.085,0.038,0.013,0.006,0.009,0.038,185.648,0.223,4.767,0.545,0.363,0,0.022,0.031,0.001,0.47,0.014,0.057,0.006,0.015,0.08,0.017,0.038,1.996,1.516,0.291,0.062,0.272,0,3.086,0,0,0.007,0.016,0,0.001,0.015,0,337.733
"DOM_B06",0.163,0.001,0,0.856,2.033,0.133,0.714,0.204,3.357,0.112,0.018,1.007,388.973,13.908,0.155,0.628,4.919,0.375,0.367,0.263,0.007,0.032,0.021,0.014,0.003,0.004,0.077,46.87,0.248,0.574,1.082,0.261,0.001,0.035,0.074,0.003,0.145,0.028,0.034,0.011,0.046,0.071,0.046,0.085,0.854,0.356,0.122,0.047,0.058,0,0.246,0,0.002,0.111,0.024,0,0.05,5.122,0,474.946
"DOM_B07",0.543,0.001,0,2.592,0.616,13.18,7.824,1.194,3.865,0.077,0.004,0.091,12.627,17.218,0.325,0.261,35.196,29.292,57.756,3.458,0.021,0.208,0.139,0.029,0.002,0.001,0.297,5.161,0.195,16.16,0.248,0.181,0,0.033,0.017,0.001,0.194,0.017,0.028,0.004,0.023,0.035,0.043,0.082,0.22,0.093,0.053,0.045,0.136,0,0.063,0,0.003,0.163,0.001,0,0.015,0.942,0,210.971
"DOM_B08",0.679,0.004,0.001,0.22,0.068,0.1,2.497,0.101,1.177,0.033,0.001,0.173,1.127,2.699,0.05,0.087,19.359,0.27,0.182,0.063,0.003,0.025,0.01,0.003,0,0,0.05,1.093,0.104,11.195,0.056,0.038,0,0.017,0.003,0,0.043,0.001,0.004,0,0.001,0.053,0.003,0.066,0.237,0.025,0.015,0.009,0.017,0,14.547,0,0.002,0.158,0.124,0,0.054,364.764,0,421.617
"DOM_B09",0.698,0.004,0.022,11.849,37.105,3.017,21.218,23.903,1.045,0.027,0.008,0.911,33.744,0.249,0.046,0.417,8.497,0.207,0.256,0.034,0.002,0.015,0.011,0.002,0,0.001,0.009,7.775,0.158,8.23,0.077,0.447,0.005,0.177,0.056,0.007,0.092,0.106,0.01,0.002,0.021,0.077,0.058,0.021,0.298,0.101,0.048,0.009,0.014,0,0.13,0,1.474,49.809,0.01,0,0.028,4.095,0,216.631
"DOM_C10T12",211.556,0.058,0.125,0.062,0.042,0.016,0.138,0.021,953.946,3.083,0.023,1.275,0.431,11.523,7.252,0.556,0.399,0.01,0.025,0.096,0.017,0.055,0.033,0.009,0.002,0.003,0.235,0.188,0.351,0.856,14.165,0.48,0.034,0.264,0.128,0.008,204.757,1.05,0.723,0.198,0.581,0.32,0.231,0.799,9.202,11.463,12.919,6.49,2.26,0,4799.69,0.001,0.261,49.961,8.284,0,151.934,1035.977,0,7504.566
"DOM_C13T15",0.89,0.025,0.011,0.165,0.061,0.035,0.108,0.039,2.606,160.313,0.04,2.129,0.15,1.39,0.612,2.357,1.266,0.023,0.018,0.217,0.036,0.119,0.079,0.166,0.015,0.015,1.786,0.157,0.319,2.049,3.994,0.288,0.002,0.133,0.061,0.016,3.358,0.195,0.249,0.047,0.116,0.093,0.242,1.08,6.767,1.902,4.573,2.702,3.463,0,380.873,0.001,0.184,8.912,5.721,0,127.509,1589.523,0,2319.201
"DOM_C16",1.252,0.084,0.001,0.142,0.024,0.025,0.074,0.014,3.149,0.481,3.008,2.411,0.099,0.938,0.192,0.503,1.51,0.027,0.027,0.299,0.024,0.119,0.057,0.058,0.025,0.007,3.824,0.502,0.12,21.721,1.249,0.148,0.001,0.018,0.07,0.001,0.65,0.113,0.074,0.014,0.051,0.979,0.119,0.215,0.423,0.566,0.67,0.4,0.912,0,26.516,0.004,0.23,5.565,2.122,0,0.005,47.602,0,129.434
