"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",8024.099,9.43,1.87,0.018,0.263,0.028,2.128,0.167,31418.524,129.197,2.191,21.276,4.362,115.418,100.303,478.753,9.987,4.463,10.557,4.618,10.691,16.667,33.524,28.173,1.838,3.398,199.433,9.286,7.468,245.658,1974.439,8.279,17.886,1.592,19.181,5.196,2911.117,10.993,7.839,6.93,41.652,12.369,123.512,18.537,14.958,211.961,773.553,208.404,149.025,0,28499.634,0.307,0.849,908.705,7.77,0,2.253,456.991,0,77287.722
"DOM_A02",25.693,560.577,1.251,0.02,0.243,0.007,0.558,0.005,80.861,6.957,1591.988,8.136,0.302,26.751,0.314,0.328,6.84,0.234,0.586,0.03,0.307,0.93,2.163,1.045,0.108,0.497,38.048,0.645,0.553,15.056,16.074,0.663,1.928,0.101,0.946,0.31,210.524,0.742,0.397,1.277,2.664,0.824,1.202,0.765,10.729,7.056,24.193,0.531,4.582,0,1640.635,0.005,0.018,0.104,0.369,0,0.014,141.981,0,4439.665
"DOM_A03",2.384,0.047,290.402,0.004,0.059,0.02,0.488,0.001,4644.987,0.891,0.147,0.792,0.977,2.181,3.66,1.363,1.068,0.887,1.959,1.1,1.34,2.008,4.289,5.983,0.615,0.034,732.435,2.129,1.326,7.293,56.847,3.312,7.256,0.376,3.255,1.12,698.832,2.427,1.412,4.546,9.728,2.958,3.28,2.765,3.307,7.167,162.061,3.6,15.99,0,3088.666,0.001,0.022,0.882,1.731,0,0.975,534.797,0,10328.18
"DOM_B05",0.009,0.012,0,0.001,0.004,0.004,0.178,0.032,0.474,0.926,0.077,22.914,208.389,32.428,0.103,0.784,18.292,13.412,2.667,0.048,0.764,0.511,0.532,0.302,0.082,0.052,0.064,211.059,4.169,0.005,0.799,0.233,0,0,0.009,0,0.223,0.002,0.039,0.002,0.003,0.003,0.008,0.027,0,0.011,0.154,0.004,0.089,0,0.005,0,0,0.005,0,0,0,1.716,0,521.625
"DOM_B06",3.889,0.004,0.027,0,0.002,0.004,0.074,0.031,3.83,1.277,0.645,3.089,571.45,45.967,2.565,14.342,1.864,0.88,1.435,0.576,1.885,1.524,2.024,3.39,0.235,0.14,4.467,423.108,1.04,2.08,16.878,0.147,0.048,0.003,0.188,0.001,0.668,0.283,0.128,0.275,0.07,0.068,1.348,0.556,1.093,0.073,0.582,0.112,1.48,0,23.069,0,0.001,0.001,0.005,0,0.01,50.721,0,1189.649
"DOM_B07",2.387,0.296,0.017,0,0.001,0.004,0.1,0.62,2.267,1.351,0.394,1.884,25.034,26.797,1.579,8.941,139.079,1046.738,2.333,8.033,1.333,2.466,2.854,2.077,0.143,0.082,2.754,0.081,0.619,367.588,10.172,1.447,0.03,0.002,0.113,0.001,0.409,0.173,0.077,0.167,0.042,0.041,0.824,0.336,1.294,0.044,0.356,0.068,0.902,0,14.012,0,0,0.001,0,0,0.006,122.623,0,1800.993
"DOM_B08",2.137,0.002,0.015,0.082,0.001,0.515,11.934,1.14,2.816,2.466,0.354,12.076,38.617,130.434,2.146,10.093,196.827,1221.812,2479.578,0.303,7.986,24.247,19.315,13.647,0.265,0.283,24.144,42.419,0.557,2.64,9.205,0.029,0.028,0.002,0.102,0.001,1.573,0.155,0.07,0.15,0.038,0.037,0.741,0.302,0.664,0.041,0.322,0.487,1.441,0,12.662,0,0.005,0.007,0.093,0,0.006,425.207,0,4702.217
"DOM_B09",0.507,0.009,2.123,0.148,6.837,0.435,20.599,24.515,1.23,0.014,0.079,2.778,113.476,1.042,0.054,1.584,12.234,17.64,18.375,0.123,0.074,0.245,0.47,0.095,0.004,0.013,0.21,61.987,0.468,31.3,0.33,1.89,0.305,0.195,0.74,0.169,0.292,0.315,0.013,0.012,0.159,0.674,1.679,0.104,0.563,0.098,0.187,0.017,0.036,0,0.193,0,98.241,977.288,0,0,0.001,362.841,0,1765.009
"DOM_C10T12",4002.513,115.641,586.733,0.157,1.959,0.259,17.373,0.492,28675.682,125.383,21.818,123.692,39.35,720.247,200.074,123.724,43.752,32.438,47.327,43.522,75.545,82.125,136.702,120.649,12.962,8.597,289.522,70.262,73.874,257.279,3381.278,81.574,194.597,12.274,145.292,38.849,20877.605,48.093,18.537,118.647,282.037,136.663,267.419,159.705,173.392,488.515,2379.117,129.023,327.056,0,199935.946,0,0.448,0.397,36.593,0,239.613,5839.03,0,271361.354
"DOM_C13T15",61.94,12.012,123.666,0.085,0.825,0.375,2.979,0.679,246.698,3698.046,10.544,243.333,5.82,99.083,6.582,264.833,112.411,6.852,28.22,22.722,81.566,69.386,108.786,179.383,24.117,7.473,1260.1,18.573,32.456,332.549,714.761,63.878,188.406,3.666,71.42,15.349,125.324,24.929,89.233,86.693,99.322,12.573,107.588,172.29,146.948,36.55,242.859,145.237,191.906,0,13488.409,0,0.06,439.612,50.331,0,86.373,4999.62,0,28665.432
