"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3626.286,10.883,6.793,1.144,14.093,2.556,0.922,0.958,1939.354,3.853,0.223,0.149,0.122,4.477,1.684,1.632,0.411,0.456,0.29,0.04,0.019,0.034,0.118,0.253,0.019,0.038,1.598,4.07,1.386,13.168,238.49,14.277,0.163,2.099,2.167,0.08,245.485,0.98,0.436,1.077,2.327,5.12,6.054,30.625,47.192,54.676,42.692,14.591,15.583,0,9947.29,0.002,633.851,1883.169,119.959,0,5.765,4145.239,0,23096.417
"DOM_A02",9.268,13.899,0.045,0.591,0.737,0.198,0.048,0.007,1.802,0.013,1.859,0.375,0.001,0.066,0.006,0.228,0.048,0.01,0.007,0.001,0,0,0.002,0.002,0.001,0,0.105,1.312,0.01,1.07,4.302,0.118,0.002,0.011,0.019,0.002,0.474,0.032,0.014,0.052,0.058,0.167,0.043,0.169,1.365,0.666,0.178,0.332,0.268,0,4.995,0,119.042,0.129,0.041,0,0.002,10.765,0,174.959
"DOM_A03",0.45,0.017,6.77,0.011,0.032,0.036,0.006,0.001,29.552,0.001,0,0,0.001,0.005,0.002,0.001,0.003,0.003,0.003,0,0,0,0.001,0.001,0,0,0.001,0.005,0.004,0.029,1.748,0.06,0.006,0.003,0.016,0,8.511,0.018,0.003,0.029,0.062,0.081,0.024,0.028,1.38,0.52,0.547,0.097,0.141,0,362.814,0,0.049,0.335,0.925,0,0.444,2.477,0,417.255
"DOM_B05",1.302,0.016,0.002,35.534,13.625,8.619,1.203,2.096,0.724,0.024,0.004,0.107,2.672,0.839,0.008,0.056,3.824,14.989,1.908,0.003,0.001,0.008,0.013,0.026,0.008,0.01,0.015,129.213,0.084,2.916,1.237,1.178,0.001,0.019,0.106,0.003,0.132,0.013,0.017,0.034,0.064,0.57,0.096,0.106,2.275,2.502,0.387,0.036,0.701,0,374.991,0,0.006,0.611,7.512,0,0.062,1450.298,0,2062.808
"DOM_B06",2.251,0.01,0.032,37.692,3912.824,44.494,13.276,19.671,8.676,0.13,0.057,1.159,1226.919,26.679,0.112,0.948,18.441,18.984,10.127,0.318,0.025,0.071,0.175,0.702,0.076,0.122,1.596,1977.735,2.497,8.79,57.262,20.005,0.034,0.329,6.19,0.251,1.134,0.518,0.203,1.361,3.657,10.777,5.885,5.339,25.273,15.142,3.965,1.001,1.402,0,0.026,0,0.003,0.087,0,0,0,34495.385,0,41989.818
"DOM_B07",9.029,0.025,0.127,89.839,399.104,3593.072,117.057,94.714,8.07,0.124,0.012,0.095,13.394,26.376,0.213,0.359,104.94,1178.583,1265.936,3.35,0.063,0.39,0.981,1.156,0.043,0.027,1.146,68.765,1.687,208.737,11.41,12.155,0.013,0.452,1.12,0.037,1.387,0.176,0.076,0.102,0.243,5.053,3.94,4.089,5.131,2.987,1.378,0.938,4.011,0,6.193,0.001,0.27,105.431,0,0,0.058,6933.01,0,14287.075
"DOM_B08",9.274,0.073,0.177,4.671,29.383,21.522,36.095,6.525,1.837,0.022,0.002,0.142,0.908,3.817,0.027,0.097,54.433,8.21,2.523,0.05,0.007,0.038,0.048,0.065,0.006,0.007,0.107,5.877,0.893,135.198,2.217,1.489,0.004,0.029,0.166,0.006,0.217,0.017,0.016,0.026,0.051,5.145,0.3,3.56,5.1,0.552,0.209,0.165,0.221,0,91.051,0,0.082,1.06,2.873,0,0.01,731.059,0,1167.66
"DOM_B09",1.421,0.028,0.578,29.752,1736.391,58.394,22.587,135.356,0.409,0.006,0.003,0.07,2.546,0.068,0.015,0.05,1.855,0.615,0.418,0.007,0.006,0.008,0.019,0.049,0.003,0.006,0.098,7.9,0.213,8.829,4.005,5.33,0.065,0.968,0.614,0.079,0.235,0.724,0.315,0.931,1.328,0.98,1.528,1.571,2.141,1.534,0.897,0.517,0.324,0,2.454,0,0.021,7.174,0.099,0,0.222,22.87,0,2064.625
"DOM_C10T12",498.353,0.204,7.149,0.618,7.944,1.901,0.556,0.439,319.875,0.263,0.022,0.251,0.407,3.182,0.782,0.296,0.712,1.022,1.011,0.099,0.025,0.076,0.134,0.339,0.028,0.041,0.361,1.052,0.689,5.772,97.233,8.822,0.285,1.464,2.602,0.124,260.736,3.098,0.686,3.399,6.919,6.368,3.7,6.954,36.68,63.887,35.478,22.312,10.414,0,6199.444,0.005,0.95,8.032,66.06,0,14.377,3000.776,0,10714.412
"DOM_C13T15",2.496,0.079,0.819,0.735,5.594,1.36,0.241,0.414,0.819,10.979,0.017,0.422,0.022,0.443,0.067,0.655,0.73,0.135,0.064,0.036,0.016,0.037,0.095,1.354,0.07,0.066,0.806,0.235,0.383,4.403,26.441,2.506,0.014,0.243,0.614,0.152,3.473,0.502,0.172,0.684,1.229,1.688,3.396,7.401,19.964,8.196,15.911,6.205,7.307,0,61.382,0.002,0.054,25.322,12.2,0,0.579,134.641,0,373.87
