"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",27.939,0.159,0.131,0,0,0,0,0,8.779,0.106,0.001,0,0,0.002,0.004,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.005,0.108,0.006,0,0,0.002,0.001,3.564,0.005,0.003,0.001,0.004,0.001,0.004,0.01,0.014,0.012,0.037,0.02,0.012,0,594.393,1.281,28.573,23.407,30.277,0,2.849,7034.958,0,7756.677
"DOM_A02",16.695,46.87,0.198,0,0,0,0.003,0,1.248,0.089,1.665,0.177,0,0.009,0.003,0.136,0.003,0.007,0,0,0,0,0,0,0,0,0.023,0.02,0,0.072,0.269,0.011,0,0.001,0.004,0.002,1.478,0.031,0.038,0.011,0.009,0.012,0.004,0.012,0.096,0.033,0.033,0.111,0.045,0,249.199,6.15,16.428,9.257,1.702,0,0.004,297.123,0,649.282
"DOM_A03",0.19,0.006,1.293,0,0,0.001,0.001,0.001,1.278,0.169,0.001,0.003,0,0.005,0.001,0.011,0.005,0.133,0.003,0.006,0,0,0,0.002,0,0.001,0.005,0.005,0.003,0.089,0.036,0.012,0.001,0.006,0.004,0.001,1.28,0.005,0.008,0.002,0.006,0.008,0.005,0.003,0.009,0.004,0.013,0.006,0.009,0,352.097,0.007,0.03,0.433,5.356,0,0.355,1593.304,0,1956.213
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",6.424,0.028,0.235,0,0,2.83,2.913,1.215,2.908,0.154,0.004,0.019,0.036,1.494,0.045,0.093,3.022,70.935,1.342,0.108,0,0,0.002,0.009,0.001,0.001,0.043,0.447,0.028,6.025,0.409,0.832,0.002,0.048,0.16,0.034,1.667,0.058,0.08,0.008,0.023,0.072,0.204,0.129,0.136,0.058,0.05,0.073,0.295,0,0.078,0,0.002,0.014,0,0,0.003,7.463,0,112.256
"DOM_B08",9.464,0.14,0.462,0,0,0.025,1.131,0.109,0.95,0.055,0.001,0.038,0.003,0.281,0.008,0.033,2.016,0.708,0.005,0.002,0,0,0,0.001,0,0,0.008,0.05,0.017,4.967,0.104,0.152,0.001,0.021,0.028,0.005,0.385,0.004,0.024,0.002,0.008,0.142,0.018,0.134,0.205,0.015,0.012,0.018,0.021,0,9.672,0.001,0.001,0.07,0.126,0,0.005,130.105,0,161.754
"DOM_B09",0.026,0.001,0.004,0,0,0,0.002,0.003,0.006,0.014,0,0,0,0.001,0,0.001,0.002,0.012,0,0.001,0,0,0,0,0,0,0,0.001,0,0.015,0.005,0.003,0,0.001,0.002,0,0.006,0.001,0.002,0,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.129,0,0.144,1.093,0.03,0,0.004,84.723,0,86.239
"DOM_C10T12",5.596,0.008,0.227,0,0,0,0.001,0,26.646,0.054,0,0.002,0,0.003,0.002,0.004,0.002,0.014,0,0.001,0,0,0,0,0,0,0.001,0,0.001,0.018,0.317,0.024,0.004,0.005,0.014,0.002,14.783,0.123,0.105,0.022,0.131,0.009,0.012,0.01,0.04,0.05,0.057,0.123,0.032,0,850.561,1.08,1.34,0.122,5.939,0,5.344,1045.854,0,1958.686
"DOM_C13T15",17.669,0.919,15.949,0,0,0.006,0.037,0.024,2.576,198.764,0.054,0.911,0,0.253,0.121,1.835,0.197,0.047,0,0.008,0,0,0.001,0.062,0.005,0.006,0.479,0.003,0.017,0.967,8.389,0.677,0.013,0.077,0.483,0.347,29.726,1.448,0.659,0.388,1.374,0.271,1.382,1.19,2.222,0.707,4.655,3.014,3.616,0,245.638,0.311,0.138,1.326,10.397,0,3.023,5779.736,0,6342.114
