"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",2972.944,35.361,53.443,0.014,0.004,0.003,0.545,0.001,20981.346,486.111,11.969,4.086,0.355,251.497,47.453,81.025,0.994,0.44,0.431,0.947,4.885,1.437,6.793,3.345,0.898,0.23,13.723,22.533,5.306,54.845,407.723,2.029,4.886,0.153,6.918,0.603,4458.133,2.633,0.828,0.472,2.057,8.563,49.211,36.942,47.886,58.946,147.215,31.316,46.865,0,13717.814,15.803,0.764,290.073,6.014,0,70.645,614.131,0,45071.583
"DOM_A02",72.761,351.459,2.964,0.16,0.006,0.008,0.435,0,219.116,14.913,935.907,133.583,0.292,31.253,1.54,90.787,4.381,2.099,1.287,0.912,0.852,0.614,1.65,0.804,1.018,0.074,67.519,80.406,0.329,39.76,29.508,0.176,0.472,0.116,0.647,0.138,80.7,0.79,0.559,0.54,0.827,3.732,1.942,1.71,11.379,5.899,5.161,5.906,4.617,0,523.368,15.967,0.03,282.703,2.873,0,0.374,45.905,0,3082.931
"DOM_A03",4.855,0.448,431.333,0.003,0,0.001,0.045,0,2711.583,0.912,0.03,0.088,0.121,2.273,0.41,0.252,0.161,0.136,0.125,0.307,0.607,0.314,0.469,0.183,0.192,0.012,0.149,0.215,0.097,0.784,40.507,0.087,1.421,0.035,0.358,0.004,1256.01,0.518,0.175,0.352,0.686,1.094,1.13,0.297,11.728,4.604,12.708,1.67,2.656,0,2680.682,3.634,0.011,0.994,1.566,0,5.209,429.385,0,7613.625
"DOM_B05",0.143,0.007,0.039,0.244,0,0,0.02,0,0.427,0.214,0.025,0.112,24.173,0.627,0.07,0.213,0.159,0.391,0.134,0.258,0.773,0.289,0.432,0.394,0.095,0.037,0.095,208.802,0.072,0.458,0.348,0.06,0.122,0.09,0.103,0.014,0.316,0.03,0.075,0.043,0.038,0.084,0.169,0.085,0.126,0.103,0.192,0.047,0.09,0,2.837,0.002,0.001,0.733,0.016,0,0.005,13.228,0,257.663
"DOM_B06",0.037,0.001,0.008,0,0.008,0,0.003,0,0.164,0.109,0.009,0.04,102.895,0.292,0.034,0.106,0.048,0.11,0.032,0.098,0.433,0.14,0.181,0.157,0.044,0.011,0.03,29.374,0.01,0.201,0.111,0.016,0.029,0.014,0.022,0.004,0.125,0.013,0.019,0.01,0.009,0.022,0.038,0.017,0.025,0.02,0.08,0.01,0.031,0,1.502,0.001,0,0.488,0,0,0.004,2.2,0,139.391
"DOM_B07",0.015,0.001,0.001,0.001,0,0.007,0.049,0,0.134,0.023,0.012,0.013,0.208,0.691,0.018,0.129,0.93,13.709,12.837,3.121,0.876,1.269,1.825,1.616,0.365,0.12,0.179,0.246,0.083,2.979,0.08,0.004,0.008,0,0.016,0.001,0.048,0.002,0.002,0.001,0.005,0.175,0.062,0.01,0.014,0.02,0.013,0.007,0.036,0,0.013,0,0,0.01,0,0,0,77.799,0,119.787
"DOM_B08",10.737,0.34,2.014,0.222,0.05,0.166,55.72,0.024,30.286,4.576,0.461,11.305,56.448,296.881,1.547,8.366,850.052,299.728,92.038,15.779,9.831,11.333,10.294,7.479,1.78,0.496,7.362,64.288,20.94,878.411,9.21,0.746,0.456,0.159,1.768,0.346,9.259,0.427,0.46,0.297,0.688,17.445,3.92,6.448,12.118,2.945,4.104,1.027,2.431,0,38.618,0.206,0.017,3.378,0,0,0.558,408.298,0,3274.282
"DOM_B09",0.019,0.001,0.004,0,0,0,0.002,0,0.085,0.056,0.005,0.021,0.078,0.149,0.018,0.055,0.025,0.057,0.017,0.053,0.225,0.073,0.094,0.082,0.023,0.006,0.016,0.04,0.005,0.109,0.057,0.008,0.014,0.006,0.011,0.002,0.064,0.007,0.01,0.005,0.005,0.012,0.022,0.009,0.013,0.01,0.041,0.005,0.016,0,0.775,0,0.015,0.938,0,0,0.002,15.464,0,18.831
"DOM_C10T12",3218.393,5.526,444.398,0.179,0.09,0.096,4.425,0.012,21114.006,182.59,7.488,72.351,38.615,1315.58,190.093,73.633,26.308,30.264,24.391,42.693,72.797,47.362,62.471,51.529,13.345,4.668,39.183,50.102,28.554,114.09,1570.638,22.63,101.817,18.461,99.763,17.837,31471.801,99.323,46.775,61.488,123.502,119.777,258.819,99.613,333.229,582.135,849.437,314.74,242.084,0,58875.009,94.201,1.316,168.128,26.379,0,262.479,8119.898,0,131256.509
"DOM_C13T15",64.374,5.77,102.875,0.779,0.235,0.252,8.637,0.034,243.527,19216.841,30.851,304.11,43.169,764.631,60.785,665.717,161.282,105.87,47.908,187.597,319.488,195.749,285.355,1208.831,154.431,35.716,720.444,95.031,67.254,519.261,1401.572,23.638,25.239,13.709,99.756,57.046,814.297,67.952,61.147,52.495,111.832,190.967,463.648,296.569,578.686,293.469,732.823,324.525,759.089,0,21633.878,22.059,0.006,1073.42,90.158,0,167.528,11322.246,0,66294.555
"DOM_C16",36.229,10.192,5.386,0.315,0.037,0.081,2.983,0.006,154.832,50.262,1196.827,238.841,3.313,192.434,8.134,83.709,120.84,24.417,27.056,119.512,85.124,93.396,96.55,255.236,169.62,9.86,995.48,56.182,8.662,3116.772,237.433,5.87,2.759,0.749,52.395,1.839,123.976,16.909,5.881,4.888,8.778,400.117,94.387,34.966,16.905,34.61,38.352,17.745,134.887,0,178.36,0.252,0.005,34.397,1.421,0,9.433,124.5,0,8744.1
"DOM_C17_18",66.752,2.455,24.406,0.201,0.161,0.176,4.715,0.015,2758.416,390.263,87.062,9145.665,35.847,953.45,289.259,483.944,394.029,91.489,89.605,328.865,784.733,448.036,439.358,436.558,61.945,32.108,345.262,130.358,62.601,375.129,2467.089,32.001,51.766,9.81,165.621,149.527,795.265,3013.991,282.529,448.85,1087.961,218.179,1843.31,624.389,1002.419,1535.534,721.227,289.363,572.94,0,1610.338,1.65,0.473,177.82,14.829,0,35.745,4208.812,0,39624.301
