"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1431.983,15.511,7.597,0.301,0.058,0.345,0.671,0.17,302.85,14.946,1.935,0.016,0.019,1.586,1.19,0.346,0.053,0,0,0.003,0.003,0.001,0,0.001,0,0,0.601,17.525,0.874,6.467,64.714,0.692,0.012,0.036,0.025,0.077,90.654,0.266,0.156,0.027,0.347,1.633,1.398,1.288,30.195,4.634,2.612,3.104,3.817,0,443.182,0.012,4.826,172.27,6.392,0,2.125,1671.389,0,4310.938
"DOM_A02",14.5,78.588,0.234,1.749,0.052,0.532,0.274,0.006,1.103,0.256,76.485,0.258,0.006,0.096,0.016,0.197,0.122,0,0,0.002,0,0,0,0,0,0,1.434,31.93,0.051,2.416,2.654,0.028,0.001,0.003,0.001,0.007,0.727,0.031,0.051,0.015,0.022,0.257,0.027,0.025,3.582,0.227,0.04,0.3,0.195,0,45.554,0.01,0.707,16.735,0.074,0,0.007,2.231,0,283.82
"DOM_A03",5.754,0.777,256.4,0.241,0.005,0.719,0.226,0.002,142.419,0.119,0.012,0.001,0.023,0.051,0.037,0.002,0.032,0,0,0.005,0.001,0.001,0,0,0,0,0.024,0.54,0.163,0.322,24.561,0.114,0.016,0.031,0.006,0.002,103.426,0.178,0.131,0.083,0.476,0.965,0.164,0.042,30.805,1.497,0.957,0.649,0.908,0,98.067,0.004,0.262,0.256,0.012,0,0.031,0.226,0,671.746
"DOM_B05",0.19,0.009,0.004,8.026,0.097,2.037,0.615,0.338,0.043,0.034,0.015,0.006,2.634,0.102,0.002,0.004,0.823,0.033,0.005,0.001,0,0,0,0,0,0,0.004,238.609,0.059,0.6,0.134,0.037,0,0.002,0.001,0.003,0.025,0.001,0.008,0.001,0.007,0.078,0.007,0.003,0.523,0.076,0.005,0.004,0.023,0,8.033,0,0.001,0.135,0.052,0,0.004,27.886,0,291.341
"DOM_B06",0.05,0.002,0.005,0.936,0.961,1.057,0.671,0.317,0.05,0.015,0.021,0.007,49.709,0.321,0.003,0.007,0.4,0.004,0.003,0.009,0,0,0,0,0,0,0.021,148.123,0.098,0.214,0.582,0.066,0,0.012,0.003,0.015,0.018,0.005,0.011,0.005,0.033,0.137,0.036,0.012,0.573,0.045,0.005,0.006,0.018,0,16.162,0,0.377,0.143,0.016,0,0.006,0.153,0,221.444
"DOM_B07",0.191,0.002,0.009,3.95,0.47,146.984,10.109,2.594,0.07,0.015,0.007,0.001,2.596,0.567,0.009,0.004,3.932,0.466,0.586,0.173,0.002,0.003,0,0.001,0,0,0.095,24.786,0.111,6.952,0.153,0.062,0,0.008,0.001,0.005,0.03,0.002,0.005,0.001,0.005,0.087,0.034,0.011,0.183,0.014,0.002,0.008,0.04,0,0.02,0,0.001,0.12,0,0,0.009,1047.303,0,1252.787
"DOM_B08",7.689,0.219,0.422,7.381,1.221,32.052,110.113,6.415,0.554,0.109,0.04,0.052,6.343,2.953,0.038,0.043,73.471,0.117,0.042,0.086,0.005,0.007,0,0.001,0,0,0.459,76.152,1.784,162.007,0.948,0.234,0.002,0.015,0.005,0.01,0.158,0.003,0.026,0.002,0.01,4.081,0.103,0.299,7.129,0.091,0.012,0.049,0.095,0,3.095,0,0,0.143,0.136,0,0.023,82.008,0,588.456
"DOM_B09",0.159,0.004,0.312,10.822,16.71,19.913,16.209,30.737,0.019,0.004,0.009,0.005,4.14,0.006,0.001,0.004,0.574,0.002,0.002,0.002,0,0,0,0,0,0,0.003,23.566,0.056,2.118,0.045,0.088,0.001,0.026,0.002,0.03,0.011,0.031,0.003,0.001,0.014,0.094,0.029,0.002,0.166,0.011,0.002,0.001,0.005,0,0.134,0,0.372,84.05,0,0,0.006,0.255,0,210.754
"DOM_C10T12",24.26,0.074,1.247,0.05,0.015,0.159,0.066,0.005,165.41,0.259,0.064,0.019,0.075,0.065,0.023,0.032,0.125,0.001,0.001,0.031,0.006,0.002,0,0.001,0.001,0,0.116,2.843,0.147,1.644,32.699,0.426,0.059,0.193,0.025,0.027,46.381,1.323,1.5,0.256,3.102,2.387,0.563,0.141,9.573,2.63,0.346,3.165,0.848,0,69.429,0,0.024,0.485,2.127,0,0.623,840.876,0,1215.947
"DOM_C13T15",0.264,0.02,0.138,0.063,0.02,0.222,0.05,0.023,0.049,11.913,0.039,0.012,0.009,0.029,0.01,0.028,0.072,0,0,0.005,0.002,0.001,0,0.003,0,0,0.389,0.285,0.042,0.425,1.078,0.03,0,0.008,0.001,0.017,0.214,0.033,0.031,0.008,0.047,0.114,0.094,0.05,1.28,0.113,0.065,0.125,0.824,0,27.432,0,0.012,1.101,0.449,0,3.259,291.203,0,341.699
