"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",519.645,15.148,1.84,0.046,0.069,0.011,0.139,0.021,936.501,12.428,14.052,3.059,1.717,14.829,0.771,6.851,2.068,0.074,0.003,3.527,2.768,1.224,1.617,0.796,0.207,0.423,16.012,1.08,0.906,18.889,29.543,13.227,0.079,0.351,1.637,0.239,39.259,0.634,0.375,0.696,0.656,3.978,3.104,6.901,4.073,2.492,9.108,2.06,1.885,0,1623.851,0.003,5.27,110.886,12.715,0,8.414,2215.416,0,5673.571
"DOM_A02",25.6,218.432,0.272,0.065,0.028,0.005,0.071,0.007,17.341,1.808,293.96,9.83,0.708,4.661,0.13,7.573,1.008,0.028,0.001,1.264,0.981,0.434,0.577,0.283,0.11,0.212,21.828,1.664,0.234,8.806,8.749,3.519,0.029,0.143,0.389,0.049,2.019,0.216,0.136,0.272,0.176,1.203,0.728,1.254,1.541,0.572,1.515,0.726,0.483,0,210.344,0.001,1.084,14.287,0.726,0,0.501,204.569,0,1073.156
"DOM_A03",1.083,0.069,5.315,0.001,0.002,0.001,0.004,0.001,49.307,0.055,0.065,0.103,0.069,0.179,0.005,0.064,0.044,0.008,0,0.06,0.031,0.014,0.019,0.01,0.013,0.009,0.122,0.064,0.6,0.167,0.825,0.218,0.004,0.006,0.038,0.005,4.171,0.014,0.01,0.024,0.031,0.117,0.065,0.089,0.401,0.091,0.238,0.051,0.047,0,62.155,0.149,0.395,0.302,0.162,0,0.197,37.556,0,164.846
"DOM_B05",0.141,0.016,0.001,0.1,0.009,0.004,0.032,0.007,0.236,0.039,0.445,0.11,0.482,0.823,0.001,0.063,0.679,0.106,0.003,0.024,0.007,0.007,0.006,0.004,0.002,0.003,0.304,4.174,0.014,0.544,0.11,0.155,0,0.001,0.02,0.001,0.017,0.002,0.003,0.009,0.004,0.064,0.017,0.021,0.065,0.039,0.017,0.005,0.019,0,7.09,0,0.004,0.14,0.057,0,0.002,26.816,0,43.069
"DOM_B06",0.701,0.06,0.022,0.049,0.24,0.006,0.125,0.021,1.871,0.308,0.505,0.558,35.888,10.165,0.025,0.631,1.352,0.053,0.004,0.509,0.203,0.095,0.126,0.072,0.023,0.05,1.06,10.358,0.143,1.207,1.744,1.54,0.006,0.029,0.343,0.029,0.197,0.043,0.027,0.066,0.059,0.301,0.274,0.327,0.348,0.138,0.258,0.056,0.06,0,5.97,0,0.189,1.412,0,0,0.073,53.01,0,132.929
"DOM_B07",0.076,0.002,0.002,0.028,0.019,0.112,0.259,0.024,0.212,0.016,0.007,0.008,0.272,2.443,0.003,0.034,1.762,0.769,0.107,0.774,0.018,0.025,0.033,0.01,0.001,0.001,0.239,0.257,0.021,1.798,0.08,0.146,0,0.002,0.016,0.001,0.012,0.003,0.002,0.005,0.006,0.03,0.046,0.044,0.019,0.006,0.006,0.005,0.012,0,0.034,0,0.002,0.123,0,0,0.001,1.299,0,11.23
"DOM_B08",0.378,0.018,0.011,0.008,0.009,0.004,0.384,0.009,0.258,0.015,0.008,0.056,0.096,1.661,0.002,0.045,4.231,0.032,0.002,0.06,0.01,0.012,0.009,0.003,0.001,0.001,0.172,0.112,0.053,5.39,0.055,0.08,0,0.001,0.009,0,0.011,0,0.001,0.001,0.001,0.124,0.009,0.146,0.061,0.004,0.004,0.003,0.005,0,0.901,0,0.003,0.113,0.031,0,0.005,115.601,0,130.219
"DOM_B09",0.126,0.006,0.14,0.172,1.324,0.034,0.932,0.595,0.087,0.002,0.017,0.096,0.995,0.06,0.001,0.069,0.572,0.007,0.001,0.013,0.004,0.003,0.004,0.001,0,0.001,0.016,0.54,0.014,1.233,0.033,0.44,0.003,0.011,0.058,0.013,0.009,0.014,0.001,0.003,0.006,0.057,0.061,0.018,0.03,0.008,0.007,0.002,0.002,0,0.049,0,0.859,17.677,0,0,0.001,12.397,0,38.826
"DOM_C10T12",298.558,0.722,6.663,0.008,0.013,0.002,0.052,0.004,615.047,1.279,0.422,1.191,0.106,18.228,0.622,0.84,0.286,0.003,0.001,0.306,0.206,0.09,0.108,0.036,0.008,0.023,2.245,0.122,0.508,1.36,40.92,4.506,0.194,0.192,1.355,0.13,196.758,1.273,0.387,1.349,1.328,2.369,1.927,4.2,7.452,6.535,11.06,6.904,2.106,0,2897.118,0.12,4.563,0.854,13.37,0,19.78,3511.021,0,7686.83
"DOM_C13T15",5.851,0.676,0.645,0.035,0.063,0.008,0.101,0.021,8.895,63.363,3.56,3.167,0.865,6.134,0.203,5.49,1.625,0.041,0.002,2.72,1.745,0.776,1.069,0.942,0.202,0.387,22.78,0.498,0.652,10.61,11.442,8.172,0.076,0.412,1.055,0.217,2.405,0.586,0.392,1.069,0.718,1.507,2.718,4.665,3.079,1.364,4.73,1.619,1.746,0,372.901,0.001,1.263,13.886,6.696,0,7.78,918.298,0,1511.919
