"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",18.373,0.06,0,0,0,0,0.012,0,53.447,1.84,0.229,0.045,0,0.521,0.344,5.855,0.372,0.999,0.881,0.328,0.123,0.037,0.907,0.048,0.002,0.002,0.097,0.401,0.113,3.977,4.702,0.24,0.009,0.245,0.071,0.025,12.849,0.205,0.688,3.518,4.873,0.911,4.278,1.143,0.873,0.253,2.62,0.35,0.272,0,86.664,0.059,0.522,11.353,1.442,0,13.501,391.881,0,632.559
"DOM_A02",0.07,0.085,0,0,0,0,0,0,0.109,0.008,1.403,0.016,0,0.009,0.002,0.645,0.011,0.012,0.015,0.002,0.001,0,0.005,0,0,0,0.017,0.092,0.002,0.098,0.074,0.002,0,0.001,0.001,0,0.071,0.001,0.005,0.026,0.022,0.007,0.016,0.006,0.021,0.004,0.016,0.007,0.004,0,0.35,0,0.008,0.047,0.044,0,0.027,11.841,0,15.205
"DOM_A03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0,0,0,0,0,0,0.004,0,0.001,0,0,0,0,0.011,0,0.015,0.093,2.68,6.693,0.053,0.001,0.001,0.026,0.001,0,0,0.001,0.019,0.001,0.107,0.002,0.001,0,0,0,0,0,0,0.001,0.004,0.007,0.002,0.012,0.001,0.001,0,0,0,0,0,0.008,0,0.001,0.004,0,0,0.002,3.406,0,13.163
"DOM_B08",0.129,0.001,0,0,0,0.002,0.656,0,0.151,0.022,0.004,0.016,0,0.95,0.009,0.65,23.877,11.75,8.658,0.188,0.006,0.013,0.121,0.004,0,0,0.026,1.015,0.099,24.863,0.067,0.023,0.001,0.002,0.004,0.001,0.04,0,0.005,0.009,0.015,0.257,0.1,0.168,0.16,0.005,0.01,0.005,0.008,0,3.882,0,0.001,0.012,0,0,0.019,2.33,0,80.332
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",12.35,0.006,0,0,0,0,0.012,0,58.341,0.663,0.041,0.052,0,1.267,0.462,2.068,0.236,0.224,0.669,0.203,0.028,0.016,0.307,0.011,0.001,0.001,0.059,0.184,0.128,1.003,7.61,0.235,0.056,0.316,0.101,0.032,89.284,0.484,0.791,6.116,13.859,0.785,3.385,0.847,2.643,1.206,6.601,2.1,0.68,0,311.668,0.275,0.949,0.181,2.473,0,15.396,1043.487,0,1589.892
"DOM_C13T15",0.097,0.004,0,0,0,0,0.014,0,0.198,31.785,0.112,0.131,0,0.265,0.076,10.396,0.791,0.628,0.681,0.416,0.071,0.037,0.699,0.281,0.005,0.005,0.654,0.184,0.176,2.345,2.349,0.156,0.003,0.148,0.053,0.099,1.033,0.127,0.283,1.69,2.26,0.238,5.862,2.135,2.361,0.303,2.868,0.809,0.814,0,230.105,0.094,0.257,2.276,1.171,0,16.188,419.171,0,742.899
