"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",195.478,13.346,0.471,0.002,0,0.002,0.497,0.002,365.4,1.826,3.007,0.449,0.001,1.639,0.504,0.493,0.704,0.093,0.097,0.512,0.287,0.212,0.168,0.12,0.055,0.049,0.697,23.141,0.589,2.478,11.741,2.137,0.032,0.512,2.141,0.134,21.44,0.177,0.587,0.216,0.374,1.413,0.968,1.737,2.165,1.378,2.156,1.216,0.713,0,720.425,0.226,0.679,34.39,6.035,0,3.686,1212.32,0,2641.317
"DOM_A02",22.38,761.321,0.14,0.005,0,0.001,0.313,0.001,13.302,0.354,774.529,3.957,0,0.884,0.111,1.936,0.687,0.025,0.031,0.276,0.156,0.131,0.107,0.076,0.083,0.027,7.876,20.316,0.111,10.329,8.447,0.554,0.015,0.224,0.815,0.041,1.878,0.087,0.189,0.176,0.147,0.679,0.451,0.687,1.531,0.44,0.425,0.809,0.38,0,252.546,0.008,17.426,1.888,2.137,0,0.08,503.124,0,2414.648
"DOM_A03",0.955,0.455,1.862,0,0,0,0.131,0.001,25.61,0.087,0.959,0.136,0,0.24,0.05,0.084,0.216,0.022,0.02,0.222,0.15,0.105,0.096,0.053,0.039,0.03,0.441,1.138,0.088,1.144,1.162,0.618,0.018,0.551,0.469,0.017,3.101,0.022,0.1,0.051,0.037,0.121,0.166,0.271,0.295,0.074,0.212,0.084,0.052,0,36.068,0.004,0.254,2.117,0.148,0,0.147,42.718,0,123.211
"DOM_B05",0.008,0.003,0,0,0,0,0.014,0,0.01,0.001,0.007,0.001,0,0.007,0,0.001,0.034,0.008,0.018,0.004,0.001,0.001,0.001,0.001,0,0,0.002,0.194,0.003,0.099,0.01,0.004,0,0.001,0.005,0,0.003,0,0.001,0,0.001,0.009,0.002,0.002,0.005,0.003,0.003,0.002,0.001,0,0.2,0,0.003,0.091,0,0,0.001,1.334,0,2.1
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0.009,0.003,0,0,0,0.001,0.049,0,0.013,0.001,0.006,0.001,0,0.031,0.001,0.002,0.075,0.091,0.246,0.063,0.007,0.013,0.009,0.004,0.002,0.002,0.011,0.122,0.005,0.164,0.021,0.008,0,0.004,0.011,0.001,0.002,0.001,0.003,0.002,0.004,0.01,0.013,0.008,0.008,0.002,0.003,0.002,0.002,0,0.025,0,0.002,0.08,0,0,0.001,0.755,0,1.901
"DOM_B08",7.418,1.321,0.173,0.014,0,0.019,43.927,0.033,5.482,0.129,0.293,0.508,0.014,12.181,0.098,0.261,104.012,2.082,1.631,1.203,0.166,0.475,0.216,0.062,0.034,0.024,1.309,31.095,1.386,182.43,1.21,0.757,0.019,0.439,0.557,0.013,0.306,0.006,0.034,0.008,0.016,2.792,0.173,1.32,1.633,0.114,0.087,0.096,0.089,0,11.927,0,0.005,0.121,0,0,0.014,14.419,0,434.153
"DOM_B09",0.008,0.005,0,0,0,0,0.021,0,0.009,0.001,0.01,0.001,0,0.005,0.001,0.001,0.023,0.001,0.001,0.007,0.002,0.002,0.002,0.001,0.001,0,0.004,0.032,0.002,0.088,0.025,0.015,0.001,0.01,0.029,0.001,0.002,0.001,0.003,0.002,0.002,0.009,0.01,0.008,0.009,0.002,0.002,0.002,0.001,0,0.049,0,0.033,0.768,0,0,0.001,0.974,0,2.188
"DOM_C10T12",51.014,0.424,0.88,0,0,0,0.059,0,97.239,0.112,0.302,0.116,0,1.152,0.35,0.047,0.069,0.004,0.009,0.067,0.043,0.037,0.03,0.012,0.008,0.007,0.17,0.279,0.106,0.444,5.417,0.313,0.03,0.109,0.609,0.037,37.944,0.129,0.112,0.109,0.145,0.379,0.312,0.465,1.32,1.219,1.725,1.224,0.407,0,1007.887,0.163,1.591,0.529,4.378,0,4.588,1714.242,0,2938.367
"DOM_C13T15",0.815,0.279,0.078,0,0,0,0.063,0,1.407,9.002,0.617,0.381,0,0.23,0.052,0.244,0.209,0.011,0.012,0.264,0.146,0.203,0.119,0.231,0.059,0.038,1.25,0.727,0.118,1.442,2.101,0.436,0.004,0.085,0.406,0.068,0.453,0.042,0.07,0.043,0.064,0.188,0.365,0.693,0.86,0.235,0.734,0.44,0.315,0,63.316,0.004,0.062,2.341,1.663,0,1.035,280.481,0,374.505
"DOM_C16",14.499,58.077,0.255,0.01,0,0.005,1.213,0.005,16.06,1.039,962.626,7.062,0.001,4.072,0.41,1.624,7.331,0.109,0.268,5.098,1.538,2.328,1.314,1.875,2.852,0.44,90.708,15.311,1.068,319.795,25.084,4.397,0.045,0.699,15.209,0.161,3.914,0.743,0.68,0.388,0.5,14.218,8.31,5.437,2.494,1.914,2.3,2.04,3.679,0,120.957,0.025,1.367,36.375,18.135,0,0.828,2763.23,0,4550.123
"DOM_C17_18",2.209,0.727,0.088,0.001,0,0.001,0.264,0.002,18.121,0.853,5.403,55.325,0.001,1.643,1.073,0.986,1.65,0.049,0.103,1.693,1.842,1.33,0.698,0.422,0.19,0.261,3.088,5.73,1.497,4.166,40.684,3.557,0.066,0.831,6.128,2.481,2.39,13.623,5.596,4.876,12.013,3.547,52.697,19.97,22.78,15.596,6.764,6.357,6.733,0,54.838,0.012,0.263,1.048,0.893,0,1.38,192.406,0,586.946
"DOM_C19",0.043,0.022,0.004,0,0,0,0.008,0,0.022,0.001,0.014,0.002,0.001,0.141,0.001,0.001,0.009,0.001,0.001,0.003,0.001,0.002,0.001,0.001,0,0,0.005,0.668,0.006,0.04,0.058,0.187,0.028,0.661,0.05,0.004,0.006,0.001,0.002,0.002,0.004,0.005,0.008,0.016,0.017,0.004,0.005,0.003,0.003,0,0.041,0,0,0.012,0,0,0,0.165,0,2.282
