"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3967.656,22.057,63.133,0.006,0.007,0.176,2.047,0.013,9421.876,187.65,1.329,1.578,0.013,129.009,34.003,17.759,0.966,0.463,0.152,0.346,0.233,0.764,0.231,3.808,0.029,0.053,5.76,19.895,1.223,38.966,259.46,3.15,0.409,0.282,2.532,0.144,372.969,1.484,0.981,0.167,2.356,2.236,14.493,69.974,66.446,50.008,75.343,10.081,17.425,0,4565.79,0.16,73.414,581.986,30.602,0,61.589,2981.428,0,23166.11
"DOM_A02",228.75,629.696,9.217,0.151,0.022,0.801,3.958,0.002,157.737,17.733,279.809,115.321,0.005,43.771,2.616,56.892,5.445,0.951,0.404,0.408,0.015,0.427,0.118,1.293,0.067,0.023,75.972,161.333,0.216,78.951,83.147,0.529,0.092,0.081,0.464,0.05,16.009,1.048,1.196,0.383,0.622,1.991,1.313,8.087,43.625,13.369,6.395,5.505,8.175,0,371.927,0.134,10.305,46.251,1.63,0,0.394,3.477,0,2498.303
"DOM_A03",10.48,0.253,167.461,0.002,0.001,0.064,0.433,0.002,424.492,1.641,0.106,0.279,0.008,3.759,0.479,0.397,1.424,0.937,0.275,0.633,0.123,0.751,0.103,3.841,0.848,0.258,0.428,2.587,0.156,9.45,8.723,0.394,0.297,1.164,0.302,0.035,37.217,0.215,0.245,0.066,0.484,0.895,0.382,0.717,7.429,2.344,3.241,0.287,0.789,0,685.649,0.001,0.304,94.114,-2.281,0,19.147,232.869,0,1726.703
"DOM_B05",0.027,0.001,0.004,0.004,0.002,0.034,0.128,0.003,0.055,0.018,0.001,0.019,0.016,0.314,0.004,0.01,0.31,0.791,0.111,0.006,0.001,0.013,0.001,0.032,0,0.001,0.003,6.889,0.007,0.394,0.033,0.007,0,0.001,0.004,0,0.006,0.001,0.004,0,0.004,0.01,0.004,0.008,0.049,0.036,0.01,0.001,0.013,0,0.634,0,0,0.191,0.003,0,0.018,0.502,0,10.736
"DOM_B06",0.042,0.002,0.023,0.001,0.007,0.034,0.229,0.005,0.129,0.02,0.002,0.046,0.684,2.519,0.009,0.03,0.322,0.235,0.078,0.036,0.002,0.023,0.003,0.099,0.001,0.002,0.018,10.523,0.016,0.253,0.239,0.084,0.038,0.396,0.039,0.003,0.011,0.005,0.01,0.003,0.025,0.017,0.032,0.046,0.141,0.055,0.022,0.004,0.013,0,7.255,0,0.25,0.369,0,0,0.024,0.894,0,25.367
"DOM_B07",2.133,0.022,0.236,0.049,0.03,29.041,30.426,0.144,2.487,0.506,0.014,0.381,0.38,47.438,0.483,0.929,46.219,223.435,155.121,5.677,0.102,1.585,0.185,2.47,0.011,0.012,0.883,18.936,0.267,67.358,0.885,0.282,0.011,0.169,0.141,0.007,0.143,0.045,0.079,0.014,0.062,0.465,0.377,1.389,1.224,0.283,0.252,0.038,0.309,0,3.014,0,0.001,25.314,0,0,0.15,384.415,0,1056.029
"DOM_B08",24.75,0.358,4.045,0.13,0.106,9.965,328.78,0.497,22.048,1.687,0.03,4.711,1.285,275.219,1.267,2.515,676.703,88.099,17.546,4.504,0.36,6.622,0.424,5.266,0.04,0.065,4.903,78.321,2.414,1080.72,4.788,1.089,0.013,0.083,0.521,0.016,0.743,0.019,0.133,0.008,0.065,5.558,0.83,22.189,17.851,1.138,0.405,0.166,0.547,0,0.45,0,0.001,8.287,0,0,0.166,1277.282,0,3985.726
"DOM_B09",0.075,0.001,0.4,0.027,0.194,1.652,7.016,0.321,0.097,0.007,0.001,0.064,0.122,1.021,0.008,0.036,1.363,6.552,4.542,0.166,0.002,0.045,0.006,0.07,0,0,0.019,3.699,0.018,2.708,0.027,0.059,0.005,0.027,0.032,0.007,0.008,0.021,0.001,0,0.011,0.02,0.052,0.026,0.06,0.019,0.008,0.001,0.012,0,0.036,0,0,0.104,0.04,0,0.008,24.287,0,55.102
"DOM_C10T12",1517.289,0.886,184.507,0.01,0.016,0.357,3.34,0.022,3367.689,49.005,0.183,8.469,0.116,226.288,40.398,4.123,2.417,0.727,0.647,1.591,0.469,3.183,0.393,5.996,0.07,0.111,4.704,5.541,1.282,14.176,286.649,4.354,2.328,2.675,5.422,0.638,843.556,13.162,8.683,3.302,18.252,6.04,13.044,34.575,117.671,147.072,126.351,22.338,30.907,0,14264.496,0,0.342,4.863,15.277,0,205.701,3525.215,0,25146.92
"DOM_C13T15",1.687,0.081,3.874,0.004,0.005,0.141,0.516,0.006,3.467,382.738,0.068,4.615,0.006,7.873,0.999,5.085,2.573,0.337,0.1,0.95,0.298,2.288,0.254,29.17,0.109,0.166,8.036,0.659,0.209,12.195,15.342,0.619,0.035,0.289,0.503,0.155,2.701,0.697,0.526,0.194,1.421,0.551,2.346,6.825,11.712,3.44,7.393,1.354,4.558,0,1440.934,0,0.016,23.952,18.536,0,146.663,3722.796,0,5882.065
"DOM_C16",3.955,0.521,0.52,0.008,0.004,0.22,0.761,0.006,5.427,2.892,9.978,5.855,0.002,7.784,0.41,1.304,4.259,0.337,0.248,1.849,0.279,2.947,0.244,15.684,0.327,0.116,32.166,3.313,0.187,177.446,11.368,0.617,0.016,0.077,1.473,0.023,1.207,0.688,0.415,0.098,0.664,6.196,3.064,4.28,2.409,2.443,1.669,0.467,3.204,0,12.793,0.001,0,100.142,7.325,0,4.511,83.9,0,528.099
"DOM_C17_18",6.08,0.093,1.997,0.004,0.011,0.409,0.978,0.012,80.301,15.119,0.567,215.368,0.023,31.679,13.952,7.374,11.69,1.031,0.65,3.748,2.135,14.192,0.917,24.603,0.079,0.267,9.384,5.173,0.872,18,76.884,2.653,0.257,1.097,3.278,1.436,5.547,50.483,9.124,6.135,40.052,2.136,39.562,56.606,59.305,59.042,21.868,3.744,15.646,0,286.367,0,0.001,11.764,3.823,0,20.907,205.35,0,1449.773
"DOM_C19",0.719,0.034,0.542,0.002,0.002,0.094,0.302,0.004,0.366,0.078,0.008,0.066,0.335,15.647,0.044,0.032,0.236,0.25,0.034,0.053,0.008,0.143,0.009,0.431,0.002,0.004,0.075,8.791,0.05,1.1,1.594,1.98,1.199,12.781,0.305,0.047,0.074,0.046,0.103,0.03,0.291,0.039,0.185,0.425,1.069,0.298,0.211,0.038,0.166,0,0.036,0,0,0.025,0,0,0.005,0.125,0,50.529
"DOM_C20",248.217,0.619,4.736,0.098,0.142,6.449,20.461,0.228,67.056,92.019,2.557,50.282,1.568,1550.527,81.145,217.519,43.164,10.887,5.233,16.642,8.603,50.729,2.572,137.681,1.173,0.963,29.869,19.976,11.979,96.011,38.246,3.293,0.642,5.571,4.239,0.204,8.747,8.86,1.503,1.551,4.505,9.43,21.432,47.384,21.389,23.53,48.195,2.564,20.084,0,954.473,0,0.182,2.366,-6.826,0,19.858,8505.564,0,12526.088
