"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",6199.894,17.607,25.88,0.086,2.786,1.506,1.744,3.32,33220.842,218.097,12.072,4.968,1.354,120.391,82.467,75.67,1.663,0.749,0.957,1.653,2.861,1.379,4.018,9.101,0.035,0.997,33.218,18.78,7.092,242.01,810.353,19.083,0.149,0.592,6.134,0.601,1662.47,3.122,3.042,0.205,7.65,105,16.509,58.985,123.83,49.735,95.975,22.823,31.496,0,18876.877,15.538,54.048,4476.038,37.207,0,198.053,14623.785,0,81612.493
"DOM_A02",84.55,119.496,0.894,0.37,1.63,1.37,0.78,0.062,147.669,4.121,639.805,105.998,0.126,9.751,1.502,58.024,2.915,0.654,0.782,0.343,0.041,0.163,0.466,0.757,0.016,0.108,109.752,35.276,0.14,37.215,55.457,0.674,0.008,0.037,0.181,0.039,18.409,0.433,0.354,0.088,0.353,3.028,0.345,1.576,15.734,2.94,1.921,2.815,1.407,0,301.132,18.631,6.868,0.037,0.153,0,0.006,97.791,0,1895.194
"DOM_A03",0.363,0.012,11.551,0.001,0.049,0.037,0.013,0.03,236.64,0.021,0.003,0.012,0.019,0.071,0.045,0.019,0.019,0.008,0.012,0.024,0.047,0.024,0.027,0.093,0,0.009,0.03,0.023,0.026,0.559,3.848,0.126,0.003,0.05,0.029,0.005,24.971,0.051,0.041,0.01,0.122,0.336,0.066,0.045,1.456,0.223,0.522,0.077,0.087,0,1412.302,3.182,0.085,9.223,0.734,0,18.642,234.789,0,1960.814
"DOM_B05",0.908,0.011,0.005,1.501,2.622,4.71,1.529,3.944,4.746,0.519,0.098,2.231,64.415,9.263,0.164,1.061,17.599,77.329,17.957,0.202,0.161,0.397,0.343,1.132,0.009,0.358,0.193,232.355,0.191,7.781,1.76,0.965,0.002,0.08,0.125,0.015,0.577,0.044,0.075,0.011,0.099,0.699,0.106,0.092,2.024,0.862,0.271,0.033,0.283,0,0.257,0.004,0.003,1.975,0,0,0.125,1.146,0,465.367
"DOM_B06",1.038,0.005,0.034,0.973,162.773,13.375,9.23,20.045,31.138,1.543,0.822,13.417,7369.227,162.374,1.301,10.055,46.824,54.069,52.664,10.07,2.362,2.13,2.63,16.327,0.051,2.4,4.875,875.003,2.664,13.283,44.194,8.319,0.012,0.187,3.58,0.457,2.234,0.318,0.329,0.125,2.025,7.338,2.633,1.935,12.208,2.86,1.561,0.311,0.487,0,2.197,0.003,0.005,0.529,0,0,0.057,30437.118,0,39413.722
"DOM_B07",2.88,0.023,0.114,1.817,33.426,828.665,63.3,75.82,23.012,1,0.143,0.872,154.897,124.509,1.988,2.812,206.57,2601.487,5105.066,81.255,3.667,8.283,10.858,21.106,0.022,0.494,13.386,58.902,1.448,236.348,11.152,6.738,0.04,1.893,0.935,0.217,2.423,1.039,1.057,0.195,1.558,2.68,2.359,2.202,3.45,0.989,0.922,0.579,1.085,0,4.184,0.216,0.656,36.911,-0.001,0,3.606,9128.746,0,18880
"DOM_B08",60.63,0.448,2.606,2.114,52.583,113.282,429.867,116.653,121.093,3.711,0.429,28.511,236.92,407.362,4.823,16.884,2428.285,409.457,228.088,26.307,7.225,17.761,11.297,22.702,0.064,2.176,46.124,113.484,12.071,3442.903,22.81,9.422,0.009,0.3,1.408,0.096,5.351,0.143,0.344,0.029,0.269,63.062,2.191,29.044,42.717,1.673,1.048,0.801,1.687,0,0.658,0.023,0.078,8.776,-0.001,0,0.412,483.95,0,9042.159
"DOM_B09",4.156,0.024,7.194,11.593,2701.101,263.043,237.582,2092.24,8.538,0.067,0.273,10.348,575.863,2.317,0.283,5.799,69.091,25.293,31.315,0.579,0.22,0.613,0.787,0.276,0,0.1,0.284,130.93,1.652,162.934,1.216,12.608,0.068,2.089,2.162,1.017,1.099,1.956,0.016,0.001,0.966,5.132,2.486,0.45,3.259,0.652,0.512,0.04,0.163,0,0.375,0.005,0.007,5663.438,0,0,0.05,13.843,0,12058.1
"DOM_C10T12",3321.18,1.184,106.152,0.409,21.621,13.647,7.457,9.29,16913.996,94.11,5.097,53.74,42.525,349.44,150.114,54.981,24.127,19.931,19.782,21.918,74.088,28.156,26.183,97.559,0.303,12.36,55.314,51.666,16.481,93.27,1239.566,59.459,1.122,13.27,16.653,3.926,5443.097,35.955,22.867,6.661,74.795,84.402,44.533,49.703,294.959,207.596,269.197,95.667,49.066,0,140319.898,65.171,11.777,101.684,30.39,0,998.542,21859.351,0,193085.388
"DOM_C13T15",20.847,0.571,12.073,0.424,14.162,10.93,3.58,9.159,68.515,2532.96,5.552,86.073,7.813,51.397,16.641,124.223,34.193,8.968,7.362,23.549,35.368,23.023,28.482,626.728,0.821,24.269,445.41,9.43,6.328,132.068,407.579,24.742,0.096,4.818,7.645,6.02,143.355,10.088,6.517,1.518,20.594,24.801,34.332,61.688,209.614,39.412,122.7,41.093,65.03,0,8455.553,5.208,1.251,39.978,7.752,0,364.522,6782.272,0,21259.094
