"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",4.446,0,0.701,0,0.001,0,0.002,0,21.862,0.121,0.006,0.019,0,0.017,0.157,0.05,0.007,0,0,0.007,0.078,0.002,0.002,0.005,0.002,0.003,0.062,0.265,0.04,0.442,0.798,0.05,0.018,0.29,0.086,0.007,9.544,0.014,0.022,0.859,0.307,0.182,0.235,0.307,0.267,0.079,0.773,5.348,0.086,0,57.214,0.018,5.625,4.636,0.079,0,2.019,19.162,0,136.323
"DOM_A02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_A03",0.065,0,64.389,0,0,0,0.002,0,37.606,0.001,0,0.005,0,0.002,0.016,0.001,0.003,0,0,0.003,0.026,0.001,0.001,0.001,0.001,0,0.006,0.016,0.007,0.024,0.607,0.014,0.04,0.091,0.022,0,33.697,0.006,0.002,0.048,0.062,0.036,0.022,0.034,0.492,0.058,0.782,2.813,0.048,0,16.781,0,3.121,0.018,0.353,0,0.279,174.853,0,336.456
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0.002,0,0.005,0,0.01,0,0.011,0.001,0.023,0.001,0,0.008,0.134,0.017,0.003,0.006,0.07,0,0.001,0.011,0.046,0.001,0.001,0.003,0.001,0.002,0.012,6.204,0.01,0.086,0.038,0.015,0.002,0.049,0.027,0.001,0.02,0.001,0.001,0.008,0.009,0.015,0.019,0.015,0.019,0.004,0.01,0.074,0.002,0,0.067,0,0.007,0.083,0,0,0.016,7.778,0,14.944
"DOM_B07",0.003,0,0.003,0,0.003,0.017,0.057,0.003,0.017,0.001,0,0.005,0.004,0.017,0.004,0.004,0.251,0.025,0.062,0.098,0.027,0.003,0.003,0.004,0.001,0.001,0.02,0.589,0.007,0.397,0.01,0.009,0.001,0.033,0.007,0,0.012,0,0,0.004,0.004,0.009,0.018,0.009,0.007,0.001,0.004,0.038,0.003,0,0.021,0,0.005,0.054,0,0,0.012,0.345,0,2.23
"DOM_B08",0.213,0,0.368,0,0.157,0.015,1.9,0.074,0.363,0.012,0.001,0.066,0.036,0.238,0.042,0.056,12.175,0.019,0.016,0.147,0.187,0.021,0.015,0.018,0.005,0.007,0.272,5.917,0.29,23.279,0.133,0.088,0.008,0.294,0.091,0.004,0.175,0.002,0.005,0.011,0.03,0.609,0.092,0.404,0.353,0.019,0.052,0.506,0.023,0,0.693,0,0.121,3.196,0,0,0.02,0.33,0,53.167
"DOM_B09",0.006,0,0.184,0,0.24,0.006,0.226,0.092,0.021,0.013,0,0.015,0.017,0.002,0.005,0.009,0.115,0,0,0.008,0.147,0.002,0.003,0.006,0.002,0.002,0.019,1.49,0.012,0.374,0.037,0.031,0.011,0.439,0.038,0.004,0.039,0.004,0.005,0.071,0.052,0.032,0.08,0.048,0.035,0.007,0.025,0.301,0.005,0,0.136,0,0.013,0.196,-0.06,0,0.017,1.063,0,5.649
"DOM_C10T12",4.019,0,3.92,0,0.001,0,0.01,0,31.214,0.019,0.002,0.075,0.001,0.065,0.405,0.029,0.047,0,0,0.029,0.136,0.005,0.007,0.009,0.004,0.006,0.104,0.197,0.068,0.237,2.237,0.117,0.203,1.468,0.233,0.014,70.625,0.073,0.029,0.377,0.553,0.209,0.368,0.435,0.859,0.449,2.774,24.923,0.225,0,304.85,0,0.133,0.205,0.433,0,8.426,151.335,0,612.164
"DOM_C13T15",0.057,0,0.945,0,0.003,0.001,0.008,0.001,0.202,3.888,0.009,0.312,0,0.026,0.077,0.316,0.139,0,0,0.341,0.473,0.03,0.065,0.36,0.071,0.078,1.722,0.145,0.052,1.121,0.835,0.057,0.016,0.333,0.122,0.013,2.001,0.014,0.008,0.116,0.112,0.133,0.472,0.472,0.399,0.053,0.917,7.231,0.306,0,13.987,0,0.013,1.003,0.146,0,0.318,12.786,0,52.305
