"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",19731.432,305.11,165.288,0.437,126.124,11.244,74.99,2.204,5100.192,2083.113,137.113,37.973,10.518,410.496,215.998,258.72,13.91,0.914,1.951,4.626,26.049,6.434,29.251,16.977,2.037,1.945,223.6,161.317,21.467,736.64,2747.152,200.607,61.618,9.024,86.173,4.533,829.713,39.314,39.313,6.196,54.894,125.526,202.786,256.928,316.965,126.685,303.984,141.395,139.611,0,3404.269,0.715,477.377,773.015,10.546,0,6.387,2372.642,0,42655.437
"DOM_A02",41.001,117.015,1.458,0.193,8.877,1.366,2.491,0.01,8.747,6.105,355.262,42.601,0.345,2.584,0.523,11.82,2.561,0.228,0.252,0.22,0.127,0.126,0.305,0.236,0.117,0.028,41.169,22.818,0.081,24.153,19.755,0.865,0.295,0.073,0.402,0.036,1.748,0.504,1.049,0.271,0.373,1.569,0.849,0.75,3.364,0.648,0.811,1.238,1.131,0,195.849,0.29,42.446,42.208,0.267,0,0.13,13.697,0,1023.435
"DOM_A03",79.52,11.776,3825.273,0.257,5.13,17.506,18.894,0.007,1750.306,21.452,0.819,2.299,8.518,10.6,5.431,1.474,5.919,0.495,1.554,4.059,5.276,3.385,4.705,1.038,1.187,0.083,6.614,3.803,2.072,26.688,384.528,23.87,56.719,5.445,13.785,0.033,727.388,23.251,24.731,14.004,57.101,58.781,26.694,8.145,247.349,31.528,101.065,23.287,38.146,0,510.885,0.388,18.635,3.7,1.001,0,0.503,308.942,0,8536.042
"DOM_B05",0.029,0.001,0.005,0.008,0.149,0.068,0.069,0.003,0.01,0.009,0.005,0.011,0.956,0.021,0.001,0.003,0.176,0.266,0.095,0.004,0.003,0.003,0.004,0.004,0.001,0.001,0.009,1.446,0.001,0.106,0.012,0.011,0.001,0.001,0.003,0,0.002,0.001,0.004,0.001,0.002,0.008,0.004,0.001,0.005,0.002,0.002,0.001,0.002,0,4.552,0,0.027,0.163,0.006,0,0.001,0.438,0,8.717
"DOM_B06",1.074,0.032,0.228,0.02,25.802,0.944,1.328,0.07,0.349,0.253,0.057,0.252,316.65,1.252,0.031,0.103,1.551,0.888,0.915,0.229,0.114,0.109,0.138,0.21,0.02,0.024,0.269,16.269,0.063,1.323,1.162,4.226,0.917,2.167,0.502,0.064,0.092,0.07,0.276,0.067,0.361,0.296,0.368,0.186,0.269,0.052,0.092,0.037,0.07,0,90.007,0.004,22.545,6.619,0,0,0.09,3695.491,0,4196.596
"DOM_B07",0.221,0.004,0.034,0.17,30.352,143.481,34.865,1.023,0.087,0.073,0.024,0.089,42.655,4.508,0.053,0.118,31.863,152.157,273.874,6.871,0.416,0.701,0.985,0.569,0.026,0.017,1.022,6.91,0.072,25.205,0.295,0.558,0.023,0.078,0.118,0.007,0.02,0.019,0.044,0.006,0.031,0.249,0.392,0.07,0.07,0.015,0.021,0.015,0.074,0,0.953,0.001,0.317,1.86,0,0,0.016,25.521,0,789.218
"DOM_B08",2.152,0.063,0.33,0.102,25.683,10.377,116.614,0.8,0.489,0.403,0.085,1.151,33.016,7.578,0.125,0.515,182.481,12.521,6.989,1.243,0.708,0.842,0.623,0.572,0.059,0.048,1.812,6.776,0.418,182.393,0.912,0.878,0.104,0.081,0.238,0.015,0.13,0.041,0.127,0.02,0.093,3.344,0.478,0.535,0.782,0.054,0.1,0.047,0.076,0,23.343,0.031,0.681,5.168,0.037,0,0.038,275.685,0,910.009
"DOM_B09",0.044,0.001,0.007,0.001,1.485,0.279,0.181,0.018,0.014,0.009,0.003,0.004,0.455,0.015,0.001,0.003,0.138,0.27,0.475,0.016,0.005,0.004,0.008,0.007,0.001,0.001,0.012,0.044,0.001,0.153,0.021,0.024,0.004,0.009,0.008,0.001,0.003,0.002,0.007,0.001,0.006,0.007,0.009,0.003,0.004,0.001,0.002,0.001,0.001,0,0.271,0,2.271,24.059,0,0,0.004,8.362,0,38.738
"DOM_C10T12",908.415,2.37,66.224,0.113,54.886,4.998,17.047,0.498,270.829,97.4,2.393,22.352,41.276,84.453,30.116,7.27,9.547,1.47,3.285,4.819,7.914,4.706,6.058,4.359,0.677,0.752,22.578,7.149,3.564,34.35,329.665,36.698,41.503,13.105,23.692,2.717,245.311,45.111,56.823,18.444,65.576,49.129,43.262,21.493,73.073,45.123,75.313,48.594,35.048,0,6389.759,1.087,69.947,13.726,4.95,0,22.482,1243.648,0,10737.148
"DOM_C13T15",9.69,0.29,2.336,0.051,16.022,2.174,2.663,0.164,2.957,782.98,0.963,10.843,2.793,3.226,0.752,7.233,7.799,0.705,0.505,2.893,4.173,2.524,3.635,22.621,1.31,1.08,41.579,0.987,0.573,20.33,23.09,4.401,0.648,1.269,2.301,0.883,1.495,1.898,3.456,0.881,3.373,3.239,10.316,5.918,9.082,1.39,7.501,3.407,6.706,0,1425.041,0.125,7.698,36.985,8.039,0,15.98,4136.853,0,6677.825
"DOM_C16",5.243,1.558,3.607,0.076,9.731,2.568,3.244,0.1,2.945,4.348,93.655,16.254,0.697,2.65,0.327,2.164,13.661,0.527,1.025,5.083,3.948,3.702,3.273,10.563,3.248,0.687,124.766,3.342,0.288,337.45,12.437,4.291,0.315,0.328,5.126,0.083,1.104,2.004,1.983,0.453,1.574,15.44,9.705,2.319,1.161,0.656,1.15,0.704,3.451,0,74.804,0.007,1.58,69.184,3.382,0,0.909,129.342,0,1004.223
"DOM_C17_18",2.213,0.114,0.394,0.015,13.202,1.704,1.577,0.082,2.967,9.972,2.294,230.868,3.582,3.999,3.227,3.942,13.412,0.631,1.051,4.368,11.757,5.583,4.742,5.737,0.364,0.704,14.23,2.266,0.699,12.698,39.033,7.613,1.548,1.438,4.867,2.7,0.618,86.578,32.138,13.413,66.068,6.789,56.187,12.469,15.992,7.994,6.636,3.08,7.083,0,205.304,0.01,16.54,12.964,0.716,0,2.124,31.97,0,1000.262
"DOM_C19",11.796,1.2,3.707,0.361,130.311,28.325,31.371,1.769,1.377,5.656,2.018,5.561,413.088,23.204,1.061,3.143,19.123,10.346,3.637,4.286,3.57,4.998,3.378,8.154,0.514,0.596,10.78,36.369,3.033,55.344,54.957,344.762,73.646,187.876,27.906,4.381,0.646,3.549,15.235,3.587,20.991,6.554,15.378,11.327,13.156,1.99,3.938,1.635,4.025,0,745.152,0.036,10.515,25.166,1.986,0,4.772,105.282,0,2516.522
"DOM_C20",39.039,0.317,1.056,0.238,75.189,21.147,23.363,0.84,3.225,30.568,6.825,38.543,127.689,141.328,15.201,91.203,40.454,5.145,6.384,13.968,34.763,18.576,10.575,27.5,3.397,1.706,35.045,3.294,4.006,57.861,15.632,8.102,1.794,3.083,4.416,0.209,0.922,7.097,1.985,1.975,3.34,10.369,15.495,5.642,2.97,1.66,12.334,1.12,4.759,0,368.57,0.067,15.446,13.41,0.812,0,1.956,26.477,0,1408.087
"DOM_C21",3.668,0.034,0.411,0.01,4.203,1.058,0.549,0.017,0.715,1.097,0.125,0.529,1.658,2.405,20.299,1.056,0.563,0.117,0.113,0.224,0.6,0.256,0.399,0.421,0.047,0.033,1.228,0.171,0.167,1.305,1.471,0.68,0.185,0.234,0.199,0.034,0.201,0.218,0.163,0.055,0.311,0.288,5.39,0.229,2.666,0.376,56.494,0.285,0.598,0,132.138,0.048,361.04,7.021,0.361,0,1.54,3.31,0,619.014
"DOM_C22",5.723,0.204,0.648,0.125,44.721,5.463,6.154,0.263,3.636,18.716,2.462,17.849,8.711,9.462,4.286,48.937,11.51,1.121,2.118,12.029,39.655,27.351,21.676,76.373,1.723,4.338,30.888,1.246,1.848,113.569,54.452,37.061,1.637,1.531,5.036,0.553,0.401,3.105,5.196,0.879,4.964,8.211,10.788,4.593,1.912,0.86,2.971,0.715,2.3,0,167.539,0.004,6.64,47.085,2.305,0,0.122,18.759,0,912.422
"DOM_C23",4.067,0.128,0.563,0.044,34.131,8.498,11.135,0.224,2.312,2.861,1.834,0.96,4.429,3.24,1.546,4.306,186.232,6.732,2.876,6.701,18.528,9.014,4.873,17.584,1.468,0.728,9.439,2.096,1.066,662.281,9.784,3.419,1.392,0.34,1.769,0.113,0.48,0.307,1.153,0.15,1.853,31.753,8.222,1.227,1.371,0.954,1.28,0.426,1.269,0,136.186,0.005,1.621,57.205,2.473,0,0.097,10.745,0,1285.491
"DOM_C24A",0.451,0.025,0.028,0.076,77.904,4.53,1.287,0.194,0.105,0.479,0.42,0.514,2.567,0.423,0.067,1.856,7.386,100.674,6.818,124.4,15.743,20.581,65.039,60.41,7.532,8.319,16.006,1.583,1.639,118.618,3.44,1.273,0.42,0.072,1.067,0.015,0.018,0.038,0.142,0.025,0.199,1.984,4.663,0.309,0.236,0.081,0.076,0.089,0.406,0,1.504,0.001,3.699,3.61,0,0,0.015,130.26,0,799.314
"DOM_C24B",0.245,0.02,0.025,0.009,17.203,2.164,0.793,0.034,0.19,0.635,0.406,1.31,1.958,3.304,0.304,1.815,4.123,20.92,168.866,75.217,54.104,69.343,34.421,42.446,2.625,5.31,28.72,1.081,1.872,37.645,3.923,0.906,0.289,0.062,0.415,0.005,0.028,0.156,0.263,0.053,0.378,1.33,1.364,0.15,0.199,0.019,0.144,0.077,0.584,0,10.845,0.002,0.66,15.555,0.464,0,0.026,153.338,0,768.343
"DOM_C25",3.009,0.142,0.499,0.126,55.243,5.353,3.607,0.471,1.373,3.724,1.784,1.524,4.361,1.859,0.399,2.294,5.539,6.284,3.368,53.101,16.388,14.26,40.114,38.796,5.596,4.381,19.685,1.685,0.564,120.503,8.711,3.076,0.68,0.401,1.592,0.069,0.278,0.569,3.032,0.414,0.903,5.76,7.207,1.998,3.058,0.339,0.611,0.286,1.157,0,86.77,0.01,12.053,466.304,21.739,0,0.129,16.91,0,1060.089
"DOM_C26",2.806,0.055,0.627,0.004,2.842,0.289,0.283,0.022,0.99,0.879,0.103,0.358,0.769,0.427,0.119,0.346,0.364,0.128,0.114,0.665,63.803,5.506,2.897,3.19,0.426,0.309,2.558,0.643,0.102,4.705,2.586,0.766,0.214,0.435,0.412,0.072,0.283,0.947,16.522,2.136,1.191,0.416,3.242,0.539,0.609,0.23,0.939,0.17,0.853,0,137.418,0.043,19.093,654.136,30.606,0,2.892,52.89,0,1025.972
"DOM_C27",1.824,0.045,0.393,0.017,5.394,1.32,1.326,0.099,0.627,0.795,0.131,0.484,0.747,0.341,0.111,0.474,0.921,0.475,0.663,2.423,26.162,45.016,10.91,18.801,0.849,1.31,8.935,6.037,0.241,38.459,7.039,2.912,0.644,0.497,0.785,0.066,0.213,0.767,16.026,1.226,0.738,1.397,5.82,1.093,1.193,0.224,0.639,0.377,1.281,0,98.824,0.02,1.074,338.825,15.89,0,0.723,48.144,0,721.764
"DOM_C28",2.516,0.094,0.503,0.055,23.181,2.445,2.004,0.188,0.857,1.17,0.251,0.707,2.375,0.646,0.146,0.728,1.86,0.603,0.378,2.58,3.497,3.444,15.794,7.246,0.976,0.681,5.856,1.279,0.226,12.471,3.507,1.65,0.228,0.464,0.555,0.051,0.223,0.277,1.724,0.27,0.902,0.511,1.91,0.847,0.544,0.119,0.336,0.127,0.284,0,35.433,0.018,1.677,642.905,29.922,0,0.118,56.538,0,875.898
"DOM_C29",1.087,0.061,0.244,0.004,2.784,0.549,0.441,0.025,0.388,0.792,0.091,0.192,0.484,0.196,0.055,0.349,0.516,0.299,1.631,1.227,1.656,1.676,1.799,77.628,0.14,0.441,1.671,0.269,0.105,3.344,24.347,8.685,0.425,0.75,0.716,0.06,0.106,0.112,0.595,0.126,0.353,0.271,0.697,0.758,0.268,0.067,0.144,0.069,0.14,0,322.516,0.066,2.683,849.238,40.252,0,1.23,10.529,0,1365.345
"DOM_C301",0.02,0,0.012,0,0.148,0.008,0.007,0,0.008,0.01,0.002,0.004,0.006,0.003,0.001,0.008,0.005,0.002,0.002,0.013,0.026,0.022,0.035,0.062,2.377,0.177,0.156,0.004,0.001,0.062,0.031,0.076,1.08,0.31,0.054,0.001,0.002,0.002,0.01,0.001,0.007,0.005,0.014,0.009,0.104,0.001,0.004,0.002,0.009,0,5.081,0,0.055,76.047,3.637,0,0.002,36.576,0,126.302
"DOM_C302T309",0.064,0.004,0.033,0.001,0.13,0.03,0.014,0.002,0.024,0.024,0.004,0.008,0.013,0.008,0.003,0.014,0.016,0.008,0.011,0.065,0.112,0.103,0.126,1.524,0.59,6.759,1.198,0.013,0.003,0.187,0.553,2.393,0.39,4.078,0.139,0.004,0.006,0.004,0.027,0.005,0.019,0.013,0.061,0.121,0.454,0.005,0.033,0.005,0.078,0,12.289,0.004,0.104,114.285,5.397,0,0.003,8.919,0,160.48
"DOM_C31T33",5.541,0.251,1.144,0.042,41.049,3.24,4.139,0.292,1.752,15.198,2.487,2.855,4.784,1.562,0.714,1.266,3.348,1.293,0.978,2.731,10.086,3.511,4.017,6.105,1.119,0.715,52.113,3.555,1.084,35.649,11.228,10.851,2.239,6.855,4.172,0.602,0.682,2.336,10.12,2.059,16.089,5.011,16.219,5.069,5.219,3.711,18.202,3.19,3.011,0,463.252,0.046,72.544,666.371,24.913,0,11.179,82.848,0,1660.64
"DOM_D",1.72,0.057,0.225,0.074,44.382,4.731,5.389,0.094,0.454,2.082,0.415,2.861,14.733,2.122,0.291,1.152,5.576,2.599,1.787,1.977,2.851,1.229,1.343,2.359,0.212,0.273,1.81,22.788,1.312,3.24,7.303,7.652,0.265,0.486,2.112,0.273,0.364,1.191,8.976,0.819,4.777,5.858,2.873,0.899,2.425,1.176,1.65,0.802,1.031,0,498.636,0.033,48.805,9.391,0.053,0,0.045,20.765,0,758.8
"DOM_E",0.842,0.018,0.123,0.003,1.275,0.166,0.246,0.009,0.258,0.36,0.051,0.345,0.634,0.201,0.044,0.136,0.363,0.306,0.228,0.129,0.173,0.097,0.105,0.185,0.017,0.023,0.187,0.264,0.649,0.887,0.656,0.345,0.061,0.054,0.157,0.02,0.093,0.082,0.171,0.041,0.377,0.518,0.283,0.095,0.412,0.157,0.243,0.069,0.106,0,47.864,0.038,80.228,2.936,0.023,0,0.027,1.552,0,144.933
"DOM_F",7.567,0.327,1.201,0.036,12.622,1.698,2.883,0.192,2.315,1.919,0.782,0.667,3.184,0.681,0.22,0.544,6.985,0.729,0.506,1.54,1.584,1.064,1.191,1.808,0.247,0.182,3.526,4.52,1.232,151.495,7.266,5.133,0.611,0.745,4.165,0.234,0.673,0.804,9.669,0.539,5.232,42.572,11.521,1.212,6.917,1.099,1.46,0.495,0.686,0,66.897,0.153,62.551,5778.167,0.537,0,0.491,19.056,0,6242.328
