"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1339.734,144.592,47.644,0.231,4.014,0.045,0.347,0.492,18384.724,111.736,32.527,5.012,0.735,88.042,8.268,57.524,0.75,0.12,0.131,0.689,3.519,0.421,1.136,0.14,0.52,0.139,10.751,2.979,1.568,22.847,213.729,1.03,1.581,0.263,3.302,0.209,1134.353,2.262,2.336,1.153,4.498,3.405,3.925,17.884,9.554,39.133,60.864,36.346,9.271,0,10650.581,2.566,28.474,923.602,88.878,0,35.529,2919.57,0,36465.673
"DOM_A02",103.491,2553.467,4.131,3.635,9.874,0.185,0.474,0.064,868.342,10.697,2047.359,140.56,0.19,21.104,0.689,135.133,4.027,0.475,0.282,0.585,0.501,0.164,0.439,0.045,0.764,0.054,93.237,20.332,0.212,34.233,65.025,0.159,0.21,0.054,0.475,0.04,61.291,0.394,1.064,0.574,0.625,1.4,0.409,2.103,4.03,7.218,4.986,7.512,0.924,0,407.071,0.183,18.859,35.534,3.568,0,1.07,198.217,0,6877.735
"DOM_A03",7.262,1.015,151.431,0.027,0.181,0.012,0.023,0.014,1637.484,0.249,0.046,0.19,0.136,2.072,0.151,0.23,0.087,0.031,0.02,0.104,0.428,0.059,0.067,0.009,0.079,0.01,0.161,0.052,0.05,0.318,9.505,0.049,0.245,0.043,0.158,0.009,188.071,0.145,0.211,0.185,0.525,0.305,0.11,0.241,1.362,2.419,3.912,1.072,0.248,0,3010.392,0.023,0.001,2.912,3.113,0,4.677,193.981,0,5225.91
"DOM_B05",31.531,11.695,1.828,600.202,718.867,27.86,64.768,124.926,370.543,40.336,18.799,129.93,2577.67,799.631,3.506,129.734,1523.475,2211.543,265.639,30.865,78.09,24.351,16.871,5.795,25.002,6.861,22.191,5420.861,9.764,1318.985,66.792,6.575,1.243,0.822,11.584,0.446,28.991,0.625,6.508,1.343,6.132,47.651,5.915,6.508,22.202,73.649,17.014,4.121,6.802,0,72.431,0.001,0.158,247.154,0.832,0,0.006,561.962,0,17809.586
"DOM_B06",2.017,0.349,0.386,31.698,3005.908,5.94,18.146,46.642,151.171,8.452,8.607,60.298,22279.19,1011.567,1.112,75.429,212.598,124.24,61.3,52.271,17.391,5.215,6.805,2.509,7.795,3.12,15.234,1552.502,7.628,38.247,104.47,4.634,0.845,0.514,23.379,1.313,8.685,0.939,2.709,2.37,11.385,12.955,7.346,6.172,9.524,17.868,5.926,2.396,1.052,0,3.227,0,0,0.14,0,0,0.007,23092.566,0,52134.192
"DOM_B07",0.242,0.06,0.055,0.535,4.824,1.823,1.835,1.25,1.662,0.074,0.022,0.258,4.148,7.547,0.016,0.336,20.906,29.571,27.884,2.197,0.311,0.18,0.196,0.023,0.041,0.013,0.393,2.289,0.097,18.453,0.23,0.028,0.011,0.031,0.047,0.002,0.095,0.003,0.034,0.01,0.03,0.188,0.037,0.134,0.067,0.054,0.028,0.024,0.019,0,0.009,0,0.001,0.091,0,0,0.004,904.539,0,1032.958
"DOM_B08",6.084,2.827,1.374,2.816,99.42,1.846,24.896,13.914,33.058,1.465,2.033,4.878,25.191,77.561,0.618,12.193,364.354,29.559,8.313,9.124,19.219,4.427,2.61,1.156,2.829,0.486,7.676,9.507,3.932,575.376,14.976,0.79,0.337,0.14,3.927,0.173,5.809,0.357,5.009,0.481,4.471,32.242,3.446,3.621,5.701,8.573,4.47,2.057,0.802,0,24.524,0.003,0.158,706.502,0.335,0,0.006,199.517,0,2377.173
"DOM_B09",0.691,0.134,6.107,28.183,3994.087,8.721,34.857,363.491,2.98,0.044,0.233,3.526,139.699,1.175,0.023,3.368,23.497,4.366,2.729,0.268,0.44,0.144,0.185,0.009,0.016,0.016,0.095,18.656,0.273,36.34,0.432,0.541,0.365,0.375,1.072,0.221,0.424,0.358,0.034,0.008,0.301,0.621,0.692,0.093,0.195,0.315,0.164,0.03,0.016,0,0.339,0,11.171,482.646,0,0,0.005,65.806,0,5240.58
"DOM_C10T12",1510.746,21.684,259.154,3.288,86.607,1.723,3.707,7.71,17983.108,48.905,13.479,87.083,83.679,592.769,36.664,169.998,23.303,9.521,3.894,23.342,57.361,12.762,11.861,3.389,10.517,2.33,70.257,10.876,10.032,71.427,559.503,22.852,28.465,30.25,28.987,3.545,5903.022,19,30.077,20.711,62.807,24.61,19.279,38.56,46.319,266.333,332.21,139.37,21.312,0,27057.991,0.498,0.338,14.974,101.647,0,218.834,28402.778,0,84625.448
"DOM_C13T15",2.005,2.633,7.084,0.917,16.074,0.267,0.436,1.437,17.032,682.156,2.927,19.475,1.6,14.561,0.713,41.742,8.023,1.162,0.486,6.652,16.191,3.407,4.825,20.247,6.8,2.037,54.347,0.918,1.873,21.539,64.07,1.942,0.551,0.981,3.601,1.324,25.323,1.41,3.457,1.623,4.331,2.152,5.25,11.889,11.435,14.832,33.479,20.855,9.968,0,2668.723,0.03,0,10.797,34.206,0,38.096,1714.372,0,5644.263
