"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3151.151,7.284,13.42,0.007,1.749,0.002,0.37,0.012,11292.372,35.536,4.62,0.573,0,6.05,1.43,7.403,0.549,0.003,0.016,0.008,0.009,0.002,0.077,0.418,0.014,0,2.094,2.737,0.718,20657.765,209.131,4.848,0.005,0.083,0.071,0.002,54.512,0.473,0.741,0.147,0.382,3.159,4.55,0.223,5.699,11.18,6.984,1.512,11.856,0,83940.888,0.001,1.228,3229.23,47.348,0,4.797,1624.561,0,124349.999
"DOM_A02",20.187,13.227,0.261,0.011,0.414,0.001,0.04,0,51.304,0.246,48.62,2.656,0,0.118,0.01,1.135,0.343,0.003,0.007,0.001,0,0,0.002,0.011,0.002,0,1.372,1.321,0.008,79.085,4.477,0.058,0,0.002,0.001,0,0.342,0.016,0.065,0.022,0.007,0.112,0.044,0.002,0.198,0.183,0.054,0.046,0.105,0,598.549,0.011,0.034,12.202,0.627,0,0.018,97.29,0,934.853
"DOM_A03",3.619,0.142,299.528,0.002,0.026,0.001,0.035,0,1757.164,0.025,0.007,0.007,0,0.054,0.013,0.013,0.092,0.001,0.005,0.003,0.001,0,0.005,0.009,0.006,0,0.022,0.024,0.021,0.487,14.114,0.213,0.002,0.02,0.004,0,16.794,0.09,0.179,0.132,0.148,0.574,0.187,0.002,1.661,1.031,0.746,0.084,0.487,0,5551.449,0,0,0.465,0.817,0,0.363,1.294,0,7652.166
"DOM_B05",0.467,0.006,0.007,0.205,2.925,0.014,0.354,0.024,1.619,0.062,0.045,0.249,0.067,0.414,0.004,0.11,10.629,1.569,0.723,0.005,0.002,0.001,0.009,0.139,0.008,0,0.026,38.591,0.043,3.813,0.535,0.261,0,0.004,0.002,0,0.037,0.003,0.052,0.007,0.012,0.326,0.057,0,0.115,0.218,0.021,0.003,0.069,0,0.255,0,0.003,2.016,0,0,0,0.357,0,66.484
"DOM_B06",4.067,0.053,0.39,0.77,966.702,0.223,12.658,0.724,51.45,1.304,1.667,8.696,40.334,40.795,0.117,5.026,150.093,6.341,11.849,0.783,0.037,0.027,0.303,5.384,0.193,0.009,1.913,769.542,2.293,35.144,60.73,14.294,0.002,0.141,0.341,0.015,0.773,0.355,3.404,0.902,1.487,15.055,6.121,0.05,4.52,4.616,0.677,0.126,1.148,0,25.455,0.002,0.33,222.587,0,0,0.001,50635.528,0,53117.551
"DOM_B07",0.13,0.001,0.012,0.023,3.371,0.207,1.265,0.043,0.637,0.015,0.006,0.01,0.015,0.489,0.003,0.027,9.721,4.662,17.631,0.097,0.002,0.002,0.021,0.13,0.002,0,0.073,0.99,0.025,4.014,0.513,0.146,0,0.012,0.002,0,0.014,0.014,0.144,0.039,0.075,0.23,0.342,0.001,0.053,0.04,0.011,0.004,0.035,0,0.114,0,0.001,3.355,0.006,0,0,5.373,0,54.146
"DOM_B08",21.234,0.175,2.168,0.229,46.504,0.253,76.346,0.574,28.657,0.436,0.124,2.521,0.195,14.15,0.059,1.156,1007.29,6.563,7.064,0.277,0.02,0.03,0.176,1.046,0.033,0.001,2.059,15,1.714,469.731,4.552,1.968,0,0.015,0.017,0,0.129,0.005,0.155,0.008,0.014,9.953,0.622,0.074,1.695,0.287,0.045,0.02,0.457,0,0.028,0,0.001,1.718,0,0,0,31.307,0,1758.855
"DOM_B09",0.034,0.001,0.02,0.004,7.02,0.002,0.137,0.031,0.049,0.001,0.002,0.005,0.001,0.005,0.001,0.004,0.266,0.003,0.005,0.001,0,0,0.001,0.018,0.001,0,0.005,0.074,0.01,0.704,0.187,0.046,0,0.004,0.001,0,0.003,0.007,0.082,0.021,0.021,0.186,0.224,0,0.049,0.025,0.006,0.002,0.007,0,0.024,0,1.288,86.743,0,0,0,0.943,0,98.277
"DOM_C10T12",10558.419,4.165,817.893,0.168,68.306,0.077,7.126,0.221,36456.08,105.713,6.129,30.18,0.146,95.861,15.343,12.651,41.656,0.511,2.3,0.783,0.247,0.132,1.323,9.433,0.34,0.017,16.651,11.454,9.804,187.004,2053.619,75.536,0.287,12.303,1.713,0.12,1422.425,38.744,91.839,40.479,45.804,114.022,67.818,1.174,118.531,334.135,118.79,33.752,95.661,0,51820.486,0.001,2.736,195.721,24.021,0,22.304,1901.404,0,107093.559
"DOM_C13T15",154.9,4.681,267.305,0.476,182.469,0.435,9.649,0.525,242.243,5238.503,32.743,206.474,0.043,46.446,4.165,240.476,348.05,1.974,3.172,4.89,1.426,0.642,8.366,733.981,10.302,0.307,569.752,8.745,9.313,345.478,1391.239,49.059,0.037,4.369,1.255,0.154,113.586,18.451,33.284,13.316,15.106,75.326,126.604,2.39,80.432,83.05,75.665,16.333,295.354,0,1150.993,0,0.004,5.143,4.427,0,12.805,1791.276,0,14037.591
"DOM_C16",48.348,3.699,3.856,0.207,20.366,0.078,2.49,0.083,103.71,5.412,596.425,44.87,0.003,5.752,0.262,8.496,91.457,0.317,1.39,1.496,0.203,0.187,1.301,41.825,3.811,0.028,195.628,8.558,1.4,1095.585,138.154,15.377,0.003,0.38,0.665,0.006,5.093,3.528,5.581,1.598,1.401,40.965,24.422,0.243,2.244,7.787,2.236,1.083,26.796,0,23.261,0,0,127.414,12.062,0,0.666,133.86,0,2862.065
"DOM_C17_18",38.158,0.344,8.017,0.036,32.484,0.073,1.463,0.089,818.121,14.4,18.224,685.791,0.025,12.574,4.996,23.577,135.988,0.541,1.97,1.736,0.807,0.385,2.648,29.232,0.436,0.032,29.2,6.453,3.997,50.811,543.669,34.318,0.025,2.291,0.819,0.253,12.261,35.732,90.121,64.175,65.9,29.472,139.086,1.677,45.844,119.04,19.331,4.803,28.214,0,127.405,0.002,0.02,1.079,0.191,0,1.986,1.811,0,3292.134
"DOM_C19",0.259,0.006,0.097,0.002,0.471,0.001,0.044,0.002,0.324,0.011,0.015,0.021,0.003,0.058,0.002,0.018,0.4,0.016,0.012,0.003,0.001,0,0.003,0.07,0.002,0,0.017,0.341,0.027,0.69,1.049,1.176,0.001,0.274,0.005,0,0.023,0.024,0.229,0.057,0.132,0.268,0.324,0.002,0.073,0.076,0.022,0.007,0.041,0,9.003,0,0.008,5.839,0.236,0,0.014,78.578,0,100.378
"DOM_C20",496.764,0.733,6.188,0.382,96.88,0.381,10.559,0.414,211.318,58.786,24.656,44.439,0.526,192.197,8.7,233.953,191.626,2.179,5.527,2.401,1.09,0.551,2.495,64.333,2.291,0.04,29.772,7.057,11.259,208.227,88.172,10.803,0.008,1.25,0.318,0.009,6.768,4.044,3.521,4.478,2.264,24.226,23.792,0.409,4.947,13.722,13.029,0.93,41.715,0,326.276,0,0.54,64.535,0.309,0,0.736,167.958,0,2720.484
"DOM_C21",5.75,0.002,0.236,0.003,1.075,0.004,0.03,0.001,4.461,0.055,0.017,0.01,0,0.288,3.132,0.031,0.05,0.003,0.007,0.002,0.001,0,0.015,0.031,0.001,0,0.153,0.041,0.094,0.153,1.927,0.268,0,0.033,0.003,0,0.104,0.013,0.081,0.026,0.053,0.167,2.63,0.002,1.08,0.687,15.939,0.04,0.287,0,343.689,0,0.123,0.692,0.505,0,0.968,2.297,0,387.259
"DOM_C22",135.093,1.386,16.38,0.55,159.421,0.267,7.641,0.358,992.096,56.316,23.956,43.311,0.092,32.868,7.058,358.882,128.099,1.115,4.57,5.699,3.488,2.288,14.505,497.815,3.263,0.291,69.183,5.07,14.67,594.954,880.921,229.22,0.033,3.528,1.045,0.075,5.024,6.041,24.575,5.15,9.195,43.18,39.816,0.75,8.058,17.823,9.295,1.604,23.241,0,50.71,0,0.003,15.341,0.331,0,0.027,167.052,0,4722.721
"DOM_C23",388.096,3.571,10.174,1.038,701.012,2.413,70.781,1.691,1791.228,17.587,100.754,9.783,0.204,54.68,14.357,160.42,11884.579,40.431,34.184,18.436,9.509,4.345,18.235,657.764,15.881,0.271,116.29,47.15,44.166,20317.388,843.465,97.946,0.153,1.652,1.988,0.074,38.918,3.081,26.273,3.425,17.053,1032.452,174.58,1.201,32.649,120.574,22.198,5.82,88.221,0,216.983,0,2.546,1.108,0.409,0,0,7.722,0,39276.911
"DOM_C24A",1.665,0.042,0.196,0.068,55.826,0.046,0.333,0.055,3.109,0.236,0.849,0.281,0.006,0.27,0.025,2.587,15.644,22.255,2.811,11.787,0.273,0.335,8.57,76.927,2.768,0.109,6.738,1.813,2.937,120.88,12.138,1.788,0.002,0.038,0.05,0.001,0.089,0.064,0.492,0.121,0.356,2.662,3.517,0.012,0.421,1.137,0.59,0.098,0.733,0,51.984,0.005,0.826,47.595,3.463,0,0.353,1.877,0,469.854
"DOM_C24B",2.027,0.067,0.055,0.018,26.749,0.056,0.469,0.021,26.101,0.749,1.771,1.343,0.01,5.253,0.212,5.493,19.513,9.881,168.377,16.012,2.098,2.559,10.156,121.095,2.137,0.157,26.543,2.059,7.658,83.819,28.292,2.316,0.002,0.053,0.036,0,0.175,0.052,0.406,0.114,0.296,3.469,2.035,0.006,0.361,0.113,0.172,0.061,1.156,0,43.438,0,0.01,0.636,0,0,0.005,245.43,0,871.089
"DOM_C25",5.532,0.08,0.591,0.052,27.564,0.031,0.485,0.045,34.692,2.282,2.062,1.457,0.006,1.202,0.228,11.368,18.278,7.306,1.285,4.617,0.226,0.203,3.835,45.269,1.345,0.051,4.992,0.809,1.477,86.43,32.485,7.425,0.002,0.135,0.054,0.003,0.226,0.223,1.216,0.238,0.375,3.747,2.877,0.032,0.742,0.953,0.338,0.078,1.142,0,53.563,0,10.447,18.376,0.64,0,0.004,20.462,0,419.583
"DOM_C26",0.343,0.012,0.052,0.005,1.818,0.002,0.041,0.005,1.485,0.582,0.723,0.109,0.001,0.061,0.009,0.127,0.536,0.046,0.049,0.192,0.239,0.021,0.246,2.334,0.19,0.004,0.59,0.135,0.057,5.798,3.127,0.358,0.001,0.073,0.008,0.001,0.053,0.189,7.422,0.712,0.321,0.469,0.798,0.007,0.303,0.323,0.141,0.027,0.297,0,30.012,0,0.001,208.574,19.447,0,0.261,10.935,0,299.673
"DOM_C27",0.205,0.003,0.014,0.001,0.526,0.001,0.037,0.001,0.9,0.014,0.052,0.011,0,0.03,0.008,0.085,5.491,0.024,0.019,0.013,0.046,0.006,0.025,0.477,0.014,0,0.081,0.055,0.029,9.569,1.2,0.156,0,0.014,0.003,0,0.037,0.067,3.567,0.205,0.169,0.596,0.289,0.002,0.098,0.131,0.046,0.011,0.102,0,10.47,0,0.001,38.523,3.587,0,0.049,1.569,0,78.629
"DOM_C28",3.424,0.078,0.294,0.047,17.911,0.025,0.493,0.064,16.479,0.361,1.349,0.319,0.005,0.556,0.066,1.298,23.138,0.508,0.51,2.032,0.121,0.094,2.167,19.733,1.036,0.023,2.84,0.751,0.464,81.126,12.231,1.586,0.002,0.098,0.033,0.001,0.215,0.085,1.526,0.301,0.238,5.01,3.281,0.023,1.368,0.798,0.175,0.056,0.876,0,151.621,0,0.014,93.79,6.347,0,0.005,65.852,0,522.843
"DOM_C29",12.563,0.524,3.09,0.114,44.352,0.102,1.672,0.238,21.462,27.577,1.427,2.827,0.019,2.144,0.383,4.488,12.855,2.325,37.087,3.78,0.55,0.655,3.617,169.861,0.889,0.055,10.311,4.268,3.455,39.31,186.989,95.327,0.01,2.178,0.251,0.038,1.284,0.799,21.361,10.91,4.77,7.257,32.205,0.363,8.687,5.013,2.724,0.549,4.288,0,1662.489,0,0.102,5714.677,499.746,0,0.953,213.597,0,8888.57
"DOM_C301",0.106,0.008,8.669,0.002,9.109,0.004,0.079,0,0.34,0.006,0.012,0.006,0,0.006,0.001,0.027,0.04,0.004,0.01,0.026,0.013,0.004,0.245,3.713,98.256,0.256,2.5,0.051,0.033,0.7,3.041,8.453,0.482,16.438,0.224,0.001,0.015,0.009,0.018,0.008,0.082,0.103,0.315,0.013,10.253,0.157,0.017,0.045,0.603,0,101.231,0,0,331.618,30.851,0,0,20.983,0,649.187
"DOM_C302T309",0.013,0.001,0.007,0,0.02,0,0.001,0,0.008,0,0,0,0,0,0,0.001,0.005,0,0,0,0,0,0.001,0.03,0.038,0.002,0.005,0.008,0.004,0.303,0.062,0.053,0,0.033,0,0,0.001,0.001,0.02,0.002,0.004,0.089,0.017,0,0.023,0.01,0.002,0,0.003,0,0.417,0,0,5.804,0.121,0,0,3.392,0,10.502
"DOM_C31T33",9.184,0.326,3.966,0.04,39.52,0.04,1.248,0.106,18.346,3.984,2.033,1.848,0.012,1.087,0.273,1.321,14.711,0.308,0.444,0.226,0.216,0.062,0.538,8.374,0.891,0.011,36.246,3.675,2.399,55.704,52.258,17.044,0.013,3.93,0.24,0.025,2.358,1.664,13.272,3.658,9.414,8.995,20.265,0.203,7.11,25.805,18.243,2.167,11.589,0,1723.527,0.6,38.281,1482.342,115.023,0,11.723,29.361,0,3806.248
"DOM_D",140.098,1.17,15.605,1.069,520.07,0.764,22.055,0.408,318.247,16.537,12.961,33.45,0.505,25.337,1.527,26.952,194.637,8.919,12.943,3.089,0.808,0.324,2.873,49.144,1.271,0.059,9.847,323.888,28.946,47.3,461.18,144.834,0.01,1.808,1.401,0.119,29.44,11.502,142.285,16.752,25.732,119.248,38.984,0.376,35.626,85.813,20.476,5.452,38.24,0,3490.345,0.318,36.453,0.653,0.349,0,0.002,89.949,0,6618.149
