"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3401.997,22.234,2.591,0,83.005,0,2.949,0.159,17379.851,73.944,3.522,13.279,23.874,90.199,4.257,44.194,12.09,22.187,7.705,19.43,8.836,8.907,19.517,2.334,4.506,2.337,17.95,134.463,22.235,154.548,415.897,112.663,13.003,12.123,86.403,5.241,371.908,10.055,14.095,32.679,26.708,72.171,85.083,215.319,117.268,36.09,259.01,46.742,48.156,0,7275.464,2.347,260.945,350.13,46.594,0,322.429,12505.148,0,44326.772
"DOM_A02",18.63,11.105,0.001,0,0.007,0,0.001,0.001,1.775,0.013,28.799,1.358,0.01,0.816,0.023,0.666,0.01,0.01,0.005,0.038,0.024,0.041,0.051,0.006,0.01,0.003,7.806,0.146,0.021,1.816,0.505,0.069,0.043,0.005,0.054,0.013,0.147,0.045,0.033,0.215,0.173,0.122,0.542,0.24,5.49,0.182,0.21,3.897,0.062,0,8.865,0.105,88.493,2.8,1.055,0,0.065,281.594,0,468.216
"DOM_A03",2.89,0,4.17,0,0.002,0,0.001,0,115.767,0.015,0.003,0.024,0.1,0.169,0.144,0.01,0.004,0.005,0.002,0.012,0.006,0.004,0.014,0.003,0.102,0.005,0.012,0.06,0.239,0.071,0.985,0.037,0.103,0.008,0.028,0.003,11.358,0.006,0.007,0.017,0.02,0.048,0.059,0.032,1.799,0.03,7.435,0.206,0.736,0,114.594,0,0.059,2.144,0.948,0,3.259,323.042,0,590.796
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",81.988,0.001,0.02,0,6.619,0,1.761,0.033,91.581,2.955,0.6,13.23,6992.15,244.347,4.024,7.195,16.289,9.231,4.309,6.916,0.552,0.562,4.209,0.429,0.834,0.529,3.991,1535.51,4.631,8.943,43.754,3.521,2.172,1.88,16.485,0.969,50.834,0.545,1.037,2.19,4.212,7.976,10.185,8.058,17.201,21.843,44.913,16.186,22.049,0,0.823,0.006,0.035,0.436,0,0,0.011,12848.844,0,22169.604
"DOM_B07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B08",28.971,0,0.3,0,0.028,0,104.178,1.424,16.599,5.648,0.001,3.909,0.027,125.189,0.002,2.123,184.493,2.065,0.879,0.003,0.003,0.003,0.012,0.001,0.001,0.01,2.755,0.006,0.003,493.188,6.584,0.033,0.01,0.004,0.005,0,0.003,0.001,0.001,0.001,0.001,9.536,0.044,10.87,31.777,0.803,0.005,0.001,0.001,0,29.918,0,0.003,0.102,0.805,0,0.005,650.678,0,1713.011
"DOM_B09",0.067,0,0,0,8.067,0,0.418,1.191,0.405,0.014,0.016,0.038,5.066,0.109,0.031,0.032,0.285,0.016,0.009,0.096,0.288,0.041,0.134,0.015,0.024,2.934,0.147,0.808,0.066,2.863,1.093,0.2,0.079,0.018,0.177,0.056,0.124,0.276,0.063,1.264,0.448,0.093,12.49,1.518,0.338,0.216,0.319,0.052,0.054,0,0.556,0,0.062,8.354,0,0,0.01,1457.102,0,1508.138
"DOM_C10T12",2167.645,0.202,6.044,0,2.501,0,0.535,0.182,13789.421,20.578,2.829,32.729,101.647,372.454,173.313,27.221,4.681,3.946,1.651,16.69,20.328,12.4,33.498,1.755,4.301,2.066,18.338,66.084,275.35,68.168,400.793,11.462,5.562,3.365,14.842,9.023,3124.31,13.165,8.978,84.895,50.27,30.253,199.448,80.786,132.77,64.357,669.207,502.362,67.186,0,23934.237,0.073,19.98,253.283,145.093,0,269.762,65586.373,0,112908.39
"DOM_C13T15",3.161,0.001,2.055,0,0.302,0,0.001,0.037,8.001,196.232,0.003,10.889,0.006,1.405,0.516,10.692,1.876,0.446,0.21,3.688,0.746,8.424,11.575,2.89,0.363,0.143,11.146,0.126,0.826,12.497,11.048,0.459,0.895,0.127,0.493,0.001,5.3,0.556,1.386,1.425,2.072,1.457,24.892,30.334,17.642,2.875,82.097,1.2,8.088,0,878.256,0,0.024,71.255,12.478,0,15.237,2579.251,0,4037.105
"DOM_C16",25.625,11.038,0.007,0,2.197,0,1.602,0.013,138.144,9.956,699.473,15.389,1.233,21.764,33.936,23.474,25.908,19.492,9.474,33.481,7.347,4.307,42.833,3.366,19.285,2.431,134.073,3.951,10.248,1165.062,89.174,8.409,0.122,0.831,34.061,0.74,25.646,10.168,5.24,18.304,7.401,255.745,33.466,217.058,15.306,9.901,22.138,4.191,49.815,0,463.332,0,5.992,140.135,14.105,0,7.562,1279.584,0,5183.53
