"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",192.673,48.11,30.224,0.003,1.177,0.022,0.207,0.489,1843.492,4.95,115.462,4.72,0.08,5.367,2.038,1.878,0.325,0.039,0.143,0.097,0.046,0.053,0.247,0.011,0.131,0.002,2.639,3.796,1.167,15.228,46.131,1.194,4.545,0.25,1.744,0.091,83.862,0.393,0.216,0.493,0.594,1.308,3.73,8.559,15.235,4.918,33.208,5.98,4.037,0,2173.658,11.311,76.525,46.126,0.897,0,25.788,130.531,0,4956.139
"DOM_A02",10.248,136.762,5.004,0.009,1.538,0.033,0.21,0.058,42.852,0.288,366.858,14.532,0.04,1.464,0.174,2.662,0.729,0.075,0.243,0.072,0.003,0.017,0.084,0.003,0.146,0.001,5.89,8.703,0.147,15.993,13.095,0.161,0.914,0.021,0.227,0.02,6.397,0.186,0.107,0.226,0.06,0.799,0.371,0.705,6.425,1.118,3.03,2.255,1.103,0,393.986,0.034,0.234,28.09,1.737,0,0.295,221.59,0,1298.022
"DOM_A03",6.075,1.286,3999.678,0.001,0.172,0.044,0.173,0.034,4423.66,0.09,0.058,0.09,0.132,0.99,0.357,0.035,0.19,0.019,0.173,0.183,0.041,0.077,0.179,0.004,5.089,0.008,0.258,0.154,0.352,2.108,45.386,0.692,22.097,0.284,1.197,0.012,389.3,0.839,0.27,1.123,0.955,2.195,1.613,1.251,51.803,6.111,45.044,4.554,4.495,0,372.788,0.053,0.238,10.603,24.33,0,4.175,6774.502,0,16207.619
"DOM_B05",0.006,0.001,0.07,0.001,5.801,0.017,0.151,3.273,0.052,0.002,0.005,0.01,0.418,0.026,0.002,0.003,0.11,0.137,0.14,0.005,0.003,0.003,0.006,0,0.006,0,0.005,0.872,0.005,0.265,0.013,0.012,0.022,0.004,0.009,0.001,0.009,0.003,0.001,0.002,0.001,0.008,0.013,0.004,0.021,0.006,0.014,0.002,0.005,0,0.121,0,0.029,0.635,0,0,0.002,2.744,0,15.076
"DOM_B06",38.21,7.802,126.632,0.274,1057.217,6.782,31.634,288.999,280.508,8.288,30.401,30.367,5098.881,184.175,14.109,15.874,93.454,38.9,93.43,54.186,24.982,31.814,184.692,7.068,70.42,1.53,125.041,844.303,67.095,750.582,331.615,214.346,1377.685,299.061,129.557,15.804,60.792,67.456,58.274,101.608,50.07,45.861,178.336,200.482,214.378,47.915,136.457,59.491,29.217,0,784.067,0.2,20.452,894.116,0,0,28.917,208144.498,0,223098.304
"DOM_B07",0.008,0,0.028,0.002,2.696,0.611,0.552,2.541,0.124,0.003,0.003,0.005,0.963,0.498,0.005,0.005,1.588,9.017,46.911,0.551,0.011,0.041,0.08,0.004,0.017,0,0.046,0.475,0.037,3.195,0.081,0.029,0.025,0.005,0.028,0.001,0.013,0.007,0.007,0.012,0.024,0.029,0.09,0.036,0.043,0.009,0.018,0.01,0.021,0,0.006,0,0.01,0.121,0,0,0.002,307.761,0,378.408
"DOM_B08",3.567,0.188,5.644,0.019,37.359,0.942,37.881,37.391,22.343,0.193,0.385,1.503,15.522,17.875,0.293,0.415,195.865,15.105,22.538,1.979,0.328,0.72,1.027,0.056,0.605,0.016,1.334,9.493,3.753,482.565,2.633,0.875,1.209,0.185,0.62,0.031,3.718,0.197,0.123,0.166,0.083,4.642,1.073,3.462,6.072,0.529,1.872,0.395,0.37,0,76.502,0.027,0.496,6.23,0.486,0,0.347,435.012,0,1464.258
"DOM_B09",1.289,0.085,80.517,0.918,8112.113,20.408,202.278,4550.968,4.146,0.007,0.509,4.611,348.611,0.972,0.07,0.863,55.691,9.254,30.338,0.367,0.032,0.181,0.43,0.003,0,0.002,0.253,105.012,1.603,226.508,0.703,7.943,16.739,2.176,6.644,1.213,0.525,0.946,0.011,0,0.352,3.751,10.554,0.51,4.008,0.607,0.501,0.049,0.451,0,0,0,33.283,820.809,0,0,0,1243.677,0,15913.491
"DOM_C10T12",719.539,2.432,828.353,0.008,14.128,0.174,2.257,6.711,6583.974,2.668,2.742,10.561,7.533,85.71,23.99,1.718,3.436,0.594,4.534,2.222,0.593,1.202,2.499,0.12,1.216,0.031,6.452,3.52,13.837,29.075,379.74,13.076,159.725,4.617,24.84,2.442,1755.191,22.651,7.353,19.594,12.676,26.282,32.324,40.57,209.895,121.352,467.776,97.356,47.305,0,14983.392,12.931,57.895,8.893,16.595,0,154.886,5738.1,0,32779.282
"DOM_C13T15",1.907,0.332,21.143,0.006,7.057,0.141,0.538,3.606,15.224,80.201,2.489,5.986,1.374,4.454,0.873,3.17,4.548,1.802,4.037,3.69,1.136,1.554,3.612,1.248,4.651,0.096,12.35,1.244,15.564,38.103,33.019,3.016,5.02,1.014,3.735,1.053,10.703,1.293,0.864,1.501,1.091,3.584,10.599,14.293,40.323,5.299,32.488,10.527,9.198,0,293.873,0.012,1.529,39.897,6.104,0,6.498,339.553,0,1118.222
"DOM_C16",7.792,6.085,9.493,0.027,12.673,0.489,2.172,6.719,42.667,1.311,809.287,40.856,0.537,12.778,1.024,3.421,32.202,1.349,7.926,16.49,2.115,5.942,8.409,2.009,40.804,0.179,158.835,9.486,5.553,2017.629,75.346,8.216,5.287,0.628,30.589,0.33,12.836,4.33,1.451,2.743,1.688,128.265,35.457,22.504,13.023,7.933,21.777,9.446,19.237,0,37.03,0,0.134,179.328,32.381,0,4.344,439.023,0,4359.589
