"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",3354.685,319.993,104.487,0.305,1.031,0.161,0.189,0.213,9556.991,23.071,132.819,8.818,0.013,14.075,3.78,9.465,1.502,0.191,0.67,2.125,0.849,0.743,1.63,0.646,0.213,0.519,3.932,18.119,2.478,82.435,130.64,4.738,0.169,1.233,1.861,0.568,407.923,4.783,2.601,9.549,10.552,60.751,36.667,15.28,29.107,11.568,57.799,10.285,11.379,0,2628.824,5.155,23.619,78.084,11.738,0,41.994,3825.726,0,21068.741
"DOM_A02",64.829,937.941,3.391,0.559,0.524,0.107,0.096,0.067,63.526,0.685,562.929,31.728,0.005,2.15,0.245,7.758,1.624,0.099,0.382,1.385,0.392,0.403,0.554,0.275,0.234,0.253,11.161,25.098,0.51,86.985,25.407,1.204,0.046,0.561,0.613,0.167,7.627,0.954,0.904,3.106,4.041,19.375,12.981,3.132,6.771,1.844,4.638,2.227,2.924,0,152.003,0.091,0.439,4.716,3.743,0,0.399,1611.531,0,3677.341
"DOM_A03",40.083,2.927,787.125,0.152,0.995,0.139,0.105,0.136,2053.381,0.208,0.276,0.543,0.005,1.175,0.257,0.391,0.484,0.038,0.169,0.706,0.198,0.277,0.406,0.207,0.052,0.147,0.273,0.951,0.748,15.269,16.874,3.162,0.235,2.779,0.551,0.362,195.24,2.184,1.061,3.827,1.669,7.17,4.351,3.68,10.144,2.442,11.081,2.315,1.821,0,743.771,0.095,0.48,2.287,2.52,0,6.448,1151.037,0,5085.41
"DOM_B05",0.509,0.12,0.308,0.768,2.858,0.15,0.198,0.534,0.819,0.027,0.054,0.338,0.05,0.428,0.007,0.065,1.358,1.092,1.089,0.087,0.007,0.024,0.034,0.033,0.008,0.021,0.023,47.011,0.789,12.472,0.529,0.157,0.002,0.016,0.054,0.016,0.154,0.017,0.039,0.035,0.072,4.269,0.327,0.072,1.104,0.222,0.412,0.064,0.13,0,9.47,0,0.003,27.693,0,0,0.003,177.791,0,293.932
"DOM_B06",4.806,1.329,1.885,2.975,37.83,1.248,1.732,2.547,23.893,0.518,1.562,7.456,24.786,43.356,0.176,2.548,19.873,4.563,15.951,6.017,0.199,0.512,0.822,0.344,0.178,0.518,0.936,992.949,2.78,130.182,18.639,4.756,0.109,1.653,1.736,0.51,2.328,0.458,0.66,1.242,1.31,56.081,6.288,2.21,13.335,2.932,4.394,1.079,1.157,0,11.699,0.003,0.104,271.323,0,0,0.173,574.656,0,2313.309
"DOM_B07",0.189,0.007,0.028,0.235,0.34,3.274,0.419,0.178,0.815,0.016,0.011,0.021,0.029,1.754,0.01,0.039,4.453,11.377,80.239,2.33,0.013,0.081,0.141,0.016,0.003,0.005,0.089,3.735,0.048,13.017,0.146,0.073,0,0.012,0.011,0.003,0.048,0.004,0.003,0.009,0.008,0.223,0.106,0.035,0.055,0.013,0.026,0.015,0.052,0,0.044,0,0.002,0.075,0,0,0.003,263.038,0,386.92
"DOM_B08",7.078,0.442,0.967,0.286,2.098,0.326,1.69,0.477,6.567,0.281,0.456,1.89,0.038,5.804,0.187,1.606,28.942,1.421,3.351,1.057,0.146,0.297,0.31,0.148,0.054,0.12,0.398,6.098,6.247,125.68,3.862,0.532,0.018,0.142,0.216,0.075,1.102,0.419,0.245,0.885,1.078,14.112,3.009,1.064,4.757,0.819,2.784,0.509,0.647,0,30.781,0.083,0.3,38.159,0.017,0,0.146,23.48,0,333.702
"DOM_B09",4.013,0.621,5.066,3.19,55.01,1.934,3.257,9.825,5.067,0.12,0.319,1.188,1.105,1.985,0.109,0.475,4.068,0.429,1.691,0.891,0.242,0.307,0.638,0.2,0.07,0.192,0.267,53.677,0.719,45.132,7.862,2.133,0.096,1.391,0.556,0.277,1.307,0.977,0.745,2.818,2.435,15.236,8.461,2.696,4.151,1.237,2.578,1.033,1.072,0,9.921,0.019,0.086,132.595,0.05,0,0.248,34.427,0,436.212
"DOM_C10T12",989.165,14.665,205.869,1.112,7.364,1.763,0.973,1.299,2993.349,9.975,15.193,23.091,0.177,69.482,7.266,32.824,11.822,5.957,30.304,15.955,4.727,6.213,10.229,3.463,1.587,3.806,7.258,20.699,34.063,121.169,148.758,11.384,0.721,5.522,3.403,1.342,778.811,19.576,5.864,25.077,18.992,85.472,37.483,17.617,55.087,24.63,97.803,30.328,18.151,0,13360.459,1.265,38.32,132.099,39.35,0,128.416,20072.864,0,39809.612
"DOM_C13T15",12.572,2.001,13.421,0.192,0.816,0.168,0.126,0.131,27.06,79.002,2.568,8.712,0.015,3.971,0.541,6.111,3.121,0.272,0.879,3.62,1.057,1.219,2.087,1.777,0.551,1.247,9.161,5.008,1.274,32.844,32.282,2.654,0.094,1.652,0.959,0.48,11.31,1.824,1.416,6.084,5.516,24.606,18.749,6.65,11.984,3.282,17.476,5.447,6.404,0,415.702,0.145,2.052,18.008,0.891,0,6.834,461.015,0,1285.039
