"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",16631.219,210.055,170.747,3.366,25.589,1.178,7.815,4.292,16782.513,8171.643,200.145,60.742,3.82,790.815,496.576,373.05,14.69,1.642,3.054,4.486,20.877,7.095,24.778,15.405,1.537,2.164,121.666,1012.923,104.141,304.986,4679.34,164.423,48.153,6.097,64.26,4.94,4464.655,46.82,31.204,6.44,49.867,97.171,279.893,469.955,1708.961,249.958,1486.865,398.976,620.912,0,24479.046,6.885,160.869,1134.347,43.815,0,6.122,924.021,0,87207.001
"DOM_A02",24.302,39.555,0.396,0.71,0.928,0.073,0.142,0.026,20.586,14.74,268.912,35.927,0.136,3.252,0.877,8.626,1.403,0.143,0.206,0.182,0.187,0.163,0.215,0.293,0.076,0.032,11.241,69.364,0.32,6.876,18.326,0.692,0.158,0.06,0.294,0.04,6.126,0.442,0.514,0.159,0.339,1.19,0.859,1.008,9.86,0.77,2.737,1.944,2.572,0,907.839,1.925,21.668,39.544,1.578,0,0.083,2.71,0,1533.322
"DOM_A03",4.73,0.162,58.91,0.033,0.117,0.027,0.035,0.011,87.025,3.012,0.147,0.168,0.102,0.714,0.341,0.21,0.169,0.047,0.055,0.092,0.163,0.095,0.115,0.091,0.02,0.011,0.136,0.829,0.164,0.368,12.274,0.438,0.741,0.087,0.211,0.009,54.482,0.486,0.351,0.201,0.741,0.64,0.552,0.34,18.483,0.937,7.017,1.034,2.115,0,1001.767,0.822,1.718,2.249,0.543,0,0.423,35.063,0,1301.821
"DOM_B05",0.185,0.005,0.004,1.777,0.914,0.144,0.164,0.178,0.186,0.621,0.127,0.539,7.985,1.152,0.033,0.124,4.223,6.936,2.294,0.064,0.068,0.08,0.085,0.092,0.016,0.025,0.087,284.694,0.124,0.869,0.444,0.268,0.015,0.022,0.063,0.008,0.07,0.031,0.104,0.017,0.067,0.178,0.098,0.045,0.793,0.11,0.195,0.037,0.218,0,117.211,0.004,0.089,1.766,0.589,0,0.004,0.661,0,436.899
"DOM_B06",1.816,0.062,0.217,4.179,155.428,1.477,3.246,3.396,2.438,4.982,0.973,10.368,2879.63,67.883,0.644,3.249,37.658,17.421,21.843,3.966,1.211,1.245,1.494,2.535,0.248,0.477,2.672,3468.058,3.932,5.083,21.082,19.029,4.337,7.52,4.618,0.573,0.803,0.892,1.602,0.584,2.748,3.797,4.915,2.279,17.207,1.26,3.06,0.675,2.022,0,556.517,0.078,6.593,31.128,3.396,0,0.061,129.429,0,7534.034
"DOM_B07",0.126,0.002,0.006,0.566,2.577,6.019,1.603,0.845,0.145,0.26,0.043,0.101,4.984,3.944,0.072,0.123,13.197,60.624,154.484,2.391,0.227,0.402,0.434,0.313,0.016,0.021,0.304,19.653,0.273,5.208,0.396,0.29,0.027,0.05,0.061,0.007,0.051,0.031,0.063,0.014,0.07,0.2,0.22,0.087,0.34,0.031,0.119,0.035,0.167,0,3.401,0.006,0.203,2.406,0.054,0,0.007,86.324,0,373.622
"DOM_B08",1.258,0.03,0.075,0.528,3.471,0.669,8.025,1.016,0.909,1.302,0.159,1.407,5.93,10.107,0.291,0.728,112.013,7.603,5.748,0.762,0.695,0.748,0.493,0.651,0.054,0.055,0.797,29.967,1.445,54.66,1.681,0.721,0.16,0.088,0.202,0.025,0.284,0.095,0.161,0.035,0.145,2.483,0.502,0.81,3.047,0.116,0.458,0.121,0.378,0,112.487,0.093,0.177,5.304,0.935,0,0.013,153.072,0,535.19
"DOM_B09",0.219,0.005,0.11,1.738,97.337,0.992,2.828,11,0.201,0.252,0.07,0.396,16.446,0.375,0.032,0.116,2.625,1.101,2.319,0.105,0.074,0.063,0.111,0.096,0.009,0.015,0.128,30.702,0.306,1.856,0.566,0.626,0.117,0.169,0.205,0.046,0.071,0.107,0.135,0.034,0.145,0.203,0.353,0.092,0.583,0.045,0.191,0.042,0.104,0,6.595,0.01,6.327,305.491,0.27,0,0.01,10.57,0,504.732
"DOM_C10T12",546.904,1.446,39.988,0.702,8.035,0.448,1.344,0.752,636.209,183.978,3.615,28.303,9.668,120.578,48.755,12.77,8.463,1.917,3.685,3.903,6.791,4.448,4.866,4.483,0.551,0.756,10.214,42.24,13.183,13.453,417.304,23.104,23.566,6.04,12.713,2.035,865.51,39.999,31.497,11.861,39.882,26.372,34.75,25.831,260.829,60.455,243.663,88.598,92.822,0,25217.444,6.318,14.295,26.987,39.099,0,22.854,3359.728,0,32756.001
"DOM_C13T15",18.861,0.468,2.489,1.415,10.456,0.749,0.849,1.073,18.785,4892.291,4.555,30.642,3.355,14.596,4.882,18.85,15.278,2.683,2.465,6.938,12.663,7.492,8.847,39.973,1.872,2.391,47.88,30.787,10.99,24.336,111.744,13.629,1.636,3.176,5.575,3.695,13.268,8.8,11.42,2.901,9.674,6.852,33.278,32.802,176.777,10.091,98.304,31.24,89.076,0,16545.306,1.996,4.58,91.614,111.351,0,17.84,11967.411,0,34642.944
"DOM_C16",9.128,2.043,0.723,1.899,5.891,0.823,1.114,0.62,8.909,37.679,487.648,90.488,0.697,16.83,2.273,10.004,41.475,1.726,4.479,13.076,9.783,12.042,9.095,29.192,7.5,2.375,221.046,68.444,4.679,464.891,68.107,11.574,0.692,0.694,12.652,0.281,5.652,7.926,4.831,1.34,4.112,77.962,32.227,11.787,15.778,3.856,13.511,6.066,54.571,0,572.476,0.066,0.708,108.414,30.552,0,0.93,46.249,0,2659.59
"DOM_C17_18",6.048,0.194,0.82,0.401,8.835,0.696,0.642,0.602,32.798,111.579,14.447,1280.388,3.468,32.06,30.924,23.382,51.177,2.512,5.557,12.977,32.745,21.236,15.361,18.619,0.895,2.524,32.327,55.122,11.46,21.708,233.868,22.803,4.588,3,13.725,9.512,10.397,430.031,70.811,43.519,174.538,18.56,176.54,76.179,276.183,52.429,111.908,27.75,82.908,0,1916.85,0.142,6.795,26.141,12.051,0,1.278,63.293,0,5697.301
"DOM_C19",45.023,4.215,18.973,13.849,121.81,13.874,16.496,16.741,13.557,64.359,15.717,40.062,780.424,298.239,11.149,18.995,87.671,48.382,24.005,16.502,13.358,24.437,14.103,33.801,1.764,3.105,38.258,1626.649,74.47,116.361,428.067,1432.679,407.666,791.184,105.652,23.72,12.035,22.671,57.871,16.925,92.675,26.854,76.365,77.078,365.334,20.168,89.57,22.978,83.786,0,3399.74,0.295,5.227,32.759,20.75,0,3.273,103.852,0,11335.518
"DOM_C20",121.434,0.778,1.495,7.025,54.046,7.935,9.387,6.127,26.238,465.498,41.506,202.566,141.065,1118.725,133.416,513.535,144.526,18.894,31.926,41.75,100.816,70.514,34.208,88.7,9.161,6.891,76.526,101.11,62.465,97.728,93.115,30.486,7.539,11.193,13.348,0.969,10.718,39.089,7.028,7.306,12.021,47.291,63.652,38.011,62.36,12.695,199.568,12.003,87.84,0,2782.31,0.818,9.37,36.534,16.652,0,1.963,738.297,0,8078.165
"DOM_C21",5.454,0.047,0.132,0.144,1.421,0.176,0.14,0.1,3.449,8.441,0.577,2.491,1.589,12.589,56.04,5.091,1.91,0.408,0.45,0.662,1.834,0.937,0.845,1.275,0.123,0.12,1.396,3.205,1.411,2,5.939,1.352,0.34,0.443,0.416,0.067,1.128,0.91,0.739,0.266,0.81,0.842,9.203,0.915,17.391,0.978,289.768,1.076,3.19,0,1616.565,0.917,196.732,22.167,9.678,0,2.032,219.713,0,2518.036
"DOM_C22",12.947,0.416,1.171,3.007,26.025,1.686,2.038,1.576,29.53,151.237,12.478,68.267,7.572,58.909,31.44,228.9,34.376,3.525,8.83,29.648,93.413,84.589,56.924,200.479,3.857,14.216,56.193,26.287,25.459,150.983,246.268,95.839,4.181,3.064,11.902,1.858,4.649,13.221,12.356,2.627,13.501,31.189,32.349,22.454,32.498,5.301,41.059,6.231,35.066,0,1491.097,0.065,2.822,90.175,28.993,0,0.145,136.518,0,3791.409
"DOM_C23",14.033,0.422,0.363,2.22,42.998,5.595,7.22,2.785,30.032,31.065,19.013,7.272,7.342,38.707,24.132,40.638,1197.57,41.96,24.278,35.172,95.205,60.519,27.457,100.096,7.033,5.122,37.133,93.89,26.797,1907.337,95.848,18.326,7.545,1.354,9.05,0.802,9.911,2.44,6.125,0.959,11.096,244.408,49.525,13.22,49.157,12.949,37.26,7.951,37.347,0,1280.873,0.09,1.081,118.69,31.539,0,0.104,288.767,0,6269.824
"DOM_C24A",1.547,0.109,0.094,4.021,99.149,3.02,0.907,2.513,1.082,10.268,4.574,4.192,4.722,5.137,0.976,18.638,46.54,653.259,58.751,660.814,81.084,139.869,373.348,349.806,36.472,60.052,73.31,69.629,60.478,342.789,35.293,7.089,2.309,0.291,5.521,0.104,0.257,0.321,0.711,0.155,1.143,13.657,23.923,2.701,8.716,1.091,1.994,1.671,14.066,0,11.584,0.009,2.252,9.143,2.237,0,0.017,78.838,0,3392.244
"DOM_C24B",0.618,0.049,0.017,0.263,11.23,0.677,0.276,0.225,1.782,7.866,2.265,5.457,1.891,22.552,2.472,9.297,13.091,67.56,768.524,201.478,140.589,237.353,99.848,123.971,6.457,19.328,61.279,24.348,36.721,55.451,21.336,2.67,0.823,0.164,1.115,0.022,0.394,0.842,0.757,0.192,1.167,4.24,4.335,0.808,4.008,0.137,2.111,0.751,10.217,0,95.634,0.132,1.012,29.598,6.844,0,0.027,704.854,0,2817.121
"DOM_C25",8.677,0.517,0.506,6.132,65.074,3.325,2.401,5.67,14.763,42.201,17.127,12.053,7.444,22.064,5.334,19.7,32.439,37.641,25.908,264.838,77.176,87.77,212.963,205.395,25.067,29.112,81.197,68.243,16.698,320.677,80.656,15.25,3.381,1.567,7.494,0.419,3.695,4.222,13.967,2.372,4.168,38.791,36.166,17.599,104.789,3.788,12.759,4.472,34.353,0,976.966,0.148,6.542,1108.807,302.245,0,0.162,187.267,0,4690.155
"DOM_C26",5.113,0.085,0.123,0.175,2.79,0.137,0.145,0.221,5.051,6.932,0.551,1.977,1.076,3.27,0.924,1.923,1.813,0.713,0.712,2.713,253.962,24.651,12.049,12.414,1.517,1.531,8.521,18.983,1.73,8.976,19.929,2.966,0.821,1.459,1.583,0.381,1.761,5.858,62.942,10.45,5.365,1.783,14.437,4.164,14.682,1.969,17.997,1.982,21.405,0,1484.248,0.786,9.922,1455.683,396.891,0,1.657,39.611,0,3961.509
