"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",920.825,0.671,0.238,0.004,0.002,0.058,0.013,0.001,4415.089,38.328,0.031,0.244,0.013,8.12,2.033,0.506,0.022,0.021,0.03,0.004,0,0.003,0.002,0.002,0.001,0.008,45.877,0.083,0.004,0.028,11.774,0.044,0,0.001,0.006,0,378.222,0.002,0.012,0,0.019,0.006,0.29,0.005,8.732,0.231,8.437,0.39,0.447,0,6495.52,0.023,1.24,517.986,12.472,0,2.602,7651.718,0,20522.438
"DOM_A02",17.329,6.751,0.001,0.032,0.005,0.013,0.001,0.002,2.57,0.079,111.328,13.839,0.006,0.407,2.647,12.971,0.556,0.001,0.004,0.003,0,0.004,0.001,0.001,0.001,0.002,0.132,0.003,0.001,0.869,1.203,0.011,0,0.005,0.018,0.002,2.118,0.002,0.012,0.001,0.005,0.002,0.021,0.008,0.037,0.007,0.011,0.002,0.129,0,170.608,0,0.079,0.106,0.001,0,0.002,11.272,0,355.222
"DOM_A03",1.763,0,15.725,0.001,0.003,0.037,0.003,0.008,1211.309,0.005,0.001,0.007,0.022,0.012,0.002,0.004,0.008,0.005,0.013,0.005,0,0.002,0.002,0.001,0.002,0.002,0.007,0.013,0.001,0.059,0.764,0.029,0.005,0.022,0.034,0,74.166,0.005,0.03,0.001,0.006,0.001,0.024,0.012,2.386,0.06,0.469,0.04,0.075,0,946.344,0,0.002,0.172,-0.109,0,0.226,3.664,0,2257.454
"DOM_B05",1.484,0.005,0.009,1.256,0.445,16.48,0.577,0.705,5.604,0.412,0.064,0.847,43.888,3.422,0.02,0.424,14.044,23.172,40.099,0.074,0.001,0.119,0.028,0.028,0.006,0.039,0.103,108.74,0.031,4.161,0.281,0.634,0.002,0.012,0.106,0.002,0.329,0.004,0.035,0.001,0.016,0.023,0.034,0.035,0.845,0.411,0.167,0.01,0.383,0,0.196,0,0,0.128,0,0,0,35.702,0,305.641
"DOM_B06",1.243,0.068,4.779,0.522,8.783,51.652,2.01,4.682,81.924,0.504,1.638,3.62,2414.302,2.833,0.018,5.315,76.846,34.716,15.857,7.776,0.003,1.236,0.106,0.167,0.022,0.18,2.155,261.683,0.397,6.787,7.781,76.185,0.932,7.289,5.634,0.404,1.653,0.331,0.469,0.001,0.276,0.009,1.989,1.003,6.827,0.363,0.869,0.131,1.355,0,45.339,0,0.01,1.399,0,0,0.095,2722.763,0,5874.931
"DOM_B07",1.04,0.004,0.135,0.414,37.838,90.368,1.75,5.676,4.68,0.904,0.072,0.469,4.993,0.928,0.079,0.69,10.924,29.035,1117.305,1.032,0.044,0.494,0.174,0.192,0.016,0.094,1.533,8.092,0.894,19.935,4.289,3.775,0.005,0.043,2.016,0.095,1.236,0.183,2.264,0.135,1.7,2.232,1.583,0.614,11.372,0.719,1.909,0.318,1.386,0,45.55,0.003,9.469,499.623,0,0,0.039,27166.351,0,29096.713
"DOM_B08",26.955,0,0.004,0.207,0.022,10.386,23.702,2.753,18.395,0.532,0.002,1.688,0.046,17.325,0.146,0.009,696.856,27.067,0.272,0.291,0,0.003,0.101,0.001,0.005,0.029,0.375,39.421,6.153,485.194,0.508,0.042,0.005,0.003,0.053,0.001,2.856,0.001,0.012,0,0.009,2.396,0.082,0.003,48.171,0.002,0.008,0.001,8.016,0,0.306,0,0,4.329,0,0,0.005,324.21,0,1748.958
"DOM_B09",0.432,0.002,0.019,2.202,255.103,503.988,6.952,34.366,0.764,0.151,0.012,0.121,8.744,0.176,0.03,0.142,11.845,9.617,62.841,0.201,0.003,0.045,0.037,0.137,0.002,0.017,0.147,16.846,0.54,35.698,0.756,0.615,0.015,0.36,0.404,0.029,0.29,0.151,1.153,0.041,0.747,0.046,0.915,0.797,1.061,0.41,0.914,0.19,0.37,0,3.874,0,0.001,389.051,-0.01,0,0.002,3.244,0,1356.61
"DOM_C10T12",368.64,0.383,7.815,0.038,0.07,2.951,0.919,0.066,3436.075,9.485,0.358,13.912,1.271,50.641,5.777,4.868,1.12,0.535,0.802,0.408,0.015,0.332,0.133,0.25,0.017,0.092,4.455,1.091,0.124,2.35,31.715,0.927,0.022,0.448,0.356,0.011,2383.974,0.151,0.849,0.01,0.79,0.254,1.433,0.61,135.034,5.045,59.086,16.744,5.087,0,15042.288,0,51.779,24.356,5.445,0,9.057,8630.265,0,30320.728
"DOM_C13T15",22.125,2.018,9.79,0.121,0.274,7.284,1.115,0.783,20.755,1033.656,3.741,19.952,0.237,21.564,9.871,22.245,7.164,4.059,2.056,3.704,0.044,0.496,0.403,0.527,0.189,0.925,86.989,0.298,0.11,51.495,24.46,0.466,0.001,0.006,0.021,0.001,58.478,0.014,0.046,0.001,1.672,0.015,44.581,39.003,44.69,4.781,21.533,4.274,13.312,0,2478.398,0,0.007,15.382,-8.06,0,5.403,1550.243,0,5632.718
