"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",4929.181,79.544,80.028,0.73,0.29,0.572,0.424,0.024,26228.042,83.433,22.912,6.743,2.141,54.304,5.628,5.889,1.482,0.67,0.618,0.252,5.707,0.932,0.561,0.769,0.084,0.357,8.751,18.816,1.544,62.028,293.19,3.309,0.508,1.084,3.626,0.318,352.048,0.874,3.486,1.128,4.89,4.534,4.38,48.208,39.926,12.964,10.811,20.795,16.254,0,11159.147,2.713,149.51,5382.052,100.393,0,5.884,2735.441,0,51959.928
"DOM_A02",877.199,1971.505,34.035,11.926,0.838,2.165,1.407,0.007,1345.614,23.911,746.244,179.13,0.68,51.225,1.337,41.017,6.834,0.653,0.891,0.171,0.69,0.351,0.342,0.278,0.093,0.149,149.69,199.894,0.47,241.428,437.824,1.13,0.24,0.221,1.327,0.157,44.857,0.898,2.628,1.136,1.388,4.427,1.3,15.698,65.251,9.134,2.739,27.855,4.6,0,68.852,1.906,26.058,20.727,0.324,0,0.184,21.912,0,6652.946
"DOM_A03",11.027,0.683,255.208,0.041,0.013,0.06,0.025,0.002,1487.264,0.459,0.223,0.178,0.319,1.966,0.092,0.159,0.138,0.094,0.084,0.034,1.006,0.144,0.063,0.09,0.016,0.047,0.187,0.518,0.067,1.937,6.438,0.216,0.069,0.157,0.166,0.015,41.498,0.077,0.316,0.114,0.305,0.237,0.176,0.448,3.674,0.511,0.542,0.76,0.351,0,6434.958,0.692,39.906,8.817,1.314,0,0.453,202.791,0,8507.146
"DOM_B05",4.686,0.098,0.155,22.905,0.595,3.331,1.266,0.139,23.166,1.497,0.072,1.813,84.915,21.015,0.072,0.369,18.34,31.275,8.592,0.052,0.34,0.275,0.116,0.143,0.024,0.178,0.183,626.338,0.357,23.721,4.314,0.635,0.015,0.082,0.38,0.025,0.58,0.03,0.281,0.055,0.22,0.664,0.16,0.383,4.017,1.3,0.241,0.231,0.471,0,4.336,0.005,0.724,5.63,0,0,0.01,945.941,0,1846.756
"DOM_B06",3.041,0.111,1.594,1.527,3.594,1.155,0.826,0.079,17.438,0.514,0.073,1.17,882.167,39.529,0.081,0.371,5.089,2.375,2.614,0.21,0.61,0.238,0.119,0.251,0.019,0.143,0.446,216.42,0.485,7.663,13.643,3.105,0.581,3.898,1.62,0.171,0.566,0.083,0.464,0.184,0.921,0.863,0.72,1.41,3.8,0.666,0.265,0.454,0.335,0,9.232,0.011,1.338,13.756,0.543,0,0.017,95.406,0,1344.008
"DOM_B07",1.364,0.022,0.185,1.391,0.394,29.566,2.809,0.14,6.511,0.186,0.016,0.111,10.383,15.469,0.055,0.11,12.539,54.072,123.012,0.784,0.352,0.313,0.189,0.154,0.007,0.032,0.498,8.763,0.184,42.462,1.782,0.243,0.02,0.136,0.145,0.013,0.207,0.018,0.117,0.029,0.146,0.254,0.181,0.539,0.552,0.126,0.069,0.138,0.171,0,9.645,0.007,1.349,40.726,5.449,0,0.019,2313.958,0,2688.114
"DOM_B08",20.125,0.284,3.006,2.087,0.781,5.12,21.835,0.266,40.892,0.813,0.061,1.567,19.661,60.445,0.209,0.629,158.182,10.806,7.124,0.343,1.375,0.858,0.271,0.279,0.023,0.112,2.005,21.79,1.057,633.082,6.854,0.601,0.041,0.217,0.395,0.029,0.678,0.037,0.272,0.067,0.187,3.168,0.329,8.196,5.433,0.28,0.175,0.351,0.488,0,22.858,0.054,5.99,51.093,7.151,0,0.025,117.956,0,1248.01
"DOM_B09",0.101,0.003,0.019,0.016,0.02,0.056,0.023,0.002,0.328,0.015,0.002,0.013,1.963,0.198,0.003,0.006,0.133,0.102,0.196,0.004,0.028,0.008,0.005,0.006,0.001,0.003,0.012,0.69,0.016,0.611,0.237,0.027,0.003,0.02,0.027,0.003,0.021,0.003,0.023,0.006,0.027,0.027,0.017,0.039,0.074,0.018,0.01,0.018,0.011,0,0.745,0.002,0.12,1.504,0.02,0,0.004,55.193,0,62.779
"DOM_C10T12",4441.534,3.974,524.71,1.27,0.853,1.907,1.428,0.083,21890.906,48.001,1.27,12.124,15.323,260.369,17.008,8.094,6.054,1.994,2.631,1.018,18.777,4.083,1.745,2.371,0.281,1.229,9.985,15.013,4.03,63.467,556.771,9.193,4.77,6.436,12.882,1.523,2142.513,8.87,17.219,8.519,28.794,16.213,12.595,57.56,157.495,81.254,48.98,126.396,30.122,0,80962.831,4.929,4116.194,222.641,31.178,0,21.263,6669.456,0,122718.133
"DOM_C13T15",9.863,0.447,9.911,0.484,0.206,0.461,0.218,0.025,33.451,382.782,0.262,3.315,1.593,10.139,0.461,1.975,2.025,0.504,0.444,0.343,4.921,1.175,0.625,2.627,0.137,0.651,9.161,2.527,0.656,24.366,49.259,1.501,0.152,0.97,1.547,0.696,6.58,0.52,2.006,0.653,1.824,1.11,2.985,14.597,27.051,3.194,5.217,11.023,10.482,0,2753.162,0.34,38.674,32.207,9.616,0,10.567,1648.309,0,5139.998
"DOM_C16",16.895,8.081,2.108,0.587,0.129,0.515,0.236,0.013,48.337,2.835,23.943,7.989,0.513,8.581,0.224,1.033,4.298,0.281,0.493,0.541,2.629,1.405,0.545,1.918,0.336,0.522,49.755,4.58,0.322,416.557,29.831,1.061,0.065,0.291,2.876,0.064,3.087,0.514,0.865,0.292,0.899,6.229,3.205,6.102,2.843,1.427,0.845,2.16,5.184,0,207.275,0.022,133.229,9.447,2.255,0,0.453,562.886,0,1589.607
"DOM_C17_18",11.902,0.641,2.803,0.242,0.273,0.499,0.198,0.016,230.887,8.837,0.815,119.17,1.818,17.325,2.442,2.188,5.115,0.422,0.683,0.622,8.411,2.759,0.983,1.424,0.075,0.822,6.739,5.756,1.306,21.49,128.761,2.569,0.311,0.98,3.943,2.563,6.612,17.982,16.571,9.72,53.492,4.046,46.268,53.308,69.436,28.449,6.809,15.937,7.104,0,306.44,0.035,742.257,7.103,3.307,0,1.606,715.141,0,2707.415
"DOM_C19",574.523,21.392,397.495,24.454,13.754,49.737,20.2,2.032,628.804,26.476,4.513,22.676,1372.975,967.128,5.575,9.881,56.803,31.55,14.114,4.022,16.904,16.855,4.773,13.778,0.518,4.028,22.363,583.159,23.606,667.231,1184.862,681.834,152.323,1048.258,148.58,24.533,39.965,7.909,41.683,16.578,95.353,22.144,50.095,126.356,319.158,41.216,25.403,47.607,37.953,0,821.927,0.064,147.001,18.526,4.067,0,1.105,874.135,0,11579.958
"DOM_C20",2856.1,6.793,52.005,22.243,10.934,50.983,20.638,1.331,1433.746,384.422,21.281,213.501,379.905,5499.969,121.272,481.01,164.41,21.9,33.12,18.002,199.608,85.577,20.287,62.74,4.636,15.589,171.823,59.28,63.549,923.382,420.421,25.715,4.554,25.565,33.122,1.748,53.926,16.209,10.219,12.911,22.304,51.612,46.058,259.882,96.556,45.939,102.992,42.875,192.488,0,4993.421,0.514,511.241,102.341,18.662,0,2.381,3713.471,0,24207.163
"DOM_C21",40.093,0.134,2.266,0.249,0.157,0.655,0.145,0.009,40.884,2.345,0.134,0.939,1.857,27.231,38.852,1.841,0.793,0.241,0.265,0.118,2.717,0.524,0.261,0.363,0.037,0.137,1.585,1.066,0.532,6.431,13.07,0.64,0.109,0.494,0.476,0.07,0.813,0.145,0.553,0.192,0.622,0.454,2.714,2.083,19.287,2.298,106.423,2.483,1.754,0,887.596,0.241,13.018,4.549,1.373,0,0.745,69.223,0,1304.285
"DOM_C22",14.751,0.252,1.901,0.41,0.229,0.536,0.216,0.017,87.649,5.867,0.332,3.454,1.823,19.729,1.244,8.468,1.907,0.36,0.506,0.599,8.71,3.936,1.38,5.466,0.106,1.252,4.77,1.387,0.889,60.505,43.733,3.271,0.149,0.597,1.306,0.156,1.383,0.362,1.159,0.351,1.384,1.479,1.687,5.129,2.819,1,1.195,1.173,1.549,0,295.953,0.018,117.774,15.23,3.032,0,0.07,1320.15,0,2060.764
"DOM_C23",30.626,0.636,1.932,0.821,0.891,3.524,1.873,0.065,132.491,3.906,1.021,1.386,4.178,27.951,2.171,4.18,127.157,4.876,2.722,1.514,19.225,7.009,1.688,6.736,0.355,1.211,7.345,9.041,3.452,1751.357,52.801,2.416,0.513,1.123,2.65,0.212,6.207,0.29,1.898,0.471,2.775,25.357,4.451,8.815,8.937,4.795,2.185,3.268,4.541,0,403.415,0.039,151.863,130.058,17.924,0,0.084,788.223,0,3786.651
"DOM_C24A",9.632,0.295,1.061,3.851,6.105,5.871,0.607,0.166,23.602,2.444,0.707,1.474,3.961,8.035,0.27,5.322,16.538,231.386,17.802,87.513,46.926,51.638,68.255,76.905,5.521,41.739,32.208,11.505,7.053,1082.343,59.444,1.884,0.406,0.275,4.239,0.062,0.364,0.057,0.306,0.091,0.708,5.17,6.335,2.339,4.121,1.227,0.321,1.88,1.595,0,3.789,0.003,391.398,68.479,11.257,0,0.017,312.598,0,2729.1
"DOM_C24B",1.72,0.028,0.103,0.066,0.103,0.226,0.042,0.004,6.238,0.402,0.052,0.304,0.484,5.411,0.119,0.461,0.627,3.018,23.538,2.778,8.325,8.282,1.967,2.866,0.118,1.417,3.408,0.73,0.37,22.113,4.779,0.165,0.029,0.101,0.178,0.011,0.172,0.031,0.201,0.065,0.246,0.307,0.234,0.481,0.584,0.146,0.128,0.197,0.23,0,9.953,0.056,4.043,9.845,0,0,0.015,2328.454,0,2455.972
"DOM_C25",16.272,0.592,2.206,2.29,1.562,2.537,0.628,0.145,97.846,3.928,1.019,1.486,2.652,13.832,0.594,2.15,4.407,5.599,2.962,14.52,19.012,12.593,15.149,17.675,1.495,7.935,14.013,4.827,1.348,391.7,50.501,1.721,0.253,0.549,2.329,0.106,2.329,0.239,2.471,0.581,1.11,5.555,4.014,8.558,19.594,1.728,0.913,2.058,2.964,0,54.653,0.031,28.154,71.749,10.185,0,0.049,272.706,0,1208.075
"DOM_C26",18.058,0.751,3.351,0.655,0.73,1.133,0.357,0.053,51.833,3.75,0.394,2.493,4.734,21.925,1.042,1.976,2.273,1.154,1.243,1.497,1293.271,47.009,11.288,13.079,1.311,5.556,11.884,14.923,3.843,110.108,138.966,3.619,0.713,4.371,6.059,1.143,4.624,6.395,141.951,31.208,13.914,3.27,21.188,35.855,34.454,11.458,15.37,10.541,10.935,0,330.296,0.244,16.51,262.415,25.407,0,0.378,19200.594,0,21963.553
"DOM_C27",4.883,0.29,0.866,0.171,0.104,0.278,0.104,0.012,17.062,1.104,0.15,0.451,1.174,3.811,0.19,0.405,0.651,0.672,0.415,0.468,14.162,17.936,1.155,2.321,0.106,0.672,1.153,7.971,0.304,29.767,18.663,1.007,0.15,0.877,0.621,0.066,1.012,0.219,3.287,0.634,0.801,0.631,1.086,2.188,2.52,0.501,0.583,0.924,0.68,0,44.895,0.082,5.668,18.586,0,0,0.071,3239.349,0,3453.907
"DOM_C28",7.052,0.348,1.238,0.657,0.433,0.802,0.258,0.039,19.551,1.305,0.179,0.707,1.512,6.793,0.245,0.71,1.221,0.624,0.435,0.715,6.779,2.071,4.559,2.543,0.23,1.013,1.81,2.971,0.551,31.383,17.889,1.041,0.133,0.811,0.806,0.08,0.817,0.208,1.869,0.441,1.087,0.64,1.072,1.993,2.954,0.534,0.537,0.828,0.663,0,42.663,0.048,6.103,96.538,14.54,0,0.057,1535.69,0,1828.776
"DOM_C29",3.212,0.411,0.768,0.122,0.123,0.467,0.131,0.013,8.452,0.65,0.085,0.232,0.677,1.934,0.085,0.233,0.581,0.228,0.41,0.227,3.242,0.922,0.745,58.194,0.052,1.023,0.731,1.294,0.344,11.266,115.155,8.009,0.245,1.223,1.709,0.195,0.463,0.125,0.912,0.357,1.002,0.442,0.832,2.824,2.885,0.555,0.347,0.785,0.379,0,310.266,0.139,87.802,556.282,93.111,0,0.242,1475.381,0,2758.518
"DOM_C301",0.089,0.007,4.893,0.008,0.066,0.042,0.011,0,0.389,0.016,0.002,0.007,0.016,0.049,0.003,0.009,0.01,0.009,0.009,0.018,0.2,0.053,0.134,0.26,18.058,6.268,0.641,0.046,0.01,0.542,1.142,0.672,7.235,5.524,1.402,0.009,0.019,0.004,0.018,0.006,0.062,0.016,0.055,0.117,13.216,0.041,0.014,0.152,0.147,0,8.068,0.001,2.102,17.36,3.653,0,0.002,475.767,0,568.666
"DOM_C302T309",0.333,0.082,2.945,0.066,0.015,0.064,0.01,0.002,1.802,0.07,0.01,0.027,0.055,0.248,0.011,0.032,0.05,0.036,0.031,0.07,0.61,0.277,0.196,3.284,0.767,65.689,1.349,0.133,0.024,1.873,10.573,6.094,0.639,17.8,0.949,0.027,0.063,0.01,0.085,0.032,0.107,0.054,0.167,0.37,14.19,0.099,0.254,0.162,0.375,0,209.891,0.02,15.668,576.813,99.187,0,0.004,581.695,0,1615.49
"DOM_C31T33",24.932,1.09,8.28,0.961,1.105,1.65,0.862,0.09,56.534,13.539,0.986,2.649,3.938,13.419,0.964,1.215,2.914,1.472,1.135,0.836,17.537,2.844,1.564,2.531,0.29,1.449,33.701,11.944,3.011,79.216,50.845,6.124,0.932,8.702,5.318,0.662,5.362,1.031,7.813,2.367,13.225,3.759,7.652,15.43,24.084,12.536,18.723,15.513,7.681,0,997.826,0.138,37.43,202.02,36.809,0,5.22,2458.936,0,4238.795
"DOM_D",986.789,11.954,170.969,76.499,70.985,126.429,52.814,1.583,3238.058,239.037,13.569,184.653,436.94,866.08,25.377,67.437,255.851,119.97,104.788,28.217,175.144,61.85,28.236,60.558,3.152,27.71,67.52,3468.833,302.813,541.923,1712.625,219.748,3.642,15.893,167.786,22.692,420.372,43.84,360.194,56.053,315.984,298.914,132.296,241.235,886.669,371.771,166.494,353.74,208.366,0,4663.331,0.594,1110.492,124.615,0.11,0,0.112,72.865,0,23786.173
"DOM_E",145.044,1.131,13.697,4.402,2.51,3.887,2.517,0.129,352.483,15.969,0.655,9.931,21.526,47.874,2.426,2.787,11.853,8.53,7.238,1.395,8.79,3.463,1.408,2.865,0.189,2.188,5.018,46.946,215.162,77.864,153.625,11.168,1.242,1.379,16.418,1.96,67.223,2.342,7.158,2.468,36.968,37.015,13.673,32.225,179.07,79.816,30.594,42.835,29.219,0,1331.295,1.812,35.466,39.724,0.062,0,0.04,19.417,0,3194.087
"DOM_F",129.726,8.973,23.979,5.767,2.985,6.408,3.126,0.517,139.326,9.865,1.605,4.915,15.672,27.181,1.399,2.655,18.335,4.084,4.043,2.703,17.19,5.402,2.813,4.516,0.509,2.26,10.912,114.852,46.402,4462.62,335.143,24.374,1.457,5.14,56.371,3.165,28.604,4.611,68.187,6.431,60.358,418.879,60.515,65.151,431.596,56.244,21.525,32.233,13.663,0,1508.139,3.396,63.456,52928.773,1.712,0,0.788,301.724,0,61582.373
