"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",6414.387,128.1,2.246,0.541,0.088,1.757,1.854,0.268,20247.084,134.471,48.601,15.939,9.089,109.748,26.216,95.964,10.782,5.259,1.196,24.086,7.358,13.579,9.222,16.244,1.114,3.038,40.219,31.906,12.402,102.053,515.932,38.736,1.421,2.94,16.677,1.318,651.519,4.889,2.898,4.493,6.177,27.591,34.35,64.722,36.134,31.167,141.687,32.327,23.989,0,13096.941,2.75,348,154.617,47.456,0,76.19,5551.895,0,48431.625
"DOM_A02",107.937,910.688,0.121,1.319,0.027,0.738,0.624,0.021,143.027,3.029,1739.486,104.627,0.933,9.243,0.684,65.326,4.431,0.851,0.252,2.976,0.655,1.49,1.053,1.905,0.206,0.289,80.717,62.832,0.594,38.4,49.804,3.414,0.095,0.243,1.655,0.183,9.085,0.793,0.535,2.44,0.849,3.612,2.481,2.683,5.615,2.13,4.112,3.947,1.762,0,962.58,0.042,24.853,28.803,5.807,0,0.576,535.498,0,4938.081
"DOM_A03",0.576,0.074,0.725,0.003,0,0.013,0.009,0.001,110.022,0.024,0.03,0.041,0.046,0.096,0.017,0.068,0.043,0.022,0.005,0.073,0.029,0.055,0.03,0.054,0.051,0.018,0.094,0.06,0.019,0.183,1.371,0.155,0.02,0.024,0.061,0.004,7.153,0.024,0.011,0.025,0.031,0.109,0.068,0.051,0.337,0.101,0.541,0.097,0.067,0,22.182,0.045,1.466,0.459,0.266,0,0.654,38.553,0,186.36
"DOM_B05",18.21,1.751,0.033,39.221,0.311,16.926,8.679,1.639,40.257,3.832,4.077,20.56,533.024,57.784,1.11,13.997,158.995,357.999,29.977,8.958,2.517,7.044,3.085,6.269,0.624,1.941,7.537,3095.614,17.317,168.701,39.479,23.288,0.228,0.673,12.556,0.996,7.768,1.688,3.07,8.015,6.227,50.393,14.973,8.694,19.446,12.814,17.929,4.416,5.192,0,1270.5,1.291,25.748,208.109,10.175,0,0.363,1524.426,0,7906.446
"DOM_B06",0.025,0.001,0,0.053,0.031,0.096,0.136,0.302,0.291,0.016,0.034,0.205,104.697,1.932,0.006,0.17,1.245,0.554,0.17,0.215,0.011,0.034,0.02,0.06,0.004,0.014,0.088,21.921,0.053,0.484,0.405,0.168,0.001,0.003,0.133,0.008,0.012,0.005,0.003,0.008,0.011,0.113,0.072,0.04,0.06,0.025,0.026,0.006,0.006,0,6.048,0,0.297,0.11,0,0,0,75.131,0,215.559
"DOM_B07",2.972,0.041,0.007,7.503,0.473,429.662,51.646,4.678,15.192,0.776,0.323,0.683,158.544,113.792,0.603,3.355,295.241,1966.356,1247.458,134.13,1.387,9.909,6.091,5.515,0.115,0.127,11.918,124.919,2.119,198.439,4.368,5.562,0.017,0.17,1.321,0.059,0.692,0.066,0.033,0.019,0.017,2.151,2.601,1.62,0.589,0.251,0.368,0.258,0.916,0,0.001,0,0,0.002,0,0,0,2201.526,0,7016.58
"DOM_B08",22.48,1.16,0.071,2.543,0.226,16.967,101.599,2.104,25.747,0.955,0.402,9.734,0.011,107.898,0.498,6.454,1003.289,89.38,16.128,12.57,0.985,6.421,1.897,1.897,0.113,0.289,11.599,69.743,8.613,850.482,5.304,3.94,0.009,0.02,1.109,0.028,0.674,0.011,0.043,0.012,0.018,18.822,1.178,9.397,4.547,0.319,0.393,0.305,0.4,0,94.996,0,0.001,0.01,1.145,0,0,233.391,0,2748.328
"DOM_B09",0.645,0.026,0.081,0.377,4.846,1.89,1.061,15.721,0.695,0.003,0.108,1.469,126.754,0.27,0.012,0.926,12.013,2.308,0.921,0.118,0.013,0.093,0.056,0.01,0,0.006,0.053,33.519,0.158,16.867,0.117,2.281,0.052,0.155,0.738,0.155,0.056,0.178,0.001,0,0.054,0.577,0.713,0.063,0.146,0.054,0.079,0.006,0.026,0,0.019,0,16.386,243.956,0,0,0,216.176,0,703.004
"DOM_C10T12",5118.467,18.837,11.829,3.356,0.562,13.388,10.392,1.195,14800.173,69.263,56.424,133.017,106.374,472.293,71.019,198.544,84.459,42.16,10.417,121.697,51.868,97.004,47.18,93.414,6.059,19.319,130.377,166.341,43.268,346.602,1031.385,175.731,9.784,17.346,72.536,8.17,2737.775,42.304,19.958,40.41,38.399,134.093,106.572,105.799,135.103,169.702,509.299,152.73,64.501,0,36322.676,8.44,65.659,423.163,154.262,0,309.779,31261.799,0,96462.669
"DOM_C13T15",19.468,2.088,0.317,0.539,0.087,2.021,1.256,0.21,64.321,451.297,9.308,80.419,6.304,23.448,3.287,72.973,19.765,3.9,1.001,23.395,7.94,17.7,9.396,125.378,1.914,5.047,114.008,8.165,5.173,60.201,93.139,31.772,0.399,1.489,10.599,1.977,15.067,5.14,1.497,3.78,4.641,10.262,21.904,20.288,13.338,8.005,45.287,10.942,11.908,0,464.046,0.446,8.521,72.226,58.019,0,9.113,6723.744,0,8787.876
