"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",925.62,21.453,5.094,0,0,0.545,0.716,0.199,3367.698,95.053,7.438,6.615,4.284,18.162,5.66,11.884,4.362,2.318,0.458,5.916,3.677,2.938,2.979,6.614,0.271,0.848,6.967,19.929,4.303,49.115,96.966,6.722,0.934,4.517,6.294,0.506,470.584,1.741,3.929,4.255,5.421,9.035,23.432,17.719,13.45,5.68,43.338,7.183,6.983,0,3033.422,0.351,6.548,376.401,7.631,0,126.715,1443.078,0,10303.953
"DOM_A02",66.42,691.912,0.943,0,0,0.328,0.48,0.021,83.174,10.67,981.429,126.846,0.957,6.44,0.701,29.149,3.401,0.952,0.255,1.607,0.837,0.705,0.772,1.592,0.105,0.208,40.397,94.596,1.081,24.783,35.922,1.202,0.175,0.756,0.964,0.089,28.214,0.427,0.749,0.877,0.717,1.474,2.741,2.463,5.453,1.454,5.423,3.364,1.968,0,90.271,0.026,0.841,51.929,0.592,0,1.677,95.84,0,2506.374
"DOM_A03",0.726,0.055,6.099,0,0,0.019,0.02,0.003,64.816,0.289,0.065,0.175,0.139,0.216,0.043,0.127,0.136,0.081,0.018,0.15,0.085,0.069,0.067,0.161,0.03,0.025,0.116,1.025,0.094,0.485,1.469,0.152,0.036,0.107,0.138,0.012,19.939,0.043,0.1,0.112,0.152,0.138,0.451,0.207,0.368,0.115,0.766,0.125,0.107,0,522.109,0.018,0.097,1.12,0.429,0,7.338,228.292,0,859.274
"DOM_B05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",0.077,0.01,0.004,0,0,2.915,0.624,0.044,0.264,0.06,0.015,0.029,1.979,1.226,0.012,0.06,3.373,25.57,16.332,2.335,0.047,0.158,0.295,0.471,0.017,0.047,0.191,3.235,0.12,3.782,0.217,0.066,0.003,0.015,0.075,0.004,0.1,0.006,0.026,0.01,0.024,0.272,0.123,0.054,0.116,0.028,0.081,0.019,0.03,0,0.142,0,0.056,1.958,0,0,0.015,685.056,0,751.786
"DOM_B08",6.951,0.376,0.361,0,0,2.737,29.663,0.455,11.271,1.287,0.21,4.591,20.429,26.959,0.242,1.322,266.328,26.676,4.973,3.033,0.364,1.033,0.611,1.016,0.034,0.078,2.427,39.979,2.947,226.384,2.363,0.751,0.054,0.244,0.44,0.026,2.837,0.06,0.121,0.102,0.081,2.669,0.601,3.553,1.786,0.166,0.548,0.209,0.253,0,21.38,0.005,0.072,0.811,0.074,0,0.479,229.024,0,951.446
"DOM_B09",0.02,0.001,0.038,0,0,0.259,0.652,0.333,0.032,0.004,0.003,0.068,2.041,0.01,0.001,0.017,0.327,0.07,0.029,0.009,0.002,0.003,0.004,0.005,0,0.001,0.004,1.9,0.009,0.462,0.021,0.037,0.004,0.017,0.027,0.005,0.012,0.005,0.002,0.002,0.004,0.011,0.025,0.006,0.009,0.002,0.008,0.001,0.002,0,0.026,0,1.101,23.192,0,0,0.006,54.583,0,85.412
"DOM_C10T12",604.648,1.489,24.374,0,0,0.145,0.465,0.031,2339.06,35.962,0.873,10.401,2.889,34.853,8.688,2.404,1.6,0.339,0.299,1.568,0.472,0.69,0.759,0.898,0.052,0.143,3.521,4.971,3.021,5.035,149.327,3.84,2.595,2.256,5.763,0.543,2166.467,3.901,2.913,4.753,5.496,4.836,7.889,9.79,20.415,19.556,97.03,30.616,11.274,0,11725.335,4.585,18.749,2.471,15.948,0,508.983,5891.378,0,23806.359
"DOM_C13T15",6.139,1.308,3.609,0,0,0.895,0.701,0.117,16.644,1862.606,3.615,29.854,2.03,8.264,1.728,18.264,9.137,1.892,0.499,8.699,3.1,3.2,3.893,41.507,0.656,1.489,62.111,9.599,5.457,25.52,75.478,4.607,0.384,2.565,4.998,1.921,53.3,1.868,2.133,2.289,2.467,2.54,16.31,26.319,25.567,6.747,63.232,18.981,20.326,0,3592.407,0.006,0.408,10.027,17.034,0,262.28,6639.338,0,12986.064
"DOM_C16",25.415,11.585,1.192,0,0,1.968,1.869,0.187,65.803,24.768,718.378,139.536,3.692,20.218,1.819,14.753,40.591,20.312,6.604,27.119,4.468,9.487,7.061,38.68,3.753,2.391,330.328,50.232,77.473,802.739,91.691,8.523,0.42,1.853,20.85,0.541,45.947,2.959,2.323,2.759,3.344,32.801,31.386,19.632,17.077,6.364,31.81,6.743,18.191,0,86.077,0.125,9.09,40.121,6.369,0,22.755,1870.982,0,4833.156
"DOM_C17_18",21.202,1.427,1.901,0,0,2.077,1.894,0.174,353.166,63.916,20.744,1538.843,11.577,40.909,19.877,34.929,51.726,7.891,3.158,29.565,14.603,17.416,12.06,27.466,0.617,2.91,47.076,128.736,18.921,40.707,334.318,20.642,1.987,6.417,25.938,11.615,100.765,133.293,33.227,68.332,101.884,16.617,202.852,126.575,95.813,72.688,141.643,35.992,47.493,0,580.027,0.104,2.89,10.563,9.507,0,76.02,3495.013,0,8267.706
"DOM_C19",172.13,30.767,41.1,0,0,23.889,23.498,3.061,143.701,34.249,23.841,53.261,1469.665,437.958,6.537,21.62,83.905,71.033,9.199,32.562,4.843,18.419,10.062,45.296,0.875,2.8,39.066,1275.998,69.866,204.739,465.036,905.525,193.876,1460.382,174.655,23.258,100.344,7.413,18.788,22.794,39.719,16.618,69.158,86.797,94.969,22.526,96.693,25.066,31.391,0,197.456,0.023,8.021,1.78,12.157,0,13.457,4839.849,0,13281.693
"DOM_C20",320.143,3.33,1.775,0,0,8.852,8.605,0.75,144.357,258.26,42.194,169.432,140.527,927.812,57.359,498.932,88.497,17.36,7.737,54.227,26.516,36.098,16.516,78.73,3.145,4.199,73.545,34.037,39.331,109.746,63.175,7.791,0.941,4.724,13.524,0.555,53.239,7.485,2.187,7.388,4.68,15.401,35.101,41.863,11.303,9.229,120.367,8.023,35.012,0,413.226,0.27,2.985,20.617,0.299,0,29.388,3860.084,0,7940.869
"DOM_C21",10.002,0.505,0.292,0,0,0.345,0.298,0.057,19.428,6.407,1.534,3.232,2.312,6.562,33.092,3.561,2.321,1.244,0.239,3.047,1.977,1.516,1.535,3.464,0.139,0.446,2.659,4.111,1.539,12.76,12.521,2.975,0.465,2.766,1.868,0.223,9.36,0.778,1.531,1.611,1.558,1.776,9.089,3.004,4.534,1.221,165.843,1.542,1.446,0,131.751,0.83,64.042,49.264,2.159,0,9.255,1397.972,0,2004.006
"DOM_C22",41.078,2.858,2.462,0,0,2.864,2.874,0.298,321.338,123.711,17.885,80.084,11.259,67.07,20.424,333.221,31.374,5.071,3.217,56.608,36.113,63.334,40.058,265.367,1.985,12.515,77.845,15.311,23.204,261.509,250.805,59.676,1.544,4.823,18.814,1.821,32.416,4.043,4.36,4.232,6.351,14.445,28.271,32.725,8.822,5.847,40.917,6.174,9.798,0,167.811,0.178,1.37,42.694,7.314,0,3.515,3696.522,0,6376.226
