"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",1755.32,38.076,6.238,0.006,0.067,0.006,0.264,0.057,4491.485,43.459,6.363,0.49,0.016,8.365,2.896,11.791,0.205,0.036,0.032,0.108,0.118,0.239,0.592,0.849,0.041,0.045,3.797,7.02,2.512,22.432,253.674,8.543,0.328,0.027,2.625,0.181,289.85,0.382,0.215,0.18,0.213,1.478,7.876,18.468,7.498,6.746,26.958,8.815,12.27,0,6775.082,0,354.079,80.154,18.652,0,15.371,4901.467,0,19194.059
"DOM_A02",81.368,923.399,0.757,0.177,0.277,0.045,0.501,0.007,68.179,2.898,1197.874,38.26,0.018,2.374,0.184,31.711,2.25,0.569,0.242,0.237,0.007,0.162,0.28,0.337,0.111,0.025,43.006,60.266,0.297,38.775,69.943,1.274,0.063,0.008,0.412,0.06,10.17,0.277,0.323,0.462,0.056,1.04,0.792,1.783,4.162,1.521,1.982,4.01,2.144,0,694.062,0.001,231.121,0.094,0.318,0,0.002,59.63,0,3580.306
"DOM_A03",0.346,0.092,10.086,0,0.001,0.001,0.005,0,114.67,0.013,0.004,0.003,0.004,0.015,0.005,0.008,0.008,0.004,0.002,0.01,0.004,0.013,0.009,0.016,0.015,0.002,0.01,0.016,0.01,0.091,3.644,0.079,0.021,0.002,0.03,0.001,16.032,0.017,0.011,0.029,0.015,0.045,0.061,0.031,0.369,0.106,0.551,0.09,0.12,0,322.689,0,0.029,0.198,0.128,0,1.205,15.673,0,486.639
"DOM_B05",0.027,0.003,0.001,0.02,0.033,0.004,0.034,0.023,0.064,0.01,0.006,0.02,0.261,0.055,0.001,0.017,0.346,1.556,0.147,0.007,0.002,0.014,0.007,0.021,0.002,0.002,0.005,10.948,0.01,0.32,0.069,0.053,0,0,0.009,0.001,0.01,0.001,0.002,0.002,0.001,0.013,0.009,0.004,0.015,0.013,0.015,0.003,0.012,0,19.448,0,0.014,0.08,0.047,0,0.001,1.857,0,35.647
"DOM_B06",0.916,0.032,0.026,0.52,52.759,0.494,6.613,2.633,15.856,1.061,1.677,5.406,2049.261,44.041,0.165,6.016,40.248,52.353,18.186,7.643,0.311,2.162,1.655,7.791,0.393,0.609,3.092,2875.496,4.25,14.858,53.702,17.444,0.099,0.049,9.078,0.787,1.141,0.294,0.288,0.692,0.418,3.106,6.669,2.583,3.582,1.633,1.983,0.404,0.794,0,1.501,0,0.014,0.107,0,0,0.001,165.493,0,5488.388
"DOM_B07",0.042,0.001,0.001,0.013,0.1,0.429,0.588,0.138,0.15,0.01,0.005,0.006,0.324,0.439,0.004,0.032,2.293,32.186,22.505,0.809,0.009,0.125,0.097,0.143,0.003,0.002,0.082,1.473,0.034,3.541,0.126,0.12,0.001,0.001,0.021,0.002,0.015,0.003,0.004,0.004,0.003,0.017,0.066,0.027,0.01,0.004,0.011,0.005,0.021,0,10.635,0,0.051,0.068,0,0,0.001,40.815,0,117.616
"DOM_B08",7.68,0.446,0.29,0.133,1.192,0.494,37.143,1.811,7.479,0.323,0.108,1.359,4.512,13.048,0.078,1.225,246.328,46.826,9.311,2.383,0.167,2.333,0.897,1.327,0.06,0.067,2.436,25.526,3.846,471.212,3.42,2.329,0.006,0.005,0.41,0.016,0.417,0.004,0.029,0.007,0.004,3.093,0.65,4.04,1.481,0.111,0.162,0.115,0.299,0,111.147,0,0.009,0.105,0.218,0,0.004,30.915,0,1049.035
"DOM_B09",1.099,0.05,1.661,1.518,125.42,2.385,41.716,67.931,1.092,0.016,0.143,1.032,22.8,0.158,0.01,0.87,14.598,6.02,2.654,0.12,0.012,0.175,0.137,0.054,0.001,0.007,0.054,61.217,0.362,46.476,0.421,6.649,0.151,0.122,1.358,0.434,0.165,0.2,0.006,0.003,0.052,0.514,1.723,0.135,0.239,0.093,0.186,0.012,0.065,0,0.091,0,0.358,0.098,0.45,0,0.001,137.825,0,551.14
"DOM_C10T12",937.022,2.804,27.054,0.025,0.435,0.035,0.796,0.168,2724.254,21.001,1.477,4.479,0.84,22.098,5.14,3.745,2.56,0.868,0.782,2.105,0.679,3.02,2.038,3.365,0.19,0.297,5.24,4.63,5.653,17.81,481.882,24.792,3.952,0.819,12.073,1.491,1567.344,8.311,5.03,9.192,5.217,9.677,23.097,17.975,29.251,36.092,92.364,53.901,27.208,0,19154.43,0,106.843,0.613,15.62,0,63.185,2652.479,0,28203.449
"DOM_C13T15",8.177,1.917,5.576,0.074,0.793,0.113,0.921,0.405,11.061,844.414,4.11,17.019,0.324,6.224,0.8,36.159,13.421,2.632,0.733,6.812,1.549,8.893,7.236,127.629,3.04,2.778,80.263,3.202,6.248,59.37,195.651,15.505,0.286,0.327,6.78,3.371,28.681,1.655,1.623,2.512,1.22,3.915,33.92,27.285,20.738,6.427,62.758,19.664,43.543,0,3423.609,0,0.102,0.437,13.905,0,25.967,2469.281,0,7671.059
"DOM_C16",23.9,12.874,0.703,0.165,0.701,0.207,1.62,0.357,42.347,7.157,775.662,33.271,0.106,7.25,0.484,12.339,30.609,3.108,2.51,17.665,2.44,19.848,9.128,76.397,9.748,2.268,317.172,19.949,4.444,1508.771,155.141,24.659,0.163,0.112,22.502,0.404,12.577,2.773,1.457,1.767,0.755,40.045,42.333,16.255,2.693,4.283,9.694,5.597,29.433,0,367.672,0,0.067,7.21,5.607,0,2.318,1564.661,0,5263.378
"DOM_C17_18",10.011,0.704,0.757,0.024,0.796,0.104,0.597,0.227,164.414,11.468,11.894,334.039,0.606,8.401,4.773,18.206,23.01,2.986,1.991,12.031,6.062,23.647,10.68,30.841,0.822,1.886,26.195,11.319,8.231,38.144,414.454,36.631,0.943,0.516,16.986,13.056,18.334,159.027,21.937,48.609,31.457,9.502,195.596,88.847,45.986,51.125,63.546,22.68,34.422,0,730.173,0,1.088,0.123,3.021,0,7.956,455.033,0,3235.911
"DOM_C19",110.807,21.256,19.403,0.78,9.906,2.3,15.729,6.524,63.299,5.228,14.534,8.9,149.052,94.5,1.328,7.529,40.154,65.354,8.655,13.887,1.736,25.079,9.004,54.581,1.276,1.853,20.405,363.689,49.63,234.483,541.456,2123.277,91.091,135.14,122.344,25.424,19.549,5.205,12.071,15.571,11.528,10.749,61.476,50.692,44.49,14.766,42.536,12.958,26.5,0,1125.287,0,0.1,0.09,5.313,0,6.125,1561.215,0,7485.815
"DOM_C20",364.286,3.592,1.309,0.436,4.793,1.458,9.842,2.592,106.46,79.991,45.583,58.27,26.904,394.588,24.012,509.852,74.108,26.182,12.909,41.156,19.075,85.282,25.368,166.25,8.515,4.72,71.625,16.825,40.48,197.072,107.257,23.369,0.667,0.583,15.025,0.739,15.91,11.098,1.034,7.039,1.309,18.342,53.398,42.338,7.418,10.044,107.003,7.392,55.417,0,143.63,0,10.922,0.514,0.258,0,2.581,1913.84,0,4980.659
"DOM_C21",7.913,0.018,0.118,0.006,0.101,0.027,0.053,0.01,4.175,0.218,0.056,0.023,0.017,1.012,23.651,0.127,0.042,0.089,0.032,0.047,0.023,0.024,0.28,0.139,0.004,0.008,0.689,0.249,0.847,0.496,4.636,1.092,0.038,0.025,0.197,0.062,0.105,0.087,0.013,0.014,0.036,0.079,12.921,0.295,3.56,1.011,269.439,0.79,1.253,0,334.593,0,88.02,0.129,1.083,0,0.523,222.527,0,983.025
"DOM_C22",78.699,5.66,3.488,0.516,6.458,0.835,5.828,1.803,468.369,75.697,34.079,53.3,3.433,48.881,15.38,637.188,46.571,12.46,9.678,79.3,49.438,286.675,120.16,1073.343,9.47,28.015,138.993,13.745,48.955,937.221,921.651,434.471,2.32,1.225,41.629,5.942,19.829,8.771,7.529,6.65,4.836,33.596,77.81,60.036,11.178,11.405,60.58,10.87,32.062,0,277.179,0,0.213,6.998,5.849,0,0.002,2605.773,0,8942.043
